date,visit,farm,order,cow id,quarter,path 1,path1 IMI,path 2,path2 IMI,path 3,path3 IMI,path 4,path4 IMI,quarter_code,isolate 1,path 1 MALDI final ID,Fix 1?,isolate 2,path 2 MALDI final ID,Fix 2?,isolate 3,path 3 MALDI final ID,Fix 3?,isolate 4,path 4 MALDI final ID,Fix 4?,clinical,blind,teat inj,pstmilking,mixed inf_series,dupmissing,IMI_series,hygiene_scorer_1,hygiene_1,hygiene_scorer_2,hygiene_2,cc 1,cc 2,cc 3,scc,contam,contam_comment,Dup_A_CFU_count,Dup_B_CFU_count,More_than_2_org_present
12.17.2019,first,BJ,1,757,LH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,2,,,,13000,,,,,
12.17.2019,first,BJ,1,757,LF,Kocuria,yes1,,,,,,,1,BJ001,Kocuria species,yes_from_CNS_to_Kocuria,,,,,,,,,,,,,,no,,yes,j,2,c,2,,,,3000,,,3,1,yes
12.17.2019,first,BJ,1,757,RH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,2,,,,5000,,,,,
12.17.2019,first,BJ,1,757,RF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,2,,,,2000,,,,,
12.17.2019,first,BJ,2,585,LH,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,1,c,1,,,,7000,,,,,
12.17.2019,first,BJ,2,585,LF,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,1,c,1,,,,10000,,,,,
12.17.2019,first,BJ,2,585,RH,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,j,1,c,1,,,,13000,,,,,
12.17.2019,first,BJ,2,585,RF,CNS,yes1,,,,,,,1,BJ002,Staphylococcus haemolyticus,,,,,,,,,,,,,,,no,,yes,j,1,c,1,,,,697000,,,6,4,yes
12.17.2019,first,BJ,3,754,LH,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,j,4,c,4,,,,23000,,,,,
12.17.2019,first,BJ,3,754,LF,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,j,4,c,4,,,,8000,,,,,
12.17.2019,first,BJ,3,754,RH,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,j,4,c,4,,,,8000,yes,,,,
12.17.2019,first,BJ,3,754,RF,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,j,4,c,4,,,,5000,,,,,
12.17.2019,first,BJ,4,716,LH,CNS,yes2,,,,,,,2,BJ003,Staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,4,c,3,,,,152000,,,10,10,
12.17.2019,first,BJ,4,716,LF,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,4,c,3,,,,8000,,,,,
12.17.2019,first,BJ,4,716,RH,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,4,c,3,,,,5000,,,,,
12.17.2019,first,BJ,4,716,RF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,4,c,3,,,,9000,,,,,
12.17.2019,first,BJ,5,CB5,LH,CNS,yes1,,,,,,,1,BJ004,Staphylococcus species,,,,,,,,,,,,,,,no,,yes,j,4,c,4,,,,62000,,,13,12,yes
12.17.2019,first,BJ,5,CB5,LF,CNS,yes2,,,,,,,2,BJ005,Staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,4,c,4,,,,15000,,,9,17,
12.17.2019,first,BJ,5,CB5,RH,Strep,yes1,,,,,,,1,BJ006,Aerococcus viridans,no_SSLO,,,,,,,,,,,,,,no,,yes,j,4,c,4,,,,4000,,,,,
12.17.2019,first,BJ,5,CB5,RF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,4,c,4,,,,6000,,,,,
12.17.2019,first,BJ,6,656,LH,Strep,yes2,,,,,,,2,BJ007,Streptococcus uberis,,,,,,,,,,,,,,,no,,yes,j,3,c,3,,,,799000,,,TNTC,TNTC,
12.17.2019,first,BJ,6,656,LF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,3,c,3,,,,24000,,,,,
12.17.2019,first,BJ,6,656,RH,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,3,c,3,,,,7000,,,,,
12.17.2019,first,BJ,6,656,RF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,3,c,3,,,,37000,,,,,
12.17.2019,first,BJ,7,719,LH,CNS,yes2,,,,,,,2,BJ008,Staphylococcus simulans,,,,,,,,,,,,,,,no,,yes,j,2,c,3,,,,244000,,,20,6,
12.17.2019,first,BJ,7,719,LF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,3,,,,15000,,,,,
12.17.2019,first,BJ,7,719,RH,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,j,2,c,3,,,,18000,,,,,
12.17.2019,first,BJ,7,719,RF,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,j,2,c,3,,,,12000,,,,,
12.17.2019,first,BJ,8,739,LH,CNS,yes2,,,,,,,2,BJ009,Staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,2,c,3,,,,36000,,,7,9,
12.17.2019,first,BJ,8,739,LF,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,2,c,3,,,,0,,,,,
12.17.2019,first,BJ,8,739,RH,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,j,2,c,3,,,,0,,,,,
12.17.2019,first,BJ,8,739,RF,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,2,c,3,,,,6000,,,,,
12.17.2019,first,BJ,9,670,LH,,,,,,,,,16,,,,,,,,,,,,,,yes,,,,,,j,1,c,1,,,,Not analyzed,,,,,
12.17.2019,first,BJ,9,670,LF,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,1,c,1,,,,13000,,,,,
12.17.2019,first,BJ,9,670,RH,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,1,c,1,,,,16000,,,,,
12.17.2019,first,BJ,9,670,RF,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,1,c,1,,,,12000,,,,,
12.17.2019,first,BJ,10,720,LH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,3,c,2,,,,0,,,,,
12.17.2019,first,BJ,10,720,LF,SA,yes2,,,,,,,2,BJ010,Staphylococcus aureus,,,,,,,,,,,,,,,no,,yes,j,3,c,2,,,,227000,,,30,1,
12.17.2019,first,BJ,10,720,RH,CNS,yes2,,,,,,,2,BJ011,Staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,3,c,2,,,,74000,,,4,8,
