date,visit,farm,order,cow_id,quarter,path_1,path1_imi,path_2,path2_imi,path_3,path3_imi,path_4,path4_imi,quarter_code,isolate_1,path_1_maldi_final_id,fix_1,isolate_2,path_2_maldi_final_id,fix_2,isolate_3,path_3_maldi_final_id,fix_3,isolate_4,path_4_maldi_final_id,fix_4,clinical,blind,teatinj,pstmilking,mixed_inf_series,dup_not_collected,imi_series,hygiene_scorer_1,hygiene_1,hygiene_scorer_2,hygiene_2,cc_1,cc_2,cc_3,scc,contam,contam_comment,dup_a_cfu_count,dup_b_cfu_count,more_than_2_org_present
12.17.2019,first,BJ,1,757,LF,kocuria,yes1,,,,,,,1,bj001,kocuria species,yes_from_cns_to_kocuria,,,,,,,,,,,,,,no,,yes,j,2,c,2,,,,3000,,,3,1,yes
12.17.2019,first,BJ,2,585,RF,cns,yes1,,,,,,,1,bj002,staphylococcus haemolyticus,,,,,,,,,,,,,,,no,,yes,j,1,c,1,,,,697000,,,6,4,yes
12.17.2019,first,BJ,5,cb5,LH,cns,yes1,,,,,,,1,bj004,staphylococcus species,,,,,,,,,,,,,,,no,,yes,j,4,c,4,,,,62000,,,13,12,yes
12.17.2019,first,BJ,5,cb5,RH,strep,yes1,,,,,,,1,bj006,aerococcus viridans,no_sslo,,,,,,,,,,,,,,no,,yes,j,4,c,4,,,,4000,,,,,
1.29.2020,second,BJ,7,720,RF,sa,yes1,,,,,,,1,bj034,staphylococcus aureus,,,,,,,,,,,,,,,no,,yes,j,1,c,1,,,,62000,,,1,4,yes
1.29.2020,second,BJ,8,719,LH,cns,yes1,,,,,,,1,bj035,staphylococcus simulans,,,,,,,,,,,,,,,no,,yes,j,4,c,3,,,,120000,,,tntc,8,yes
1.29.2020,second,BJ,9,716,RF,corynebac,yes1,,,,,,,1,bj038,corynebacterium casei,,,,,,,,,,,,,,,no,,yes,j,2,c,1,,,,2000,,,4,8,yes
1.29.2020,second,BJ,11,739,RH,corynebac,yes1,,,,,,,1,bj041,no id,yes_nochange,,,,,,,,,,,,,,no,,yes,j,3,c,3,,,,13000,,,10,3,yes
2.26.2020,third,BJ,11,716,LH,cns,yes1,,,,,,,1,bj059,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,m,1,c,2,,,,85000,,,30,50,yes
2.26.2020,third,BJ,15,693,LH,kocuria,yes1,,,,,,,1,bj065,kocuria species,yes_from_cns_to_kocuria,,,,,,,,,,,,,,no,,yes,m,3,c,3,,,,13000,,,,,
2.26.2020,third,BJ,15,693,LF,?,yes1,,,,,,,1,bj066,no id,yes_nochange,,,,,,,,,,,,,,no,,yes,m,3,c,3,,,,37000,,,,,
2.26.2020,third,BJ,23,708,RH,kocuria,yes1,,,,,,,1,bj075,kocuria carniphila,yes_cns_to_kocuria,,,,,,,,,,,,,,no,,yes,m,4,c,4,,,,18000,,,5,1,yes
1.2.2020,first,Butterworks,23,jolene,LF,strep,yes1,cns,no5,,,,,1,bw041,aerococcus viridans,no_sslo,bw042,staphylococcus hominis,,,,,,,,,,,,no,,yes,j,1,c,2,,,,44000,,,,,yes
2.4.2020,second,Butterworks,1,masala,RF,cns,yes1,,,,,,,1,bw071,staphylococcus haemolyticus,,,,,,,,,,,,,,,no,,yes,t,2,c,1,,,,67000,,,4,7,
2.4.2020,second,Butterworks,5,pomme,LF,cns,yes1,,,,,,,1,bw074,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,t,2,c,2,,,,40000,,,29,36,
3.3.2020,third,Butterworks,9,blackberry,LH,cns,yes1,,,,,,,1,bw125,staphylococcus haemolyticus,,,,,,,,,,,,,,,no,,yes,n,4,c,4,,,,16000,,,1,1,
3.3.2020,third,Butterworks,16,hawthorn,RH,cns,yes1,,,,,,,1,bw133,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,n,2,c,1,,,,43000,,,3,3,yes
3.3.2020,third,Butterworks,27,eva,RF,strep,yes1,,,,,,,1,bw150,streptococcus uberis,,,,,,,,,,,,,,,no,,yes,n,2,c,2,,,,920000,,,7,4,
3.3.2020,third,Butterworks,29,petunia,LH,cns,yes1,,,,,,,1,bw152,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,n,3,c,2,,,,87000,,,8,30,yes
12.11.2019,first,Choiniere,5,86,LF,corynebac,yes1,,,,,,,1,cf009,corynebacterium species,,,,,,,,,,,,,,,no,,yes,j,2,c,2,,,,499000,,,1,10,
12.11.2019,first,Choiniere,15,38,LH,corynebac,yes1,,,,,,,1,cf030,corynebacterium casei,yes_from_?_to_corynebac,,,,,,,,,,,,,,no,,yes,j,3,c,2,,,,0,,,30,5,
1.21.2020,second,Choiniere,10,86,RF,strep,yes1,,,,,,,1,cf099,no id,no_got_contam_no_maldi,,,,,,,,,,,,,,no,,yes,j,1,c,1,,,,500000,,,tntc,tntc,yes
1.21.2020,second,Choiniere,16,7,RH,glutamicibacter,yes1,,,,,,,1,cf103,glutamicibacter arilaitensis,yes_from_cns_to_glutamicibacter,,,,,,,,,,,,,,no,,yes,j,3,c,2,,,,2000,,,2,3,yes
1.21.2020,second,Choiniere,29,41,LH,cns,yes2,,,,,,,1,cf121,staphylococcus haemolyticus,,,,,,,,,,,,,,,no,,yes,j,1,c,1,,,,180000,,,14,9,yes
1.21.2020,second,Choiniere,29,41,RH,corynebac,yes2,,,,,,,1,cf123,corynebacterium casei,,,,,,,,,,,,,,,no,,yes,j,1,c,1,,,,4000,,,1,2,yes
1.21.2020,second,Choiniere,34,56,LH,corynebac,yes1,,,,,,,1,cf130,corynebacterium glutamicum,,,,,,,,,,,,,,,no,,yes,j,1,c,2,,,,3000,,,1,7,
1.21.2020,second,Choiniere,35,35,RH,?,yes1,,,,,,,1,cf133,no id,yes_nochange,,,,,,,,,,,,,,no,,yes,j,.,c,.,,,,6000,,,6,1,yes
2.17.2020,third,Choiniere,15,74,LF,sa,yes1,,,,,,,1,cf154,staphylococcus aureus,,,,,,,,,,,,,,,,,yes,j,3,.,.,,,,650000,,,30,30,yes
2.17.2020,third,Choiniere,16,4,RF,corynebac,yes1,,,,,,,1,cf156,corynebacterium confusum,,,,,,,,,,,,,,,no,,yes,j,3,.,.,,,,3000,,,2,4,
2.17.2020,third,Choiniere,31,3,RH,leuconostoc,yes1,,,,,,,1,cf176,leuconostoc mesenteroides,yes_from_corynebac_to_leuconostoc,,,,,,,,,,,,,,no,,yes,j,3,.,.,,,,35000,,,6,8,yes
3.16.2020,fourth,Choiniere,13,54,RH,corynebac,yes1,,,,,,,1,cf207,corynebacterium casei,,,,,,,,,,,,,,,no,,yes,j,1,c,1,,,,6000,,,3,1,yes
3.16.2020,fourth,Choiniere,16,17,RF,corynebac,yes1,,,,,,,1,cf215,corynebacterium variabile,,,,,,,,,,,,,,,no,,yes,j,1,c,1,,,,24000,,,1,1,yes
3.16.2020,fourth,Choiniere,18,38,LF,corynebac,yes1,,,,,,,1,cf218,corynebacterium glutamicum,,,,,,,,,,,,,,,no,,yes,j,2,c,2,,,,5000,,,1,1,yes
3.16.2020,fourth,Choiniere,20,741,LH,moraxella,yes1,,,,,,,1,cf220,moraxella osloensis,yes_from_?_to_moraxella,,,,,,,,,,,,,,no,,yes,j,.,c,4,,,,6000,,,1,1,yes
1.14.2020,first,Glennview,6,165,RF,cns,yes1,,,,,,,1,gv011,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,1,c,1,,,,97000,,,tntc,tntc,
1.14.2020,first,Glennview,10,193,RF,corynebac,yes1,,,,,,,1,gv022,corynebacterium species,,,,,,,,,,,,,,,no,,yes,j,4,c,4,,,,3000,,,4,10,
1.14.2020,first,Glennview,28,43,LH,strep,yes1,,,,,,,1,gv040,streptococcus dysgalactiae,,,,,,,,,,,,,,,no,,yes,j,2,c,2,,,,4400000,,,50,tntc,
1.14.2020,first,Glennview,29,207,LF,corynebac,yes1,,,,,,,1,gv043,corynebacterium casei,,,,,,,,,,,,,,,no,,yes,j,1,c,1,,,,7000,,,7,4,
1.14.2020,first,Glennview,33,79,RF,micrococcus,yes1,,,,,,,1,gv046,micrococcus species,yes_from_cns_to_micrococcus,,,,,,,,,,,,,,,,yes,j,2,c,3,,,,22000,,,8,6,
2.19.2020,second,Glennview,3,173,RH,cns,yes1,,,,,,,1,gv051,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,m,2,c,2,,,,67000,,,tntc,50,
2.19.2020,second,Glennview,5,114,LF,corynebac,yes1,,,,,,,1,gv053,corynebacterium casei,,,,,,,,,,,,,,,no,,yes,m,3,c,2,,,,40000,,,1,1,
2.19.2020,second,Glennview,5,114,RF,sa,yes1,,,,,,,1,gv055,staphylococcus aureus,,,,,,,,,,,,,,,no,,yes,m,3,c,2,,,,36000,,,1,1,
2.19.2020,second,Glennview,7,193,RF,corynebac,yes1,,,,,,,1,gv058,corynebacterium casei,,,,,,,,,,,,,,,no,,yes,m,3,c,3,,,,2000,,,12,1,
2.19.2020,second,Glennview,23,165,RH,cns,yes1,,,,,,,1,gv080,staphylococcus devriesei,yes_from_?_to_cns,,,,,,,,,,,,,,no,,yes,m,3,c,2,,,,110000,,,30,17,
2.19.2020,second,Glennview,27,169,LF,cns,yes1,,,,,,,1,gv085,staphylococcus equorum,,,,,,,,,,,,,,,no,,yes,m,3,c,3,,,,10000,,,5,10,
2.19.2020,second,Glennview,30,207,LH,cns,yes1,,,,,,,1,gv089,no id,yes_nochange,,,,,,,,,,,,,,no,,yes,m,2,c,3,,,,66000,,,24,20,
3.19.2020,third,Glennview,4,193,RF,corynebac,yes1,,,,,,,1,gv105,corynebacterium species,,,,,,,,,,,,,,,no,,yes,j,4,c,4,,,,2000,,,4,1,
3.19.2020,third,Glennview,6,173,RH,cns,yes1,,,,,,,1,gv110,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,4,c,4,,,,130000,,,tntc,tntc,
