ID,Test Date,Milk,PCTF,PCTP,305ME,SCC,?,Pen,Mun
1,02/18/19,65,4.4,2.8,15770,231,0,0,0,
1,03/23/19,69,4.0,2.9,16190,6,0,0,0,
1,04/25/19,62,4.4,3.0,15970,15,0,0,0,
2,02/18/19,75,3.5,2.9,17630,26,0,0,0,
2,03/23/19,77,3.1,2.7,17920,9,0,0,0,
2,04/25/19,64,4.0,2.7,16670,22,0,0,0,
7,03/21/18,55,4.0,3.6,0,79,0,0,0,
7,04/23/18,68,3.4,2.6,17480,16,0,0,0,
7,05/24/18,51,3.3,2.5,15150,33,0,0,0,
7,06/28/18,58,3.6,2.6,17050,8,0,0,0,
7,07/05/18,58,3.6,2.6,17410,13,0,0,0,
7,07/11/18,54,3.5,2.6,17050,13,0,0,0,
7,07/18/18,53,3.2,2.6,17150,45,0,0,11,
7,07/26/18,57,3.4,2.5,17910,22,0,0,15,
7,08/01/18,56,3.5,2.6,17790,26,0,0,15,
7,09/05/18,64,4.2,2.8,19890,16,0,0,13,
7,10/05/18,48,4.2,3.2,18630,13,0,0,13,
7,12/10/18,57,3.7,2.9,20160,14,0,0,0,
7,01/10/19,55,3.8,3.0,20270,14,0,0,0,
7,02/18/19,41,4.6,3.2,20340,20,0,0,0,
7,03/23/19,42,4.0,3.1,20340,37,0,0,0,
7,04/25/19,0,0.0,0.0,20290,0,0,0,0,
544,01/10/19,59,3.9,2.9,15290,144,0,0,0,
544,02/18/19,82,4.2,2.7,18240,79,0,0,0,
544,03/23/19,73,3.3,2.6,18210,49,0,0,0,
544,04/25/19,69,4.5,2.8,18630,163,0,0,0,
585,03/23/19,83,3.7,2.9,18310,588,0,0,0,
585,04/25/19,79,4.4,2.6,17640,316,0,0,0,
591,12/10/18,88,3.2,2.8,18670,45,0,0,0,
591,01/10/19,92,2.7,2.4,19900,15,0,0,0,
591,02/18/19,58,3.3,2.5,16720,12,0,0,0,
591,03/23/19,44,3.0,2.7,15440,37,0,0,0,
591,04/25/19,37,3.8,2.8,14840,49,0,0,0,
607,03/21/18,79,4.4,4.2,0,121,0,0,0,
607,04/23/18,87,3.8,2.6,17250,17,0,0,0,
607,05/24/18,89,3.7,2.7,18570,37,0,0,0,
607,06/28/18,85,4.6,2.8,19520,35,0,0,0,
607,07/05/18,71,3.4,2.8,18500,48,0,0,0,
607,07/11/18,71,3.6,2.7,18640,58,0,0,0,
607,07/18/18,79,4.4,2.7,19750,69,0,0,14,
607,07/26/18,61,3.8,2.6,18140,94,0,0,19,
607,08/01/18,67,3.5,2.7,18950,53,0,0,19,
607,09/05/18,72,4.4,2.7,20560,42,0,0,14,
607,10/05/18,70,5.3,3.4,21350,69,0,0,18,
607,12/10/18,0,0.0,0.0,21340,0,1,0,0,
607,01/10/19,0,0.0,0.0,21340,0,1,0,0,
607,02/18/19,58,4.6,3.6,20550,31,0,0,0,
607,03/23/19,59,7.4,3.6,22000,54,0,0,0,
607,04/25/19,40,5.4,3.6,21880,71,0,0,0,
611,09/05/18,74,3.7,2.9,17120,93,0,0,15,
611,10/05/18,60,4.3,2.5,15390,46,0,0,15,
611,11/07/18,54,3.9,2.5,14910,56,0,0,0,
611,12/10/18,47,3.7,2.6,14470,70,0,0,0,
611,01/10/19,51,3.3,2.6,15480,67,0,0,0,
611,02/18/19,58,4.1,2.7,17140,89,0,0,0,
611,03/23/19,52,3.0,2.8,17100,82,0,0,0,
611,04/25/19,27,0.0,0.0,15510,0,1,0,0,
616,01/10/19,78,4.6,3.5,16750,38,0,0,0,
616,02/18/19,85,4.2,2.7,17890,26,0,0,0,
616,03/23/19,69,1.8,2.7,16830,16,0,0,0,
616,04/25/19,84,4.9,2.6,19300,25,0,0,0,
