ID,BNAME,LACT,MILK,PMILK,SCC,PSCC,DIMTD,FDAT,DIM,DUE
1,CB1     ,2,36,43,20,20,302,1/22/2019,302,2/26/2020
2,CB2     ,2,55,54,18,9,290,2/3/2019,290,3/26/2020
5,CB5     ,1,55,52,42,56,141,7/2/2019,141,       - 
7,727,2,55,47,25,15,151,6/22/2019,151,       - 
544,544,12,32,41,109,114,334,12/21/2018,334,       - 
585,585,4,45,56,222,297,262,3/3/2019,262,       - 
616,616,3,43,45,33,23,324,12/31/2018,324,6/17/2020
634,634,4,22,25,60,46,925,5/9/2017,925,5/8/2020
636,636,4,30,45,115,20,368,11/17/2018,368,3/3/2020
642,642,6,32,33,235,64,362,11/23/2018,362,2/19/2020
656,656,5,63,66,387,528,46,10/5/2019,46,       - 
664,664,5,36,0,315,0,10,11/10/2019,10,       - 
666,666,6,45,49,184,208,164,6/9/2019,164,6/5/2020
667,667,4,45,41,220,1125,335,12/20/2018,335,5/17/2020
670,670,5,43,52,18,38,147,6/26/2019,147,       - 
675,675,5,49,47,23,11,235,3/30/2019,235,       - 
685,685,5,51,60,22,19,125,7/18/2019,125,6/9/2020
691,691,4,0,39,0,51,332,12/23/2018,302,12/18/2019
693,693,4,67,0,12,0,31,10/20/2019,31,       - 
697,697,3,42,47,16,17,212,4/22/2019,212,5/8/2020
699,699,2,24,27,135,67,677,1/12/2018,677,6/9/2020
700,700,2,28,43,124,30,420,9/26/2018,420,2/15/2020
701,701,3,43,56,195,158,91,8/21/2019,91,       - 
708,708,3,51,58,23,20,145,6/28/2019,145,       - 
711,711,3,42,54,28,28,267,2/26/2019,267,3/19/2020
713,713,3,40,49,143,61,191,5/13/2019,191,       - 
716,716,3,51,52,43,92,154,6/19/2019,154,       - 
719,719,3,42,49,49,57,251,3/14/2019,251,6/14/2020
720,720,3,71,66,348,301,145,6/28/2019,145,       - 
721,721,1,42,23,0,119,607,3/23/2018,566,2/13/2020
722,722,3,51,56,24,14,76,9/5/2019,76,       - 
723,723,2,36,41,43,27,309,1/15/2019,309,       - 
730,730,2,47,54,28,16,232,4/2/2019,232,3/13/2020
731,731,2,49,62,352,236,225,4/9/2019,225,       - 
733,733,2,55,66,60,75,86,8/26/2019,86,       - 
734,734,1,0,32,0,193,650,12/28/2017,631,2/11/2020
735,735,2,34,45,33,16,326,12/29/2018,326,2/23/2020
736,736,1,36,41,20,78,594,4/5/2018,594,       - 
738,738,2,43,52,12,13,220,4/14/2019,220,       - 
739,739,2,53,54,54,119,156,6/17/2019,156,       - 
742,741,2,43,52,74,48,215,4/19/2019,215,5/22/2020
743,749,1,51,58,13,22,138,7/5/2019,138,       - 
744,744,2,49,62,22,30,128,7/15/2019,128,       - 
746,743,2,42,39,13,12,184,5/20/2019,184,       - 
747,746,1,36,43,19,69,374,11/11/2018,374,2/27/2020
748,745,2,42,45,33,12,216,4/18/2019,216,5/21/2020
749,747,1,55,45,38,18,325,12/30/2018,325,3/13/2020
750,748,1,36,43,24,12,341,12/14/2018,341,3/19/2020
751,751,2,0,47,0,20,123,7/20/2019,118,       - 
752,752,0,0,0,0,0,0,       - ,0,       - 
753,753,1,43,49,33,7,120,7/23/2019,120,       - 
754,754,1,49,54,23,23,133,7/10/2019,133,       - 
755,755,1,40,49,18,14,127,7/16/2019,127,       - 
756,756,0,0,0,0,0,0,       - ,0,       - 
757,757,1,45,52,13,14,129,7/14/2019,129,       - 
758,758,1,0,19,0,210,353,12/2/2018,317,1/9/2020
759,759,0,0,0,0,0,0,       - ,0,       - 
760,760,0,0,0,0,0,0,       - ,0,       - 
761,761,1,49,43,60,50,125,7/18/2019,125,       - 
762,762,0,0,0,0,0,0,       - ,0,       - 
763,763,1,51,54,11,14,58,9/23/2019,58,       - 
764,764,1,38,39,54,250,133,7/10/2019,133,       - 
765,765,0,0,0,0,0,0,       - ,0,       - 
766,766,0,0,0,0,0,0,       - ,0,       - 
767,767,0,0,0,0,0,0,       - ,0,       - 
768,768,0,0,0,0,0,0,       - ,0,       - 
769,769,0,0,0,0,0,0,       - ,0,       - 
770,770,1,40,54,27,32,85,8/27/2019,85,       - 
771,771,0,0,0,0,0,0,       - ,0,       - 
772,772,1,36,0,91,0,14,11/6/2019,14,       - 
773,773,0,0,0,0,0,0,       - ,0,       - 
774,774,0,0,0,0,0,0,       - ,0,       - 
777,777,0,0,0,0,0,0,       - ,0,       - 
778,778,0,0,0,0,0,0,       - ,0,       - 
779,779,0,0,0,0,0,0,       - ,0,       - 
780,780,0,0,0,0,0,0,       - ,0,       - 
781,781,0,0,0,0,0,0,       - ,0,       - 
782,782,0,0,0,0,0,0,       - ,0,       - 
783,783,0,0,0,0,0,0,       - ,0,       - 
784,784,0,0,0,0,0,0,       - ,0,       - 
785,785,0,0,0,0,0,0,       - ,0,       - 
786,786,0,0,0,0,0,0,       - ,0,       - 
787,787,0,0,0,0,0,0,       - ,0,       - 
790,790,0,0,0,0,0,0,       - ,0,       - 
791,791,0,0,0,0,0,0,       - ,0,       - 
798,798,0,0,0,0,0,0,       - ,0,       - 
799,799,0,0,0,0,0,0,       - ,0,       - 
800,800,0,0,0,0,0,0,       - ,0,       - 
801,801,0,0,0,0,0,0,       - ,0,       - 
802,802,0,0,0,0,0,0,       - ,0,       - 
803,803,0,0,0,0,0,0,       - ,0,       - 
804,804,0,0,0,0,0,0,       - ,0,       - 
805,805,0,0,0,0,0,0,       - ,0,       - 
806,806,0,0,0,0,0,0,       - ,0,       - 
807,807,0,0,0,0,0,0,       - ,0,       - 
808,808,0,0,0,0,0,0,       - ,0,       - 
809,809,0,0,0,0,0,0,       - ,0,       - 
810,810,0,0,0,0,0,0,       - ,0,       - 
811,811,0,0,0,0,0,0,       - ,0,       - 
812,812,0,0,0,0,0,0,       - ,0,       - 
1003,CB3     ,2,47,52,24,14,158,6/15/2019,158,6/5/2020
1750,750,1,49,54,9,11,123,7/20/2019,123,       - 
1789,789,0,0,0,0,0,0,       - ,0,       - 
11111,SIRE    ,0,0,0,0,0,0,       - ,0,       - 
11113,770,0,0,0,0,0,0,       - ,0,       - 
11114,771,0,0,0,0,0,0,       - ,0,       - 
11115,776,0,0,0,0,0,0,       - ,0,       - 
11116,775,0,0,0,0,0,0,       - ,0,       - 
11784,784,0,0,0,0,0,0,       - ,0,       - 
11788,788,0,0,0,0,0,0,       - ,0,       - 
11792,792,0,0,0,0,0,0,       - ,0,       - 
11793,793,0,0,0,0,0,0,       - ,0,       - 
11794,793,0,0,0,0,0,0,       - ,0,       - 
11795,794,0,0,0,0,0,0,       - ,0,       - 
11796,795,0,0,0,0,0,0,       - ,0,       - 
11797,796,0,0,0,0,0,0,       - ,0,       - 
11798,797,0,0,0,0,0,0,       - ,0,       - 
Total:,117,,,,,,,,,
