"ID","BNAME","LACT","MILK","PMILK","SCC","PSCC","DIM","FDAT","DUE",
    1 ,CB1     ,   2 ,    36 ,    43 ,    20 ,    20 ,  302 ,01/22/19,02/26/20,
    2 ,CB2     ,   2 ,    55 ,    54 ,    18 ,     9 ,  290 ,02/03/19,03/26/20,
    5 ,CB5     ,   1 ,    55 ,    52 ,    42 ,    56 ,  141 ,07/02/19,       - ,
    7 ,727     ,   2 ,    55 ,    47 ,    25 ,    15 ,  151 ,06/22/19,       - ,
  544 ,544     ,  12 ,    32 ,    41 ,   109 ,   114 ,  334 ,12/21/18,       - ,
  585 ,585     ,   4 ,    45 ,    56 ,   222 ,   297 ,  262 ,03/03/19,       - ,
  616 ,616     ,   3 ,    43 ,    45 ,    33 ,    23 ,  324 ,12/31/18,06/17/20,
  634 ,634     ,   4 ,    22 ,    25 ,    60 ,    46 ,  925 ,05/09/17,05/08/20,
  636 ,636     ,   4 ,    30 ,    45 ,   115 ,    20 ,  368 ,11/17/18,03/03/20,
  642 ,642     ,   6 ,    32 ,    33 ,   235 ,    64 ,  362 ,11/23/18,02/19/20,
  656 ,656     ,   5 ,    63 ,    66 ,   387 ,   528 ,   46 ,10/05/19,       - ,
  664 ,664     ,   5 ,    36 ,     0 ,   315 ,     0 ,   10 ,11/10/19,       - ,
  666 ,666     ,   6 ,    45 ,    49 ,   184 ,   208 ,  164 ,06/09/19,06/05/20,
  667 ,667     ,   4 ,    45 ,    41 ,   220 ,  1125 ,  335 ,12/20/18,05/17/20,
  670 ,670     ,   5 ,    43 ,    52 ,    18 ,    38 ,  147 ,06/26/19,       - ,
  675 ,675     ,   5 ,    49 ,    47 ,    23 ,    11 ,  235 ,03/30/19,       - ,
  685 ,685     ,   5 ,    51 ,    60 ,    22 ,    19 ,  125 ,07/18/19,06/09/20,
  691 ,691     ,   4 ,     0 ,    39 ,     0 ,    51 ,  302 ,12/23/18,12/18/19,
  693 ,693     ,   4 ,    67 ,     0 ,    12 ,     0 ,   31 ,10/20/19,       - ,
  697 ,697     ,   3 ,    42 ,    47 ,    16 ,    17 ,  212 ,04/22/19,05/08/20,
  699 ,699     ,   2 ,    24 ,    27 ,   135 ,    67 ,  677 ,01/12/18,06/09/20,
  700 ,700     ,   2 ,    28 ,    43 ,   124 ,    30 ,  420 ,09/26/18,02/15/20,
  701 ,701     ,   3 ,    43 ,    56 ,   195 ,   158 ,   91 ,08/21/19,       - ,
  708 ,708     ,   3 ,    51 ,    58 ,    23 ,    20 ,  145 ,06/28/19,       - ,
  711 ,711     ,   3 ,    42 ,    54 ,    28 ,    28 ,  267 ,02/26/19,03/19/20,
  713 ,713     ,   3 ,    40 ,    49 ,   143 ,    61 ,  191 ,05/13/19,       - ,
  716 ,716     ,   3 ,    51 ,    52 ,    43 ,    92 ,  154 ,06/19/19,       - ,
  719 ,719     ,   3 ,    42 ,    49 ,    49 ,    57 ,  251 ,03/14/19,06/14/20,
  720 ,720     ,   3 ,    71 ,    66 ,   348 ,   301 ,  145 ,06/28/19,       - ,
  721 ,721     ,   1 ,    42 ,    23 ,     0 ,   119 ,  566 ,03/23/18,02/13/20,
  722 ,722     ,   3 ,    51 ,    56 ,    24 ,    14 ,   76 ,09/05/19,       - ,
  723 ,723     ,   2 ,    36 ,    41 ,    43 ,    27 ,  309 ,01/15/19,       - ,
  730 ,730     ,   2 ,    47 ,    54 ,    28 ,    16 ,  232 ,04/02/19,03/13/20,
  731 ,731     ,   2 ,    49 ,    62 ,   352 ,   236 ,  225 ,04/09/19,       - ,
  733 ,733     ,   2 ,    55 ,    66 ,    60 ,    75 ,   86 ,08/26/19,       - ,
  734 ,734     ,   1 ,     0 ,    32 ,     0 ,   193 ,  631 ,12/28/17,02/11/20,
  735 ,735     ,   2 ,    34 ,    45 ,    33 ,    16 ,  326 ,12/29/18,02/23/20,
  736 ,736     ,   1 ,    36 ,    41 ,    20 ,    78 ,  594 ,04/05/18,       - ,
  738 ,738     ,   2 ,    43 ,    52 ,    12 ,    13 ,  220 ,04/14/19,       - ,
  739 ,739     ,   2 ,    53 ,    54 ,    54 ,   119 ,  156 ,06/17/19,       - ,
  742 ,741     ,   2 ,    43 ,    52 ,    74 ,    48 ,  215 ,04/19/19,05/22/20,
  743 ,749     ,   1 ,    51 ,    58 ,    13 ,    22 ,  138 ,07/05/19,       - ,
  744 ,744     ,   2 ,    49 ,    62 ,    22 ,    30 ,  128 ,07/15/19,       - ,
  746 ,743     ,   2 ,    42 ,    39 ,    13 ,    12 ,  184 ,05/20/19,       - ,
  747 ,746     ,   1 ,    36 ,    43 ,    19 ,    69 ,  374 ,11/11/18,02/27/20,
  748 ,745     ,   2 ,    42 ,    45 ,    33 ,    12 ,  216 ,04/18/19,05/21/20,
  749 ,747     ,   1 ,    55 ,    45 ,    38 ,    18 ,  325 ,12/30/18,03/13/20,
  750 ,748     ,   1 ,    36 ,    43 ,    24 ,    12 ,  341 ,12/14/18,03/19/20,
  751 ,751     ,   2 ,     0 ,    47 ,     0 ,    20 ,  118 ,07/20/19,       - ,
  753 ,753     ,   1 ,    43 ,    49 ,    33 ,     7 ,  120 ,07/23/19,       - ,
  754 ,754     ,   1 ,    49 ,    54 ,    23 ,    23 ,  133 ,07/10/19,       - ,
  755 ,755     ,   1 ,    40 ,    49 ,    18 ,    14 ,  127 ,07/16/19,       - ,
  757 ,757     ,   1 ,    45 ,    52 ,    13 ,    14 ,  129 ,07/14/19,       - ,
  758 ,758     ,   1 ,     0 ,    19 ,     0 ,   210 ,  317 ,12/02/18,01/09/20,
  761 ,761     ,   1 ,    49 ,    43 ,    60 ,    50 ,  125 ,07/18/19,       - ,
  763 ,763     ,   1 ,    51 ,    54 ,    11 ,    14 ,   58 ,09/23/19,       - ,
  764 ,764     ,   1 ,    38 ,    39 ,    54 ,   250 ,  133 ,07/10/19,       - ,
  770 ,770     ,   1 ,    40 ,    54 ,    27 ,    32 ,   85 ,08/27/19,       - ,
  772 ,772     ,   1 ,    36 ,     0 ,    91 ,     0 ,   14 ,11/06/19,       - ,
 1003 ,CB3     ,   2 ,    47 ,    52 ,    24 ,    14 ,  158 ,06/15/19,06/05/20,
 1750 ,750     ,   1 ,    49 ,    54 ,     9 ,    11 ,  123 ,07/20/19,       - ,
Total:, 61,,,,,,,,,
