Index,BarnName,Lact#,Milk,PrvMilk,SCCS,PrvSCCS,SCCAct,PrvSCCAct,PrvLctLastSCCS,PrvLctLstSCCAct,DIM_Tst,LastCalv,Stat,DateDue,Proj305MEM
2,LILAC,2,,,6.3,,985,,5.5,566,4,12/21/2019,2,,
7,NELLIE,2,25.8,25.4,4.6,4.2,303,230,4.1,214,200,6/8/2019,2,29-Jul,9549
8,STAR,2,,5.4,,7,,1600,4.5,283,251,3/26/2019,1,2-Mar,7460
10,PLANTAI,2,23.9,30.8,8.6,5.3,4851,492,2.1,54,162,7/16/2019,2,,10104
14,APPLECO,6,40.6,43.5,8.1,6.7,3430,1300,2.7,81,60,10/26/2019,2,,9605
15,SNOWBAL,1,25.8,27.2,4.7,4.4,325,264,,,138,8/9/2019,6,3-Aug,10401
22,LOVE,5,,,7.8,,2786,,3,100,3,12/22/2019,2,,
23,MASALA,3,27.6,25.4,2.2,1.8,57,44,3.3,123,302,2/26/2019,2,27-Jul,11475
25,MANGO,6,47.9,,1.2,,29,,2.2,57,15,12/10/2019,2,,
28,RUBY,1,,25.4,,1.3,,31,,,302,2/10/2019,1,6-Feb,14141
33,STRAWBE,3,38.7,36.3,1.1,0.1,27,13,1.3,31,108,9/8/2019,2,,10282
34,AVACADO,2,44.3,49,3.1,3.9,107,187,1.6,38,67,10/19/2019,2,,11850
36,NEBULA,2,24.9,25.4,3.1,3,107,100,6.2,919,508,8/4/2018,2,,13834
44,CRESCEN,1,25.8,25.4,5,4.3,400,246,,,246,4/23/2019,6,27-Mar,11553
45,PAPRIKA,2,,,,,,,2.3,62,279,1/12/2019,1,24-Feb,9174
46,BLACKBY,7,25.8,25.4,1.9,0.8,47,22,1.5,35,164,7/14/2019,2,28-Aug,8601
47,JASMINE,1,,,,,,,,,345,12/8/2018,1,13-Jan,12269
51,MANDLIN,3,27.6,34.4,2.9,2.4,93,66,5.7,650,219,5/20/2019,2,29-Apr,10242
52,JOLENE,2,20.3,13.6,2.5,5.2,71,460,2.4,66,277,3/23/2019,2,21-May,11259
53,HAPPINE,2,23.9,25.4,0.4,0.3,17,15,1.4,33,308,2/20/2019,2,17-May,11190
55,PEARL,4,26.7,22.6,1.4,1.5,33,35,2.4,66,192,6/16/2019,2,3-Jun,9092
57,EVA,3,,,,,,,6.4,1056,384,7/20/2018,1,14-Jan,8965
60,HAWTHOR,5,36.9,36.3,2.5,2.5,71,71,2.4,66,184,6/24/2019,2,3-Aug,12448
61,MARJORA,1,27.6,25.4,3.3,2.4,123,66,,,222,5/17/2019,6,13-May,12456
64,GABRIEL,7,,10.8,,9,,6400,0.8,22,457,9/15/2018,1,9-Feb,13369
65,MINTY,4,,,,,,,0.6,19,393,10/21/2018,1,10-Jan,13930
68,POMME,1,,,5.1,,429,,,,2,12/23/2019,6,,
71,AURORA,6,,,,,,,4.6,303,336,12/17/2018,1,13-Jan,11771
74,MUFFIN,2,45.2,,3.9,,187,,1.8,44,13,12/12/2019,2,,
76,MANZANA,1,40.6,34.4,3.4,5.2,132,460,,,61,10/25/2019,6,,12282
77,CHIPOTL,3,31.3,33.5,5.3,5,492,400,3.7,162,192,6/16/2019,2,,10866
81,MELISSA,1,36.9,32.6,3.2,2.8,115,87,,,30,11/25/2019,6,,11501
85,RHUBARB,1,25.8,25.4,1.1,3.3,27,123,,,96,9/20/2019,6,,8649
95,JOY,1,37.8,,4,6.7,200,1300,,,29,11/26/2019,6,,
97,CUCUMBE,1,27.6,29,1.9,1.4,47,33,,,94,9/22/2019,6,12-Aug,9786
98,PEACE,2,42.4,40.8,2.8,3.2,87,115,3.1,107,66,10/20/2019,2,15-Sep,11041
100,BON,4,29.5,25.4,4,5.7,200,650,4.4,264,233,5/6/2019,2,8-Jun,9357
102,MUSTARD,6,44.3,43.5,1.9,1.2,47,29,4,200,108,9/8/2019,2,2-Sep,12624
111,NONA,5,33.2,39.9,1.9,1.6,47,38,3.9,187,146,8/1/2019,2,22-Aug,9962
177,NAZARET,5,31.3,19,4.1,4.3,214,246,5.3,492,150,7/28/2019,2,11-Jun,8178
199,PETUNIA,1,23.9,21.7,3.2,2.2,115,57,,,201,6/7/2019,6,27-Sep,10747
