Index,BarnName,Lact#,Milk,PrvMilk,SCCS,PrvSCCS,SCCAct,PrvSCCAct,PrvLctLastSCCS,PrvLctLstSCCAct,DIM_Tst,LastCalv,Stat,DateDue,Proj305MEM
19,19,6,,,,,,,3,100,62,10/9/2019,2,,
27,27,6,65.6,,4,,200,,2.2,57,39,11/1/2019,2,,
42,42,5,,,,,,,0.9,23,7,12/3/2019,2,,
43,43,5,58.1,49.3,4.3,5.4,246,528,0.1,13,92,9/9/2019,2,,15408
54,54,5,60,67.1,3.3,4,123,200,3.1,107,51,10/20/2019,2,,14063
79,79,4,67.5,58.7,4.6,2.7,303,81,3.2,115,51,10/20/2019,2,7-Sep,15183
80,80,4,61.9,55.6,2.3,3.5,62,141,3.8,174,39,11/1/2019,2,,13891
84,84,4,66.6,48.2,0.3,1.2,15,29,2.4,66,86,9/15/2019,2,24-Aug,17293
114,114,3,47.8,46.1,5.8,7.3,696,1970,,,125,8/7/2019,2,12-Aug,15174
128,128,3,44.1,36.7,1.7,2.5,41,71,0.6,19,78,9/23/2019,2,3-Aug,11466
133,133,3,58.1,39.8,3.2,5.1,115,429,4.6,303,34,11/6/2019,2,,13650
137,137,2,58.1,,1.2,,29,,2.4,66,6,12/4/2019,2,,
157,157,2,65.6,50.3,1.3,2.6,31,76,3.8,174,63,10/8/2019,2,,16554
160,160,2,68.5,52.4,1.2,2.9,29,93,2.6,76,49,10/22/2019,2,,16513
165,165,2,36.6,38.8,5.4,5.3,528,492,3.4,132,62,10/9/2019,2,,10306
169,169,2,64.7,,2.4,,66,,2.6,76,26,11/14/2019,2,,
172,172,2,48.8,77.6,0.1,0.1,13,13,0.1,13,79,9/22/2019,2,7-Sep,15856
174,174,2,42.2,29.3,1.7,2.3,41,62,0.4,17,120,8/12/2019,2,,13385
175,175,2,49.7,45.1,0.7,1.4,20,33,6.7,1300,67,10/4/2019,2,,14009
185,185,1,50.6,44,0.1,1.5,13,35,,,58,10/13/2019,6,,15000
187,187,1,31.9,,3.4,,132,,,,25,11/15/2019,6,,
188,188,1,38.4,36.7,0.8,1.7,22,41,,,120,8/12/2019,6,5-Sep,14124
190,190,1,39.4,37.7,0.9,3,23,100,,,109,8/23/2019,6,31-Aug,14901
192,192,1,39.4,37.7,2.8,3.3,87,123,,,131,8/1/2019,6,8-Jul,16043
193,193,1,48.8,46.1,0.3,1.4,15,33,,,65,10/6/2019,6,1-Sep,15501
194,194,1,40.3,45.1,0.5,0.3,18,15,,,119,8/13/2019,6,7-Aug,16330
