Index,BarnName,Lact#,Milk,PrvMilk,SCCS,PrvSCCS,SCCAct,PrvSCCAct,PrvLctLastSCCS,PrvLctLstSCCAct,DIM_Tst,LastCalv,Stat,DateDue,Proj305MEM
101,APPLEPI,3,49.2,40.1,6.6,6.1,1213,857,5.8,696,250,4/16/2019,2,3-Jun,14856
102,PEONIE,3,40,43.6,1.4,2.5,33,71,1.2,29,366,12/21/2018,2,18-Aug,14520
108,PENNY,3,24.4,27.2,0.1,0.1,13,13,0.3,15,240,4/26/2019,2,,9714
110,THUMPER,2,,24,,2.7,,81,0.4,17,515,7/16/2018,1,22-Jan,17355
114,TESS,3,51.2,49.1,0.4,0.5,17,18,2.4,66,182,6/23/2019,2,20-Aug,16076
115,P-G,3,40,39.2,1.2,1.3,29,31,0.6,19,185,6/20/2019,2,19-Sep,13178
119,CKORN,3,38.9,44.7,2,4.5,50,283,3.4,132,103,9/10/2019,2,,11802
120,BELLA,3,55.6,48,1.1,1.5,27,35,0.6,19,241,4/25/2019,2,8-Apr,17154
122,JUNIPER,3,31.1,40.3,3.8,3.6,174,152,4.4,264,211,5/25/2019,2,21-Apr,11945
123,SPOT,3,63.4,60,0.1,1.9,13,47,3.1,107,92,9/21/2019,2,17-Sep,16794
125,KIT,3,41.1,43.6,2.6,2.7,76,81,3,100,211,5/25/2019,2,12-Aug,14659
128,WHINNIE,2,53.4,60,0.9,0.4,23,17,1.1,27,83,9/30/2019,2,11-Sep,14571
130,PRINCES,2,10,27.2,4.3,3,246,100,1,25,463,9/15/2018,2,16-Mar,15654
131,PANTS,2,35.6,38.2,0.7,0.4,20,17,0.7,20,318,2/7/2019,2,24-Jun,14880
133,GOODY,3,39.4,29.4,0.8,5,22,400,5.1,429,246,4/20/2019,2,19-Jun,13855
134,PADDY,1,25.6,27.2,3.2,3.3,115,123,,,570,5/31/2018,6,18-Mar,14713
135,GINGER,3,38.9,39.7,3.7,2.9,162,93,3.8,174,274,3/23/2019,2,4-May,14294
138,SPICE,2,26.7,30.5,3.4,4,132,200,3.7,162,279,3/18/2019,2,18-Aug,12804
139,HTTOTTI,2,34.5,42.5,3.3,3.9,123,187,1.9,47,302,2/23/2019,2,15-May,15226
141,TRUFFLE,1,32.2,36,2,1.8,50,44,,,530,7/10/2018,6,29-Mar,16417
144,MSCHAR,2,40,40.3,1.7,2,41,50,2.4,66,224,5/12/2019,2,19-Jun,14553
145,CLOVER,2,,26.1,,2.2,,57,0.1,13,314,2/9/2019,1,13-Feb,14340
146,PISTOL,2,42.3,51.3,0.7,1.7,20,41,1.2,29,152,7/23/2019,2,9-Jul,15208
147,BULLET,2,51.2,52.3,0.2,0.1,14,13,2.3,62,152,7/23/2019,2,22-Aug,16948
149,BUTTER,2,42.3,45.8,0.4,1.8,17,44,1.1,27,93,9/20/2019,2,22-Sep,12419
150,HONEY,2,47.8,49.1,4.1,3,214,100,3.2,115,204,6/1/2019,2,29-May,16521
155,PEACOCK,1,32.2,40.8,3.2,3.6,115,152,,,285,3/12/2019,6,29-Mar,13269
158,HEART,1,44.3,43.6,2.5,1.1,71,27,,,290,3/7/2019,6,31-May,16470
159,ALOHA,1,40.5,36.6,0.1,0.4,13,17,,,280,3/17/2019,6,14-Jul,13905
163,JENNY,1,23.3,28.3,2.9,3.9,93,187,,,254,4/12/2019,6,31-Aug,13200
164,MAXIE,1,28.9,33.1,1.6,1.3,38,31,,,282,3/15/2019,6,4-Apr,14065
166,KIWI,1,33.4,37.1,0.9,1.5,23,35,,,290,3/7/2019,6,3-Apr,15282
168,RAINBOW,1,32.2,31.6,2.3,1.9,62,47,,,330,1/26/2019,6,12-Apr,14081
169,APJACK,1,35.6,34.9,0.7,1.3,20,31,,,311,2/14/2019,6,23-Feb,14329
170,STWBRY,1,33.4,36.6,3.3,3.1,123,107,,,320,2/5/2019,6,8-Mar,15475
171,GRAPE,1,21.1,22.9,2.5,2.8,71,87,,,328,1/28/2019,6,28-Feb,12698
173,SACLAUS,1,48.3,38.2,4.5,3.2,283,115,,,300,2/25/2019,6,,15703
