Index,BarnName,Lact#,Milk,PrvMilk,SCCS,PrvSCCS,SCCAct,PrvSCCAct,PrvLctLastSCCS,PrvLctLstSCCAct,DIM_Tst,LastCalv,Stat,DateDue,Proj305MEM
27,ANABELL,2,67.1,,3.5,,141,,0.4,17,13,12/25/2019,2,,
2,ANABETH,3,81.6,,3.7,,162,,2.2,57,25,12/13/2019,2,,
25,CHAMPNE,2,74.4,,0.1,,13,,0.9,23,11,12/27/2019,2,,
1,CHAPSTX,3,96.1,,3.7,,162,,,,29,12/9/2019,2,,
12,FAJITA,2,90.7,89.8,0.1,0.1,13,13,0.4,17,43,11/25/2019,2,,23029
363,FARRAH,3,88.9,,3,,100,,1.8,44,34,12/4/2019,2,,
31,FARRENT,1,65.3,64.2,1.5,1.5,35,35,,,150,8/10/2019,6,12-Sep,24948
28,FERARI,1,69.8,79.1,7,6.4,1600,1056,,,116,9/13/2019,6,11-Oct,24498
13,FITZI,2,67.1,68.4,1,2.8,25,87,3.8,174,133,8/27/2019,2,7-Aug,22835
1140,GERM,4,61.7,64.2,2.9,1.6,93,38,2.8,87,64,11/4/2019,2,,15192
9,GIF,2,65.3,62,0.1,0.4,13,17,0.6,19,115,9/14/2019,2,7-Sep,19747
379,GIFT,3,65.3,66.3,2.6,3.1,76,107,3.1,107,201,6/20/2019,2,28-Jul,23402
29,GLORYBE,1,49,53.5,0.1,1.4,13,33,,,161,7/30/2019,6,13-Aug,20055
362,GUANA,4,85.3,94.1,2.7,1.9,81,47,2.2,57,74,10/25/2019,2,,20476
36,KWIKMIX,1,65.3,,0.1,5.2,13,460,,,38,11/30/2019,6,,
35,KYRA,1,61.7,55.6,2.2,2.5,57,71,,,131,8/29/2019,6,1-Oct,24070
33,LALUNE,1,61.7,59.9,0.9,0.5,23,18,,,155,8/5/2019,6,8-Aug,24635
558,LAURA,1,58,66.3,0.1,0.1,13,13,,,61,11/7/2019,6,,20154
30,LIKELY,1,61.7,64.2,4.5,4.5,283,283,,,128,9/1/2019,6,17-Sep,22958
32,LOHA,1,61.7,66.3,0.9,0.5,23,18,,,72,10/27/2019,6,25-Sep,21582
382,MARNEY,3,79.8,81.3,5.2,5.5,460,566,4,200,161,7/30/2019,2,1-Oct,26538
34,MINERVA,1,67.1,64.2,0.9,3.3,23,123,,,169,7/22/2019,6,21-Sep,27787
42,OCTAVIA,1,61.7,59.9,1.5,1.1,35,27,,,57,11/11/2019,6,,21611
21,PADFOOT,1,72.6,47,0.1,0.1,13,13,,,164,7/27/2019,6,13-Sep,24867
313,SAIGE,5,80.7,,5.7,,650,,1.8,44,30,12/8/2019,2,,
19,SAM,2,67.1,62,2.1,0.1,54,13,3.2,115,120,9/9/2019,2,13-Sep,22183
338,SAPHIRE,5,85.3,89.8,1.5,3,35,100,3.9,187,50,11/18/2019,2,,19319
278,SCRAPIE,5,76.2,94.1,3,1.4,100,33,1.9,47,121,9/8/2019,2,31-Aug,23191
291,SHANIA,6,63.5,74.9,6,6.9,800,1493,2.3,62,186,7/5/2019,2,19-Jul,22901
