Index,BarnName,Lact#,LastCalv,LeftHerdDate,LftDatReas,TD01_DIM,TD01_date,TD01_SCC,TD002DIM,TD02_date,TD002SCC,TD003DIM,TD03_date,TD003SCC,TD004DIM,TD004SCC,TD005DIM,TD005SCC,TD006DIM,TD006SCC,TD007DIM,TD007SCC,TD008DIM,TD008SCC,TD009DIM,TD009SCC,TD010DIM,TD010SCC
1,CHAPSTX,3,12/9/2019,,,29,1/7/2020,3.7,58,2/5/2020,4.3,88,3/6/2020,2.6,148,7,182,0.1,213,2.3,239,1.6,,,,,,
2,ANABETH,3,12/13/2019,,,25,1/7/2020,3.7,54,2/5/2020,4,84,3/6/2020,6.3,144,5.5,178,5.7,209,4.1,235,4,,,,,,
3*,JUPITER,2,2/3/2019,12/10/2019,12/10/19 4,3,2/6/2019,,35,3/10/2019,0.8,61,4/5/2019,1.9,94,3.3,122,3.9,159,2.9,184,1.9,213,3.7,243,4.6,277,3.6
4*,LELO,3,3/15/2020,3/21/2020,03/21/20 5,,3/15/2020,,,3/15/2020,,,3/15/2020,,,,,,,,,,,,,,,
5,PEPERE,3,2/15/2020,,,20,3/6/2020,3.8,80,5/5/2020,2.3,114,6/8/2020,4.7,145,1.8,171,5,,,,,,,,,,
6,VIDA,2,8/4/2019,,,2,8/6/2019,,31,9/4/2019,0.7,61,10/4/2019,1.8,95,1.7,122,0.9,156,1.8,185,1.6,215,1.6,275,2.2,309,3
7*,LIKNESS,1,8/9/2018,1/28/2020,01/28/20 4,28,9/6/2018,3.1,55,10/3/2018,2.4,88,11/5/2018,3,118,4.8,149,2.7,181,2.3,213,2,239,2.1,272,2.6,300,3
8*,GUMMY,1,8/23/2018,1/28/2020,01/28/20 4,14,9/6/2018,1.2,41,10/3/2018,0.3,74,11/5/2018,0.7,104,0.5,135,1.4,167,1.3,199,0.4,225,0.3,258,0.2,286,0.5
9,GIF,2,9/14/2019,,,20,10/4/2019,0.1,54,11/7/2019,0.1,81,12/4/2019,0.4,115,0.1,144,0.1,174,1.3,234,0.1,268,0.1,299,0.1,325,0.2
10,LAUREN,1,10/15/2018,,,21,11/5/2018,1.3,51,12/5/2018,0.4,82,1/5/2019,0.3,114,0.1,146,0.1,172,0.1,205,6.1,233,2.1,270,0.6,295,0.9
11,KITTEN,2,1/26/2020,,,10,2/5/2020,6,40,3/6/2020,4.6,100,5/5/2020,5.7,134,4.8,165,4.7,191,5,,,,,,,,
12,FAJITA,2,11/25/2019,,,9,12/4/2019,0.1,43,1/7/2020,0.1,72,2/5/2020,0.1,102,0.1,162,0.1,196,0.1,227,0.1,253,0.1,,,,
13,FITZI,2,8/27/2019,,,8,9/4/2019,3,38,10/4/2019,1.4,72,11/7/2019,1.8,99,2.8,133,1,162,2.2,192,1.8,252,1.7,286,1.7,317,1.9
15*,SARAH,2,8/22/2019,10/15/2019,10/15/19 5,13,9/4/2019,5.9,43,10/4/2019,1.3,,8/22/2019,,,,,,,,,,,,,,,
16,SUE,1,8/10/2018,,,27,9/6/2018,1.5,54,10/3/2018,0.7,87,11/5/2018,1.1,117,1.7,148,2.5,180,1.2,212,1,238,1.1,271,1.7,299,2
17,KOALA,2,1/27/2020,,,9,2/5/2020,1.1,39,3/6/2020,2.1,99,5/5/2020,2.8,133,0.4,164,2.7,190,0.2,,,,,,,,
18,HELENA,2,3/9/2020,,,57,5/5/2020,4.6,91,6/8/2020,4.4,122,7/9/2020,3.8,148,3.9,,,,,,,,,,,,
19,SAM,2,9/9/2019,,,25,10/4/2019,0.9,59,11/7/2019,0.1,86,12/4/2019,0.1,120,2.1,149,2,179,0.4,239,0.1,273,0.7,304,0.4,,
20,SOCRATE,2,4/2/2020,,,33,5/5/2020,3.1,67,6/8/2020,2.2,98,7/9/2020,2.1,124,2.5,,,,,,,,,,,,
21,PADFOOT,1,7/27/2019,,,10,8/6/2019,1.6,39,9/4/2019,0.1,69,10/4/2019,,103,0.5,130,0.1,164,0.1,193,0.4,223,0.1,283,0.8,317,0.1
22,GRONKSK,2,7/2/2020,,,7,7/9/2020,3.6,33,8/4/2020,3.8,,7/2/2020,,,,,,,,,,,,,,,
25,CHAMPNE,2,12/27/2019,,,11,1/7/2020,0.1,40,2/5/2020,0.1,70,3/6/2020,0.1,130,0.1,164,0.1,195,0.1,221,0.1,,,,,,
27,ANABELL,2,12/25/2019,,,13,1/7/2020,3.5,42,2/5/2020,6,72,3/6/2020,4.2,132,4.6,166,3,197,2.9,223,5.7,,,,,,
28*,FERARI,1,9/13/2019,5/26/2020,05/26/20 7,21,10/4/2019,4.2,55,11/7/2019,5.7,82,12/4/2019,6.4,116,7,145,7.1,175,7.4,235,7.9,,,,,,
29,GLORYBE,1,7/30/2019,,,7,8/6/2019,1.1,36,9/4/2019,1.2,66,10/4/2019,1.6,100,2.1,127,1.4,161,0.1,190,0.1,220,0.2,280,0.1,,
30,LIKELY,1,9/1/2019,,,3,9/4/2019,,33,10/4/2019,4.9,67,11/7/2019,5,94,4.5,128,4.5,157,4.8,187,3.7,247,6.6,281,5.5,312,7
31,FARRENT,1,8/10/2019,,,25,9/4/2019,1.3,55,10/4/2019,1.4,89,11/7/2019,1.6,116,1.5,150,1.5,179,2.2,209,1.7,269,2.4,303,3.1,334,3.1
