complete_case,original_sort,three_df_sort,visit1_visit2,visit2_visit3,visit3_visit4,any_farm,cow_id,quarter,cowid_quarter,lactation,fresh_date,first_date,first_visit,first_farm,first_order,first_path_1,first_path1_imi,first_path_2,first_path2_imi,first_path_3,first_path3_imi,first_path_4,first_path4_imi,first_quarter_code,first_isolate_1,first_path_1_maldi_final_id,first_fix_1,first_isolate_2,first_path_2_maldi_final_id,first_fix_2,first_isolate_3,first_path_3_maldi_final_id,first_fix_3,first_isolate_4,first_path_4_maldi_final_id,first_fix_4,first_clinical,first_blind,first_teatinj,first_pstmilking,first_mixed_inf_series,first_dup_not_collected,first_imi_series,first_hygiene_scorer_1,first_hygiene_1,first_hygiene_scorer_2,first_hygiene_2,first_scc,first_contam,first_contam_comment,first_dup_a_cfu_count,first_dup_b_cfu_count,first_more_than_2_org_present,second_date,second_visit,second_farm,second_order,second_path_1,second_path1_imi,second_path_2,second_path2_imi,second_path_3,second_path3_imi,second_path_4,second_path4_imi,second_quarter_code,second_isolate_1,second_path_1_maldi_final_id,second_fix_1,second_isolate_2,second_path_2_maldi_final_id,second_fix_2,second_isolate_3,second_path_3_maldi_final_id,second_fix_3,second_isolate_4,second_path_4_maldi_final_id,second_fix_4,second_clinical,second_blind,second_teatinj,second_pstmilking,second_mixed_inf_series,second_dup_not_collected,second_imi_series,second_hygiene_scorer_1,second_hygiene_1,second_hygiene_scorer_2,second_hygiene_2,second_cc_1,second_cc_2,second_cc_3,second_scc,second_contam,second_contam_comment,second_dup_a_cfu_count,second_dup_b_cfu_count,second_more_than_2_org_present,AT.RISK_no_NAS_or_MAM_for_first_in_pair,AT.RISK_no_NAS_ONLY_for_first_in_pair,GETS_NAS_or_MAM_IMI_over_pair_of_obs,GETS_NAS_ONLY_IMI_over_pair_of_obs,noNAS.IMI_noNAS.IMI,noNAS.orMAM.IMI_noNAS.orMAM.IMI,noNAS.IMI_yesNAS.IMI,noNAS.orMAM.IMI_yesNAS.orMAM.IMI,yesNAS.IMI_yesNAS.IMI,yesNAS.orMAM.IMI_yesNAS.orMAM.IMI,yesNAS.IMI_noNAS.IMI,yesNAS.orMAM.IMI_noNAS.orMAM.IMI,disclude_bc_blind_quarter,disclude_bc_obs1_cant_determine_status,disclude_bc_obs2_cant_determine_status,disclude_bc_obs1_NA,disclude_bc_obs2_NA,gets_IMI_with_S_chromogenes,gets_IMI_with_S_haemolyticus,gets_IMI_with_S_simulans,gets_IMI_with_S_equorum,gets_IMI_with_S_agentis,gets_IMI_with_S_devriesei,gets_IMI_with_S_warneri,gets_IMI_with_S_xylosus,gets_IMI_with_M_sciuri,gets_IMI_with_S_auricularis,gets_IMI_with_S_capitis,gets_IMI_with_S_cohnii,gets_IMI_with_S_epidermidis,gets_IMI_with_M_fleurettii,gets_IMI_with_S_gallinarum,gets_IMI_with_S_hominis,gets_IMI_with_S_pseudintermedius,gets_IMI_with_S_saprophyticus,gets_IMI_with_S_succinus,gets_IMI_with_S_hyicus,changes_staph_sp,keeps__IMI_with_S_chromogenes,keeps__IMI_with_S_haemolyticus,keeps__IMI_with_S_simulans,keeps__IMI_with_S_equorum,keeps__IMI_with_S_agentis,keeps__IMI_with_S_devriesei,keeps__IMI_with_S_warneri,keeps__IMI_with_S_xylosus,keeps__IMI_with_M_sciuri,keeps__IMI_with_S_auricularis,keeps__IMI_with_S_capitis,keeps__IMI_with_S_cohnii,keeps__IMI_with_S_epidermidis,keeps__IMI_with_M_fleurettii,keeps__IMI_with_S_gallinarum,keeps__IMI_with_S_hominis,keeps__IMI_with_S_pseudintermedius,keeps__IMI_with_S_saprophyticus,keeps__IMI_with_S_succinus,keeps__IMI_with_S_hyicus,clears_IMI_from_S_chromogenes,clears_IMI_from_S_haemolyticus,clears_IMI_from_S_simulans,clears_IMI_from_S_equorum,clears_IMI_from_S_agentis,clears_IMI_from_S_devriesei,clears_IMI_from_S_warneri,clears_IMI_from_S_xylosus,clears_IMI_from_M_sciuri,clears_IMI_from_S_auricularis,clears_IMI_from_S_capitis,clears_IMI_from_S_cohnii,clears_IMI_from_S_epidermidis,clears_IMI_from_M_fleurettii,clears_IMI_from_S_gallinarum,clears_IMI_from_S_hominis,clears_IMI_from_S_pseudintermedius,clears_IMI_from_S_saprophyticus,clears_IMI_from_S_succinus,clears_IMI_from_S_hyicus,gets_IMI_with_enviro_2014,gets_IMI_with_opp_2014,gets_IMI_with_host_2014,keeps_IMI_with_enviro_2014,keeps_IMI_with_opp_2014,keeps_IMI_with_host_2014,clears_IMI_from_enviro_2014,clears_IMI_from_opp_2014,clears_IMI_from_host_2014,gets_IMI_with_enviro_2017,gets_IMI_with_relevant_2017,gets_IMI_with_host_2017,keeps_IMI_with_enviro_2017,keeps_IMI_with_relevant_2017,keeps_IMI_with_host_2017,clears_IMI_from_enviro_2017,clears_IMI_from_relevant_2017,clears_IMI_from_host_2017,quarter_position_dup,lactation_dup,fresh_date_dup,first_date_dup,second_date_dup,first_DIM,second_DIM,average_DIM_for_pair,second_days_elapsed,first_ind_hygiene_a,first_ind_hygiene_b,first_ind_hygiene_avg,second_ind_hygiene_a,second_ind_hygiene_b,second_ind_hygiene_avg,farm_hygiene_avg,facility_type,bedding_facility_combo,bedding_material,pred_breed,herd_size,herd_size_cat,rolling_herd_avg,sel_feed,air_quality_prod,age_fac,lying_surface,bp_fed_on_pack,bp_num_cows_on_pack,bp_pack_area,bp_cow_density,bp_stock_dens_perc,wood_dried,wood_storage,bedding_conditioner,freq_add_new_bedding_stall_wk,freq_stall_scraping_wk,depth_bedding_stalls,bp_freq_tilling_wk,bp_depth_tilled_in,bp_attentiveness,bp_bedding_depth,milking_sys,forestrip,towel_num,gloves,mast_det_recc,mast_record,culture_mast,culture_scc,culture_fresh,culture_dry,culture_loc,dry_prod,sel_supp
0,310,C310,0,0,1,BJ,733_BJ,LH,733_BJ_LH,2,8/26/2019,2.26.2020,third,BJ,21,kocuria,yes2,,,,,,,2,bj071,kocuria carniphila,yes_cns_to_kocuria,,,,,,,,,,,,,,no,,yes,m,1,c,1,10000,,,1,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LH,2,8/26/2019,2/26/2020,NA,184,NA,NA,NA,1,1,1,NA,NA,NA,2.5,TS,TS_SH,SH,Holstein,61,56_69,15500,y,good,49,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,14,35,3.81,NA,NA,NA,NA,tiestall,y,dep_two,no_some,y,never,never,never,never,never,never,y,occ_reg
0,311,C311,0,0,1,BJ,733_BJ,RF,733_BJ_RF,2,8/26/2019,2.26.2020,third,BJ,21,sa,other12,,,,,,,12,bj073,staphylococcus aureus,,,,,,,,,,,,,,,,,no,m,1,c,1,410000,,,6,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,2,8/26/2019,2/26/2020,NA,184,NA,NA,NA,1,1,1,NA,NA,NA,2.5,TS,TS_SH,SH,Holstein,61,56_69,15500,y,good,49,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,14,35,3.81,NA,NA,NA,NA,tiestall,y,dep_two,no_some,y,never,never,never,never,never,never,y,occ_reg
0,309,C309,0,0,1,BJ,733_BJ,LF,733_BJ_LF,2,8/26/2019,2.26.2020,third,BJ,21,cns,yes2,,,,,,,2,bj072,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,m,1,c,1,170000,,,50,20,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LF,2,8/26/2019,2/26/2020,NA,184,NA,NA,NA,1,1,1,NA,NA,NA,2.5,TS,TS_SH,SH,Holstein,61,56_69,15500,y,good,49,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,14,35,3.81,NA,NA,NA,NA,tiestall,y,dep_two,no_some,y,never,never,never,never,never,never,y,occ_reg
0,312,C312,0,0,1,BJ,733_BJ,RH,733_BJ_RH,2,8/26/2019,2.26.2020,third,BJ,21,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,m,1,c,1,17000,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RH,2,8/26/2019,2/26/2020,NA,184,NA,NA,NA,1,1,1,NA,NA,NA,2.5,TS,TS_SH,SH,Holstein,61,56_69,15500,y,good,49,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,14,35,3.81,NA,NA,NA,NA,tiestall,y,dep_two,no_some,y,never,never,never,never,never,never,y,occ_reg
0,253,C253,0,0,1,BJ,685_BJ,LF,685_BJ_LF,5,7/18/2019,2.26.2020,third,BJ,34,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,m,1,c,1,33000,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LF,5,7/18/2019,2/26/2020,NA,223,NA,NA,NA,1,1,1,NA,NA,NA,2.5,TS,TS_SH,SH,Holstein,61,56_69,15500,y,good,49,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,14,35,3.81,NA,NA,NA,NA,tiestall,y,dep_two,no_some,y,never,never,never,never,never,never,y,occ_reg
0,254,C254,0,0,1,BJ,685_BJ,LH,685_BJ_LH,5,7/18/2019,2.26.2020,third,BJ,34,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,m,1,c,1,42000,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LH,5,7/18/2019,2/26/2020,NA,223,NA,NA,NA,1,1,1,NA,NA,NA,2.5,TS,TS_SH,SH,Holstein,61,56_69,15500,y,good,49,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,14,35,3.81,NA,NA,NA,NA,tiestall,y,dep_two,no_some,y,never,never,never,never,never,never,y,occ_reg
0,255,C255,0,0,1,BJ,685_BJ,RF,685_BJ_RF,5,7/18/2019,2.26.2020,third,BJ,34,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,m,1,c,1,22000,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,5,7/18/2019,2/26/2020,NA,223,NA,NA,NA,1,1,1,NA,NA,NA,2.5,TS,TS_SH,SH,Holstein,61,56_69,15500,y,good,49,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,14,35,3.81,NA,NA,NA,NA,tiestall,y,dep_two,no_some,y,never,never,never,never,never,never,y,occ_reg
0,256,C256,0,0,1,BJ,685_BJ,RH,685_BJ_RH,5,7/18/2019,2.26.2020,third,BJ,34,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,m,1,c,1,24000,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RH,5,7/18/2019,2/26/2020,NA,223,NA,NA,NA,1,1,1,NA,NA,NA,2.5,TS,TS_SH,SH,Holstein,61,56_69,15500,y,good,49,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,14,35,3.81,NA,NA,NA,NA,tiestall,y,dep_two,no_some,y,never,never,never,never,never,never,y,occ_reg
0,361,C361,0,0,1,BJ,757_BJ,LF,757_BJ_LF,1,7/14/2019,2.26.2020,third,BJ,2,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,m,1,c,1,5000,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LF,1,7/14/2019,2/26/2020,NA,227,NA,NA,NA,1,1,1,NA,NA,NA,2.5,TS,TS_SH,SH,Holstein,61,56_69,15500,y,good,49,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,14,35,3.81,NA,NA,NA,NA,tiestall,y,dep_two,no_some,y,never,never,never,never,never,never,y,occ_reg
0,362,C362,0,0,1,BJ,757_BJ,LH,757_BJ_LH,1,7/14/2019,2.26.2020,third,BJ,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,m,1,c,1,11000,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LH,1,7/14/2019,2/26/2020,NA,227,NA,NA,NA,1,1,1,NA,NA,NA,2.5,TS,TS_SH,SH,Holstein,61,56_69,15500,y,good,49,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,14,35,3.81,NA,NA,NA,NA,tiestall,y,dep_two,no_some,y,never,never,never,never,never,never,y,occ_reg
