,,cow_id,quarter,1_date,1_visit,1_farm,1_order,1_path_1,1_path1_imi,1_path_2,1_path2_imi,1_path_3,1_path3_imi,1_path_4,1_path4_imi,1_quarter_code,1_isolate_1,1_path_1_maldi_final_id,1_fix_1,1_isolate_2,1_path_2_maldi_final_id,1_fix_2,1_isolate_3,1_path_3_maldi_final_id,1_fix_3,1_isolate_4,1_path_4_maldi_final_id,1_fix_4,1_clinical,1_blind,1_teatinj,1_pstmilking,1_mixed_inf_series,1_dup_not_collected,1_imi_series,1_hygiene_scorer_1,1_hygiene_1,1_hygiene_scorer_2,1_hygiene_2,1_cc_1,1_cc_2,1_cc_3,1_scc,1_contam,1_contam_comment,1_dup_a_cfu_count,1_dup_b_cfu_count,1_more_than_2_org_present,2_date,2_visit,2_farm,2_order,2_path_1,2_path1_imi,2_path_2,2_path2_imi,2_path_3,2_path3_imi,2_path_4,2_path4_imi,2_quarter_code,2_isolate_1,2_path_1_maldi_final_id,2_fix_1,2_isolate_2,2_path_2_maldi_final_id,2_fix_2,2_isolate_3,2_path_3_maldi_final_id,2_fix_3,2_isolate_4,2_path_4_maldi_final_id,2_fix_4,2_clinical,2_blind,2_teatinj,2_pstmilking,2_mixed_inf_series,2_dup_not_collected,2_imi_series,2_hygiene_scorer_1,2_hygiene_1,2_hygiene_scorer_2,2_hygiene_2,2_cc_1,2_cc_2,2_cc_3,2_scc,2_contam,2_contam_comment,2_dup_a_cfu_count,2_dup_b_cfu_count,2_more_than_2_org_present
1,A1,1016.96_Choiniere,LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21.2020,second,Choiniere,11,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,7000,,,,,
2,A2,1016.96_Choiniere,LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21.2020,second,Choiniere,11,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,15000,,,,,
3,A3,1016.96_Choiniere,RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21.2020,second,Choiniere,11,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,4000,,,,,
4,A4,1016.96_Choiniere,RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21.2020,second,Choiniere,11,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,6000,,,,,
5,A5,11_Choiniere,LF,12.11.2019,first,Choiniere,10,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,2,c,3,NA,NA,NA,29000,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,A6,11_Choiniere,LH,12.11.2019,first,Choiniere,10,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,3,NA,NA,NA,37000,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,A7,11_Choiniere,RF,12.11.2019,first,Choiniere,10,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,2,c,3,NA,NA,NA,34000,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,A8,11_Choiniere,RH,12.11.2019,first,Choiniere,10,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,3,NA,NA,NA,27000,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,A9,114_Glennview,LF,1.14.2020,first,Glennview,24,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,1,c,2,NA,NA,NA,9000,,,,,,2.19.2020,second,Glennview,5,corynebac,yes1,,,,,,,1,gv053,corynebacterium casei,,,,,,,,,,,,,,,no,,yes,m,3,c,2,NA,NA,NA,40000,,,1,1,
10,A10,114_Glennview,LH,1.14.2020,first,Glennview,24,pseudomonas,yes27,strep,yes27,,,,,27,gv034,pseudomonas aeruginosa,yes_from_?_to_pseudomonas,gv035,streptococcus dysgalactiae,,,,,,,,,,,,yes,,yes,j,1,c,2,NA,NA,NA,3300000,,,,,yes,2.19.2020,second,Glennview,5,,,,,,,,,16,,,,,,,,,,,,,,yes,,,,,,m,3,c,2,NA,NA,NA,NA,,,,,
11,A11,114_Glennview,RF,1.14.2020,first,Glennview,24,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,j,1,c,2,NA,NA,NA,8000,,,,,,2.19.2020,second,Glennview,5,sa,yes1,,,,,,,1,gv055,staphylococcus aureus,,,,,,,,,,,,,,,no,,yes,m,3,c,2,NA,NA,NA,36000,,,1,1,
12,A12,114_Glennview,RH,1.14.2020,first,Glennview,24,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,1,c,2,NA,NA,NA,36000,,,,,,2.19.2020,second,Glennview,5,corynebac,yes2,,,,,,,2,gv054,corynebacterium casei,,,,,,,,,,,,,,,no,,yes,m,3,c,2,NA,NA,NA,61000,,,2,1,
13,A13,12_Choiniere,LF,12.11.2019,first,Choiniere,13,cns,yes2,,,,,,,2,cf026,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,2,c,3,NA,NA,NA,320000,,,18,14,,1.21.2020,second,Choiniere,14,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,9700000,,,,,
14,A14,12_Choiniere,LH,12.11.2019,first,Choiniere,13,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,2,c,3,NA,NA,NA,12000,,,,,,1.21.2020,second,Choiniere,14,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,18000,,,,,
15,A15,12_Choiniere,RF,12.11.2019,first,Choiniere,13,corynebac,yes2,,,,,,,2,cf027,corynebacterium casei,,,,,,,,,,,,,,,no,,yes,j,2,c,3,NA,NA,NA,16000,,,11,24,,1.21.2020,second,Choiniere,14,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,32000,,,,,
16,A16,12_Choiniere,RH,12.11.2019,first,Choiniere,13,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,2,c,3,NA,NA,NA,15000,,,,,,1.21.2020,second,Choiniere,14,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,210000,,,,,
17,A17,128_Glennview,LF,1.14.2020,first,Glennview,15,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,j,3,c,3,NA,NA,NA,22000,,,,,,2.19.2020,second,Glennview,28,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,m,2,c,2,NA,NA,NA,21000,,,,,
18,A18,128_Glennview,LH,1.14.2020,first,Glennview,15,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,j,3,c,3,NA,NA,NA,13000,,,,,,2.19.2020,second,Glennview,28,corynebac,yes2,,,,,,,2,gv087,corynebacterium casei,,,,,,,,,,,,,,,no,,yes,m,2,c,2,NA,NA,NA,19000,,,1,1,
19,A19,128_Glennview,RF,1.14.2020,first,Glennview,15,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,3,c,3,NA,NA,NA,20000,,,,,,2.19.2020,second,Glennview,28,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,m,2,c,2,NA,NA,NA,17000,,,,,
20,A20,128_Glennview,RH,1.14.2020,first,Glennview,15,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,j,3,c,3,NA,NA,NA,16000,,,,,,2.19.2020,second,Glennview,28,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,m,2,c,2,NA,NA,NA,14000,,,,,
21,A21,133_Glennview,LF,1.14.2020,first,Glennview,3,?,yes21,,,,,,,21,gv004,isolate_died,,,,,,,,,,,,,,,tbd,,yes,j,4,c,3,NA,NA,NA,51000,,,,,yes,2.19.2020,second,Glennview,8,strep,yes2,,,,,,,2,gv060,streptococcus species,yes_from_coryne_to_strep,,,,,,,,,,,,,,no,,yes,m,4,c,3,NA,NA,NA,33000,,,50,20,
22,A22,133_Glennview,LH,1.14.2020,first,Glennview,3,cns,yes2,,,,,,,2,gv003,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,4,c,3,NA,NA,NA,65000,,,36,36,,2.19.2020,second,Glennview,8,cns,yes2,,,,,,,2,gv059,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,m,4,c,3,NA,NA,NA,46000,,,16,21,
23,A23,133_Glennview,RF,1.14.2020,first,Glennview,3,strep,yes2,,,,,,,2,gv005,streptococcus dysgalactiae,,,,,,,,,,,,,,,no,,yes,j,4,c,3,NA,NA,NA,3700000,,,tntc,tntc,,2.19.2020,second,Glennview,8,strep,yes2,,,,,,,2,gv061,streptococcus dysgalactiae,yes_from_?_to_strep,,,,,,,,,,yes,,,,no,,yes,m,4,c,3,NA,NA,NA,2600000,,,tntc,tntc,
24,A24,133_Glennview,RH,1.14.2020,first,Glennview,3,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,4,c,3,NA,NA,NA,2000,,,,,,2.19.2020,second,Glennview,8,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,m,4,c,3,NA,NA,NA,4000,,,,,
25,A25,137_Glennview,LF,1.14.2020,first,Glennview,26,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,3,c,2,NA,NA,NA,6000,,,,,,2.19.2020,second,Glennview,17,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,m,2,c,2,NA,NA,NA,3000,,,,,
26,A26,137_Glennview,LH,1.14.2020,first,Glennview,26,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,3,c,2,NA,NA,NA,6000,,,,,,2.19.2020,second,Glennview,17,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,m,2,c,2,NA,NA,NA,4000,,,,,
27,A27,137_Glennview,RF,1.14.2020,first,Glennview,26,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,3,c,2,NA,NA,NA,4000,,,,,,2.19.2020,second,Glennview,17,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,m,2,c,2,NA,NA,NA,2000,,,,,
28,A28,137_Glennview,RH,1.14.2020,first,Glennview,26,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,3,c,2,NA,NA,NA,2000,,,,,,2.19.2020,second,Glennview,17,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,m,2,c,2,NA,NA,NA,4000,,,,,
29,A29,139_Glennview,LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19.2020,second,Glennview,22,strep,other12,,,,,,,12,gv078,aerococcus species,no_sslo,,,,,,,,,,,,,,,,no,m,3,c,3,NA,NA,NA,3000,,,1,cont,
