,cow_id,quarter,first_date,first_visit,first_farm,first_order,first_path_1,first_path1_imi,first_path_2,first_path2_imi,first_path_3,first_path3_imi,first_path_4,first_path4_imi,first_quarter_code,first_isolate_1,first_path_1_maldi_final_id,first_fix_1,first_isolate_2,first_path_2_maldi_final_id,first_fix_2,first_isolate_3,first_path_3_maldi_final_id,first_fix_3,first_isolate_4,first_path_4_maldi_final_id,first_fix_4,first_clinical,first_blind,first_teatinj,first_pstmilking,first_mixed_inf_series,first_dup_not_collected,first_imi_series,first_hygiene_scorer_1,first_hygiene_1,first_hygiene_scorer_2,first_hygiene_2,first_cc_1,first_cc_2,first_cc_3,first_scc,first_contam,first_contam_comment,first_dup_a_cfu_count,first_dup_b_cfu_count,first_more_than_2_org_present,first_uniqueID,second_date,second_visit,second_farm,second_order,second_path_1,second_path1_imi,second_path_2,second_path2_imi,second_path_3,second_path3_imi,second_path_4,second_path4_imi,second_quarter_code,second_isolate_1,second_path_1_maldi_final_id,second_fix_1,second_isolate_2,second_path_2_maldi_final_id,second_fix_2,second_isolate_3,second_path_3_maldi_final_id,second_fix_3,second_isolate_4,second_path_4_maldi_final_id,second_fix_4,second_clinical,second_blind,second_teatinj,second_pstmilking,second_mixed_inf_series,second_dup_not_collected,second_imi_series,second_hygiene_scorer_1,second_hygiene_1,second_hygiene_scorer_2,second_hygiene_2,second_cc_1,second_cc_2,second_cc_3,second_scc,second_contam,second_contam_comment,second_dup_a_cfu_count,second_dup_b_cfu_count,second_more_than_2_org_present,second_uniqueID,third_date,third_visit,third_farm,third_order,third_path_1,third_path1_imi,third_path_2,third_path2_imi,third_path_3,third_path3_imi,third_path_4,third_path4_imi,third_quarter_code,third_isolate_1,third_path_1_maldi_final_id,third_fix_1,third_isolate_2,third_path_2_maldi_final_id,third_fix_2,third_isolate_3,third_path_3_maldi_final_id,third_fix_3,third_isolate_4,third_path_4_maldi_final_id,third_fix_4,third_clinical,third_blind,third_teatinj,third_pstmilking,third_mixed_inf_series,third_dup_not_collected,third_imi_series,third_hygiene_scorer_1,third_hygiene_1,third_hygiene_scorer_2,third_hygiene_2,third_cc_1,third_cc_2,third_cc_3,third_scc,third_contam,third_contam_comment,third_dup_a_cfu_count,third_dup_b_cfu_count,third_more_than_2_org_present,third_uniqueID,fourth_date,fourth_visit,fourth_farm,fourth_order,fourth_path_1,fourth_path1_imi,fourth_path_2,fourth_path2_imi,fourth_path_3,fourth_path3_imi,fourth_path_4,fourth_path4_imi,fourth_quarter_code,fourth_isolate_1,fourth_path_1_maldi_final_id,fourth_fix_1,fourth_isolate_2,fourth_path_2_maldi_final_id,fourth_fix_2,fourth_isolate_3,fourth_path_3_maldi_final_id,fourth_fix_3,fourth_isolate_4,fourth_path_4_maldi_final_id,fourth_fix_4,fourth_clinical,fourth_blind,fourth_teatinj,fourth_pstmilking,fourth_mixed_inf_series,fourth_dup_not_collected,fourth_imi_series,fourth_hygiene_scorer_1,fourth_hygiene_1,fourth_hygiene_scorer_2,fourth_hygiene_2,fourth_cc_1,fourth_cc_2,fourth_cc_3,fourth_scc,fourth_contam,fourth_contam_comment,fourth_dup_a_cfu_count,fourth_dup_b_cfu_count,fourth_more_than_2_org_present,fourth_uniqueID
1,1016.96_Choiniere,LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21.2020,second,Choiniere,11,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,7000,,,,,,1016.96_Choiniere_LF,2.17.2020,third,Choiniere,10,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,NA,NA,NA,NA,NA,NA,6000,,,,,,1016.96_Choiniere_LF,3.16.2020,fourth,Choiniere,22,cns,other22,,,,,,,22,cf228,staphylococcus chromogenes,,,,,,,,,,,,,,,,,no,j,2,c,2,NA,NA,NA,4000,,,11,30,,1016.96_Choiniere_LF_fourth
2,1016.96_Choiniere,LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21.2020,second,Choiniere,11,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,15000,,,,,,1016.96_Choiniere_LH,2.17.2020,third,Choiniere,10,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,NA,NA,NA,NA,NA,NA,3000,,,,,,1016.96_Choiniere_LH,3.16.2020,fourth,Choiniere,22,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,14000,,,,,,1016.96_Choiniere_LH_fourth
3,1016.96_Choiniere,RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21.2020,second,Choiniere,11,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,4000,,,,,,1016.96_Choiniere_RF,2.17.2020,third,Choiniere,10,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,NA,NA,NA,NA,NA,NA,5000,,,,,,1016.96_Choiniere_RF,3.16.2020,fourth,Choiniere,22,corynebac,other22,,,,,,,22,cf229,corynebacterium glutamicum,,,,,,,,,,,,,,,,,no,j,2,c,2,NA,NA,NA,8000,,,3,1,,1016.96_Choiniere_RF_fourth
4,1016.96_Choiniere,RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21.2020,second,Choiniere,11,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,6000,,,,,,1016.96_Choiniere_RH,2.17.2020,third,Choiniere,10,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,NA,NA,NA,NA,NA,NA,6000,,,,,,1016.96_Choiniere_RH,3.16.2020,fourth,Choiniere,22,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,4000,,,,,,1016.96_Choiniere_RH_fourth
5,11_Choiniere,LF,12.11.2019,first,Choiniere,10,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,2,c,3,NA,NA,NA,29000,,,,,,11_Choiniere_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11_Choiniere_LF_fourth
6,11_Choiniere,LH,12.11.2019,first,Choiniere,10,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,3,NA,NA,NA,37000,,,,,,11_Choiniere_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11_Choiniere_LH_fourth
7,11_Choiniere,RF,12.11.2019,first,Choiniere,10,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,2,c,3,NA,NA,NA,34000,,,,,,11_Choiniere_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11_Choiniere_RF_fourth
8,11_Choiniere,RH,12.11.2019,first,Choiniere,10,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,3,NA,NA,NA,27000,,,,,,11_Choiniere_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11_Choiniere_RH_fourth
9,114_Glennview,LF,1.14.2020,first,Glennview,24,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,1,c,2,NA,NA,NA,9000,,,,,,114_Glennview_LF,2.19.2020,second,Glennview,5,corynebac,yes1,,,,,,,1,gv053,corynebacterium casei,,,,,,,,,,,,,,,no,,yes,m,3,c,2,NA,NA,NA,40000,,,1,1,,114_Glennview_LF,3.19.2020,third,Glennview,33,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,22000,,,,,,114_Glennview_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114_Glennview_LF_fourth
10,114_Glennview,LH,1.14.2020,first,Glennview,24,pseudomonas,yes27,strep,yes27,,,,,27,gv034,pseudomonas aeruginosa,yes_from_?_to_pseudomonas,gv035,streptococcus dysgalactiae,,,,,,,,,,,,yes,,yes,j,1,c,2,NA,NA,NA,3300000,,,,,yes,114_Glennview_LH,2.19.2020,second,Glennview,5,,,,,,,,,16,,,,,,,,,,,,,,yes,,,,,,m,3,c,2,NA,NA,NA,NA,,,,,,114_Glennview_LH,3.19.2020,third,Glennview,33,,,,,,,,,16,,,,,,,,,,,,,,yes,,,,,,j,2,c,2,NA,NA,NA,NA,,,,,,114_Glennview_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114_Glennview_LH_fourth
