cow_id,quarter,first_date,first_visit,first_farm,first_order,first_path_1,first_path1_IMI,first_path_2,first_path2_IMI,first_path_3,first_path3_IMI,first_path_4,first_path4_IMI,first_quarter_code,first_isolate_1,first_isolate_2,first_isolate_3,first_isolate_4,first_clinical,first_blind,first_teatinj,first_pstmilking,first_mixed_inf_series,first_dup_not_collected,first_IMI_series,first_hygiene_1,first_hygiene_2,first_cc_1,first_cc_2,first_cc_3,first_scc,first_contam,first_contam_comment,first_uniqueID,second_date,second_visit,second_farm,second_order,second_path_1,second_path1_IMI,second_path_2,second_path2_IMI,second_path_3,second_path3_IMI,second_path_4,second_path4_IMI,second_quarter_code,second_isolate_1,second_isolate_2,second_isolate_3,second_isolate_4,second_clinical,second_blind,second_teatinj,second_pstmilking,second_mixed_inf_series,second_dup_not_collected,second_IMI_series,second_hygiene_1,second_hygiene_2,second_cc_1,second_cc_2,second_cc_3,second_scc,second_contam,second_contam_comment,second_uniqueID,third_date,third_visit,third_farm,third_order,third_path_1,third_path1_IMI,third_path_2,third_path2_IMI,third_path_3,third_path3_IMI,third_path_4,third_path4_IMI,third_quarter_code,third_isolate_1,third_isolate_2,third_isolate_3,third_isolate_4,third_clinical,third_blind,third_teatinj,third_pstmilking,third_mixed_inf_series,third_dup_not_collected,third_IMI_series,third_hygiene_1,third_hygiene_2,third_cc_1,third_cc_2,third_cc_3,third_scc,third_contam,third_contam_comment,third_uniqueID,fourth_date,fourth_visit,fourth_farm,fourth_order,fourth_path_1,fourth_path1_IMI,fourth_path_2,fourth_path2_IMI,fourth_path_3,fourth_path3_IMI,fourth_path_4,fourth_path4_IMI,fourth_quarter_code,fourth_isolate_1,fourth_isolate_2,fourth_isolate_3,fourth_isolate_4,fourth_clinical,fourth_blind,fourth_teatinj,fourth_pstmilking,fourth_mixed_inf_series,fourth_dup_not_collected,fourth_IMI_series,fourth_hygiene_1,fourth_hygiene_2,fourth_cc_1,fourth_cc_2,fourth_cc_3,fourth_scc,fourth_contam,fourth_contam_comment,fourth_uniqueID,first_scc_200k,second_scc_200k,third_scc_200k,fourth_scc_200k
patchouli_vonTrapp,RF,1.6.2020,first,vonTrapp,28,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,4000,,,patchouli_vonTrapp_RF,2.12.2020,second,vonTrapp,27,?,yes2,,,,,,,2,VT057,,,,,,,,no,,yes,NA,NA,NA,NA,NA,72000,,,patchouli_vonTrapp_RF,3.10.2020,third,vonTrapp,23,cns,yes2,,,,,,,2,VT101,,,,,,,,no,,yes,NA,NA,NA,NA,NA,24000,,,patchouli_vonTrapp_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,patchouli_vonTrapp_RF_fourth,no,no,no,NA
693_BJ,LH,12.17.2019,first,BJ,12,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,6000,,,693_BJ_LH,1.29.2020,second,BJ,13,cns,yes2,,,,,,,2,BJ042,,,,,,,,no,,yes,NA,NA,NA,NA,NA,8000,,,693_BJ_LH,2.26.2020,third,BJ,15,cns,yes1,,,,,,,1,BJ065,,,,,,,,no,,yes,NA,NA,NA,NA,NA,13000,,,693_BJ_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,693_BJ_LH_fourth,no,no,no,NA
denise_Swallowdale,LF,12.13.2019,first,Swallowdale,6,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,23000,,,denise_Swallowdale_LF,1.22.2020,second,Swallowdale,21,cns,yes2,,,,,,,2,SW077,,,,,,,,no,,yes,NA,NA,NA,NA,NA,250000,,,denise_Swallowdale_LF,2.28.2020,third,Swallowdale,22,cns,yes2,,,,,,,2,SW119,,,,,,,,no,,yes,NA,NA,NA,NA,NA,150000,,,denise_Swallowdale_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,denise_Swallowdale_LF_fourth,no,yes,no,NA
denise_Swallowdale,RH,12.13.2019,first,Swallowdale,6,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,22000,,,denise_Swallowdale_RH,1.22.2020,second,Swallowdale,21,cns,yes2,,,,,,,2,SW078,,,,,,,,no,,yes,NA,NA,NA,NA,NA,130000,,,denise_Swallowdale_RH,2.28.2020,third,Swallowdale,22,cns,yes2,,,,,,,2,SW120,,,,,,,,no,,yes,NA,NA,NA,NA,NA,87000,,,denise_Swallowdale_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,denise_Swallowdale_RH_fourth,no,no,no,NA
marney382_Paddlebridge,LH,1.17.2020,first,Paddlebridge,31,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,9000,,,marney382_Paddlebridge_LH,2.21.2020,second,Paddlebridge,22,cns,yes2,,,,,,,2,PB041,,,,,,,,no,,yes,NA,NA,NA,NA,NA,26000,,,marney382_Paddlebridge_LH,3.20.2020,third,Paddlebridge,25,cns,yes27,strep,yes27,,,,,27,PB084,PB085,,,,,,,yes,,yes,NA,NA,NA,NA,NA,37000,,,marney382_Paddlebridge_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,marney382_Paddlebridge_LH_fourth,no,no,no,NA
74_Choiniere,RH,12.11.2019,first,Choiniere,24,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,21000,,,74_Choiniere_RH,1.21.2020,second,Choiniere,30,corynebac,yes2,,,,,,,2,CF126,,,,,,,,no,,yes,NA,NA,NA,NA,NA,77000,,,74_Choiniere_RH,2.17.2020,third,Choiniere,15,corynebac,yes2,,,,,,,2,CF155,,,,,,,,,,yes,NA,NA,NA,NA,NA,43000,,,74_Choiniere_RH,3.16.2020,fourth,Choiniere,17,corynebac,other12,,,,,,,12,CF217,,,,,,,,no,,no,NA,NA,NA,NA,NA,37000,,,74_Choiniere_RH_fourth,no,no,no,no
jazz_Swallowdale,LH,12.13.2019,first,Swallowdale,16,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,6000,,,jazz_Swallowdale_LH,1.22.2020,second,Swallowdale,27,corynebac,yes2,,,,,,,2,SW079,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1200000,,,jazz_Swallowdale_LH,2.28.2020,third,Swallowdale,16,corynebac,yes2,,,,,,,2,SW107,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2200000,,,jazz_Swallowdale_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,jazz_Swallowdale_LH_fourth,no,yes,yes,NA
720_BJ,RF,12.17.2019,first,BJ,10,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,209000,,,720_BJ_RF,1.29.2020,second,BJ,7,sa,yes1,,,,,,,1,BJ034,,,,,,,,no,,yes,NA,NA,NA,NA,NA,62000,,,720_BJ_RF,2.26.2020,third,BJ,12,sa,yes2,,,,,,,2,BJ062,,,,,,,,no,,yes,NA,NA,NA,NA,NA,4100000,,,720_BJ_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720_BJ_RF_fourth,yes,no,yes,NA
9_Choiniere,RH,12.11.2019,first,Choiniere,16,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,1407000,,,9_Choiniere_RH,1.21.2020,second,Choiniere,3,sa,yes2,,,,,,,2,CF084,,,,,,,,no,,yes,NA,NA,NA,NA,NA,840000,,,9_Choiniere_RH,2.17.2020,third,Choiniere,9,sa,yes2,,,,,,,2,CF147,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1200000,,,9_Choiniere_RH,3.16.2020,fourth,Choiniere,29,sa,yes2,,,,,,,2,CF230,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1300000,,,9_Choiniere_RH_fourth,yes,yes,yes,yes
93_Choiniere,LF,12.11.2019,first,Choiniere,32,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,587000,,,93_Choiniere_LF,1.21.2020,second,Choiniere,23,sa,yes2,,,,,,,2,CF114,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2500000,,,93_Choiniere_LF,2.17.2020,third,Choiniere,18,sa,yes2,,,,,,,2,CF158,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1800000,,,93_Choiniere_LF,3.16.2020,fourth,Choiniere,14,sa,yes2,,,,,,,2,CF209,,,,,,,,no,,yes,NA,NA,NA,NA,NA,280000,,,93_Choiniere_LF_fourth,yes,yes,yes,yes
