cow_id_quarter,first_date,first_visit,first_farm,first_order,first_path_1,first_path1_IMI,first_path_2,first_path2_IMI,first_path_3,first_path3_IMI,first_path_4,first_path4_IMI,first_quarter_code,first_isolate_1,first_isolate_2,first_isolate_3,first_isolate_4,first_clinical,first_blind,first_teatinj,first_pstmilking,first_mixed_inf_series,first_dup_not_collected,first_IMI_series,first_hygiene_1,first_hygiene_2,first_cc_1,first_cc_2,first_cc_3,first_scc,first_contam,first_contam_comment,first_uniqueID,second_date,second_visit,second_farm,second_order,second_path_1,second_path1_IMI,second_path_2,second_path2_IMI,second_path_3,second_path3_IMI,second_path_4,second_path4_IMI,second_quarter_code,second_isolate_1,second_isolate_2,second_isolate_3,second_isolate_4,second_clinical,second_blind,second_teatinj,second_pstmilking,second_mixed_inf_series,second_dup_not_collected,second_IMI_series,second_hygiene_1,second_hygiene_2,second_cc_1,second_cc_2,second_cc_3,second_scc,second_contam,second_contam_comment,second_uniqueID,third_date,third_visit,third_farm,third_order,third_path_1,third_path1_IMI,third_path_2,third_path2_IMI,third_path_3,third_path3_IMI,third_path_4,third_path4_IMI,third_quarter_code,third_isolate_1,third_isolate_2,third_isolate_3,third_isolate_4,third_clinical,third_blind,third_teatinj,third_pstmilking,third_mixed_inf_series,third_dup_not_collected,third_IMI_series,third_hygiene_1,third_hygiene_2,third_cc_1,third_cc_2,third_cc_3,third_scc,third_contam,third_contam_comment,third_uniqueID,fourth_date,fourth_visit,fourth_farm,fourth_order,fourth_path_1,fourth_path1_IMI,fourth_path_2,fourth_path2_IMI,fourth_path_3,fourth_path3_IMI,fourth_path_4,fourth_path4_IMI,fourth_quarter_code,fourth_isolate_1,fourth_isolate_2,fourth_isolate_3,fourth_isolate_4,fourth_clinical,fourth_blind,fourth_teatinj,fourth_pstmilking,fourth_mixed_inf_series,fourth_dup_not_collected,fourth_IMI_series,fourth_hygiene_1,fourth_hygiene_2,fourth_cc_1,fourth_cc_2,fourth_cc_3,fourth_scc,fourth_contam,fourth_contam_comment,fourth_uniqueID,first_scc_200k,second_scc_200k,third_scc_200k,fourth_scc_200k
757_BJ_RF,12.17.2019,first,BJ,1,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,2000,,,757_BJ_RF,1.29.2020,second,BJ,1,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,2000,,,757_BJ_RF,2.26.2020,third,BJ,2,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,6000,,,757_BJ_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,757_BJ_RF_fourth,no,no,no,NA
585_BJ_RH,12.17.2019,first,BJ,2,,,,,,,,,6,,,,,,,,,,,,NA,NA,NA,NA,NA,13000,,,585_BJ_RH,1.29.2020,second,BJ,3,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,14000,,,585_BJ_RH,2.26.2020,third,BJ,6,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,23000,,,585_BJ_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,585_BJ_RH_fourth,no,no,no,NA
cb5_BJ_RF,12.17.2019,first,BJ,5,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,6000,,,cb5_BJ_RF,1.29.2020,second,BJ,6,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,46000,,,cb5_BJ_RF,2.26.2020,third,BJ,5,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,7000,,,cb5_BJ_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cb5_BJ_RF_fourth,no,no,no,NA
744_BJ_LF,12.17.2019,first,BJ,23,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,9000,,,744_BJ_LF,1.29.2020,second,BJ,21,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,24000,,,744_BJ_LF,2.26.2020,third,BJ,24,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,12000,,,744_BJ_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,744_BJ_LF_fourth,no,no,no,NA
685_BJ_LF,12.17.2019,first,BJ,35,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,9000,,,685_BJ_LF,1.29.2020,second,BJ,31,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,40000,,,685_BJ_LF,2.26.2020,third,BJ,34,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,33000,,,685_BJ_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,685_BJ_LF_fourth,no,no,no,NA
joy_Butterworks_RH,1.2.2020,first,Butterworks,1,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,130000,,,joy_Butterworks_RH,2.4.2020,second,Butterworks,14,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,460000,,,joy_Butterworks_RH,3.3.2020,third,Butterworks,14,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,74000,,,joy_Butterworks_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,joy_Butterworks_RH_fourth,no,yes,no,NA
muffin_Butterworks_RF,1.2.2020,first,Butterworks,4,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,15000,,,muffin_Butterworks_RF,2.4.2020,second,Butterworks,3,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,7000,,,muffin_Butterworks_RF,3.3.2020,third,Butterworks,2,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,0,,,muffin_Butterworks_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,muffin_Butterworks_RF_fourth,no,no,no,NA
happiness_Butterworks_LF,1.2.2020,first,Butterworks,7,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,10000,,,happiness_Butterworks_LF,2.4.2020,second,Butterworks,8,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,12000,,,happiness_Butterworks_LF,3.3.2020,third,Butterworks,6,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,8000,,,happiness_Butterworks_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,happiness_Butterworks_LF_fourth,no,no,no,NA
happiness_Butterworks_RF,1.2.2020,first,Butterworks,7,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,8000,,,happiness_Butterworks_RF,2.4.2020,second,Butterworks,8,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,14000,,,happiness_Butterworks_RF,3.3.2020,third,Butterworks,6,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,13000,,,happiness_Butterworks_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,happiness_Butterworks_RF_fourth,no,no,no,NA
rhubarb_Butterworks_LF,1.2.2020,first,Butterworks,13,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,5000,,,rhubarb_Butterworks_LF,2.4.2020,second,Butterworks,11,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,5000,,,rhubarb_Butterworks_LF,3.3.2020,third,Butterworks,11,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,3000,,,rhubarb_Butterworks_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rhubarb_Butterworks_LF_fourth,no,no,no,NA
