cow_id_quarter,first_date,first_visit,first_farm,first_order,first_path_1,first_path1_IMI,first_path_2,first_path2_IMI,first_path_3,first_path3_IMI,first_path_4,first_path4_IMI,first_quarter_code,first_isolate_1,first_isolate_2,first_isolate_3,first_isolate_4,first_clinical,first_blind,first_teatinj,first_pstmilking,first_mixed_inf_series,first_dup_not_collected,first_IMI_series,first_hygiene_1,first_hygiene_2,first_cc_1,first_cc_2,first_cc_3,first_scc,first_scc_200k,first_contam,first_contam_comment,first_uniqueID,second_date,second_visit,second_farm,second_order,second_path_1,second_path1_IMI,second_path_2,second_path2_IMI,second_path_3,second_path3_IMI,second_path_4,second_path4_IMI,second_quarter_code,second_isolate_1,second_isolate_2,second_isolate_3,second_isolate_4,second_clinical,second_blind,second_teatinj,second_pstmilking,second_mixed_inf_series,second_dup_not_collected,second_IMI_series,second_hygiene_1,second_hygiene_2,second_cc_1,second_cc_2,second_cc_3,second_scc,second_scc_200k,second_contam,second_contam_comment,second_uniqueID,third_date,third_visit,third_farm,third_order,third_path_1,third_path1_IMI,third_path_2,third_path2_IMI,third_path_3,third_path3_IMI,third_path_4,third_path4_IMI,third_quarter_code,third_isolate_1,third_isolate_2,third_isolate_3,third_isolate_4,third_clinical,third_blind,third_teatinj,third_pstmilking,third_mixed_inf_series,third_dup_not_collected,third_IMI_series,third_hygiene_1,third_hygiene_2,third_cc_1,third_cc_2,third_cc_3,third_scc,third_scc_200k,third_contam,third_contam_comment,third_uniqueID,fourth_date,fourth_visit,fourth_farm,fourth_order,fourth_path_1,fourth_path1_IMI,fourth_path_2,fourth_path2_IMI,fourth_path_3,fourth_path3_IMI,fourth_path_4,fourth_path4_IMI,fourth_quarter_code,fourth_isolate_1,fourth_isolate_2,fourth_isolate_3,fourth_isolate_4,fourth_clinical,fourth_blind,fourth_teatinj,fourth_pstmilking,fourth_mixed_inf_series,fourth_dup_not_collected,fourth_IMI_series,fourth_hygiene_1,fourth_hygiene_2,fourth_cc_1,fourth_cc_2,fourth_cc_3,fourth_scc,fourth_scc_200k,fourth_contam,fourth_contam_comment,fourth_uniqueID
720_BJ_RH,12.17.2019,first,BJ,10,cns,yes2,,,,,,,2,BJ011,,,,,,,,no,,yes,NA,NA,NA,NA,NA,74000,no,,,720_BJ_RH,1.29.2020,second,BJ,7,cns,yes2,,,,,,,2,BJ033,,,,,,,,no,,yes,NA,NA,NA,NA,NA,64000,no,,,720_BJ_RH,2.26.2020,third,BJ,12,cns,yes2,,,,,,,2,BJ061,,,,,,,,no,,yes,NA,NA,NA,NA,NA,230000,yes,,,720_BJ_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720_BJ_RH_fourth
731_BJ_LF,12.17.2019,first,BJ,19,cns,yes2,,,,,,,2,BJ016,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1739000,yes,,,731_BJ_LF,1.29.2020,second,BJ,15,cns,yes2,,,,,,,2,BJ043,,,,,,,,no,,yes,NA,NA,NA,NA,NA,140000,no,,,731_BJ_LF,2.26.2020,third,BJ,16,cns,yes2,,,,,,,2,BJ069,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000000,yes,,,731_BJ_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,731_BJ_LF_fourth
cb5_BJ_LH,12.17.2019,first,BJ,5,cns,yes1,,,,,,,1,BJ004,,,,,,,,no,,yes,NA,NA,NA,NA,NA,62000,no,,,cb5_BJ_LH,1.29.2020,second,BJ,6,cns,yes2,,,,,,,2,BJ030,,,,,,,,no,,yes,NA,NA,NA,NA,NA,74000,no,,,cb5_BJ_LH,2.26.2020,third,BJ,5,cns,yes2,,,,,,,2,BJ054,,,,,,,,no,,yes,NA,NA,NA,NA,NA,59000,no,,,cb5_BJ_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cb5_BJ_LH_fourth
720_BJ_LF,12.17.2019,first,BJ,10,sa,yes2,,,,,,,2,BJ010,,,,,,,,no,,yes,NA,NA,NA,NA,NA,227000,yes,,,720_BJ_LF,1.29.2020,second,BJ,7,sa,yes2,,,,,,,2,BJ032,,,,,,,,no,,yes,NA,NA,NA,NA,NA,650000,yes,,,720_BJ_LF,2.26.2020,third,BJ,12,sa,yes2,,,,,,,2,BJ060,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3600000,yes,,,720_BJ_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720_BJ_LF_fourth
bon_Butterworks_RF,1.2.2020,first,Butterworks,29,cns,yes2,,,,,,,2,BW053,,,,,,,,no,,yes,NA,NA,NA,NA,NA,310000,yes,,,bon_Butterworks_RF,2.4.2020,second,Butterworks,31,cns,yes2,,,,,,,2,BW106,,,,,,,,no,,yes,NA,NA,NA,NA,NA,290000,yes,,,bon_Butterworks_RF,3.3.2020,third,Butterworks,32,cns,yes2,,,,,,,2,BW155,,,,,,,,no,,yes,NA,NA,NA,NA,NA,62000,no,,,bon_Butterworks_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bon_Butterworks_RF_fourth
marjoram_Butterworks_RH,1.2.2020,first,Butterworks,18,cns,yes2,,,,,,,2,BW027,,,,,,,,no,,yes,NA,NA,NA,NA,NA,130000,no,,,marjoram_Butterworks_RH,2.4.2020,second,Butterworks,18,cns,yes2,,,,,,,2,BW086,,,,,,,,no,,yes,NA,NA,NA,NA,NA,240000,yes,,,marjoram_Butterworks_RH,3.3.2020,third,Butterworks,19,cns,yes2,,,,,,,2,BW136,,,,,,,,no,,yes,NA,NA,NA,NA,NA,150000,no,,,marjoram_Butterworks_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,marjoram_Butterworks_RH_fourth
nellie_Butterworks_RH,1.2.2020,first,Butterworks,24,cns,yes2,,,,,,,2,BW044,,,,,,,,no,,yes,NA,NA,NA,NA,NA,160000,no,,,nellie_Butterworks_RH,2.4.2020,second,Butterworks,24,cns,yes29,,,,,,,29,BW097,,,,,,,,no,,yes,NA,NA,NA,NA,NA,740000,yes,,,nellie_Butterworks_RH,3.3.2020,third,Butterworks,25,cns,yes2,,,,,,,2,BW145,,,,,,,,no,,yes,NA,NA,NA,NA,NA,730000,yes,,,nellie_Butterworks_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nellie_Butterworks_RH_fourth
petunia_Butterworks_LH,1.2.2020,first,Butterworks,26,cns,yes2,,,,,,,2,BW046,,,,,,,,no,,yes,NA,NA,NA,NA,NA,83000,no,,,petunia_Butterworks_LH,2.4.2020,second,Butterworks,27,cns,yes2,,,,,,,2,BW099,,,,,,,,no,,yes,NA,NA,NA,NA,NA,99000,no,,,petunia_Butterworks_LH,3.3.2020,third,Butterworks,29,cns,yes1,,,,,,,1,BW152,,,,,,,,no,,yes,NA,NA,NA,NA,NA,87000,no,,,petunia_Butterworks_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,petunia_Butterworks_LH_fourth
snowball_Butterworks_RH,1.2.2020,first,Butterworks,12,cns,yes2,,,,,,,2,BW012,,,,,,,,no,,yes,NA,NA,NA,NA,NA,500000,yes,,,snowball_Butterworks_RH,2.4.2020,second,Butterworks,12,cns,yes2,cns,other18,,,,,2,BW082,BW083,,,,,,,tbd,,yes,NA,NA,NA,NA,NA,480000,yes,,,snowball_Butterworks_RH,3.3.2020,third,Butterworks,12,cns,yes2,,,,,,,2,BW129,,,,,,,,no,,yes,NA,NA,NA,NA,NA,110000,no,,,snowball_Butterworks_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,snowball_Butterworks_RH_fourth
wildcucumber_Butterworks_LH,1.2.2020,first,Butterworks,8,cns,yes2,,,,,,,2,BW010,,,,,,,,no,,yes,NA,NA,NA,NA,NA,19000,no,,,wildcucumber_Butterworks_LH,2.4.2020,second,Butterworks,9,cns,yes21,,,,,,,21,BW079,,,,,,,,no,,yes,NA,NA,NA,NA,NA,13000,no,,,wildcucumber_Butterworks_LH,3.3.2020,third,Butterworks,10,cns,yes2,,,,,,,2,BW126,,,,,,,,no,,yes,NA,NA,NA,NA,NA,11000,no,,,wildcucumber_Butterworks_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wildcucumber_Butterworks_LH_fourth
