date,visit,farm,order,cow_id,quarter,path_1,path1_IMI,path_2,path2_IMI,path_3,path3_IMI,path_4,path4_IMI,quarter_code,isolate_1,isolate_2,isolate_3,isolate_4,clinical,blind,teatinj,pstmilking,mixed_inf_series,dup_not_collected,IMI_series,hygiene_1,hygiene_2,cc_1,cc_2,cc_3,scc,contam,contam_comment
1.2.2020,first,Butterworks,1,joy,LH,,,,,,,,,20,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,1,joy,LF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,1,joy,RH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,1,joy,RF,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,2,strawberry,LH,corynebac,yes27,cns,yes27,,,,,27,BW001,BW002,,,,,,,yes,,yes,,,,,,,,
1.2.2020,first,Butterworks,2,strawberry,LF,,,,,,,,,8,,,,,,,,,,,,,,,,,,yes,
1.2.2020,first,Butterworks,2,strawberry,RH,,,,,,,,,13,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,2,strawberry,RF,,,,,,,,,7,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,3,masala,LH,,,,,,,,,8,,,,,,,,,,,,,,,,,,yes,
1.2.2020,first,Butterworks,3,masala,LF,,,,,,,,,8,,,,,,,,,,,,,,,,,,yes,
1.2.2020,first,Butterworks,3,masala,RH,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,3,masala,RF,,,,,,,,,8,,,,,,,,,,,,,,,,,,yes,
1.2.2020,first,Butterworks,4,muffin,LH,cns,yes27,corynebac,yes27,,,,,27,BW003,BW004,,,,,,,yes,,yes,,,,,,,,
1.2.2020,first,Butterworks,4,muffin,LF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,4,muffin,RH,cns,yes2,,,,,,,2,BW005,,,,,,,,no,,yes,,,,,,,,
1.2.2020,first,Butterworks,4,muffin,RF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,5,mango,LH,,,,,,,,,8,,,,,,,,,,,,,,,,,,yes,
1.2.2020,first,Butterworks,5,mango,LF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
