date,visit,farm,order,cow_id,quarter,path_1,path1_IMI,path_2,path2_IMI,path_3,path3_IMI,path_4,path4_IMI,quarter_code,isolate_1,isolate_2,isolate_3,isolate_4,clinical,blind,teatinj,pstmilking,mixed_inf_series,dup_not_collected,IMI_series,hygiene_1,hygiene_2,cc_1,cc_2,cc_3,scc,contam,contam_comment
1.2.2020,first,Butterworks,1,Joy,LH,,,,,,,,,20,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,1,Joy,LF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,1,Joy,RH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,1,Joy,RF,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,2,Strawberry,LH,Corynebac,yes27,CNS,yes27,,,,,27,BW001,BW002,,,,,,,yes,,yes,,,,,,,,
1.2.2020,first,Butterworks,2,Strawberry,LF,,,,,,,,,8,,,,,,,,,,,,,,,,,,yes,
1.2.2020,first,Butterworks,2,Strawberry,RH,,,,,,,,,13,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,2,Strawberry,RF,,,,,,,,,7,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,3,Masala,LH,,,,,,,,,8,,,,,,,,,,,,,,,,,,yes,
1.2.2020,first,Butterworks,3,Masala,LF,,,,,,,,,8,,,,,,,,,,,,,,,,,,yes,
1.2.2020,first,Butterworks,3,Masala,RH,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,3,Masala,RF,,,,,,,,,8,,,,,,,,,,,,,,,,,,yes,
1.2.2020,first,Butterworks,4,Muffin,LH,CNS,yes27,Corynebac,yes27,,,,,27,BW003,BW004,,,,,,,yes,,yes,,,,,,,,
1.2.2020,first,Butterworks,4,Muffin,LF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,4,Muffin,RH,CNS,yes2,,,,,,,2,BW005,,,,,,,,no,,yes,,,,,,,,
1.2.2020,first,Butterworks,4,Muffin,RF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
1.2.2020,first,Butterworks,5,Mango,LH,,,,,,,,,8,,,,,,,,,,,,,,,,,,yes,
