"","cow_id","quarter","first_visit","first_IMI_species","first_SCC","first_cow_quarter","first_visit_cow_quarter","second_visit","second_IMI_species","second_SCC","second_cow_quarter","second_visit_cow_quarter","third_visit","third_IMI_species","third_SCC","third_cow_quarter","third_visit_cow_quarter"
"1","585","LF","first","","10,000","585_LF","first_585_LF","second","","11,000","585_LF","second_585_LF","third","","16,000","585_LF","third_585_LF"
"2","585","LH","first","","7,000","585_LH","first_585_LH","second","","14,000","585_LH","second_585_LH","third","","9,000","585_LH","third_585_LH"
"3","585","RF","first","Staph. species","697,000","585_RF","first_585_RF","second","Staph. species","940,000","585_RF","second_585_RF","third","Staph. species","1,500,000","585_RF","third_585_RF"
"4","585","RH","first","","13,000","585_RH","first_585_RH","second","","14,000","585_RH","second_585_RH","third","","23,000","585_RH","third_585_RH"
"5","616","LF",NA,NA,NA,NA,NA,"second","","22,000","616_LF","second_616_LF","third","","35,000","616_LF","third_616_LF"
"6","616","LH",NA,NA,NA,NA,NA,"second","","25,000","616_LH","second_616_LH","third","","43,000","616_LH","third_616_LH"
"7","616","RF",NA,NA,NA,NA,NA,"second","","25,000","616_RF","second_616_RF","third","","28,000","616_RF","third_616_RF"
"8","616","RH",NA,NA,NA,NA,NA,"second","Sample contaminated","24,000","616_RH","second_616_RH","third","","27,000","616_RH","third_616_RH"
"9","656","LF","first","","24,000","656_LF","first_656_LF","second","","27,000","656_LF","second_656_LF","third","","64,000","656_LF","third_656_LF"
"10","656","LH","first","Strep. species","799,000","656_LH","first_656_LH","second","Staph. aureus, Strep. species","810,000","656_LH","second_656_LH","third","Staph. aureus, Strep. species","1,600,000","656_LH","third_656_LH"
"11","656","RF","first","","37,000","656_RF","first_656_RF","second","","29,000","656_RF","second_656_RF","third","","60,000","656_RF","third_656_RF"
"12","656","RH","first","","7,000","656_RH","first_656_RH","second","","17,000","656_RH","second_656_RH","third","","26,000","656_RH","third_656_RH"
"13","664","LF","first","","16,000","664_LF","first_664_LF","second","","28,000","664_LF","second_664_LF","third","","20,000","664_LF","third_664_LF"
"14","664","LH","first","Staph. species","506,000","664_LH","first_664_LH","second","","730,000","664_LH","second_664_LH","third","","880,000","664_LH","third_664_LH"
"15","664","RF","first","Corynebacterium species","5,000","664_RF","first_664_RF","second","","15,000","664_RF","second_664_RF","third","","2,000","664_RF","third_664_RF"
"16","664","RH","first","Corynebacterium species","14,000","664_RH","first_664_RH","second","","11,000","664_RH","second_664_RH","third","","2,000","664_RH","third_664_RH"
"17","666","LF","first","","44,000","666_LF","first_666_LF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","666","LH","first","Sample contaminated","21,000","666_LH","first_666_LH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","666","RF","first","","42,000","666_RF","first_666_RF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","666","RH","first","","35,000","666_RH","first_666_RH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","670","LF","first","","13,000","670_LF","first_670_LF","second","","23,000","670_LF","second_670_LF","third","","22,000","670_LF","third_670_LF"
"22","670","LH","first","Blind quarter","Not analyzed","670_LH","first_670_LH","second","Blind quarter","Not analyzed","670_LH","second_670_LH","third","Blind quarter","Not analyzed","670_LH","third_670_LH"
"23","670","RF","first","","12,000","670_RF","first_670_RF","second","","25,000","670_RF","second_670_RF","third","","22,000","670_RF","third_670_RF"
"24","670","RH","first","","16,000","670_RH","first_670_RH","second","Corynebacterium species","37,000","670_RH","second_670_RH","third","","27,000","670_RH","third_670_RH"
"25","675","LF","first","","15,000","675_LF","first_675_LF","second","","17,000","675_LF","second_675_LF","third","","31,000","675_LF","third_675_LF"
"26","675","LH","first","","6,000","675_LH","first_675_LH","second","","11,000","675_LH","second_675_LH","third","","13,000","675_LH","third_675_LH"
"27","675","RF","first","","7,000","675_RF","first_675_RF","second","","33,000","675_RF","second_675_RF","third","","41,000","675_RF","third_675_RF"
"28","675","RH","first","","10,000","675_RH","first_675_RH","second","","21,000","675_RH","second_675_RH","third","","22,000","675_RH","third_675_RH"
"29","685","LF","first","","9,000","685_LF","first_685_LF","second","","40,000","685_LF","second_685_LF","third","","33,000","685_LF","third_685_LF"
"30","685","LH","first","","9,000","685_LH","first_685_LH","second","","56,000","685_LH","second_685_LH","third","","42,000","685_LH","third_685_LH"
"31","685","RF","first","","7,000","685_RF","first_685_RF","second","","47,000","685_RF","second_685_RF","third","","22,000","685_RF","third_685_RF"
"32","685","RH","first","","8,000","685_RH","first_685_RH","second","","33,000","685_RH","second_685_RH","third","","24,000","685_RH","third_685_RH"
"33","693","LF","first","","8,000","693_LF","first_693_LF","second","","13,000","693_LF","second_693_LF","third","Unknown organism","37,000","693_LF","third_693_LF"
"34","693","LH","first","","6,000","693_LH","first_693_LH","second","Unknown organism","8,000","693_LH","second_693_LH","third","Staph. species","13,000","693_LH","third_693_LH"
"35","693","RF","first","","4,000","693_RF","first_693_RF","second","","5,000","693_RF","second_693_RF","third","","18,000","693_RF","third_693_RF"
"36","693","RH","first","","5,000","693_RH","first_693_RH","second","","4,000","693_RH","second_693_RH","third","Strep. species, Corynebacterium species","13,000","693_RH","third_693_RH"
"37","697","LF","first","Sample contaminated","9,000","697_LF","first_697_LF","second","","13,000","697_LF","second_697_LF",NA,NA,NA,NA,NA
"38","697","LH","first","Sample contaminated","9,000","697_LH","first_697_LH","second","","27,000","697_LH","second_697_LH",NA,NA,NA,NA,NA
"39","697","RF","first","","7,000","697_RF","first_697_RF","second","","25,000","697_RF","second_697_RF",NA,NA,NA,NA,NA
"40","697","RH","first","Sample contaminated","5,000","697_RH","first_697_RH","second","Sample contaminated","30,000","697_RH","second_697_RH",NA,NA,NA,NA,NA
"41","701","LF","first","","31,000","701_LF","first_701_LF","second","","6,000","701_LF","second_701_LF","third","","29,000","701_LF","third_701_LF"
"42","701","LH","first","Staph. aureus","762,000","701_LH","first_701_LH","second","","30,000","701_LH","second_701_LH","third","Staph. aureus","470,000","701_LH","third_701_LH"
"43","701","RF","first","","139,000","701_RF","first_701_RF","second","","49,000","701_RF","second_701_RF","third","","160,000","701_RF","third_701_RF"
