"","cow_id","quarter","first_IMI_species","first_SCC","first_X","first_X.1","first_X.2","first_X.3","first_X.4","second_IMI_species","second_SCC","second_X","second_X.1","second_X.2","second_X.3","second_X.4","third_IMI_species","third_SCC","third_X","third_X.1","third_X.2","third_X.3","third_X.4"
"1","Amarillo","LF","Staph. species","7000",NA,NA,NA,NA,NA,"","39000",NA,NA,NA,NA,NA,"","43000",NA,NA,NA,NA,NA
"2","Amarillo","LH","Strep. species","61000",NA,NA,NA,NA,NA,"Staph. species","180000",NA,NA,NA,NA,NA,"Staph. species","190000",NA,NA,NA,NA,NA
"3","Amarillo","RF","Staph. species","88000",NA,NA,NA,NA,NA,"Staph. species","310000",NA,NA,NA,NA,NA,"Staph. species","150000",NA,NA,NA,NA,NA
"4","Amarillo","RH","","5000",NA,NA,NA,NA,NA,"","29000",NA,NA,NA,NA,NA,"","28000",NA,NA,NA,NA,NA
"5","Ambrosia","LF","","74000",NA,NA,NA,NA,NA,"","2300000",NA,NA,NA,NA,NA,"Blind quarter","Not analyzed",NA,NA,NA,NA,NA
"6","Ambrosia","LH","Staph. species","71000",NA,NA,NA,NA,NA,"Staph. species","110000",NA,NA,NA,NA,NA,"Staph. species","91000",NA,NA,NA,NA,NA
"7","Ambrosia","RF","","5000",NA,NA,NA,NA,NA,"","9000",NA,NA,NA,NA,NA,"","27000",NA,NA,NA,NA,NA
"8","Ambrosia","RH","","7000",NA,NA,NA,NA,NA,"","49000",NA,NA,NA,NA,NA,"","16000",NA,NA,NA,NA,NA
"9","Atlantic","LF","","4000",NA,NA,NA,NA,NA,"","33000",NA,NA,NA,NA,NA,"","19000",NA,NA,NA,NA,NA
"10","Atlantic","LH","","5000",NA,NA,NA,NA,NA,"","4000",NA,NA,NA,NA,NA,"","15000",NA,NA,NA,NA,NA
"11","Atlantic","RF","","5000",NA,NA,NA,NA,NA,"","5000",NA,NA,NA,NA,NA,"","23000",NA,NA,NA,NA,NA
"12","Atlantic","RH","Staph. species","5000",NA,NA,NA,NA,NA,"","5000",NA,NA,NA,NA,NA,"","17000",NA,NA,NA,NA,NA
"13","Chaloopa","LF","Staph. species","130000",NA,NA,NA,NA,NA,"Staph. species","220000",NA,NA,NA,NA,NA,"Staph. species","130000",NA,NA,NA,NA,NA
"14","Chaloopa","LH","Staph. species","231000",NA,NA,NA,NA,NA,"Staph. species","240000",NA,NA,NA,NA,NA,"Staph. species","220000",NA,NA,NA,NA,NA
"15","Chaloopa","RF","","16000",NA,NA,NA,NA,NA,"Staph. species","96000",NA,NA,NA,NA,NA,"","53000",NA,NA,NA,NA,NA
"16","Chaloopa","RH","Staph. species","169000",NA,NA,NA,NA,NA,"Unknown organism","100000",NA,NA,NA,NA,NA,"Staph. species","320000",NA,NA,NA,NA,NA
"17","Chartreuse","LF","","5000",NA,NA,NA,NA,NA,"","9000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Chartreuse","LH","","71000",NA,NA,NA,NA,NA,"","81000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Chartreuse","RF","","412000",NA,NA,NA,NA,NA,"","1800000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Chartreuse","RH","","23000",NA,NA,NA,NA,NA,"","6000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Cheese","LF","Staph. aureus","227000",NA,NA,NA,NA,NA,"Staph. aureus","2600000",NA,NA,NA,NA,NA,"Blind quarter","Not analyzed",NA,NA,NA,NA,NA
"22","Cheese","LH","","6000",NA,NA,NA,NA,NA,"","2000",NA,NA,NA,NA,NA,"","7000",NA,NA,NA,NA,NA
"23","Cheese","RF","Blind quarter","Not analyzed",NA,NA,NA,NA,NA,"Blind quarter","Not analyzed",NA,NA,NA,NA,NA,"Blind quarter","Not Analyzed",NA,NA,NA,NA,NA
"24","Cheese","RH","","10000",NA,NA,NA,NA,NA,"","2000000",NA,NA,NA,NA,NA,"","9000",NA,NA,NA,NA,NA
"25","Chive","LF","","26000",NA,NA,NA,NA,NA,"","35000",NA,NA,NA,NA,NA,"Sample contaminated","2900000",NA,NA,NA,NA,NA
"26","Chive","LH","","37000",NA,NA,NA,NA,NA,"","130000",NA,NA,NA,NA,NA,"Klebsiella","Not analyzed: abnormal",NA,NA,NA,NA,NA
"27","Chive","RF","","181000",NA,NA,NA,NA,NA,"","130000",NA,NA,NA,NA,NA,"","560000",NA,NA,NA,NA,NA
"28","Chive","RH","","67000",NA,NA,NA,NA,NA,"","83000",NA,NA,NA,NA,NA,"Klebsiella","730000",NA,NA,NA,NA,NA
"29","Darla","LF","Sample contaminated","10000",NA,NA,NA,NA,NA,"","45000",NA,NA,NA,NA,NA,"","76000",NA,NA,NA,NA,NA
"30","Darla","LH","","222000",NA,NA,NA,NA,NA,"","2900000",NA,NA,NA,NA,NA,"","3900000",NA,NA,NA,NA,NA
"31","Darla","RF","","10000",NA,NA,NA,NA,NA,"","21000",NA,NA,NA,NA,NA,"Sample contaminated","33000",NA,NA,NA,NA,NA
"32","Darla","RH","","4000",NA,NA,NA,NA,NA,"Strep. species","250000",NA,NA,NA,NA,NA,"","790000",NA,NA,NA,NA,NA
"33","Diamond","LF","","52000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Diamond","LH","","10000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Diamond","RF","","84000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Diamond","RH","","44000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Faith","LF",NA,NA,NA,NA,NA,NA,NA,"","13000",NA,NA,NA,NA,NA,"","25000",NA,NA,NA,NA,NA
"38","Faith","LH",NA,NA,NA,NA,NA,NA,NA,"Staph. species","200000",NA,NA,NA,NA,NA,"Staph. species","350000",NA,NA,NA,NA,NA
"39","Faith","RF",NA,NA,NA,NA,NA,NA,NA,"","130000",NA,NA,NA,NA,NA,"","95000",NA,NA,NA,NA,NA
"40","Faith","RH",NA,NA,NA,NA,NA,NA,NA,"Gram-negative, coliform organism (Serratia)","6800000",NA,NA,NA,NA,NA,"","3500000",NA,NA,NA,NA,NA
"41","Freddie","LF","","33000",NA,NA,NA,NA,NA,"","32000",NA,NA,NA,NA,NA,"","39000",NA,NA,NA,NA,NA
"42","Freddie","LH","","43000",NA,NA,NA,NA,NA,"","50000",NA,NA,NA,NA,NA,"","47000",NA,NA,NA,NA,NA
"43","Freddie","RF","","18000",NA,NA,NA,NA,NA,"","24000",NA,NA,NA,NA,NA,"","17000",NA,NA,NA,NA,NA
"44","Freddie","RH","","25000",NA,NA,NA,NA,NA,"","25000",NA,NA,NA,NA,NA,"","24000",NA,NA,NA,NA,NA
"45","Fresno","LF","","6000",NA,NA,NA,NA,NA,"","6000",NA,NA,NA,NA,NA,"","22000",NA,NA,NA,NA,NA
"46","Fresno","LH","","7000",NA,NA,NA,NA,NA,"","6000",NA,NA,NA,NA,NA,"","13000",NA,NA,NA,NA,NA
"47","Fresno","RF","","6000",NA,NA,NA,NA,NA,"","4000",NA,NA,NA,NA,NA,"","14000",NA,NA,NA,NA,NA
"48","Fresno","RH","","8000",NA,NA,NA,NA,NA,"","5000",NA,NA,NA,NA,NA,"","13000",NA,NA,NA,NA,NA
"49","Jitterbug","LF","","6000",NA,NA,NA,NA,NA,"","9000",NA,NA,NA,NA,NA,"","28000",NA,NA,NA,NA,NA
"50","Jitterbug","LH","Staph. species","6000",NA,NA,NA,NA,NA,"","18000",NA,NA,NA,NA,NA,"","26000",NA,NA,NA,NA,NA
"51","Jitterbug","RF","","14000",NA,NA,NA,NA,NA,"","28000",NA,NA,NA,NA,NA,"","71000",NA,NA,NA,NA,NA
"52","Jitterbug","RH","Staph. species","40000",NA,NA,NA,NA,NA,"Staph. species","120000",NA,NA,NA,NA,NA,"Staph. species","170000",NA,NA,NA,NA,NA
"53","Khakibeige","LF","Staph. species","33000",NA,NA,NA,NA,NA,"Staph. species","48000",NA,NA,NA,NA,NA,"Staph. species","54000",NA,NA,NA,NA,NA
"54","Khakibeige","LH","","12000",NA,NA,NA,NA,NA,"","13000",NA,NA,NA,NA,NA,"","31000",NA,NA,NA,NA,NA
"55","Khakibeige","RF","","4000",NA,NA,NA,NA,NA,"","9000",NA,NA,NA,NA,NA,"","23000",NA,NA,NA,NA,NA
"56","Khakibeige","RH","","13000",NA,NA,NA,NA,NA,"","18000",NA,NA,NA,NA,NA,"","35000",NA,NA,NA,NA,NA
"57","Klondike","LF","","4000",NA,NA,NA,NA,NA,"","4000",NA,NA,NA,NA,NA,"","6000",NA,NA,NA,NA,NA
"58","Klondike","LH","","2000",NA,NA,NA,NA,NA,"","3000",NA,NA,NA,NA,NA,"","7000",NA,NA,NA,NA,NA
