"","cow_id","quarter","first_IMI_species","first_SCC","second_IMI_species","second_SCC","third_IMI_species","third_SCC"
"1","Annabelle27","LF","","520000","","8000","","3000"
"2","Annabelle27","LH","","4000","","5000","","6000"
"3","Annabelle27","RF","Staph. aureus","230000","Staph. aureus","720000","Staph. aureus","1000000"
"4","Annabelle27","RH","","19000","","4000","","15000"
"5","Annabeth2","LF","","190000","Staph. aureus","670000","Staph. aureus","100000"
"6","Annabeth2","LH","Staph. species","24000","","43000","","35000"
"7","Annabeth2","RF","","15000","","0","Gram-negative, non-coliform organism","70000"
"8","Annabeth2","RH","","3000","","14000","","23000"
"9","Champne25","LF","","7000","","2000","","2000"
"10","Champne25","LH","","5000","","0","","2000"
"11","Champne25","RF","","5000","","4000","","0"
"12","Champne25","RH","","4000","","0","Corynebacterium species","0"
"13","Chapstick1","LF","","3000","","2000","Staph. species","0"
"14","Chapstick1","LH","","6000","","0","","0"
"15","Chapstick1","RF","","710000","","55000","","6000"
"16","Chapstick1","RH","","2000","","2000","Staph. species","2000"
"17","Fajita12","LF","","0","","0","","0"
"18","Fajita12","LH","","4000","","4000","","3000"
"19","Fajita12","RF","","0","","0","","0"
"20","Fajita12","RH","","0","","3000","","2000"
"21","Farrah363","LF","Staph. species","73000","Staph. species","47000","Staph. species","540000"
"22","Farrah363","LH","","27000","","48000","","160000"
"23","Farrah363","RF","Staph. species","220000","Staph. species","120000","Staph. species","7000"
"24","Farrah363","RH","","120000","","42000","","10000"
"25","Farrent31","LF","","12000","","10000","","10000"
"26","Farrent31","LH","Staph. species","70000","Staph. species","46000","Staph. species","85000"
"27","Farrent31","RF","","11000","","7000","","7000"
"28","Farrent31","RH","Staph. species","36000","Staph. species","50000","Staph. species","28000"
"29","Ferrari28","LF","","17000","Sample contaminated","9000","","22000"
"30","Ferrari28","LH","","350000","","140000","","670000"
"31","Ferrari28","RF","Sample contaminated","54000","","79000","","62000"
"32","Ferrari28","RH","Strep. species","2900000","Strep. species","2800000","Strep. species","3100000"
"33","Fitzi31","LF","","3000","","7000","","9000"
"34","Fitzi31","LH","","5000","","13000","Staph. species","190000"
"35","Fitzi31","RF","Staph. species","56000","Staph. species","46000","Staph. species","58000"
"36","Fitzi31","RH","","12000","","16000","","9000"
"37","Germ1140","LF","","1400000","Blind quarter","Not analyzed","Blind quarter","Not analyzed"
"38","Germ1140","LH","","3000","","2000","","56000"
"39","Germ1140","RF","","6000","","8000","","4000"
"40","Germ1140","RH","Staph. species","150000","","67000","Staph. species","46000"
"41","Gif9","LF","","64000","","5000","","4000"
"42","Gif9","LH","","40000","","5000","","6000"
"43","Gif9","RF","","75000","","4000","","5000"
"44","Gif9","RH","","62000","","3000","","4000"
"45","Gift379","LF","Staph. species","210000","Staph. species","150000","Staph. species","130000"
"46","Gift379","LH","Sample contaminated","9000","","9000","","0"
"47","Gift379","RF","Staph. species","190000","Staph. species","180000","Staph. species","180000"
"48","Gift379","RH","","7000","","7000","","7000"
"49","GloryBe29","LF","","2000","","5000","","6000"
"50","GloryBe29","LH","","25000","","8000","Sample contaminated","13000"
"51","GloryBe29","RF","","2000","","6000","","2000"
"52","GloryBe29","RH","","5000","","4000","","7000"
"53","Gronk22","LF","","15000","","12000","Yeast","9000"
"54","Gronk22","LH","","17000","","13000","","10000"
"55","Gronk22","RF","","14000","","11000","","7000"
"56","Gronk22","RH","","17000","","12000","","8000"
"57","Guana362","LF","","5000","","4000","","0"
"58","Guana362","LH","Staph. species","80000","Staph. species","130000","Staph. species","12000"
"59","Guana362","RF","","0","","0","","2000"
