"","cow_id","quarter","first_IMI_species","first_SCC","second_IMI_species","second_SCC","third_IMI_species","third_SCC"
"1","AppleCore","LF","","200,000","","22,000","","9,000"
"2","AppleCore","LH","Staph. aureus","8,900,000","Staph. aureus","1,100,000","Staph. aureus","190,000"
"3","AppleCore","RF","Staph. aureus","3,800,000","Staph. aureus","4,400,000","Staph. aureus","2,700,000"
"4","AppleCore","RH","Staph. aureus","320,000","","420,000","Staph. aureus","900,000"
"5","Aurora","LF",NA,NA,"","4,000,000","","7,000"
"6","Aurora","LH",NA,NA,"","4,000","","0"
"7","Aurora","RF",NA,NA,"","19,000","","480,000"
"8","Aurora","RH",NA,NA,"","84,000","","24,000"
"9","Avocado","LF","Staph. species","61,000","","200,000","Staph. species","58,000"
"10","Avocado","LH","","2,000","","4,000","","3,000"
"11","Avocado","RF","","5,000","","27,000","","8,000"
"12","Avocado","RH","Staph. species","78,000","Staph. species","1,300,000","Staph. species","300,000"
"13","Blackberry","LF","","20,000","","28,000","","12,000"
"14","Blackberry","LH","","27,000","","28,000","Staph. species","16,000"
"15","Blackberry","RF","","22,000","","24,000","","34,000"
"16","Blackberry","RH","","61,000","","42,000","","30,000"
"17","Bon","LF","","10,000","","10,000","","4,000"
"18","Bon","LH","Strep. species, Staph. species","5,000","","220,000","","2,000"
"19","Bon","RF","Staph. species","310,000","Staph. species","290,000","Staph. species","62,000"
"20","Bon","RH","Yeast","140,000","","290,000","","35,000"
"21","Chipotle","LF","Staph. species","160,000","Staph. species","390,000",NA,NA
"22","Chipotle","LH","Staph. species","280,000","Staph. species","490,000",NA,NA
"23","Chipotle","RF","Staph. species","120,000","Staph. species","140,000",NA,NA
"24","Chipotle","RH","Sample contaminated","79,000","Staph. species","470,000",NA,NA
"25","Crescent","LF","Staph. species","74,000",NA,NA,NA,NA
"26","Crescent","LH","Staph. species","470,000",NA,NA,NA,NA
"27","Crescent","RF","","39,000",NA,NA,NA,NA
"28","Crescent","RH","Staph. species","170,000",NA,NA,NA,NA
"29","Eva","LF",NA,NA,"","27,000","","23,000"
"30","Eva","LH",NA,NA,"Staph. aureus","570,000","","810,000"
"31","Eva","RF",NA,NA,"Strep. species","8,700,000","Strep. species","920,000"
"32","Eva","RH",NA,NA,"","9,000","","3,000"
"33","Gabrielle","LF",NA,NA,NA,NA,"","0"
"34","Gabrielle","LH",NA,NA,NA,NA,"","11,000"
"35","Gabrielle","RF",NA,NA,NA,NA,"Unknown organism","8,000"
"36","Gabrielle","RH",NA,NA,NA,NA,"","36,000"
"37","Happiness","LF","","10,000","","12,000","","8,000"
"38","Happiness","LH","Blind quarter","Not Analyzed","Blind quarter","Not analyzed","Blind quarter","Not analyzed"
"39","Happiness","RF","","8,000","","14,000","","13,000"
"40","Happiness","RH","","12,000","","21,000","","21,000"
"41","Hawthorn","LF","","20,000","","33,000","","18,000"
"42","Hawthorn","LH","","31,000","","39,000","","28,000"
"43","Hawthorn","RF","","24,000","","35,000","","19,000"
"44","Hawthorn","RH","Staph. species","99,000","Staph. species","120,000","Staph. species","43,000"
"45","Jackie","LF",NA,NA,NA,NA,"","10,000"
"46","Jackie","LH",NA,NA,NA,NA,"","16,000"
"47","Jackie","RF",NA,NA,NA,NA,"","12,000"
"48","Jackie","RH",NA,NA,NA,NA,"","14,000"
"49","Jolene","LF","Strep. species","44,000","","95,000",NA,NA
"50","Jolene","LH","Strep. species","41,000","","45,000",NA,NA
"51","Jolene","RF","Staph. species","180,000","Staph. species","240,000",NA,NA
"52","Jolene","RH","","42,000","","84,000",NA,NA
"53","Joy","LF","","12,000","","6,000","","3,000"
"54","Joy","LH","","31,000","","12,000","","6,000"
"55","Joy","RF","","12,000","","19,000","","4,000"
"56","Joy","RH","","130,000","","460,000","","74,000"
"57","Lilac","LF","","25,000","","6,000","","43,000"
"58","Lilac","LH","","13,000","","10,000","Other Gram-positive bacteria","560,000"
"59","Lilac","RF","","90,000","","120,000","","45,000"
"60","Lilac","RH","Staph. aureus","3,700,000","Staph. aureus","6,800,000","Staph. aureus","810,000"
"61","Love","LF","","21,000","","6,000","","91,000"
"62","Love","LH","Corynebacterium species","4,000","","0","","96,000"
"63","Love","RF","Staph. species","3,000","","4,000","","49,000"
"64","Love","RH","","13,000","","3,000","","71,000"
"65","Mandolin","LF","","49,000","","320,000",NA,NA
"66","Mandolin","LH","Staph. species","240,000","Unknown organism","440,000",NA,NA
"67","Mandolin","RF","","16,000","","41,000",NA,NA
"68","Mandolin","RH","Corynebacterium species","29,000","","170,000",NA,NA
"69","Mango","LF","","3,000","","6,000","","3,000"
"70","Mango","LH","Sample contaminated","2,000","","4,000","","4,000"
"71","Mango","RF","","3,000","","5,000","","3,000"
"72","Mango","RH","Sample contaminated","2,000","","4,000","","0"
"73","Manzana","LF","Staph. aureus","630,000","Staph. aureus","610,000","Staph. aureus","1,000,000"
"74","Manzana","LH","Staph. species","210,000","Staph. species","470,000","Staph. species","94,000"
"75","Manzana","RF","Staph. species","43,000","Staph. species","65,000","Staph. species","49,000"
"76","Manzana","RH","Staph. species","61,000","Staph. species","51,000","Staph. species","67,000"
"77","Marjoram","LF","Sample contaminated","34,000","","24,000","","15,000"
"78","Marjoram","LH","Sample contaminated","27,000","","18,000","","12,000"
"79","Marjoram","RF","Sample contaminated","32,000","","22,000","","19,000"
"80","Marjoram","RH","Staph. species","130,000","Staph. species","240,000","Staph. species","150,000"
"81","Masala","LF","Sample contaminated","35,000","","40,000","","0"
"82","Masala","LH","Sample contaminated","26,000","","40,000","","0"
"83","Masala","RF","Sample contaminated","1,000,000","Staph. species","67,000","Staph. species","0"
"84","Masala","RH","","38,000","","33,000","","0"
"85","Melissa","LF","","9,000","","6,000","","7,000"
"86","Melissa","LH","Staph. species","310,000","Staph. species","160,000","Staph. species","150,000"
"87","Melissa","RF","","0","","5,000","","7,000"
"88","Melissa","RH","","3,000","","3,000","","5,000"
"89","Muffin","LF","","11,000","","11,000","Corynebacterium species","0"
"90","Muffin","LH","Corynebacterium species, Staph. species","250,000","Staph. species","400,000","Staph. species","0"
"91","Muffin","RF","","15,000","","7,000","","0"
"92","Muffin","RH","Staph. species","350,000","Staph. species","280,000","Staph. species","0"
"93","Mustard","LF","","36,000","","23,000","","5,000"
"94","Mustard","LH","Strep. species, Corynebacterium species","12,000","","15,000","","2,000"
"95","Mustard","RF","Sample contaminated","15,000","","39,000","","7,000"
"96","Mustard","RH","Sample contaminated","15,000","","17,000","","11,000"
"97","Nazareth","LF","Staph. species","55,000","Staph. species","240,000","Staph. species","300,000"
"98","Nazareth","LH","Strep. species","65,000","","300,000","","55,000"
"99","Nazareth","RF","Staph. species","260,000","Staph. species","440,000","Staph. species","160,000"
"100","Nazareth","RH","Corynebacterium species","21,000","","95,000","","79,000"
"101","Nebula","LF","Sample contaminated","44,000","","42,000","","6,000"
"102","Nebula","LH","Sample contaminated","36,000","","38,000","","4,000"
"103","Nebula","RF","Sample contaminated","220,000","","130,000","","39,000"
"104","Nebula","RH","Staph. species","290,000","Staph. species","460,000","Staph. species","44,000"
"105","Nellie","LF","","9,000","","9,000","","16,000"
"106","Nellie","LH","Sample contaminated","110,000","Staph. species","240,000","Staph. species","220,000"
"107","Nellie","RF","Strep. species","7,800,000","Strep. species, Staph. species","310,000","Staph. species, Strep. species","230,000"
"108","Nellie","RH","Staph. species","160,000","Staph. species","740,000","Staph. species","730,000"
"109","Noel","LF",NA,NA,"Staph. species","61,000","Staph. species","480,000"
"110","Noel","LH",NA,NA,"","5,000","","4,000"
"111","Noel","RF",NA,NA,"","7,000","","3,000"
"112","Noel","RH",NA,NA,"","6,000","","12,000"
"113","Nona","LF","Sample contaminated","52,000","","24,000","","26,000"
"114","Nona","LH","","60,000","","69,000","","41,000"
"115","Nona","RF","Sample contaminated","55,000","","24,000","","32,000"
"116","Nona","RH","","40,000","","43,000","","34,000"
"117","Paprika","LF",NA,NA,NA,NA,"Blind quarter","Not analyzed"
"118","Paprika","LH",NA,NA,NA,NA,"Strep. species","69,000"
"119","Paprika","RF",NA,NA,NA,NA,"Strep. species","710,000"
"120","Paprika","RH",NA,NA,NA,NA,"","3,000"
"121","Peace","LF","Staph. aureus","350,000","Staph. aureus","2,000,000","Staph. aureus","1,000,000"
"122","Peace","LH","Sample contaminated","9,000","","11,000","","32,000"
"123","Peace","RF","Sample contaminated","7,000","","7,000","","6,000"
"124","Peace","RH","","14,000","","42,000","","38,000"
"125","Pearl","LF","","190,000","","43,000","Staph. species","210,000"
"126","Pearl","LH","","13,000","","45,000","","53,000"
"127","Pearl","RF","","14,000","Staph. species","86,000","","100,000"
"128","Pearl","RH","","15,000","","36,000","","44,000"
"129","Petunia","LF","","7,000","","10,000","","10,000"
"130","Petunia","LH","Staph. species","83,000","Staph. species","99,000","Staph. species","87,000"
"131","Petunia","RF","","58,000","","360,000","","140,000"
"132","Petunia","RH","Strep. species","3,000,000","Strep. species","18,000,000","Strep. species","6,400,000"
"133","Plantain","LF","Staph. aureus","470,000",NA,NA,NA,NA
"134","Plantain","LH","Staph. species","89,000",NA,NA,NA,NA
"135","Plantain","RF","Strep. species, Corynebacterium species","930,000",NA,NA,NA,NA
"136","Plantain","RH","Sample contaminated","11,000",NA,NA,NA,NA
"137","Pomme","LF","Sample contaminated","61,000","Staph. species","40,000","Staph. species","9,000"
"138","Pomme","LH","","180,000","","6,000","","0"
"139","Pomme","RF","Sample contaminated","54,000","","11,000","","2,000"
"140","Pomme","RH","Staph. species, Strep. species","54,000","Strep. species, Staph. species","230,000","Staph. species","60,000"
"141","Rhubarb","LF","","5,000","","5,000","","3,000"
