"","cow_id","quarter","first_IMI_species","first_SCC","second_IMI_species","second_SCC","third_IMI_species","third_SCC","fourth_IMI_species","fourth_SCC"
"1","1016.96","LF",NA,NA,""," 7,000 ",""," 6,000 ","Sample contaminated"," 4,000 "
"2","1016.96","LH",NA,NA,""," 15,000 ",""," 3,000 ",""," 14,000 "
"3","1016.96","RF",NA,NA,""," 4,000 ",""," 5,000 ","Sample contaminated"," 8,000 "
"4","1016.96","RH",NA,NA,""," 6,000 ",""," 6,000 ",""," 4,000 "
"5","11","LF",""," 29,000 ",NA,NA,NA,NA,NA,NA
"6","11","LH",""," 37,000 ",NA,NA,NA,NA,NA,NA
"7","11","RF",""," 34,000 ",NA,NA,NA,NA,NA,NA
"8","11","RH",""," 27,000 ",NA,NA,NA,NA,NA,NA
"9","12","LF","Staph. species"," 320,000 ",""," 9,700,000 ","Sample contaminated"," 160,000 ","Corynebacterium species"," 7,000 "
"10","12","LH",""," 12,000 ",""," 18,000 ","Corynebacterium species"," 19,000 ",""," 21,000 "
"11","12","RF","Corynebacterium species"," 16,000 ",""," 32,000 ","Staph. species"," 42,000 ",""," 66,000 "
"12","12","RH",""," 15,000 ",""," 210,000 ","Sample contaminated"," 22,000 ","Corynebacterium species"," 29,000 "
"13","16","LF","Staph. species"," 741,000 ","Staph. species"," 190,000 ","Sample contaminated"," 220,000 ","Staph. species"," 190,000 "
"14","16","LH","Staph. species"," 2,658,000 ",""," 4,000 ","Sample contaminated"," 15,000 ",""," 13,000 "
"15","16","RF","Sample contaminated"," 4,000 ",""," 3,000 ","Sample contaminated"," 3,000 ",""," 6,000 "
"16","16","RH","Sample contaminated"," 14,000 ",""," 30,000 ","Sample contaminated"," 6,000 ",""," 13,000 "
"17","17","LF","Staph. aureus"," 334,000 ","Staph. aureus"," 990,000 ","Staph. aureus"," 490,000 ","Staph. aureus"," 420,000 "
"18","17","LH",""," 94,000 ",""," 2,000 ",""," 5,000 ",""," 5,000 "
"19","17","RF",""," 20,000 ",""," 36,000 ",""," 30,000 ","Corynebacterium species"," 24,000 "
"20","17","RH","Staph. aureus"," 656,000 ","Staph. aureus"," 1,400,000 ","Staph. aureus"," 1,200,000 ","Staph. aureus"," 3,000,000 "
"21","19","LF",""," 6,000 ",""," 4,000 ",""," 7,000 ","Corynebacterium species"," 4,000 "
"22","19","LH","Corynebacterium species"," 3,000 ",""," 3,000 ",""," 2,000 ",""," 6,000 "
"23","19","RF","Sample contaminated"," 3,000 ",""," -   ",""," 4,000 ",""," 4,000 "
"24","19","RH",""," 4,000 ",""," 2,000 ",""," 3,000 ",""," 4,000 "
"25","23","LF",""," 2,000 ",""," 5,000 ",""," 2,000 ",""," 8,000 "
"26","23","LH",""," 3,000 ","Sample contaminated"," 2,000 ",""," 4,000 ",""," 3,000 "
"27","23","RF","Staph. species"," 76,000 ","Sample contaminated"," 75,000 ","Staph. species"," 200,000 ","Staph. species"," 180,000 "
"28","23","RH","Blind quarter"," Not analyzed ","Blind quarter"," Not analyzed ","Blind quarter"," Not analyzed ","Blind quarter"," Not analyzed "
"29","26","LF",""," 78,000 ",""," 150,000 ",""," 120,000 ",""," 640,000 "
