"","cow_id","quarter","first_IMI_species","first_SCC","second_IMI_species","second_SCC","third_IMI_species","third_SCC"
"1","Alf","LF","","13000","","130000","","49000"
"2","Alf","LH","Blind quarter","Not Analyzed","Blind quarter","Not analyzed","Blind quarter","Not analyzed"
"3","Alf","RF","Staph. species","450000","Staph. species","1000000","Staph. species","410000"
"4","Alf","RH","","2000","","42000","","33000"
"5","Aloha","LF","","11000","","51000","","6000"
"6","Aloha","LH","Staph. species","550000","Staph. species","2600000","Staph. species","130000"
"7","Aloha","RF","","2000","","6000","","3000"
"8","Aloha","RH","","4000","Staph. species","10000","","2000"
"9","ApplePie","LF","Staph. species","810000","Staph. species","630000",NA,NA
"10","ApplePie","LH","Blind quarter","Not Analyzed","Blind quarter","Not analyzed",NA,NA
"11","ApplePie","RF","Staph. species, Strep. species","1200000","Strep. species, Staph. species","1200000",NA,NA
"12","ApplePie","RH","Staph. species","130000","Staph. species","99000",NA,NA
"13","Bella","LF","","12000","","33000",NA,NA
"14","Bella","LH","","15000","","40000",NA,NA
"15","Bella","RF","","34000","","39000",NA,NA
"16","Bella","RH","","16000","","31000",NA,NA
"17","Bullet","LF","","4000","","8000","","0"
"18","Bullet","LH","","4000","","26000","","4000"
"19","Bullet","RF","","3000","","8000","","0"
"20","Bullet","RH","","2000","","15000","","0"
"21","Butter","LF",NA,NA,"","2000","","2000"
"22","Butter","LH",NA,NA,"","6000","","7000"
"23","Butter","RF",NA,NA,"","15000","","0"
"24","Butter","RH",NA,NA,"","12000","","2000"
"25","Butter ","LF","","15000",NA,NA,NA,NA
"26","Butter ","LH","","8000",NA,NA,NA,NA
"27","Butter ","RF","","17000",NA,NA,NA,NA
"28","Butter ","RH","","9000",NA,NA,NA,NA
"29","Butterfly","LF","","4000","","23000","","4000"
"30","Butterfly","LH","","7000","","14000","","6000"
"31","Butterfly","RF","Staph. species","300000","Staph. species","240000","Staph. species","50000"
"32","Butterfly","RH","","21000","","39000","","8000"
"33","Easter","LF","","2000","","7000",NA,NA
"34","Easter","LH","","10000","","17000",NA,NA
"35","Easter","RF","Staph. aureus","4900000","Staph. aureus","1900000",NA,NA
"36","Easter","RH","","2000","","7000",NA,NA
"37","Ginger","LF","","310000","","2000","","0"
"38","Ginger","LH","Staph. aureus","18000000","Blind quarter","Not analyzed","Blind quarter","Not analyzed"
"39","Ginger","RF","","27000","","16000","","350000"
"40","Ginger","RH","Staph. species","1400000","Staph. species","230000","","1700000"
"41","Gold","LF",NA,NA,"","9000","","0"
"42","Gold","LH",NA,NA,"","15000","","23000"
"43","Gold","RF",NA,NA,"","57000","","24000"
"44","Gold","RH",NA,NA,"Staph. aureus","2700000","Staph. aureus","330000"
"45","Goody","LF","Staph. species","540000","Staph. species","580000","Staph. species","300000"
"46","Goody","LH","Staph. species","300000","Staph. species","520000","Staph. species","100000"
"47","Goody","RF","Blind quarter","Not Analyzed","Blind quarter","Not analyzed","Blind quarter","Not analyzed"
"48","Goody","RH","","84000","","200000","","37000"
"49","Grape","LF",NA,NA,NA,NA,"Staph. species","28000"
"50","Grape","LH",NA,NA,NA,NA,"","2000"
"51","Grape","RF",NA,NA,NA,NA,"Staph. species","71000"
"52","Grape","RH",NA,NA,NA,NA,"Staph. species","20000"
"53","Honey","LF","","8000","","26000","","11000"
"54","Honey","LH","","29000","Staph. species","78000","","15000"
"55","Honey","RF","Staph. aureus","380000","Staph. aureus","360000","Staph. aureus","97000"
"56","Honey","RH","","27000","","76000","","9000"
"57","Izzie","LF","","2000","","8000","Other Gram-postive bacteria","2000"
"58","Izzie","LH","","7000","","6000","","0"
"59","Izzie","RF","","2000","","9000","","0"
"60","Izzie","RH","Strep. species","2000","","3000","","0"
"61","Jenny","LF","","20000","No sample","Not analyzed","","9000"
"62","Jenny","LH","Strep. species","750000","No sample","Not analyzed","Strep. species, Staph. species","200000"
"63","Jenny","RF","Strep. species","86000","No sample","Not analyzed","Strep. species","33000"
"64","Jenny","RH","","5000","No sample","Not analyzed","","3000"
"65","Jersey","LF","Staph. aureus","610000","Staph. aureus","670000","Staph. aureus","84000"
"66","Jersey","LH","Strep. species, Corynebacterium species","130000","","9000","","3000"
"67","Jersey","RF","","4000","","8000","","0"
"68","Jersey","RH","","15000","Strep. species, Corynebacterium species","61000","Strep. species","5000"
"69","Kandykorn","LF","Staph. species","43000","Staph. species","110000","Staph. species","29000"
"70","Kandykorn","LH","","10000","","31000","","9000"
"71","Kandykorn","RF","Blind quarter","Not Analyzed","Blind quarter","Not analyzed","Blind quarter","Not analyzed"
"72","Kandykorn","RH","","7000","Sample contaminated","9000","","3000"
"73","Karla","LF","","8000","","13000","","4000"
"74","Karla","LH","Strep. species, Staph. species","130000","Staph. species","310000","Staph. species","70000"
"75","Karla","RF","","17000","","11000","","8000"
"76","Karla","RH","Staph. species","570000","Strep. species, Staph. species","110000","Staph. species, Strep. species","29000"
"77","Katie","LF","Blind quarter","Not Analyzed","Strep. species","3500000","Blind quarter","Not analyzed"
"78","Katie","LH","Staph. species","180000","Staph. species","190000","Staph. species","110000"
"79","Katie","RF","","380000","Blind quarter","Not analyzed","Blind quarter","Not analyzed"
"80","Katie","RH","","5000","","140000","","41000"
"81","Kit","LF","","29000","","71000","","42000"
"82","Kit","LH","Staph. species","290000","Staph. species","320000","Staph. species","120000"
"83","Kit","RF","","14000","","33000","","12000"
"84","Kit","RH","","12000","","41000","","31000"
"85","Kooper","LF",NA,NA,NA,NA,"Staph. species","13000"
"86","Kooper","LH",NA,NA,NA,NA,"Staph. species","43000"
"87","Kooper","RF",NA,NA,NA,NA,"Blind quarter","Not analyzed"
"88","Kooper","RH",NA,NA,NA,NA,"Sample contaminated","30000"
"89","Korny","LF","Staph. species","210000","Staph. species","230000","Staph. species","28000"
"90","Korny","LH","Staph. species, Strep. species","120000","Strep. species, Staph. species","180000","Staph. species, Strep. species","20000"
"91","Korny","RF","Staph. species","130000","Staph. species","90000","Staph. species","13000"
"92","Korny","RH","Staph. species","33000","Staph. species","43000","Staph. species","8000"
"93","Lemon","LF","","34000","","5000","","0"
"94","Lemon","LH","","38000","Corynebacterium species","9000","","0"
"95","Lemon","RF","","31000","","2000","","0"
"96","Lemon","RH","","27000","Corynebacterium species","10000","","0"
"97","Maxie","LF","","11000","","13000",NA,NA
"98","Maxie","LH","","71000","","110000",NA,NA
"99","Maxie","RF","","24000","","13000",NA,NA
"100","Maxie","RH","","140000","","94000",NA,NA
"101","MsChar","LF","","5000","","28000","","84000"
"102","MsChar","LH","Staph. species","71000","Staph. species","170000","Staph. species","160000"
"103","MsChar","RF","","4000","","19000","","70000"
"104","MsChar","RH","","26000","","75000","","1100000"
"105","Peacock","LF","Staph. species","770000","Staph. species","1400000",NA,NA
"106","Peacock","LH","Staph. species","240000","Staph. species","580000",NA,NA
"107","Peacock","RF","","6000","","490000",NA,NA
"108","Peacock","RH","","20000","","53000",NA,NA
"109","Penny","LF","","0","","4000","Staph. species","22000"
"110","Penny","LH","","6000","","0","","150000"
"111","Penny","RF","Corynebacterium species","2000","","2000","","0"
"112","Penny","RH","","2000","","3000","","4000"
"113","Peonie","LF","","8000","","6000","","0"
"114","Peonie","LH","","8000","","13000","","7000"
"115","Peonie","RF","Sample contaminated","54000","Staph. species","240000","Staph. species","20000"
"116","Peonie","RH","Corynebacterium species, Strep. species","8000","Sample contaminated","9000","Staph. species","4000"
"117","PG","LF","","16000","","58000","","12000"
"118","PG","LH","","13000","","57000","","6000"
"119","PG","RF","","15000","","62000","","6000"
"120","PG","RH","","15000","","57000","","9000"
"121","Pistol","LF","Blind quarter","Not Analyzed","Blind quarter","Not analyzed","Blind quarter","Not analyzed"
"122","Pistol","LH","","8000","","4000","","2000"
"123","Pistol","RF","","4000","Staph. aureus","11000","","1200000"
"124","Pistol","RH","","4000","Strep. species, Staph. species","260000","","4000"
"125","Rabbit","LF","","4000","","4000","","0"
"126","Rabbit","LH","","5000","","6000","","16000"
"127","Rabbit","RF","Staph. species","300000","Staph. species","300000","Staph. species","28000"
"128","Rabbit","RH","","6000","","6000","","0"
"129","Racer","LF","","18000","","29000","","24000"
"130","Racer","LH","Staph. species","370000","Staph. species","630000","Staph. species","250000"
"131","Racer","RF","Staph. species","250000","Staph. species","150000","Staph. species","40000"
"132","Racer","RH","","10000","","12000","","5000"
"133","Ruger","LF",NA,NA,NA,NA,"","92000"
"134","Ruger","LH",NA,NA,NA,NA,"Strep. species","310000"
"135","Ruger","RF",NA,NA,NA,NA,"Staph. species","3000"
"136","Ruger","RH",NA,NA,NA,NA,"","8000"
"137","Spice","LF","Staph. species","900000","Staph. species","960000","Staph. species","63000"
"138","Spice","LH","Staph. species","34000","","42000","","8000"
"139","Spice","RF","","24000","","33000","Corynebacterium species","3000"
"140","Spice","RH","","43000","","66000","Corynebacterium species","12000"
"141","Spot","LF","Sample contaminated","0","","4000","","0"
"142","Spot","LH","","10000","","6000","","2000"
"143","Spot","RF","","2000","","12000","","0"
"144","Spot","RH","","2000","","9000","","0"
"145","Teach","LF","","4000","Corynebacterium species","6000","","0"
"146","Teach","LH","","6000","","9000","","2000"
"147","Teach","RF","","7000","","4000","","0"
"148","Teach","RH","","4000","","4000","","0"
"149","Tess","LF","","2000","","2000","","0"
