"","cow_id","quarter","first_IMI_species","first_SCC","second_IMI_species","second_SCC"
"1","Abbazaba","LF","","9000","","470000"
"2","Abbazaba","LH","","7000","","710000"
"3","Abbazaba","RF","","10000","","420000"
"4","Abbazaba","RH","","4000","","560000"
"5","Abbi","LF","","127000","","170000"
"6","Abbi","LH","","336000","","740000"
"7","Abbi","RF","Corynebacterium species","78000","Sample contaminated","120000"
"8","Abbi","RH","","105000","","130000"
"9","Alaska","LF","","5000","","30000"
"10","Alaska","LH","","7000","","29000"
"11","Alaska","RF","","21000","","61000"
"12","Alaska","RH","","12000","","21000"
"13","Alexis","LF","Staph. species","3003000","","1300000"
"14","Alexis","LH","","330000","Sample contaminated","800000"
"15","Alexis","RF","","715000","Staph. species","6100000"
"16","Alexis","RH","","318000","Staph. species","760000"
"17","Ashley","LF","Staph. species","628000","Staph. species","560000"
"18","Ashley","LH","Staph. species","58000","Staph. species","280000"
"19","Ashley","RF","","13000","","41000"
"20","Ashley","RH","","16000","","33000"
"21","Aubrey","LF","","18000","","88000"
"22","Aubrey","LH","","32000","","160000"
"23","Aubrey","RF","","5000","","82000"
"24","Aubrey","RH","","46000","","140000"
"25","Big Red","LF","","4000","","15000"
"26","Big Red","LH","","10000","","41000"
"27","Big Red","RF","","3000","","12000"
"28","Big Red","RH","","10000","","45000"
"29","Brandy","LF","","62000","","610000"
"30","Brandy","LH","","12000","","29000"
"31","Brandy","RF","","409000","","1400000"
"32","Brandy","RH","","30000","","110000"
"33","Charlie","LF",NA,NA,"Staph. aureus","330000"
"34","Charlie","LH",NA,NA,"","53000"
"35","Charlie","RF",NA,NA,"Sample contaminated","37000"
"36","Charlie","RH",NA,NA,"","Not analyzed: volume"
"37","Charlotte","LF","Staph. aureus","94000",NA,NA
"38","Charlotte","LH","","12000",NA,NA
"39","Charlotte","RF","","16000",NA,NA
"40","Charlotte","RH","","302000",NA,NA
"41","Chelsea","LF","Unknown organism","135000","Sample contaminated","200000"
"42","Chelsea","LH","","11000","Staph. species","68000"
"43","Chelsea","RF","","10000","","40000"
"44","Chelsea","RH","","32000","","76000"
"45","Daisy","LF","","53000","Sample contaminated","170000"
"46","Daisy","LH","","40000","","93000"
"47","Daisy","RF","","40000","","130000"
"48","Daisy","RH","","39000","","140000"
"49","Daryl","LF","","22000","","130000"
"50","Daryl","LH","","57000","","250000"
"51","Daryl","RF","","52000","","260000"
"52","Daryl","RH","","878000","","5100000"
"53","Delilah","LF","","12000","","17000"
"54","Delilah","LH","","31000","","180000"
"55","Delilah","RF","","11000","","14000"
"56","Delilah","RH","","12000","","14000"
"57","Doris","LF","Staph. species","259000","Staph. species","640000"
"58","Doris","LH","","29000","","140000"
"59","Doris","RF","","1826000","","8400000"
"60","Doris","RH","","29000","","95000"
"61","Echo","LF","","106000","","420000"
"62","Echo","LH","Staph. species","118000","Staph. species","260000"
"63","Echo","RF","Staph. species","573000","","1400000"
"64","Echo","RH","Staph. species","102000","Staph. species","370000"
"65","Faith","LF","","440000","Sample contaminated","1800000"
"66","Faith","LH","","78000","","5600000"
"67","Faith","RF","","96000","Staph. species","1400000"
"68","Faith","RH","","82000","Sample contaminated","1500000"
"69","Genie","LF","","16000","","12000"
"70","Genie","LH","","34000","","20000"
"71","Genie","RF","","84000","","62000"
"72","Genie","RH","","39000","","16000"
"73","Indigo","LF","","17000",NA,NA
"74","Indigo","LH","","21000",NA,NA
"75","Indigo","RF","Sample contaminated","140000",NA,NA
"76","Indigo","RH","","11000",NA,NA
"77","Italia","LF","","7000",NA,NA
"78","Italia","LH","","32000",NA,NA
"79","Italia","RF","Staph. aureus","247000",NA,NA
"80","Italia","RH","","9000",NA,NA
"81","Lish","LF","","40000","","170000"
"82","Lish","LH","Staph. species","26000","Staph. species","97000"
"83","Lish","RF","","40000","","78000"
"84","Lish","RH","Staph. species","23000","Staph. species","60000"
"85","Lucinda","LF","","8000","","33000"
"86","Lucinda","LH","","91000","","220000"
"87","Lucinda","RF","","21000","","78000"
"88","Lucinda","RH","","95000","","280000"
"89","Margo","LF","","34000","","73000"
"90","Margo","LH","Staph. species","616000","Staph. species","770000"
"91","Margo","RF","","22000","","44000"
"92","Margo","RH","","19000","","68000"
"93","Octavia","LF","","11000","","33000"
"94","Octavia","LH","Staph. species","233000","Staph. species","340000"
