"","cow_id","quarter","first_IMI_species","first_SCC","second_IMI_species","second_SCC","third_IMI_species","third_SCC"
"1","Abigail","LF","","62000","Staph. species","110000","Staph. species, Corynebacterium species","200000"
"2","Abigail","LH","Strep. species","1000000","Strep. species","2400000","Strep. species","1700000"
"3","Abigail","RF","","13000","","38000","","94000"
"4","Abigail","RH","","10000","","24000","","36000"
"5","Alice","LF","","3000","","12000","Staph. species","240000"
"6","Alice","LH","","67000","","4000","","2000"
"7","Alice","RF","Staph. species","110000","","9000","","5000"
"8","Alice","RH","","2000","","260000","","120000"
"9","Alma","LF","","0","","2000","","3000"
"10","Alma","LH","","Not analyzed: low volume","","2000","","4000"
"11","Alma","RF","","2400","","2000","","3000"
"12","Alma","RH","","2000","","0","","2000"
"13","Ardetta","LF","","4000","","6000","","9000"
"14","Ardetta","LH","","5000","","5000","Staph. species","7000"
"15","Ardetta","RF","Staph. species","60000","Staph. species","72000","Staph. species","200000"
"16","Ardetta","RH","","17000","","11000","","14000"
"17","Bonnie","LF","","9000","","14000",NA,NA
"18","Bonnie","LH","","10000","","11000",NA,NA
"19","Bonnie","RF","","11000","","13000",NA,NA
"20","Bonnie","RH","","6000","","15000",NA,NA
"21","Clara","LF","","16000","","24000","","39000"
"22","Clara","LH","","23000","","27000","","47000"
"23","Clara","RF","","71000","Staph. species","42000","","53000"
"24","Clara","RH","Staph. species","290000","Staph. species","160000","Staph. species","420000"
"25","Esme","LF","Staph. species","82000","Staph. species","50000","Staph. species","83000"
"26","Esme","LH","Staph. species","120000","Staph. species","84000","Staph. species","99000"
"27","Esme","RF","","30000","","45000","","23000"
"28","Esme","RH","","49000","","54000","","38000"
"29","Flavia","LF","Staph. species","86000","Staph. species","59000","Staph. species","140000"
"30","Flavia","LH","","3000","","8000","","9000"
"31","Flavia","RF","Blind quarter","Not analyzed","","2700000","Blind quarter","Not analyzed"
"32","Flavia","RH","Staph. species","110000","Staph. species","67000","Staph. species","120000"
"33","Freida","LF","","8000","","11000","","11000"
"34","Freida","LH","","6000","","11000","","10000"
"35","Freida","RF","","4000","","5000","","6000"
"36","Freida","RH","Blind quarter","Not analyzed","Blind quarter","Not analyzed","Blind quarter","Not analyzed"
"37","Gloria","LF","Staph. species","85000","Staph. species","80000","Staph. species","67000"
"38","Gloria","LH","","0","","2000","Sample contaminated","6000"
"39","Gloria","RF","Staph. species","200000","Staph. species","69000","Staph. species","67000"
"40","Gloria","RH","","5000","","4000","Sample contaminated","11000"
"41","Gomora","LF",NA,NA,"","40000","","5000"
"42","Gomora","LH",NA,NA,"","38000","","6000"
"43","Gomora","RF",NA,NA,"","41000","","8000"
"44","Gomora","RH",NA,NA,"","49000","","6000"
"45","Hosana","LF","","3000","","0","Staph. species","2000"
"46","Hosana","LH","","3000","","0","","0"
"47","Hosana","RF","","","","0","","0"
"48","Hosana","RH","","0","","0","","0"
"49","Hyacinth","LF","","9000","","7000","","4000"
"50","Hyacinth","LH","","11000","","9000","","4000"
"51","Hyacinth","RF","","8000","","8000","","7000"
"52","Hyacinth","RH","Staph. species","13000","","15000","","8000"
"53","Immogene","LF",NA,NA,NA,NA,"","2000"
"54","Immogene","LH",NA,NA,NA,NA,"","0"
"55","Immogene","RF",NA,NA,NA,NA,"","0"
"56","Immogene","RH",NA,NA,NA,NA,"","0"
"57","Imogene","LF","","2000","Staph. species","5000",NA,NA
"58","Imogene","LH","Staph. species","2000","","4000",NA,NA
"59","Imogene","RF","","3000","","6000",NA,NA
"60","Imogene","RH","Sample contaminated","2000","","8000",NA,NA
"61","Indie","LF","","9000","","21000","","82000"
"62","Indie","LH","","23000","","16000","","63000"
"63","Indie","RF","","11000","","24000","","110000"
"64","Indie","RH","","12000","","12000","","49000"
"65","Irene","LF","Staph. species","29000","Staph. species","50000","Staph. species","69000"
"66","Irene","LH","","16000","","44000","","16000"
"67","Irene","RF","","7000","","10000","","20000"
"68","Irene","RH","","6000","","72000","","34000"
"69","Iris","LF","","4000","","6000","","2000"
