cowid_quarter,first_NA,second_NA,third_NA,fourth_NA,just_1,just_2,just_3,just_4,1_2,2_3,3_4,1_4,2_4,1_3,1_2_3,1_x_3_4,1_2_x_4,2_3_4,1_2_3_4,first_IMI,second_IMI,third_IMI,fourth_IMI,first_SCS,second_SCS,third_SCS,fourth_SCS
12_Choiniere_RH,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No growth,No growth,NA,NA,0.263034406,4.070389328,NA,NA
160_Glennview_LH,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No growth,No growth,NA,NA,-1.64385619,-1.058893689,NA,NA
175_Glennview_LH,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No growth,No growth,NA,NA,-0.184424571,-1.321928095,NA,NA
203_Glennview_LF,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No growth,No growth,NA,NA,-2.64385619,-1.058893689,NA,NA
204_Glennview_LF,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No growth,No growth,NA,NA,-1.64385619,-1.058893689,NA,NA
206_Glennview_LF,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No growth,No growth,NA,NA,-1.321928095,-1.058893689,NA,NA
27_Choiniere_RH,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No growth,No growth,NA,NA,5.324810603,5,NA,NA
27_Glennview_RF,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No growth,No growth,NA,NA,-1.321928095,-2.058893689,NA,NA
3_Choiniere_RH,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No growth,No growth,NA,NA,-2.058893689,-0.836501268,NA,NA
48_Choiniere_LF,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No growth,No growth,NA,NA,-1.64385619,-1.058893689,NA,NA
48_Choiniere_RH,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No growth,No growth,NA,NA,0.526068812,0.879705766,NA,NA
656_BJ_RF,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No growth,No growth,NA,NA,1.565597176,1.214124805,NA,NA
