  ID  ,Test Date,MILK,PCTF,PCTP,305ME,SCC,?,PEN,MUN
1,2/18/2018,95,3.5,2.8,19580,57,0,0,0
1,3/20/2018,91,3.9,2.6,19210,27,0,0,0
1,4/22/2018,93,3.5,2.5,20550,69,0,0,0
1,5/20/2018,86,4.1,2.8,20830,47,0,0,0
1,6/21/2018,74,3,2.6,20430,46,0,0,0
1,7/29/2018,79,3.4,2.8,22340,68,0,0,16
1,8/22/2018,57,3.4,2.7,21090,1593,0,0,20
1,9/14/2018,68,3.2,2.7,22520,33,0,0,9
1,10/15/2018,65,3.7,2.8,23050,28,0,0,0
1,11/16/2018,62,3.6,2.8,23400,58,0,0,0
1,12/20/2018,60,3.4,2.9,23510,194,0,0,0
1,1/21/2019,54,3.6,3,23510,60,0,0,0
1,2/25/2019,0,0,0,23510,0,0,0,0
4,2/25/2019,70,4.1,3.1,17690,33,0,0,0
4,3/22/2019,85,3.3,2.2,19210,16,0,0,0
4,4/28/2019,70,2.8,2.2,17830,11,0,0,0
5,2/25/2019,54,4.5,4.7,0,114,0,0,0
5,3/22/2019,83,2.7,2.6,17610,15,0,0,0
5,4/28/2019,65,2.9,2.4,15390,15,0,0,0
6,4/28/2019,82,3.6,2.9,18980,24,0,0,0
8,4/22/2018,62,3.7,3.2,14450,62,0,0,0
8,5/20/2018,78,4,2.8,15890,6,0,0,0
8,6/21/2018,52,3.7,2.8,13410,11,0,0,0
8,7/29/2018,53,3.4,2.8,13980,27,0,0,12
8,8/22/2018,57,3.7,3,14910,51,0,0,20
8,9/14/2018,51,3.7,2.9,14640,15,0,0,9
8,10/15/2018,48,4,3,14960,16,0,0,0
8,11/16/2018,48,3.7,3,15620,20,0,0,0
8,12/20/2018,47,3.6,3.2,16090,52,0,0,0
8,1/21/2019,35,3.9,3.4,15980,114,0,0,0
8,2/25/2019,21,4.6,3.8,16020,324,0,0,0
8,3/22/2019,0,0,0,16020,0,0,0,0
10,7/29/2018,71,3.1,3.7,0,4224,0,0,6
10,8/22/2018,74,3.7,2.4,15760,513,0,0,15
10,9/14/2018,80,2.6,2.4,16670,1469,0,0,6
10,10/15/2018,80,3.1,2.5,17800,460,0,0,0
10,11/16/2018,60,3.4,2.6,16620,856,0,0,0
10,12/20/2018,83,3.1,2.7,20480,1225,0,0,0
10,1/21/2019,76,3,2.6,20840,370,0,0,0
10,2/25/2019,70,3.3,2.8,21260,362,0,0,0
10,3/22/2019,64,3.4,2.8,21280,478,0,0,0
10,4/28/2019,0,0,0,21280,0,0,0,0
11,1/21/2019,60,3.1,2.4,14170,13,0,0,0
11,2/25/2019,72,3.4,2.6,15600,13,0,0,0
11,3/22/2019,67,3,2.6,15470,20,0,0,0
11,4/28/2019,59,2.8,2.6,15230,24,0,0,0
12,2/25/2019,36,6,3.7,12110,52,0,0,0
12,3/22/2019,52,4.6,3.2,12750,36,0,0,0
12,4/28/2019,55,4.7,3.2,12740,12,0,0,0
13,4/28/2019,63,3.5,2.8,16570,652,0,0,0
16,4/28/2019,68,3.2,2.5,16550,115,0,0,0
19,2/25/2019,70,3.8,2.7,16080,21,0,0,0
19,3/22/2019,77,3.8,2.4,16640,21,0,0,0
19,4/28/2019,59,4.1,2.4,15020,19,0,0,0
21,3/20/2018,79,4.6,2.8,16830,3507,0,0,0
21,4/22/2018,72,4.4,2.5,16100,3750,0,0,0
21,5/20/2018,47,4,2.7,13650,2407,0,0,0
21,6/21/2018,68,4.1,2.7,16410,1217,0,0,0
21,7/29/2018,56,3.5,2.8,15380,362,0,0,11
21,8/22/2018,63,4,2.8,17090,273,0,0,14
21,9/14/2018,51,3.2,2.8,16550,459,0,0,8
21,10/15/2018,53,4.2,2.8,17390,275,0,0,0
21,11/16/2018,51,3.4,2.9,17820,353,0,0,0
21,12/20/2018,58,4.1,3,18280,405,0,0,0
21,1/21/2019,47,3.8,3,18340,291,0,0,0
21,2/25/2019,47,4.3,3.1,18340,531,0,0,0
21,3/22/2019,48,3.9,3,18340,444,0,0,0
21,4/28/2019,40,4,3.1,18340,442,0,0,0
22,5/5/2017,77,0,0,0,0,0,0,0
22,6/4/2017,73,0,0,0,0,0,0,0
22,7/4/2017,68,0,0,0,0,0,0,0
22,8/17/2017,61,4.2,2.9,16240,52,0,0,13
22,9/22/2017,43,4.5,2.9,15340,73,0,0,10
22,10/26/2017,37,5.1,3.2,15270,199,0,0,0
22,11/29/2017,40,4.6,3.1,15980,66,0,0,0
22,12/28/2017,33,3.8,3.3,15970,66,0,0,0
22,1/24/2018,47,4.7,3.5,16470,86,0,0,0
22,2/18/2018,36,3.4,3.5,16510,31,0,0,0
22,3/20/2018,45,5.2,3.5,16510,43,0,0,0
22,4/22/2018,37,4.7,3.6,16510,81,0,0,0
22,5/20/2018,18,3.3,3.7,16510,568,0,0,0
22,6/21/2018,0,0,0,16510,0,0,0,0
23,6/21/2018,81,4.3,3.1,16600,1018,0,0,0
23,7/29/2018,86,3.1,2.7,17570,152,0,0,12
23,8/22/2018,83,3.4,2.5,18360,158,0,0,18
23,9/14/2018,72,3.2,2.5,17980,133,0,0,8
23,10/15/2018,70,3.3,2.8,18730,66,0,0,0
23,11/16/2018,73,3.1,2.8,20300,133,0,0,0
23,12/20/2018,76,3.4,2.8,21600,97,0,0,0
23,1/21/2019,69,3.2,2.9,22100,69,0,0,0
23,2/25/2019,56,3.7,3.5,21910,75,0,0,0
23,3/22/2019,39,4,3.5,21680,102,0,0,0
23,4/28/2019,0,0,0,21680,0,0,0,0
25,4/28/2019,97,4,3,19380,24,0,0,0
27,7/29/2018,49,3.1,2.6,15170,59,0,0,16
27,8/22/2018,55,3.7,2.7,16430,148,0,0,22
