Sort_num,Herd_code,Farm_name,Sample_date,Facility_type,Bedding_type,Facility_Bedding,Lact_Dry,Used_NotUsed,Material,Mat_Type,Org_Inorg,bedding_choose_one,bedding_Sample_ID,bedding_perc_moisture,bedding_pH,bedding_EC,bedding_bacillus_CFUmL_0,bedding_bacillus_CFUmL_12.5,bedding_bacillus_log10,bedding_coliforms_CFUmL_0,bedding_coliforms_CFUmL_12.5,bedding_coliforms_log10,bedding_PERCENT_klebsiella,bedding_klebsiella_CFUmL,bedding_klebsiella_log10,bedding_envstrep_CFUmL_0,bedding_envstrep_CFUmL_12.5,bedding_envstrep_log10,bedding_noncoligramneg_CFUmL_0,bedding_noncoligramneg_CFUmL_12.5,bedding_noncoligramneg_log10,bedding_staphsp_CFUmL_0,bedding_staphsp_CFUmL_12.5,bedding_staphsp_log10,bedding_total_bacteria_count_CFUmL_0,bedding_total_bacteria_count_log10,milk_Sample_ID,milk_RAW_CFU_ml_1.100,milk_log10_rawcfu,milk_PAST_CFU_ml_1.10,milk_PI__CFU_ml__1.1000,milk_Total_Coli__CFU_ml__1.1,milk_E._coli__CFU_ml__1.1,milk_Staph__CFU_ml__1.10,milk_perc_BF,milk_perc_Protein,milk_perc_Lactose,milk_perc_Other Solids,milk_MUN,milk_SCC_1.1000,milk_log2_SCC,milk_log10_scc,milk_Coliforms,milk_log10_coliforms,milk_Non_ag_Strep,milk_log10_strep,milk_Staph_aureus,milk_log10_aureus,milk_Staph_sp,milk_log10_staphsp,milk_Strep_ag,milk_Mycoplasma,perc_new_IMI,perc_chron_IMI,perc_IMI,std_150_milk,avg_LS_unweighted,avg_LS_weighted,perc_udder_3and4,mean_hygiene,farm_county,pred_breed,herd_size,herd_size_cat,sel_feed,air_quality_prod,air_quality_TA,age_fac,lying_surface,freestall_density,tiestall_trainers,bp_fed_on_pack,bp_num_cows_on_pack,bp_pack_area,bp_cow_density,bp_stock_dens_perc,wood_dried,wood_storage,fiber_type,fiber_source,fiber_dry,fiber_storage,bedding_conditioner,freq_add_new_bedding_stall_wk,freq_stall_scraping_wk,depth_bedding_stalls,method_alley_clean,freq_gutter_cleaner_wk,bp_freq_tilling_wk,bp_depth_tilled_in,bp_attentiveness,bp_bedding_depth,freq_milking_day,milking_sys,parlor_type,parlor_wash_units,predip,predip_type,postdip,postdip_type,forestrip,wipe,towel_type,towel_num,gloves,mast_det_recc,clip_udder,trim_switch,mast_record,record_type,culture_mast,culture_scc,culture_fresh,culture_dry,culture_loc,mast_vax,dry_prod,sel_supp
1,OH.01,Choiniere,4.3.2019,BP,BP,BP_BP,D,U,WcHa,WF,O,n,OH.01.D.U.HaWc,0.58,,,6250000,6250000,6.79588,350000,350000,5.54407,0.29,101500,5.006466042,6250000,6250000,6.79588,1900000,1900000,6.27875,7500,7500,3.87506,14757500,7.16901,0H.01_milk,400,2.602059991,10,1000,0,0,30,3.61,2.93,4.6,5.7,9.1,140000,3.49,5.146128036,0,,35,1.54407,15,1.176091259,0,,0,Neg,12.3,23.1,36.9,42,3.1,4.3,0.41,2.29,Franklin,Holstein,82,70_100,y,poor_fair,good,15,deep,NA,NA,y,55,562.9,10.2,0.91,fresh_raw,NA,both,farm,wrapped_round,both,y,NA,NA,NA,NA,NA,3.5,10.2,1,1.2,2,tiestall,NA,NA,y,iodine,y,iodine,n,y,paper,one,no_some,y,n,y,never,NA,never,never,never,never,never,n,n,no
2,OH.01,Choiniere,4.3.2019,BP,BP,BP_BP,L,U,WcHa,WF,O,y,OH.01.L.U.HaWc,0.64,7.73,2510,6250000,6250000,6.79588,375000,375000,5.57403,0,0,,6250000,6250000,6.79588,6250000,6250000,6.79588,7500,7500,3.87506,19132500,7.28177,0H.01_milk,400,2.602059991,10,1000,0,0,30,3.61,2.93,4.6,5.7,9.1,140000,3.49,5.146128036,0,,35,1.54407,15,1.176091259,0,,0,Neg,12.3,23.1,36.9,42,3.1,4.3,0.41,2.29,Franklin,Holstein,82,70_100,y,poor_fair,good,15,deep,NA,NA,y,55,562.9,10.2,0.91,fresh_raw,NA,both,farm,wrapped_round,both,y,NA,NA,NA,NA,NA,3.5,10.2,1,1.2,2,tiestall,NA,NA,y,iodine,y,iodine,n,y,paper,one,no_some,y,n,y,never,NA,never,never,never,never,never,n,n,no
3,OH.01,Choiniere,4.3.2019,BP,BP,BP_BP,LD,N,Ha,F,O,n,OH.01.LD.N.Ha,0.25,5.77,3120,150,150,2.17609,0,12.5,1.09691,0,0,,250,250,2.39794,0,12.5,1.09691,75,75,1.87506,475,2.67669,0H.01_milk,400,2.602059991,10,1000,0,0,30,3.61,2.93,4.6,5.7,9.1,140000,3.49,5.146128036,0,,35,1.54407,15,1.176091259,0,,0,Neg,12.3,23.1,36.9,42,3.1,4.3,0.41,2.29,Franklin,Holstein,82,70_100,y,poor_fair,good,15,deep,NA,NA,y,55,562.9,10.2,0.91,NA,NA,both,farm,wrapped_round,both,y,NA,NA,NA,NA,NA,3.5,10.2,1,1.2,2,tiestall,NA,NA,y,iodine,y,iodine,n,y,paper,one,no_some,y,n,y,never,NA,never,never,never,never,never,n,n,no
4,OH.01,Choiniere,4.3.2019,BP,BP,BP_BP,LD,N,Wc,W,O,n,OH.01.LD.N.Wc,0.36,5.69,160,125,125,2.09691,0,12.5,1.09691,0,0,,0,12.5,1.09691,3750,3750,3.57403,25,25,1.39794,3900,3.59106,0H.01_milk,400,2.602059991,10,1000,0,0,30,3.61,2.93,4.6,5.7,9.1,140000,3.49,5.146128036,0,,35,1.54407,15,1.176091259,0,,0,Neg,12.3,23.1,36.9,42,3.1,4.3,0.41,2.29,Franklin,Holstein,82,70_100,y,poor_fair,good,15,deep,NA,NA,y,55,562.9,10.2,0.91,fresh_raw,NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,3.5,10.2,1,1.2,2,tiestall,NA,NA,y,iodine,y,iodine,n,y,paper,one,no_some,y,n,y,never,NA,never,never,never,never,never,n,n,no
5,OH.02,StonyPond,4.3.2019,BP,BP,BP_BP,LD,N,Sh,W,O,n,OH.02.LD.N.Sh,0.2,4.85,216,375,375,2.57403,0,12.5,1.09691,0,0,,50,50,1.69897,0,12.5,1.09691,0,12.5,1.09691,425,2.62839,0H.02_milk,600,2.77815125,10,2000,11,2,30,4.26,3.52,4.6,5.69,9.57,99000,2.99,4.995635195,0,,10,1,30,1.477121255,40,1.602059991,0,Neg,NA,NA,NA,56.3,2.1,3.4,0.48,2.48,Franklin,Jersey_Other,70,70_100,n,excellent,good,3,deep,NA,NA,n,35,219.6,6.3,1.26,kiln_dried,under_cover,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,14,20.3,1,0.9,2,parlor,herringbone,occ_between,y,iodine,y,iodine,y,y,paper,dep_two,all,n,n,y,sometimes_temp,written,sometimes_always,sometimes_always,never,never,ref_vet_onfarm,n,n,occ_reg
6,OH.02,StonyPond,4.3.2019,BP,BP,BP_BP,LD,U,Sh,W,O,y,OH.02.LD.U.Sh,0.62,7.85,2150,6250000,6250000,6.79588,180000,180000,5.25527,0.45,81000,4.908485019,400000,400000,5.60206,100000,100000,5,0,12.5,1.09691,6930000,6.84073,0H.02_milk,600,2.77815125,10,2000,11,2,30,4.26,3.52,4.6,5.69,9.57,99000,2.99,4.995635195,0,,10,1,30,1.477121255,40,1.602059991,0,Neg,NA,NA,NA,56.3,2.1,3.4,0.48,2.48,Franklin,Jersey_Other,70,70_100,n,excellent,good,3,deep,NA,NA,n,35,219.6,6.3,1.26,kiln_dried,under_cover,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,14,20.3,1,0.9,2,parlor,herringbone,occ_between,y,iodine,y,iodine,y,y,paper,dep_two,all,n,n,y,sometimes_temp,written,sometimes_always,sometimes_always,never,never,ref_vet_onfarm,n,n,occ_reg
7,OH.02,StonyPond,4.3.2019,BP,BP,BP_BP,LD,U,Sh,W,O,n,OH.02.LD.U.Sh,0.58,,,6250000,6250000,6.79588,675000,675000,5.8293,0.31,209250,5.320665467,2025000,2025000,6.30643,2000000,2000000,6.30103,0,12.5,1.09691,10950000,7.03941,0H.02_milk,600,2.77815125,10,2000,11,2,30,4.26,3.52,4.6,5.69,9.57,99000,2.99,4.995635195,0,,10,1,30,1.477121255,40,1.602059991,0,Neg,NA,NA,NA,56.3,2.1,3.4,0.48,2.48,Franklin,Jersey_Other,70,70_100,n,excellent,good,3,deep,NA,NA,n,35,219.6,6.3,1.26,kiln_dried,under_cover,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,14,20.3,1,0.9,2,parlor,herringbone,occ_between,y,iodine,y,iodine,y,y,paper,dep_two,all,n,n,y,sometimes_temp,written,sometimes_always,sometimes_always,never,never,ref_vet_onfarm,n,n,occ_reg
8,OH.03,Davis,4.10.2019,FS,SA,FS_SA,LD,N,Sn,S,I,n,OH.03.LD.N.Sn,0.04,9.31,2420,16500,16500,4.21748,0,12.5,1.09691,0,0,,1750,1750,3.24304,0,12.5,1.09691,0,12.5,1.09691,18250,4.26126,OH.03_milk,3700,3.568201724,90,80000,0,0,30,4.8,3.82,4.6,5.69,11.7,200000,4,5.301029996,0,,30,1.47712,0,,110,2.041392685,0,Neg,4.8,14.5,25.8,44.7,2.9,5,0.27,2.15,Chittenden,Holstein,74,70_100,NA,excellent,fair,2,deep,1.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n,1,14,NA,skid_steer,NA,NA,NA,NA,NA,2,parlor,swing,occ_between,y,iodine,y,iodine,y,y,paper,dep_two,all,y,n,y,sometimes_temp,written,sometimes_always,sometimes_always,never,never,ref_vet_onfarm,n,n,no
9,OH.03,Davis,4.10.2019,FS,SA,FS_SA,LD,U,Sn,S,I,y,OH.03.LD.U.Sn,0.08,8.68,611,3850000,3850000,6.58546,1250,1250,3.09691,0,0,,700000,700000,5.8451,18250,18250,4.26126,500,500,2.69897,4570000,6.65992,OH.03_milk,3700,3.568201724,90,80000,0,0,30,4.8,3.82,4.6,5.69,11.7,200000,4,5.301029996,0,,30,1.47712,0,,110,2.041392685,0,Neg,4.8,14.5,25.8,44.7,2.9,5,0.27,2.15,Chittenden,Holstein,74,70_100,NA,excellent,fair,2,deep,1.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n,1,14,NA,skid_steer,NA,NA,NA,NA,NA,2,parlor,swing,occ_between,y,iodine,y,iodine,y,y,paper,dep_two,all,y,n,y,sometimes_temp,written,sometimes_always,sometimes_always,never,never,ref_vet_onfarm,n,n,no
10,OH.04,Donegan,4.10.2019,BP,BP,BP_BP,D,N,HaSt,F,O,n,OH.04.D.N.HaSt,0.12,5.54,,2250,2250,3.35218,275,275,2.43933,0,0,,0,12.5,1.09691,7000,7000,3.8451,0,12.5,1.09691,9525,3.97886,OH.04_milk,100,2,0,4000,0,0,20,5.43,3.46,4.63,5.69,9.41,85000,2.77,4.929418926,0,,35,1.54407,0,,65,1.812913357,0,Neg,NA,NA,NA,NA,NA,NA,0.39,2.35,Chittenden,Jersey_Other,52,30_55,y,good,good,4,deep,NA,NA,y,47,441.3,9.4,0.84,NA,NA,hay,both,dry_round,both,n,NA,NA,NA,NA,NA,14,30.5,0.9,1.2,2,tiestall,NA,NA,y,iodine,y,iodine,n,y,paper,one,all,n,n,n,always,software,sometimes_always,sometimes_always,issue,issue,ref_vet_onfarm,n,y,occ_reg
