,,,St. Albans Cooperative Creamery Laboratory,,,,,,,,,,,
,,,140 Federal Street,,,,,,,,,,,
,,,"St. Albans, VT 05478",,,,,,,,,,,
,,,Phone #:  802-524-6581 or (800)-649-5953,,,,,,,,,,,
,,,Fax #: 802-524-5832,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Cheesemaker Profile Testing,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Controls: Air_____ok___  Pipet___ok_____ Loop ____ok____,,,,,,,,,,,,
,,Bacteria Testing,,,,,,Components,,,,,,
Herd,Sample ID,RAW CFU/ml 1:100,PAST CFU/ml 1:10,PI  CFU/ml  1:1000,Total Coli  CFU/ml  1:1,E. coli  CFU/ml  1:1,Staph  CFU/ml  1:10,% BF,% Protein,% Lactose,% Other Solids,MUN,Somatic Cells 1:1000,
1,OH-01,400,10,"1,000",<1,<1,30,3.61,2.93,4.6,5.7,9.1,"140,000",delvo: NF
2,OH-02,600,10,"2,000",11,2,30,4.26,3.52,4.6,5.69,9.57,"99,000",delvo: NF
3,OH-03,"3,700",90,"80,000",<1,<1,30,4.8,3.82,4.6,5.69,11.7,"200,000",
4,OH-04,100,<10,"4,000",<1,<1,20,5.43,3.46,4.63,5.69,9.41,"85,000",
5,OH-05,"1,200",<10,"3,000",26,<1,50,3.71,2.92,4.68,5.83,13.68,"250,000",
6,OH-6  4/22,"2,300",10,"4,000",<1,<1,40,5.09,3.52,4.63,5.74,6.51,"180,000",
7,OH-7  4/22,"1,000",10,"1,000,000",<1,<1,130,3.98,3.01,4.65,5.73,14.16,"250,000",
8,OH-8  4/23,"1,500","1,000","120,000",<1,<1,40,3.91,2.95,4.62,5.72,9.69,"98,000",
9,OH-9  4/24,"1,200",50,"2,000",<1,<1,10,4.07,3.08,4.65,5.74,12.96,"54,000",
10,OH 10  4/29,800,<10,"2,000",<1,<1,<10,3.88,2.88,4.56,5.65,13.15,"200,000",
11,OH 11  4/29,300,40,"5,000",<1,<1,40,3.93,3.07,4.69,5.78,9.83,"97,000",
12,OH-12B,1300,140,2000,<1,<1,20,4.96,3.8,4.53,5.64,17.05,160000,
13,OH-13C,400,20,<1000,2,<1,50,4.85,3.65,4.64,5.78,13.26,130000,
14,OH-14,"72,000",190,"1,000,000",2,<1,50,4.89,3.44,4.55,5.68,10.47,"140,000",
15,OH-15,700,60,"4,000",<1,<1,<10,4.32,3.15,4.56,5.66,13.95,"97,000",
16,OH-16,"1,000",30,"1,000",3,<1,10,4.33,3.22,4.67,5.78,10.45,"170,000",
17,OH-17,900,10,"3,000",<1,<1,20,3.65,2.9,4.54,5.62,15.79,"120,000",
18,OH-18,"16,000",180,"94,000",23,<1,<10,4.2,3.12,4.57,5.68,10.94,"110,000",
19,OH-19B,7500,10,1000000,3,<1,30,4.72,3.58,4.71,5.86,9.95,100000,
20,OH-20,1700,30,300000,13,13,50,5.09,3.6,4.6,5.74,9.49,200000,
21,OH-21,200,<10,12000,<1,<1,<10,3.84,2.93,4.62,5.71,11.81,150000,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
12,OH 12  4/30,3600,10,6000,<1,<1,10,3.09,4.54,5.49,6.75,17.76,66000,
13,OH-13 (not agitated),4900,<10,230000,3,<1,60,9.50,3.40,4.38,5.42,8.48,490000,
13,OH-13B (not agitated),<100,30,53000,<1,<1,220,6.00,3.66,4.54,5.65,11.23,300000,
19,OH-19 (frozen),400,50,1000,1,<1,<10,4.85,3.45,4.67,5.79,8.93,99000,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
