Sort_num,Herd_code,Farm_name,Sample_date,Facility_type,Bedding_type,Facility_Bedding,Lact_Dry,Used_NotUsed,Material,Mat_Type,Org_Inorg,bedding_choose_one,bedding_Sample_ID,bedding_perc_moisture,bedding_pH,bedding_EC,bedding_bacillus_CFUmL,bedding_bacillus_log10,bedding_coliforms_CFUmL,bedding_coliforms_log10,bedding_PERCENT_klebsiella,bedding_klebsiella_CFUmL,bedding_klebsiella_log10,bedding_envstrep_CFUmL,bedding_envstrep_log10,bedding_noncoligramneg_CFUmL,bedding_noncoligramneg_log10,bedding_staphsp_CFUmL,bedding_staphsp_log10,milk_Sample_ID,milk_RAW_CFU_ml_1.100,milk_log10_rawcfu,milk_PAST_CFU_ml_1.10,milk_PI__CFU_ml__1.1000,milk_Total_Coli__CFU_ml__1.1,milk_E._coli__CFU_ml__1.1,milk_Staph__CFU_ml__1.10,milk_perc_BF,milk_perc_Protein,milk_perc_Lactose,milk_perc_Other Solids,milk_MUN,milk_SCC_1.1000,milk_log2_SCC,milk_log10_scc,milk_Coliforms,milk_log10_coliforms,milk_Non_ag_Strep,milk_log10_strep,milk_Staph_aureus,milk_log10_aureus,milk_Staph_sp,milk_log10_staphsp,milk_Strep_ag,milk_Mycoplasma
1,OH.01,Choiniere,4.3.2019,BP,BP,BP_BP,D,U,WcHa,WF,O,n,OH.01.D.U.HaWc,0.58,,,6250000,6.795880017,350000,5.544068044,0.29,101500,5.006466042,6250000,6.795880017,1900000,6.278753601,7500,3.875061263,0H.01_milk,400,2.602059991,10,1000,0.99,0.99,30,3.61,2.93,4.6,5.7,9.1,140000,3.49,5.146128036,0,,35,1.544068044,15,1.176091259,0,,0,Neg
2,OH.01,Choiniere,4.3.2019,BP,BP,BP_BP,L,U,WcHa,WF,O,y,OH.01.L.U.HaWc,0.64,7.73,2510,6250000,6.795880017,375000,5.574031268,0,1,0,6250000,6.795880017,6250000,6.795880017,7500,3.875061263,0H.01_milk,400,2.602059991,10,1000,0.99,0.99,30,3.61,2.93,4.6,5.7,9.1,140000,3.49,5.146128036,0,,35,1.544068044,15,1.176091259,0,,0,Neg
3,OH.01,Choiniere,4.3.2019,BP,BP,BP_BP,LD,N,Ha,F,O,n,OH.01.LD.N.Ha,0.25,5.77,3120,150,2.176091259,1,0,0,1,0,250,2.397940009,1,0,75,1.875061263,0H.01_milk,400,2.602059991,10,1000,0.99,0.99,30,3.61,2.93,4.6,5.7,9.1,140000,3.49,5.146128036,0,,35,1.544068044,15,1.176091259,0,,0,Neg
4,OH.01,Choiniere,4.3.2019,BP,BP,BP_BP,LD,N,Wc,W,O,n,OH.01.LD.N.Wc,0.36,5.69,160,125,2.096910013,1,0,0,1,0,1,0,3750,3.574031268,25,1.397940009,0H.01_milk,400,2.602059991,10,1000,0.99,0.99,30,3.61,2.93,4.6,5.7,9.1,140000,3.49,5.146128036,0,,35,1.544068044,15,1.176091259,0,,0,Neg
5,OH.02,StonyPond,4.3.2019,BP,BP,BP_BP,LD,N,Sh,W,O,n,OH.02.LD.N.Sh,0.2,4.85,216,375,2.574031268,1,0,0,1,0,50,1.698970004,1,0,1,0,0H.02_milk,600,2.77815125,10,2000,11,2,30,4.26,3.52,4.6,5.69,9.57,99000,2.99,4.995635195,0,,10,1,30,1.477121255,40,1.602059991,0,Neg
6,OH.02,StonyPond,4.3.2019,BP,BP,BP_BP,LD,U,Sh,W,O,y,OH.02.LD.U.Sh,0.62,7.85,2150,6250000,6.795880017,180000,5.255272505,0.45,81000,4.908485019,400000,5.602059991,100000,5,1,0,0H.02_milk,600,2.77815125,10,2000,11,2,30,4.26,3.52,4.6,5.69,9.57,99000,2.99,4.995635195,0,,10,1,30,1.477121255,40,1.602059991,0,Neg
7,OH.02,StonyPond,4.3.2019,BP,BP,BP_BP,LD,U,Sh,W,O,n,OH.02.LD.U.Sh,0.58,,,6250000,6.795880017,675000,5.829303773,0.31,209250,5.320665467,2025000,6.306425028,2000000,6.301029996,1,0,0H.02_milk,600,2.77815125,10,2000,11,2,30,4.26,3.52,4.6,5.69,9.57,99000,2.99,4.995635195,0,,10,1,30,1.477121255,40,1.602059991,0,Neg
8,OH.03,Davis,4.10.2019,FS,SA,FS_SA,LD,N,Sn,S,I,n,OH.03.LD.N.Sn,0.04,9.31,2420,16500,4.217483944,1,0,0,1,0,1750,3.243038049,1,0,1,0,OH.03_milk,3700,3.568201724,90,80000,0.99,0.99,30,4.8,3.82,4.6,5.69,11.7,200000,4,5.301029996,0,,30,1.477121255,0,,110,2.041392685,0,Neg
9,OH.03,Davis,4.10.2019,FS,SA,FS_SA,LD,U,Sn,S,I,y,OH.03.LD.U.Sn,0.08,8.68,611,3850000,6.58546073,1250,3.096910013,0,1,0,700000,5.84509804,18250,4.261262869,500,2.698970004,OH.03_milk,3700,3.568201724,90,80000,0.99,0.99,30,4.8,3.82,4.6,5.69,11.7,200000,4,5.301029996,0,,30,1.477121255,0,,110,2.041392685,0,Neg
10,OH.04,Donegan,4.10.2019,BP,BP,BP_BP,D,N,HaSt,F,O,n,OH.04.D.N.HaSt,0.12,5.54,,2250,3.352182518,275,2.439332694,0,1,0,1,0,7000,3.84509804,1,0,OH.04_milk,100,2,9.99,4000,0.99,0.99,20,5.43,3.46,4.63,5.69,9.41,85000,2.77,4.929418926,0,,35,1.544068044,0,,65,1.812913357,0,Neg
