Sample_ID,RAW_CFU_ml_1.100,PAST_CFU_ml_1.10,PI__CFU_ml__1.1000,Total_Coli__CFU_ml__1.1,E._coli__CFU_ml__1.1,Staph__CFU_ml__1.10,perc_BF,perc_Protein,perc_Lactose,perc_Other Solids,MUN,SC_1.1000
OH.01,400,10,1000,0.99,0.99,30,3.61,2.93,4.6,5.7,9.1,140000
OH.02,600,10,2000,11,2,30,4.26,3.52,4.6,5.69,9.57,99000
OH.03,3700,90,80000,0.99,0.99,30,4.8,3.82,4.6,5.69,11.7,200000
OH.04,100,9.99,4000,0.99,0.99,20,5.43,3.46,4.63,5.69,9.41,85000
OH.05,1200,9.99,3000,26,0.99,50,3.71,2.92,4.68,5.83,13.68,250000
OH.6,2300,10,4000,0.99,0.99,40,5.09,3.52,4.63,5.74,6.51,180000
OH.7,1000,10,1000000,0.99,0.99,130,3.98,3.01,4.65,5.73,14.16,250000
OH.8,1500,"1,000",120000,0.99,0.99,40,3.91,2.95,4.62,5.72,9.69,98000
OH.9,1200,50,2000,0.99,0.99,10,4.07,3.08,4.65,5.74,12.96,54000
OH 10,800,9.99,2000,0.99,0.99,9.99,3.88,2.88,4.56,5.65,13.15,200000
OH 11,300,40,5000,0.99,0.99,40,3.93,3.07,4.69,5.78,9.83,97000
OH.12B,1300,140,2000,0.99,0.99,20,4.96,3.8,4.53,5.64,17.05,160000
OH.13C,400,20,999,2,0.99,50,4.85,3.65,4.64,5.78,13.26,130000
OH.14,72000,190,1000000,2,0.99,50,4.89,3.44,4.55,5.68,10.47,140000
OH.15,700,60,4000,0.99,0.99,9.99,4.32,3.15,4.56,5.66,13.95,97000
OH.16,1000,30,1000,3,0.99,10,4.33,3.22,4.67,5.78,10.45,170000
OH.17,900,10,3000,0.99,0.99,20,3.65,2.9,4.54,5.62,15.79,120000
OH.18,16000,180,94000,23,0.99,9.99,4.2,3.12,4.57,5.68,10.94,110000
OH.19B,7500,10,1000000,3,0.99,30,4.72,3.58,4.71,5.86,9.95,100000
OH.20,1700,30,300000,13,13,50,5.09,3.6,4.6,5.74,9.49,200000
OH.21,200,9.99,12000,0.99,0.99,9.99,3.84,2.93,4.62,5.71,11.81,150000
