Herd,SCC,RAW_CFU_ML,M_COLIFORMS,M_NON_AG_STREP,M_STAPH_AUREUS,M_STAPH_SPP,M_STREP_AG,B_BACILLUS,B_COLIFORMS,B_ENV_STREP,B_GRAM_NEG,B_STAPH_SPP
OH01,140000,400,0,35,15,0,0,6250000,375000,6250000,6250000,7500
OH02,99000,600,0,10,30,40,0,6250000,180000,400000,100000,0
OH03,200000,3700,0,30,0,110,0,3850000,1250,700000,18250,500
OH04,85000,100,0,35,0,65,0,6250000,32500,850000,135000,50000
OH05,250000,1200,0,30,55,20,0,6250000,50000,6250000,5500000,900000
OH06,180000,2300,0,205,0,175,0,2500000,25,0,2250,0
OH07,250000,1000,0,130,320,15,0,6250000,500000,6250000,3400000,900000
OH08,98000,1500,0,35,0,125,0,6250000,12500,350000,15000,250
OH09,54000,1200,5,35,0,30,0,6250000,80000,6250000,1250000,250000
OH10,200000,800,0,70,55,665,0,1050000,1500,6250000,180000,150000
OH11,97000,300,0,45,50,25,0,6250000,15000,1500000,275000,10000
OH12,160000,1300,0,80,0,130,0,6250000,2950000,6250000,6250000,2600000
OH13,130000,400,0,25,35,60,0,6250000,500,6250000,850000,75000
OH14,140000,72000,5,310,0,80,0,3400000,475000,4200000,3500000,2500
OH15,97000,700,0,285,65,20,0,500000,9000,2575000,32500,125
OH16,170000,1000,0,205,45,130,0,650000,25,1150000,15000,300
OH17,120000,900,0,20,70,90,0,6250000,30000,6250000,375000,100000
OH18,110000,16000,5,1250,25,15,0,4000000,45000,3150000,850000,1500
OH19,100000,7500,5,35,0,130,0,550000,400000,975000,1775000,125000
OH20,200000,1700,5,155,50,75,0,325000,125,4500000,2500,250
OH21,150000,200,0,260,100,5,0,6250000,875,6250000,160000,17500
