sort_number,herd,visit_num,visit_text,date,housing_type,bedding_material,unique_ID,coliforms,perc_coliforms_kleb,kleb_count,strep_sp,staph_sp
1,BJ,1,first,12.17.2019,tiestall,shavings,BJ_first_shavings,1075000,30.2,324650,6250000,0
2,BJ,2,second,1.29.2020,tiestall,shavings,BJ_second_shavings,575000,17.3,99475,6250,0
3,BJ,3,third,2.26.2020,tiestall,shavings,BJ_third_shavings,525000,4.7,24675,2300000,0
4,BW,1,first,1.2.2020,beddedpack,pack,BW_first_pack,62500,44,27500,6250000,0
5,BW,2,second,2.4.2020,beddedpack,pack,BW_second_pack,25,0,0,2700,0
6,BW,3,third,3.3.2020,beddedpack,pack,BW_third_pack,6250000,1.2,75000,650000,0
7,BW,1,first,1.2.2020,beddedpack,shavings,BW_first_shavings,10000,0,0,1025000,0
8,BW,2,second,2.4.2020,beddedpack,shavings,BW_second_shavings,0,0,0,105000,0
9,BW,3,third,3.3.2020,beddedpack,shavings,BW_third_shavings,1300,0,0,525000,0
10,CF,1,first,12.11.2019,beddedpack,pack,CF_first_pack,2500,0,0,6250000,0
11,CF,2,second,1.21.2020,beddedpack,pack,CF_second_pack,100000,15,15000,6250,0
12,CF,3,third,2.17.2020,beddedpack,pack,CF_third_pack,1675,1.4,23.45,3600000,0
13,CF,4,fourth,3.16.2020,beddedpack,pack,CF_fourth_pack,7500,33.3,2497.5,6250000,0
14,CF,1,first,12.11.2019,beddedpack,shavings,CF_first_shavings,1000,0,0,6250000,0
15,CF,2,second,1.21.2020,beddedpack,shavings,CF_second_shavings,125000,0,0,6250000,0
16,CF,3,third,2.17.2020,beddedpack,shavings,CF_third_shavings,102500,0,0,6250,0
17,CF,4,fourth,3.16.2020,beddedpack,shavings,CF_fourth_shavings,1025,0,0,130000,0
18,GV,1,first,1.14.2020,tiestall,shavings,GV_first_shavings,2750,0,0,2700000,0
19,GV,2,second,2.19.2020,tiestall,shavings,GV_second_shavings,25,0,0,400000,0
20,GV,3,third,3.19.2020,tiestall,shavings,GV_third_shavings,75,0,0,1650000,0
21,LF,1,first,12.19.2019,beddedpack,pack,LF_first_pack,7250,0,0,575000,0
22,LF,2,second,1.30.2020,beddedpack,pack,LF_second_pack,475,0,0,6250000,0
23,LF,3,third,3.5.2020,beddedpack,pack,LF_third_pack,625,0,0,55000,0
24,OB,1,first,1.3.2020,tiestall,shavings,OB_first_shavings,325,0,0,6250,0
25,OB,2,second,2.14.2020,tiestall,shavings,OB_second_shavings,425,5.8,24.65,800000,0
26,OB,3,third,3.12.2020,tiestall,shavings,OB_third_shavings,24000,62.5,15000,2075000,0
27,PB,1,first,1.17.2020,tiestall,shavings,PB_first_shavings,4000,62.5,2500,290000,0
28,PB,2,second,2.21.2020,tiestall,shavings,PB_second_shavings,7250,48.2,3494.5,80000,0
29,PB,3,third,3.20.2020,tiestall,shavings,PB_third_shavings,2100,0,0,11000,0
30,SP,1,first,12.12.2019,beddedpack,pack,SP_first_pack,5750,73.9,4249.25,82500,0
31,SP,2,second,1.10.2020,beddedpack,pack,SP_second_pack,2500,19,475,5000,0
32,SW,1,first,12.13.2019,beddedpack,pack,SW_first_pack,35000,28.5,9975,1600000,0
33,SW,2,second,1.22.2020,beddedpack,pack,SW_second_pack,4500,0,0,675000,0
34,SW,3,third,2.28.2020,beddedpack,pack,SW_third_pack,130000,23,29900,6250,0
35,VT,1,first,1.6.2020,tiestall,shavings,VT_first_shavings,250,0,0,3400000,0
36,VT,2,second,2.12.2020,tiestall,shavings,VT_second_shavings,28000,0,0,5200000,0
37,VT,3,third,3.10.2020,tiestall,shavings,VT_third_shavings,6250,0,0,6250000,0
