ID,Test Date,Milk,PCTF,PCTP,305ME,SCC,?,Pen,Mun
1,2/18/2019,65,4.4,2.8,15770,231,0,0,0
1,3/23/2019,69,4,2.9,16190,6,0,0,0
1,4/25/2019,62,4.4,3,15970,15,0,0,0
2,2/18/2019,75,3.5,2.9,17630,26,0,0,0
2,3/23/2019,77,3.1,2.7,17920,9,0,0,0
2,4/25/2019,64,4,2.7,16670,22,0,0,0
7,3/21/2018,55,4,3.6,0,79,0,0,0
7,4/23/2018,68,3.4,2.6,17480,16,0,0,0
7,5/24/2018,51,3.3,2.5,15150,33,0,0,0
7,6/28/2018,58,3.6,2.6,17050,8,0,0,0
7,7/5/2018,58,3.6,2.6,17410,13,0,0,0
7,7/11/2018,54,3.5,2.6,17050,13,0,0,0
7,7/18/2018,53,3.2,2.6,17150,45,0,0,11
7,7/26/2018,57,3.4,2.5,17910,22,0,0,15
7,8/1/2018,56,3.5,2.6,17790,26,0,0,15
7,9/5/2018,64,4.2,2.8,19890,16,0,0,13
7,10/5/2018,48,4.2,3.2,18630,13,0,0,13
7,12/10/2018,57,3.7,2.9,20160,14,0,0,0
7,1/10/2019,55,3.8,3,20270,14,0,0,0
7,2/18/2019,41,4.6,3.2,20340,20,0,0,0
7,3/23/2019,42,4,3.1,20340,37,0,0,0
7,4/25/2019,0,0,0,20290,0,0,0,0
544,1/10/2019,59,3.9,2.9,15290,144,0,0,0
544,2/18/2019,82,4.2,2.7,18240,79,0,0,0
544,3/23/2019,73,3.3,2.6,18210,49,0,0,0
544,4/25/2019,69,4.5,2.8,18630,163,0,0,0
585,3/23/2019,83,3.7,2.9,18310,588,0,0,0
585,4/25/2019,79,4.4,2.6,17640,316,0,0,0
591,12/10/2018,88,3.2,2.8,18670,45,0,0,0
591,1/10/2019,92,2.7,2.4,19900,15,0,0,0
591,2/18/2019,58,3.3,2.5,16720,12,0,0,0
591,3/23/2019,44,3,2.7,15440,37,0,0,0
591,4/25/2019,37,3.8,2.8,14840,49,0,0,0
607,3/21/2018,79,4.4,4.2,0,121,0,0,0
607,4/23/2018,87,3.8,2.6,17250,17,0,0,0
607,5/24/2018,89,3.7,2.7,18570,37,0,0,0
607,6/28/2018,85,4.6,2.8,19520,35,0,0,0
607,7/5/2018,71,3.4,2.8,18500,48,0,0,0
607,7/11/2018,71,3.6,2.7,18640,58,0,0,0
607,7/18/2018,79,4.4,2.7,19750,69,0,0,14
607,7/26/2018,61,3.8,2.6,18140,94,0,0,19
607,8/1/2018,67,3.5,2.7,18950,53,0,0,19
607,9/5/2018,72,4.4,2.7,20560,42,0,0,14
607,10/5/2018,70,5.3,3.4,21350,69,0,0,18
607,12/10/2018,0,0,0,21340,0,1,0,0
607,1/10/2019,0,0,0,21340,0,1,0,0
607,2/18/2019,58,4.6,3.6,20550,31,0,0,0
607,3/23/2019,59,7.4,3.6,22000,54,0,0,0
607,4/25/2019,40,5.4,3.6,21880,71,0,0,0
611,9/5/2018,74,3.7,2.9,17120,93,0,0,15
611,10/5/2018,60,4.3,2.5,15390,46,0,0,15
611,11/7/2018,54,3.9,2.5,14910,56,0,0,0
611,12/10/2018,47,3.7,2.6,14470,70,0,0,0
611,1/10/2019,51,3.3,2.6,15480,67,0,0,0
611,2/18/2019,58,4.1,2.7,17140,89,0,0,0
611,3/23/2019,52,3,2.8,17100,82,0,0,0
611,4/25/2019,27,0,0,15510,0,1,0,0
616,1/10/2019,78,4.6,3.5,16750,38,0,0,0
616,2/18/2019,85,4.2,2.7,17890,26,0,0,0
616,3/23/2019,69,1.8,2.7,16830,16,0,0,0
616,4/25/2019,84,4.9,2.6,19300,25,0,0,0
634,5/16/2017,53,4.8,3.7,13560,54,0,0,0
634,6/12/2017,70,3.2,2.7,14900,95,0,0,0
634,7/17/2017,66,2.9,2.5,14720,62,0,0,0
634,8/16/2017,59,4.1,2.6,14500,91,0,0,0
634,9/21/2017,56,4.1,2.8,15200,80,0,0,0
634,10/24/2017,44,3.9,2.9,14450,60,0,0,0
634,11/21/2017,53,3.6,2.8,15840,62,0,0,0
634,12/19/2017,47,4,3.1,15980,50,0,0,0
634,1/19/2018,58,4.2,3.1,17210,47,0,0,0
634,2/17/2018,49,4.3,3.2,17140,55,0,0,0
634,3/21/2018,51,3.9,3.2,17260,34,0,0,0
634,10/5/2018,24,6,3.9,17260,76,0,0,14
634,1/10/2019,41,4.7,3.7,17260,37,0,0,0
634,2/18/2019,39,5.1,3.6,17260,79,0,0,0
634,3/23/2019,38,4.8,3.8,17260,52,0,0,0
634,4/25/2019,35,5.4,3.8,17260,115,0,0,0
636,12/10/2018,61,3.8,2.7,14020,48,0,0,0
636,1/10/2019,74,3.3,2.7,15390,12,0,0,0
636,2/18/2019,63,3.7,2.8,15080,23,0,0,0
636,3/23/2019,63,3.3,2.8,15820,16,0,0,0
636,4/25/2019,72,4,2.9,17500,34,0,0,0
642,12/10/2018,72,4.3,2.6,15570,38,0,0,0
642,1/10/2019,86,3.1,2.4,17660,20,0,0,0
642,2/18/2019,75,4.1,2.6,17500,29,0,0,0
642,3/23/2019,71,3.6,2.7,18020,52,0,0,0
642,4/25/2019,67,4.6,2.7,18300,43,0,0,0
645,1/19/2018,58,5.4,3.9,0,536,0,0,0
645,2/17/2018,80,2.8,2.6,16060,20,0,0,0
645,3/21/2018,79,3.5,2.6,16180,18,0,0,0
645,4/23/2018,65,3.6,2.7,15520,12,0,0,0
645,5/24/2018,70,3.1,3,16690,28,0,0,0
645,6/28/2018,65,3.8,2.9,16970,30,0,0,0
645,7/5/2018,64,3.7,2.7,17100,14,0,0,0
645,7/11/2018,65,3.8,2.8,17350,28,0,0,0
645,7/18/2018,79,3.9,2.7,18770,17,0,0,15
645,7/26/2018,61,3.5,2.7,17500,16,0,0,22
645,8/1/2018,58,3.9,2.7,17390,28,0,0,24
645,12/10/2018,51,4.5,3.5,19190,26,0,0,0
645,1/10/2019,47,4.5,3.5,19190,30,0,0,0
