Cow_ID,Quarter,IMI_species,SCC
757,LH,,13000
757,LF,CNS,3000
757,RH,,5000
757,RF,,2000
585,LH,,7000
585,LF,,10000
585,RH,,13000
585,RF,CNS,697000
754,LH,,23000
754,LF,,8000
754,RH,Contaminated,8000
754,RF,,5000
716,LH,CNS,152000
716,LF,,8000
716,RH,,5000
716,RF,,9000
CB5,LH,CNS,62000
CB5,LF,CNS,15000
CB5,RH,Strep,4000
CB5,RF,,6000
656,LH,Strep,799000
656,LF,,24000
656,RH,,7000
656,RF,,37000
719,LH,CNS,244000
719,LF,,15000
719,RH,,18000
719,RF,,12000
739,LH,CNS,36000
739,LF,,0
739,RH,,0
739,RF,,6000
670,LH,Blind,.
670,LF,,13000
670,RH,,16000
670,RF,,12000
720,LH,,0
720,LF,SA,227000
720,RH,CNS,74000
720,RF,,209000
727,LH,,9000
727,LF,,51000
727,RH,,15000
727,RF,,10000
693,LH,,6000
693,LF,,8000
693,RH,,5000
693,RF,,4000
741,LH,,58000
741,LF,,14000
741,RH,,28000
741,RF,,12000
749,LH,,5000
749,LF,,6000
749,RH,,10000
749,RF,,3000
733,LH,,15000
733,LF,CNS,286000
733,RH,,14000
733,RF,SA,277000
738,LH,,10000
738,LF,,3000
738,RH,,5000
738,RF,,4000
753,LH,,12000
753,LF,,9000
753,RH,,11000
753,RF,,9000
701,LH,SA,762000
701,LF,,31000
701,RH,,98000
701,RF,,139000
731,LH,,4000
731,LF,CNS,1739000
731,RH,,35000
731,RF,,3000
763,LH,,0
763,LF,,3000
763,RH,,3000
763,RF,Other_Gram_positive,7000
697,LH,Contaminated,9000
697,LF,Contaminated,9000
697,RH,Contaminated,5000
697,RF,,7000
708,LH,,9000
708,LF,,13000
708,RH,,10000
708,RF,,6000
744,LH,,12000
744,LF,,9000
744,RH,,12000
744,RF,,6000
675,LH,,6000
675,LF,,15000
675,RH,,10000
675,RF,,7000
745,LH,,7000
745,LF,,4000
745,RH,,14000
745,RF,,6000
666,LH,Contaminated,21000
666,LF,,44000
666,RH,,35000
666,RF,,42000
730,LH,,75000
730,LF,,29000
730,RH,,44000
730,RF,,3000
713,LH,,72000
713,LF,,100000
713,RH,,49000
713,RF,,73000
722,LH,,5000
722,LF,,5000
722,RH,,3000
722,RF,,2000
761,LH,CNS,246000
761,LF,,8000
761,RH,,2000
761,RF,,6000
755,LH,Unknown,8000
755,LF,,10000
755,RH,Coryne,9000
755,RF,Coryne,5000
664,LH,CNS,506000
664,LF,,16000
664,RH,Coryne,14000
664,RF,Coryne,5000
743,LH,,5000
743,LF,,2000
743,RH,,5000
743,RF,,3000
748,LH,,13000
748,LF,,83000
748,RH,,20000
748,RF,,2000
685,LH,,9000
685,LF,,9000
685,RH,,8000
685,RF,,7000
757,LH,,9000
757,LF,,2000
757,RH,,6000
757,RF,,2000
656,LH,Mix_SA_Strep,810000
656,LF,,27000
656,RH,,17000
656,RF,,29000
585,LH,,14000
585,LF,,11000
585,RH,,14000
585,RF,CNS,940000
758,LH,,22000
758,LF,,7000
758,RH,,8000
758,RF,,4000
754,LH,,14000
754,LF,,5000
754,RH,,5000
754,RF,,4000
CB5,LH,CNS,74000
CB5,LF,CNS,35000
CB5,RH,,6000
CB5,RF,,46000
720,LH,,5000
720,LF,SA,650000
720,RH,CNS,64000
720,RF,SA,62000
719,LH,CNS,120000
719,LF,,23000
719,RH,Gram_negative_non_coliform,42000
719,RF,,18000
716,LH,CNS,67000
716,LF,,6000
716,RH,,6000
716,RF,Coryne,2000
670,LH,Blind,.
670,LF,,23000
670,RH,Coryne,37000
670,RF,,25000
739,LH,CNS,23000
739,LF,,3000
739,RH,Unknown,13000
739,RF,,0
727,LH,,3000
727,LF,,0
727,RH,,2000
727,RF,,4000
693,LH,Unknown,8000
693,LF,,13000
693,RH,,4000
693,RF,,5000
741,LH,,42000
741,LF,,6000
741,RH,,9000
741,RF,,4000
731,LH,,8000
731,LF,CNS,140000
731,RH,,21000
731,RF,,4000
749,LH,,3000
749,LF,,2000
749,RH,,12000
749,RF,,0
753,LH,,0
753,LF,,5000
753,RH,,4000
753,RF,,2000
738,LH,,4000
738,LF,,3000
738,RH,,11000
738,RF,,0
733,LH,,6000
733,LF,CNS,42000
733,RH,,7000
733,RF,SA,270000
701,LH,,30000
701,LF,,6000
701,RH,,22000
701,RF,,49000
744,LH,,22000
744,LF,,24000
744,RH,,29000
744,RF,,23000
763,LH,Contaminated,9000
763,LF,,9000
763,RH,,8000
763,RF,,8000
