Sample_ID,RAW_CFU_ml_1.100,log10_rawcfu,PAST_CFU_ml_1.10,PI__CFU_ml__1.1000,Total_Coli__CFU_ml__1.1,E._coli__CFU_ml__1.1,Staph__CFU_ml__1.10,perc_BF,perc_Protein,perc_Lactose,perc_Other Solids,MUN,SCC_1.1000,log2_SCC,log10_scc,Coliforms,log10_coliforms,Non_ag_Strep,log10_strep,Staph_aureus,log10_aureus,Staph_sp,log10_staphsp,Strep_ag,Mycoplasma
OH.01,400,2.602059991,10,1000,0.99,0.99,30,3.61,2.93,4.6,5.7,9.1,140000,3.49,5.146128036,0,,35,1.544068044,15,1.176091259,0,0,0,Neg
OH.02,600,2.77815125,10,2000,11,2,30,4.26,3.52,4.6,5.69,9.57,99000,2.99,4.995635195,0,,10,1,30,1.477121255,40,1.602059991,0,Neg
OH.03,3700,3.568201724,90,80000,0.99,0.99,30,4.8,3.82,4.6,5.69,11.7,200000,4,5.301029996,0,,30,1.477121255,0,0,110,2.041392685,0,Neg
OH.04,100,2,9.99,4000,0.99,0.99,20,5.43,3.46,4.63,5.69,9.41,85000,2.77,4.929418926,0,,35,1.544068044,0,0,65,1.812913357,0,Neg
OH.05,1200,3.079181246,9.99,3000,26,0.99,50,3.71,2.92,4.68,5.83,13.68,250000,4.32,5.397940009,0,,30,1.477121255,55,1.740362689,20,1.301029996,0,Neg
OH.6,2300,3.361727836,10,4000,0.99,0.99,40,5.09,3.52,4.63,5.74,6.51,180000,3.85,5.255272505,0,,205,2.311753861,0,0,175,2.243038049,0,Neg
OH.7,1000,3,10,1000000,0.99,0.99,130,3.98,3.01,4.65,5.73,14.16,250000,4.32,5.397940009,0,,130,2.113943352,320,2.505149978,15,1.176091259,0,Neg
OH.8,1500,3.176091259,1000,120000,0.99,0.99,40,3.91,2.95,4.62,5.72,9.69,98000,2.97,4.991226076,0,,35,1.544068044,0,0,125,2.096910013,0,Neg
OH.9,1200,3.079181246,50,2000,0.99,0.99,10,4.07,3.08,4.65,5.74,12.96,54000,2.11,4.73239376,5,0.698970004,35,1.544068044,0,0,30,1.477121255,0,Neg
OH 10,800,2.903089987,9.99,2000,0.99,0.99,9.99,3.88,2.88,4.56,5.65,13.15,200000,4,5.301029996,0,,70,1.84509804,55,1.740362689,665,2.822821645,0,Neg
OH 11,300,2.477121255,40,5000,0.99,0.99,40,3.93,3.07,4.69,5.78,9.83,97000,2.96,4.986771734,0,,45,1.653212514,50,1.698970004,25,1.397940009,0,Neg
OH.12B,1300,3.113943352,140,2000,0.99,0.99,20,4.96,3.8,4.53,5.64,17.05,160000,3.68,5.204119983,0,,80,1.903089987,0,0,130,2.113943352,0,Neg
OH.13C,400,2.602059991,20,999,2,0.99,50,4.85,3.65,4.64,5.78,13.26,130000,3.38,5.113943352,0,,25,1.397940009,35,1.544068044,60,1.77815125,0,Neg
OH.14,72000,4.857332496,190,1000000,2,0.99,50,4.89,3.44,4.55,5.68,10.47,140000,3.49,5.146128036,5,0.698970004,310,2.491361694,0,0,80,1.903089987,0,Neg
OH.15,700,2.84509804,60,4000,0.99,0.99,9.99,4.32,3.15,4.56,5.66,13.95,97000,2.96,4.986771734,0,,285,2.45484486,65,1.812913357,20,1.301029996,0,Neg
OH.16,1000,3,30,1000,3,0.99,10,4.33,3.22,4.67,5.78,10.45,170000,3.77,5.230448921,0,,205,2.311753861,45,1.653212514,130,2.113943352,0,Neg
OH.17,900,2.954242509,10,3000,0.99,0.99,20,3.65,2.9,4.54,5.62,15.79,120000,3.26,5.079181246,0,,20,1.301029996,70,1.84509804,90,1.954242509,0,Neg
OH.18,16000,4.204119983,180,94000,23,0.99,9.99,4.2,3.12,4.57,5.68,10.94,110000,3.14,5.041392685,5,0.698970004,1250,3.096910013,25,1.397940009,15,1.176091259,0,Neg
OH.19B,7500,3.875061263,10,1000000,3,0.99,30,4.72,3.58,4.71,5.86,9.95,100000,3,5,5,0.698970004,35,1.544068044,0,0,130,2.113943352,0,Neg
OH.20,1700,3.230448921,30,300000,13,13,50,5.09,3.6,4.6,5.74,9.49,200000,4,5.301029996,5,0.698970004,155,2.190331698,50,1.698970004,75,1.875061263,0,Neg
OH.21,200,2.301029996,9.99,12000,0.99,0.99,9.99,3.84,2.93,4.62,5.71,11.81,150000,3.58,5.176091259,0,,260,2.414973348,100,2,5,0.698970004,0,Neg
