Cow_ID,Quarter,IMI_species,SCC
Joy,LH,,31000
Joy,LF,,12000
Joy,RH,,130000
Joy,RF,,12000
Strawberry,LH,Mix_CNS_Coryne,7000
Strawberry,LF,Contaminated,3000
Strawberry,RH,,6000
Strawberry,RF,,5000
Masala,LH,Contaminated,26000
Masala,LF,Contaminated,35000
Masala,RH,,38000
Masala,RF,Contaminated,1000000
Muffin,LH,Mix_CNS_Coryne,250000
Muffin,LF,,11000
Muffin,RH,CNS,350000
Muffin,RF,,15000
Mango,LH,Contaminated,2000
Mango,LF,,3000
Mango,RH,Contaminated,2000
Mango,RF,,3000
Pomme,LH,,180000
Pomme,LF,Contaminated,61000
Pomme,RH,Mix_CNS_Strep,54000
Pomme,RF,Contaminated,54000
Happiness,LH,Blind,.
Happiness,LF,,10000
Happiness,RH,,12000
Happiness,RF,,8000
WildCucumber,LH,CNS,19000
WildCucumber,LF,,22000
WildCucumber,RH,,15000
WildCucumber,RF,,22000
Blackberry,LH,,27000
Blackberry,LF,,20000
Blackberry,RH,,61000
Blackberry,RF,,22000
Pearl,LH,,13000
Pearl,LF,,190000
Pearl,RH,,15000
Pearl,RF,,14000
Nebula,LH,Contaminated,36000
Nebula,LF,Contaminated,44000
Nebula,RH,CNS,290000
Nebula,RF,Contaminated,220000
Snowball,LH,Contaminated,74000
Snowball,LF,,49000
Snowball,RH,CNS,500000
Snowball,RF,CNS,160000
Rhubarb,LH,,6000
Rhubarb,LF,,5000
Rhubarb,RH,,3000
Rhubarb,RF,CNS,73000
Hawthorn,LH,,31000
Hawthorn,LF,,20000
Hawthorn,RH,CNS,99000
Hawthorn,RF,,24000
Nona,LH,,60000
Nona,LF,Contaminated,52000
Nona,RH,,40000
Nona,RF,Contaminated,55000
Mustard,LH,Mix_Coryne_Strep,12000
Mustard,LF,,36000
Mustard,RH,Contaminated,15000
Mustard,RF,Contaminated,15000
Nazareth,LH,Strep,65000
Nazareth,LF,CNS,55000
Nazareth,RH,Coryne,21000
Nazareth,RF,CNS,260000
Marjoram,LH,Contaminated,27000
Marjoram,LF,Contaminated,34000
Marjoram,RH,CNS,130000
Marjoram,RF,Contaminated,32000
Manzana,LH,CNS,210000
Manzana,LF,SA,630000
Manzana,RH,CNS,61000
Manzana,RF,CNS,43000
Love,LH,Coryne,4000
Love,LF,,21000
Love,RH,,13000
Love,RF,CNS,3000
Mandolin,LH,CNS,240000
Mandolin,LF,,49000
Mandolin,RH,Coryne,29000
Mandolin,RF,,16000
Avocado,LH,,2000
Avocado,LF,CNS,61000
Avocado,RH,CNS,78000
Avocado,RF,,5000
Jolene,LH,Strep,41000
Jolene,LF,Strep,44000
Jolene,RH,,42000
Jolene,RF,CNS,180000
Nellie,LH,Contaminated,110000
Nellie,LF,,9000
Nellie,RH,CNS,160000
Nellie,RF,Strep,7800000
Melissa,LH,CNS,310000
Melissa,LF,,9000
Melissa,RH,,3000
Melissa,RF,,0
Petunia,LH,CNS,83000
Petunia,LF,,7000
Petunia,RH,Strep,3000000
Petunia,RF,,58000
Crescent,LH,CNS,470000
Crescent,LF,CNS,74000
Crescent,RH,CNS,170000
Crescent,RF,,39000
Peace,LH,Contaminated,9000
Peace,LF,SA,350000
Peace,RH,,14000
Peace,RF,Contaminated,7000
Bon,LH,Mix_CNS_Strep,5000
Bon,LF,,10000
Bon,RH,Yeast,140000
Bon,RF,CNS,310000
AppleCore,LH,SA,8900000
AppleCore,LF,,200000
AppleCore,RH,SA,320000
AppleCore,RF,SA,3800000
Chipotle,LH,CNS,280000
Chipotle,LF,CNS,160000
Chipotle,RH,Contaminated,79000
