Cow_ID,Quarter,IMI_species,SCC
3,LH,,0
38,LH,Unknown,0
7,RH,,0
74,LH,,0
869,LH,,0
869,LF,,0
741,LH,,0
38,RH,,0
38,RF,,0
34,LF,Contaminated,0
34,RF,,0
19,RF,,0
56,RF,,0
35,RF,,0
34,LH,Contaminated,0
34,LF,,0
34,RH,,0
3,LF,,0
66,RH,,0
3,LH,,0
66,RF,,2000
3,RF,Mix_Coryne_Strep,2000
38,RH,,2000
38,RF,,2000
23,LF,,2000
4,LF,Contaminated,2000
89,RF,,2000
741,RH,,2000
17,LH,,2000
52,LF,,2000
741,RF,,2000
38,LF,Contaminated,2000
4,RH,,2000
4,RF,Coryne,2000
7,RH,CNS,2000
34,LH,Contaminated,2000
19,RH,,2000
74,LH,,2000
23,LH,Contaminated,2000
19,LH,,2000
56,LH,,2000
34,RF,,2000
66,LH,,2000
66,RF,,2000
7,RH,Contaminated,2000
74,RF,,2000
4,LH,,2000
38,RH,,2000
35,RF,,2000
23,LF,,2000
54,RH,,2000
3,LH,,2000
52,LF,,2000
34,RF,,2000
38,RH,,2000
38,RF,,2000
7,RF,CNS,2000
19,LH,Coryne,3000
19,RF,Contaminated,3000
3,RH,,3000
38,LF,,3000
23,LH,,3000
4,LH,,3000
56,RH,,3000
741,LF,,3000
741,RF,Contaminated,3000
28,RH,,3000
38,LH,,3000
34,RH,,3000
19,LH,,3000
41,RF,,3000
16,RF,,3000
56,LH,Coryne,3000
19,RH,,3000
69,LF,,3000
1016.96,LH,,3000
74,LH,,3000
4,RF,Coryne,3000
38,LH,Contaminated,3000
38,LF,,3000
35,RH,,3000
16,RF,Contaminated,3000
23,LH,,3000
38,LH,,3000
3,LF,,3000
69,LF,,4000
19,RH,,4000
4,RH,,4000
4,RF,Coryne,4000
74,RF,,4000
48,LF,,4000
56,RF,,4000
16,RF,Contaminated,4000
869,RF,,4000
66,RH,,4000
66,RF,,4000
69,LF,,4000
1016.96,RF,,4000
3,LH,,4000
3,LF,Coryne,4000
19,LF,,4000
41,RH,Coryne,4000
74,RF,,4000
16,LH,,4000
56,RH,,4000
19,RF,,4000
741,LH,,4000
38,RF,,4000
23,LH,,4000
54,LH,,4000
54,RF,,4000
3,RF,,4000
52,LH,Contaminated,4000
66,RF,Mix_Coryne_Unknown,4000
34,LH,,4000
34,RH,,4000
19,LF,Coryne,4000
19,RH,,4000
19,RF,,4000
54,RF,,4000
74,LH,,4000
52,RF,,4000
1016.96,LF,Contaminated,4000
1016.96,RH,,4000
66,RH,Mix_CNS_Strep,5000
57,LF,Contaminated,5000
41,RF,Mix_Coryne_Strep,5000
3,LF,,5000
89,RH,,5000
30,RF,,5000
741,LH,,5000
23,LF,,5000
17,LH,,5000
1016.96,RF,,5000
4,LF,,5000
34,LF,,5000
41,RF,,5000
17,LH,,5000
38,LF,Coryne,5000
52,LF,,5000
741,LF,,5000
741,RH,,5000
7,LF,,5000
4,RH,,5000
4,RF,Coryne,5000
19,LF,,6000
62,LH,Coryne,6000
89,LH,,6000
89,LF,,6000
48,RF,,6000
56,LH,,6000
1016.96,RH,,6000
741,RH,,6000
4,LF,,6000
3,RF,,6000
48,LF,,6000
89,RF,,6000
35,RH,Unknown,6000
56,RH,,6000
56,RF,,6000
66,RH,,6000
1016.96,LF,,6000
1016.96,RH,,6000
741,LF,,6000
741,RF,,6000
41,RH,,6000
4,RH,,6000
28,RH,,6000
16,RH,Contaminated,6000
52,RF,,6000
16,RF,,6000
19,LH,,6000
54,LF,,6000
54,RH,Coryne,6000
41,RH,,6000
741,LH,Unknown,6000
3,RF,,6000
65,RH,,6000
69,LF,Coryne,6000
66,LH,,7000
41,RH,,7000
30,RH,,7000
1016.96,LF,,7000
741,LF,,7000
7,LF,,7000
3,RH,,7000
48,RF,,7000
28,RF,Contaminated,7000
19,LF,,7000
741,RH,,7000
41,RF,,7000
89,RF,,7000
12,LF,Coryne,7000
54,LH,,7000
74,RF,,7000
52,LH,,7000
741,RF,,7000
4,LF,,7000
8,LH,,8000
57,LH,Contaminated,8000
28,RF,,8000
52,RF,Coryne,8000
4,LH,,8000
9,LH,,8000
48,LF,,8000
48,LF,,8000
66,LF,SA,8000
23,LF,,8000
1016.96,RF,Contaminated,8000
8,RH,,9000
57,RH,Contaminated,9000
32,LH,,9000
49,LH,Strep,9000
54,LF,,9000
30,RH,,9000
30,RF,Contaminated,9000
35,LH,Coryne,9000
28,RH,,9000
7,LF,,10000
30,RF,,10000
32,LH,,10000
65,LF,,10000
9,LH,CNS,11000
49,RF,,11000
9,LH,,11000
52,LH,,11000
40,RF,Coryne,11000
32,LH,,11000
87,LH,,11000
12,LH,,12000
35,LH,,12000
57,RH,,12000
8,RH,Contaminated,12000
35,LH,,13000
16,LH,,13000
16,RH,,13000
35,LF,,13000
87,RF,,13000
40,RF,Contaminated,14000
16,RH,Contaminated,14000
30,RH,,14000
89,LF,,14000
49,RF,Contaminated,14000
40,RF,,14000
1016.96,LH,,14000
56,RH,,14000
12,RH,,15000
1016.96,LH,,15000
35,LF,,15000
57,LF,Contaminated,15000
28,RF,,15000
89,LF,Contaminated,15000
16,LH,Contaminated,15000
12,RF,Coryne,16000
8,RH,,16000
7,LF,Contaminated,16000
57,RH,,16000
48,RH,,18000
54,LH,CNS,18000
54,RH,,18000
12,LH,,18000
57,LH,Unknown,18000
35,RF,,18000
40,RF,,19000
12,LH,Coryne,19000
48,RF,,19000
57,LF,,19000
17,RF,,20000
54,RF,,20000
57,LH,Contaminated,20000
8,RH,,20000
48,RF,,20000
9,LH,,20000
56,LH,,20000
8,RF,Coryne,21000
74,RH,,21000
66,LH,,21000
89,RH,,21000
12,LH,,21000
32,RF,Contaminated,22000
32,LH,Contaminated,22000
12,RH,Contaminated,22000
8,LH,,22000
35,RH,Contaminated,22000
7,RH,,22000
4,LH,,22000
44,LH,,23000
49,LH,,23000
27,LF,,23000
48,RH,,23000
35,LF,Coryne,23000
27,LF,,23000
48,RH,,23000
49,RF,,24000
17,RF,Coryne,24000
57,LF,,25000
66,LH,Coryne,25000
48,LH,,26000
8,LH,,26000
89,RH,,26000
49,LH,Contaminated,26000
11,RH,,27000
32,RF,Contaminated,27000
56,RF,,27000
57,RH,,28000
27,RF,,28000
11,LF,,29000
9,RF,,29000
48,RH,,29000
12,RH,Coryne,29000
57,LH,,30000
28,RH,Contaminated,30000
16,RH,,30000
17,RF,,30000
27,RF,,30000
27,LF,,30000
49,LH,Contaminated,31000
44,RH,,32000
12,RF,,32000
48,LH,,33000
27,RF,,33000
11,RF,,34000
56,LF,CNS,34000
3,RH,Coryne,35000
8,LH,,35000
9,RF,,36000
17,RF,,36000
11,LH,,37000
52,RH,CNS,37000
74,RH,Contaminated,37000
9,RF,,37000
32,RF,,38000
48,LH,,38000
9,RF,,39000
69,RH,CNS,39000
869,RH,CNS,40000
69,RF,,42000
12,RF,CNS,42000
49,RF,,42000
74,RH,Coryne,43000
89,LH,Contaminated,43000
89,LH,,44000
48,LH,,44000
44,RF,,45000
54,LF,,45000
52,RH,CNS,45000
41,LF,CNS,46000
32,RF,,46000
89,LH,Contaminated,47000
27,LF,,48000
26,RF,,53000
8,RF,,54000
65,RF,CNS,54000
32,LF,CNS,56000
41,LF,CNS,57000
69,RF,SA,63000
27,LH,,64000
27,RF,,64000
12,RF,,66000
87,RH,,74000
23,RF,Contaminated,75000
23,RF,CNS,76000
74,RH,Coryne,77000
26,LF,,78000
49,RH,CNS,80000
49,LF,,81000
26,RF,,82000
40,RH,CNS,83000
27,LH,,84000
69,LH,CNS,85000
8,RF,,85000
26,LH,,86000
56,LF,CNS,87000
66,LF,SA,89000
49,RH,CNS,90000
49,RH,CNS,90000
8,RF,,92000
17,LH,,94000
69,LH,Coryne,94000
26,LH,,96000
28,RF,,96000
26,LH,,100000
69,RF,Contaminated,100000
62,LF,Strep,101000
69,LH,CNS,110000
26,RF,,120000
86,RH,Mix_Coryne_Strep,120000
26,LF,,120000
89,LF,Contaminated,120000
89,RF,,120000
27,LH,,130000
89,RH,,130000
66,LF,SA,131000
32,LF,CNS,133000
30,LH,CNS,140000
30,LF,Contaminated,140000
40,RH,Contaminated,140000
30,LH,CNS,140000
28,LF,Strep,142000
69,LH,Contaminated,144000
8,LF,,148000
86,RH,Contaminated,150000
32,LF,CNS,150000
26,LF,,150000
57,RF,,150000
69,RF,,155000
30,LF,Mix_CNS_Strep,158000
41,LF,CNS,159000
40,RH,CNS,160000
12,LF,Contaminated,160000
49,RH,Contaminated,160000
27,LH,,160000
26,RH,,170000
41,LH,CNS,180000
69,RH,CNS,180000
7,RF,CNS,180000
8,LF,,180000
23,RF,CNS,180000
26,LH,,180000
26,RH,,181000
28,LH,Unknown,181000
7,RF,CNS,190000
16,LF,CNS,190000
16,LF,CNS,190000
23,RF,CNS,200000
41,LH,CNS,200000
69,RH,CNS,210000
12,RH,,210000
57,RF,,210000
3,RH,Coryne,210000
8,LF,Contaminated,210000
7,LH,CNS,210000
30,LH,CNS,212000
44,LF,CNS,217000
41,LF,CNS,220000
16,LF,Contaminated,220000
66,LF,SA,230000
28,LF,Contaminated,230000
97,LF,Mix_CNS_Strep,240000
56,LF,CNS,240000
26,RH,Contaminated,250000
30,LF,Mix_CNS_Strep,250000
40,RH,Mix_CNS_Coryne,253000
56,LF,CNS,270000
93,LH,SA,270000
93,RF,Gram-negative_coliform,270000
26,RF,Contaminated,270000
52,RH,CNS,280000
49,LF,,280000
28,LH,Gram-negative_coliform,280000
93,LF,SA,280000
7,RF,CNS,296000
41,LH,CNS,300000
74,LF,SA,304000
69,RH,CNS,310000
57,RF,Contaminated,310000
28,LH,Gram-negative_coliform,310000
12,LF,CNS,320000
17,LF,SA,334000
27,RH,,340000
93,RH,,340000
28,LF,Strep,370000
27,RH,,370000
8,LF,,380000
27,RH,,400000
49,LF,,400000
57,RF,,410000
93,RF,,416000
17,LF,SA,420000
26,RH,,420000
7,LH,CNS,426000
86,LH,Mix_Coryne_SA_Strep,460000
62,RH,SA,478000
86,RH,Mix_Coryne_Strep,482000
93,RH,,490000
17,LF,SA,490000
86,LF,Coryne,499000
86,RF,Strep,500000
27,RH,,501000
7,LH,Mix_CNS_Strep,510000
97,LH,Strep,520000
93,LH,SA,521000
7,LH,CNS,530000
40,LF,SA,540000
41,LH,CNS,560000
86,RH,Mix_Coryne_Strep,560000
93,LF,,587000
74,LF,Contaminated,600000
26,LF,,640000
74,LF,SA,650000
86,RF,Strep,656000
17,RH,SA,656000
40,LF,SA,690000
86,RF,Strep,710000
40,LF,SA,719000
40,LH,SA,720000
97,RF,SA,740000
16,LF,CNS,741000
40,LH,SA,760000
40,LF,SA,770000
86,LF,,770000
28,LH,Gram-negative_coliform,790000
32,RH,SA,790000
86,RF,Mix_Coryne_Strep,800000
87,LF,CNS,800000
9,RH,SA,840000
97,RH,SA,870000
49,LF,,870000
93,LH,Contaminated,880000
86,LH,Mix_Coryne_SA_Strep,930000
32,RH,SA,933000
17,LF,SA,990000
32,RH,SA,1000000
93,RF,CNS,1000000
86,LH,Mix_Coryne_SA_Strep,1000000
97,LF,Strep,1051000
32,LF,Coryne,1100000
97,LH,Strep,1131000
32,RH,SA,1200000
17,RH,SA,1200000
9,RH,SA,1200000
40,LH,SA,1244000
9,RH,SA,1300000
97,RH,SA,1300000
17,RH,SA,1400000
97,LF,Strep,1400000
97,LF,SA,1400000
74,LF,Contaminated,1400000
9,RH,,1407000
40,LH,SA,1500000
86,LF,Coryne,1500000
93,RH,,1600000
97,LH,Strep,1600000
93,LH,SA,1700000
28,LF,Contaminated,1800000
93,LF,SA,1800000
97,RF,SA,1866000
97,RF,Mix_Coryne_Strep,1900000
97,RF,SA,2000000
86,LH,Mix_Coryne_SA_Strep,2200000
97,RH,Contaminated,2400000
93,LF,SA,2500000
16,LH,CNS,2658000
17,RH,SA,3000000
93,RF,,3400000
93,RH,SA,3972000
86,LF,,4200000
97,LH,Strep,5200000
97,RH,SA,5253000
62,RF,Coryne,5358000
12,LF,,9700000
23,RH,Blind,.
9,LF,Blind,.
23,RH,Blind,.
9,LF,Blind,.
23,RH,Blind,.
23,RH,Blind,.
65,LH,Blind,.
9,LF,Blind,.
