Cow_ID,Quarter,IMI_species,SCC
173,LH,CNS,1200000
173,LF,,52000
173,RH,Contaminated,78000
173,RF,,38000
203,LH,,2000
203,LF,,2000
203,RH,Contaminated,0
203,RF,,8000
133,LH,CNS,65000
133,LF,Unknown,51000
133,RH,,2000
133,RF,Strep,3700000
201,LH,,84000
201,LF,,7000
201,RH,,6000
201,RF,,5000
206,LH,,8000
206,LF,,5000
206,RH,Coryne,4000
206,RF,Coryne,4000
165,LH,SA,1900000
165,LF,Coryne,43000
165,RH,CNS,80000
165,RF,CNS,97000
54,LH,Mix_CNS_Strep,270000
54,LF,,12000
54,RH,Mix_CNS_Strep,190000
54,RF,Blind,.
160,LH,,4000
160,LF,,10000
160,RH,CNS,270000
160,RF,,39000
456,LH,Mix_CNS_Strep,290000
456,LF,CNS,120000
456,RH,,16000
456,RF,,65000
193,LH,Contaminated,7000
193,LF,Unknown,3000
193,RH,Coryne,2000
193,RF,Coryne,3000
199,LH,CNS,120000
199,LF,,8000
199,RH,CNS,190000
199,RF,Strep,6300000
174,LH,Contaminated,940000
174,LF,,550000
174,RH,Contaminated,45000
174,RF,Coryne,17000
80,LH,,4000
80,LF,,6000
80,RH,,3000
80,RF,,510000
204,LH,,13000
204,LF,,4000
204,RH,,3000
204,RF,,4000
128,LH,,13000
128,LF,,22000
128,RH,,16000
128,RF,,20000
192,LH,,12000
192,LF,,12000
192,RH,,13000
192,RF,CNS,300000
185,LH,,24000
185,LF,,10000
185,RH,,11000
185,RF,,11000
27,LH,Mix_SA_Strep,370000
27,LF,,580000
27,RH,CNS,72000
27,RF,,5000
84,LH,Contaminated,8000
84,LF,Contaminated,7000
84,RH,,8000
84,RF,,9000
93,LH,,10000
93,LF,,21000
93,RH,Mix_Coryne_Strep,190000
93,RF,,28000
188,LH,Contaminated,15000
188,LF,Contaminated,23000
188,RH,,10000
188,RF,,16000
190,LH,,16000
190,LF,,9000
190,RH,,14000
190,RF,,11000
169,LH,Contaminated,180000
169,LF,Contaminated,9000
169,RH,Contaminated,4000
169,RF,SA,44000
114,LH,Mix_Strep_Unknown,3300000
114,LF,,9000
114,RH,,36000
114,RF,,8000
70,LH,Strep,600000
70,LF,,6000
70,RH,Contaminated,160000
70,RF,CNS,140000
137,LH,,6000
137,LF,,6000
137,RH,,2000
137,RF,,4000
42,LH,Contaminated,1300000
42,LF,CNS,310000
42,RH,,8000
42,RF,,0
43,LH,Strep,4400000
43,LF,,95000
43,RH,CNS,6100000
43,RF,,150000
207,LH,CNS,84000
207,LF,Coryne,7000
207,RH,,6000
207,RF,,6000
200,LH,,17000
200,LF,,21000
200,RH,,15000
200,RF,,11000
175,LH,,11000
175,LF,,7000
175,RH,,3000
175,RF,Coryne,120000
194,LH,,11000
194,LF,,4000
194,RH,,6000
194,RF,,6000
79,LH,,12000
79,LF,,26000
79,RH,CNS,620000
79,RF,CNS,22000
172,LH,,4000
172,LF,,8000
172,RH,Contaminated,7000
172,RF,,6000
205,LH,CNS,63000
205,LF,,3000
205,RH,CNS,22000
205,RF,,4000
174,LH,,380000
174,LF,,13000
174,RH,,6000
174,RF,,14000
