Cow_ID,Quarter,IMI_species,SCC
Klondike,LH,,2000
Zoe,RH,,2000
Ladyfinger,LF,,2000
Leap,LF,Blind,2000
ZsaZsa,LH,,2000
Zoe,LF,,2000
Zoe,RH,,2000
Lioness,LF,,2000
Cheese,LH,,2000
Zoe,LH,,3000
Zoe,LF,,3000
Zoe,RF,Strep,3000
Ladyfinger,RF,,3000
ZsaZsa,LH,,3000
Klondike,LH,,3000
ZsaZsa,LF,,3000
Leap,LH,,3000
Lop,RF,,3000
Klondike,LF,,4000
Webster,LH,,4000
Webster,RH,,4000
Mustache,LF,,4000
Mustache,RH,,4000
Lilac,LF,,4000
Lilac,RF,,4000
Kowabunga,LH,,4000
Atlantic,LF,,4000
Ladyfinger,LH,,4000
Darla,RH,,4000
Leap,LH,,4000
Leap,RF,,4000
Lop,RF,,4000
Khakibeige,RF,,4000
Lioness,LF,,4000
ZsaZsa,LF,,4000
Klondike,LF,,4000
Webster,LH,,4000
Atlantic,LH,,4000
Fresno,RF,,4000
Zoe,RH,,4000
Life,RH,,4000
Ambrosia,RF,,5000
Webster,LF,,5000
Mustache,RF,,5000
Amarillo,RH,,5000
Atlantic,LH,,5000
Atlantic,RH,CNS,5000
Atlantic,RF,,5000
Chartreuse,LF,,5000
Leap,RH,,5000
Lop,LF,,5000
Lioness,LH,,5000
Leap,RH,,5000
Zoe,LH,,5000
Atlantic,RH,,5000
Atlantic,RF,,5000
Martina,RH,,5000
Fresno,RH,,5000
Zoe,LF,,5000
Life,RF,,5000
Cheese,LH,,6000
Mustache,LH,,6000
Jitterbug,LH,CNS,6000
Jitterbug,LF,,6000
Fresno,LF,,6000
Fresno,RF,,6000
Life,RH,,6000
Life,RF,,6000
Chartreuse,RH,,6000
Lioness,LH,,6000
Fresno,LH,,6000
Fresno,LF,,6000
Klondike,LF,,6000
Zoe,RF,,6000
ZsaZsa,LH,,6000
Ambrosia,RH,,7000
Amarillo,LF,CNS,7000
Fresno,LH,,7000
WMCA,LF,,7000
WMCA,RH,,7000
WMCA,RF,,7000
Webster,RH,,7000
Lilac,RF,,7000
Lop,LF,,7000
Klondike,LH,,7000
Martina,RH,,7000
Cheese,LH,,7000
Fresno,RH,,8000
WMCA,LH,,8000
Mustache,LF,,8000
Webster,LF,,8000
Mustache,LH,,8000
Mustache,RH,,8000
Lilac,RF,,8000
Life,RH,Contaminated,9000
Life,RF,,9000
Willy,LH,,9000
Kodiak,RH,,9000
Ambrosia,RF,,9000
Mustache,RH,,9000
Chartreuse,LF,,9000
Minigolf,LH,,9000
Jitterbug,LF,,9000
Lioness,RF,,9000
Khakibeige,RF,,9000
Lilac,LF,,9000
Leap,LH,,9000
Cheese,RH,,9000
Cheese,RH,,10000
Lilac,LH,,10000
Darla,LF,Contaminated,10000
Darla,RF,,10000
Diamond,LH,,10000
Mustache,LH,,10000
Madge,LH,,10000
Licorice,RF,,10000
Lilac,LH,,10000
Ladyfinger,LF,,10000
Licorice,RF,,11000
Mustache,RF,,11000
Madge,LF,,11000
Madge,RF,,11000
Madge,LH,,12000
Khakibeige,LH,,12000
Klondike,RH,,12000
Ladyfinger,LF,,12000
Lilac,LH,,12000
Lop,RF,,12000
Mustache,LF,,12000
Mustache,RF,,12000
Madge,LH,,12000
LuxuryTax,RF,,13000
Madge,RF,,13000
Khakibeige,RH,,13000
Minigolf,LH,,13000
Faith,LF,,13000
Laugh,RH,,13000
Khakibeige,LH,,13000
Zoe,LH,,13000
Leap,RH,,13000
Madge,RF,,13000
Minigolf,LH,,13000
Fresno,LH,,13000
Fresno,RH,,13000
Lioness,LH,,13000
Jitterbug,RF,,14000
ZsaZsa,LF,,14000
Webster,LF,,14000
Webster,RH,,14000
Ladyfinger,RF,,14000
Fresno,RF,,14000
Kowabunga,LF,CNS,15000
Madge,LF,,15000
Ladyfinger,RF,,15000
Lilac,LF,,15000
Atlantic,LH,,15000
Chaloopa,RF,,16000
Ladyfinger,LH,,16000
WMCA,RF,,16000
Ambrosia,RH,,16000
Madge,LF,,16000
Lioness,LF,,16000
Lioness,RF,,17000
Willy,RH,,17000
LuxuryTax,RF,,17000
Kowabunga,LH,Contaminated,17000
Freddie,RF,,17000
Atlantic,RH,,17000
Freddie,RF,,18000
Krone,LH,Contaminated,18000
Leap,RF,CNS,18000
Jitterbug,LH,,18000
Khakibeige,RH,,18000
Kodiak,RH,,18000
Klondike,RH,,18000
Klondike,RH,,19000
Atlantic,LF,,19000
Lilac,RH,CNS,20000
Krone,LH,,20000
Laugh,LF,,20000
Lovage,RH,,20000
Lovage,LH,,21000
Darla,RF,,21000
Lilac,RH,CNS,21000
Martina,LF,,21000
Licorice,LF,Blind,21000
Ladyfinger,LH,,21000
LuxuryTax,RF,,21000
Fresno,LF,,22000
Chartreuse,RH,,23000
Lovage,RH,,23000
Licorice,LH,Contaminated,23000
Atlantic,RF,,23000
Khakibeige,RF,,23000
Martina,RH,Gram-negative_non-coliform_Pseudomonas,24000
Freddie,RF,,24000
Freddie,RH,,24000
Lovage,LH,,24000
Freddie,RH,,25000
Willy,LH,,25000
Freddie,RH,,25000
Faith,LF,,25000
Chive,LF,,26000
Moonwalk,LF,,26000
WMCA,LH,,26000
Jitterbug,LH,,26000
Minigolf,RF,Contaminated,27000
Life,LF,CNS,27000
WMCA,RH,,27000
Ambrosia,RF,,27000
Lordwalk,LH,,27000
WMCA,LF,,28000
Jitterbug,RF,,28000
Jitterbug,LF,,28000
WMCA,LH,,28000
Amarillo,RH,,28000
LuxuryTax,RH,,29000
Amarillo,RH,,29000
Minigolf,RH,,30000
Minigolf,LF,,31000
Martina,LF,,31000
Lop,LF,,31000
Lordwalk,RH,,31000
Khakibeige,LH,,31000
Madge,RH,,31000
Freddie,LF,,32000
Leap,RF,,32000
Freddie,LF,,33000
Khakibeige,LF,CNS,33000
Minigolf,RH,,33000
Atlantic,LF,,33000
Darla,RF,Contaminated,33000
ZsaZsa,RF,,34000
Kodiak,RF,,34000
WMCA,RH,,34000
Chive,LF,,35000
Webster,LH,,35000
Khakibeige,RH,,35000
Licorice,LH,CNS,36000
Laugh,RH,,36000
Life,LF,CNS,37000
Chive,LH,,37000
ZsaZsa,RF,,37000
WMCA,RF,Coryne,38000
Lilac,RH,CNS,38000
Laugh,LH,,39000
LuxuryTax,RH,,39000
Amarillo,LF,,39000
Freddie,LF,,39000
Jitterbug,RH,CNS,40000
Minigolf,RH,,40000
Willy,LF,,41000
Kowabunga,LH,,41000
Kodiak,RF,,41000
Willy,LH,,41000
Freddie,LH,,43000
WMCA,LF,,43000
Amarillo,LF,,43000
LuxuryTax,RH,,43000
Lioness,RF,,43000
Diamond,RH,,44000
Licorice,LH,,44000
Willy,RH,,45000
Darla,LF,,45000
Willy,RF,CNS,47000
ZsaZsa,RF,,47000
Freddie,LH,,47000
Laugh,RF,CNS,48000
Khakibeige,LF,CNS,48000
Ambrosia,RH,,49000
Freddie,LH,,50000
Life,LH,Strep,50000
Krone,RF,CNS,51000
Life,LH,Strep,51000
Krone,LF,CNS,52000
Diamond,LF,,52000
Chaloopa,RF,,53000
Khakibeige,LF,CNS,54000
Kowabunga,RF,CNS,55000
Lop,LH,CNS,56000
Minigolf,RF,,58000
Lioness,RH,Contaminated,59000
Kodiak,LH,,61000
Amarillo,LH,Strep,61000
Lop,LH,CNS,62000
Licorice,RH,CNS,63000
Minigolf,RF,,65000
Chive,RH,,67000
Ladyfinger,RH,CNS,68000
Kodiak,RH,,69000
Willy,RH,,69000
LuxuryTax,LH,,69000
LuxuryTax,LH,,70000
Licorice,RH,CNS,70000
Ambrosia,LH,CNS,71000
Chartreuse,LH,,71000
Krone,RH,CNS,71000
Jitterbug,RF,,71000
Lop,LH,CNS,71000
Licorice,RH,CNS,73000
Ambrosia,LF,,74000
Kowabunga,LF,CNS,74000
Life,LF,CNS,74000
Minigolf,LF,,76000
Darla,LF,,76000
Lordwalk,RF,CNS,78000
Life,LH,Strep,80000
Chartreuse,LH,,81000
Ladyfinger,RH,CNS,81000
LuxuryTax,LF,CNS,81000
Ladyfinger,RH,CNS,82000
Klondike,RF,CNS,83000
Chive,RH,,83000
LuxuryTax,LF,CNS,84000
Diamond,RF,,84000
LuxuryTax,LF,CNS,85000
Kodiak,LF,,86000
Amarillo,RF,CNS,88000
Krone,LF,CNS,88000
Krone,RF,CNS,89000
Klondike,RF,CNS,90000
Madge,RH,,91000
Ambrosia,LH,CNS,91000
Lovage,LF,CNS,94000
Faith,RF,,95000
Chaloopa,RF,CNS,96000
Chaloopa,RH,Unknown,100000
Laugh,RF,CNS,100000
Lordwalk,LF,,100000
Ambrosia,LH,CNS,110000
LuxuryTax,LH,,110000
Kodiak,LH,Strep,110000
Jitterbug,RH,CNS,120000
Krone,LF,CNS,120000
Willy,RF,CNS,120000
Moonwalk,RF,SA,122000
Madge,RH,,125000
Chaloopa,LF,CNS,130000
Faith,RF,,130000
Chive,LH,,130000
Chive,RF,,130000
Chaloopa,LF,CNS,130000
Kodiak,LF,,130000
Krone,RF,CNS,130000
Lioness,RH,CNS,130000
Webster,RF,CNS,140000
Willy,LF,,140000
ZsaZsa,RH,Strep,146000
Kodiak,LH,Strep,150000
Amarillo,RF,CNS,150000
Krone,RH,CNS,160000
Kowabunga,RF,CNS,160000
Martina,LH,CNS,168000
Chaloopa,RH,CNS,169000
Jitterbug,RH,CNS,170000
Lovage,LF,CNS,180000
Amarillo,LH,CNS,180000
Zoe,RF,Strep,180000
Krone,RH,CNS,180000
Chive,RF,,181000
Webster,RF,CNS,187000
Amarillo,LH,CNS,190000
Faith,LH,CNS,200000
Laugh,LH,Gram-negative_coliform_Enterobacter,200000
Chaloopa,LF,CNS,220000
Chaloopa,LH,CNS,220000
Darla,LH,,222000
Cheese,LF,SA,227000
Kowabunga,LF,CNS,230000
Klondike,RF,CNS,230000
Chaloopa,LH,CNS,231000
Chaloopa,LH,CNS,240000
Webster,RF,CNS,240000
Willy,RF,CNS,250000
Darla,RH,Strep,250000
Lioness,RH,CNS,250000
Kodiak,LF,,259000
Kodiak,RF,,266000
Amarillo,RF,CNS,310000
Chaloopa,RH,CNS,320000
Willy,LF,,330000
Faith,LH,CNS,350000
ZsaZsa,RH,Strep,350000
ZsaZsa,RH,Strep,380000
Chartreuse,RF,,412000
Kowabunga,RF,CNS,420000
Martina,LH,CNS,500000
Chive,RF,,560000
Moonwalk,RH,,563000
Laugh,LF,,573000
Martina,LH,CNS,600000
Minigolf,LF,,640000
Chive,RH,Klebsiella,730000
Darla,RH,,790000
Kowabunga,RH,CNS,880000
Krone,LH,,910000
Lovage,RH,,970000
Moonwalk,LH,SA,1407000
Martina,LF,Strep,1445000
Chartreuse,RF,,1800000
Cheese,RH,,2000000
Kowabunga,RH,,2210000
Ambrosia,LF,,2300000
Lovage,RF,Gram-negative_coliform_organism_Serratia,2300000
Cheese,LF,SA,2600000
Darla,LH,,2900000
Chive,LF,Contaminated,2900000
Kowabunga,RH,,3500000
Faith,RH,,3500000
Darla,LH,,3900000
Lovage,LF,Strep,3910000
Lovage,RF,Strep,6754000
Faith,RH,Gram-negative_coliform_organism_Serratia,6800000
Lovage,LH,Strep,12827000
Cheese,RF,Blind,.
Licorice,LF,Blind,.
Lop,RH,Blind,.
Martina,RF,Blind,.
Leap,LF,Blind,.
Licorice,LF,Blind,.
Cheese,RF,Blind,.
Martina,RF,Blind,.
Lop,RH,Blind,.
Ambrosia,LF,Blind,.
Martina,RF,Blind,.
Leap,LF,Blind,.
Cheese,LF,Blind,.
Cheese,RF,Blind,.
Lovage,RF,Blind,.
Lop,RH,Blind,.
