Cow_ID,Quarter,IMI_species,SCC
Tess,RF,,0
Spot,LF,Contaminated,0
Penny,LF,,0
Tess,RH,,0
Penny,LH,,0
Rabbit,LF,,0
Rabbit,RH,,0
Teach,LF,,0
Teach,RH,,0
Teach,RF,,0
Jersey,RF,,0
Izzie,LH,,0
Izzie,RH,,0
Izzie,RF,,0
Tess,LH,,0
Tess,LF,,0
Tess,RH,,0
Tess,RF,,0
Peonie,LF,,0
Lemon,LH,,0
Lemon,LF,,0
Lemon,RH,,0
Lemon,RF,,0
Gold,LF,,0
Bullet,LF,,0
Bullet,RH,,0
Bullet,RF,,0
Spot,LF,,0
Spot,RH,,0
Spot,RF,,0
Butter,RF,,0
Penny,RF,,0
Ginger,LF,,0
Easter,LF,,2000
Easter,RH,,2000
Aloha,RF,,2000
Izzie,LF,,2000
Izzie,RH,Strep,2000
Izzie,RF,,2000
Tess,LH,,2000
Tess,LF,,2000
Tess,RH,,2000
Alf,RH,,2000
Spot,RH,,2000
Spot,RF,,2000
Bullet,RH,,2000
Tiktac,LH,,2000
Penny,RH,,2000
Penny,RF,Coryne,2000
Tess,LH,,2000
Tess,LF,,2000
Lemon,RF,,2000
Butter,LF,,2000
Penny,RF,,2000
Ginger,LF,,2000
Aloha,RH,,2000
Teach,LH,,2000
Grape,LH,,2000
Izzie,LF,Other_Gram-postive,2000
Spot,LH,,2000
Butter,LF,,2000
Butter,RH,,2000
Pistol,LH,,2000
Bullet,RF,,3000
Izzie,RH,,3000
Tess,RF,,3000
Penny,RH,,3000
Aloha,RF,,3000
Jersey,LH,,3000
Ruger,RF,CNS,3000
Kandykorn,RH,,3000
Spice,RF,Coryne,3000
Jenny,RH,,3000
Aloha,RH,,4000
Teach,LF,,4000
Teach,RH,,4000
Rabbit,LF,,4000
Jersey,RF,,4000
Butterfly,LF,,4000
Pistol,RH,,4000
Pistol,RF,,4000
MsChar,RF,,4000
Bullet,LH,,4000
Bullet,LF,,4000
Teach,RH,,4000
Teach,RF,,4000
Rabbit,LF,,4000
Pistol,LH,,4000
Spot,LF,,4000
Penny,LF,,4000
Peonie,RH,CNS,4000
Butterfly,LF,,4000
Karla,LF,,4000
Bullet,LH,,4000
Pistol,RH,,4000
Penny,RH,,4000
Rabbit,LH,,5000
Jenny,RH,,5000
MsChar,LF,,5000
Katie,RH,,5000
Lemon,LF,,5000
Jersey,RH,Strep,5000
Racer,RH,,5000
Whinnie,LF,,5000
Teach,LH,,6000
Rabbit,RH,,6000
Whinnie,LF,,6000
Penny,LH,,6000
Peacock,RF,,6000
Aloha,RF,,6000
Teach,LF,Coryne,6000
Rabbit,LH,,6000
Rabbit,RH,,6000
Izzie,LH,,6000
Peonie,LF,,6000
Spot,LH,,6000
Butter,LH,,6000
Aloha,LF,,6000
PG,LH,,6000
PG,RF,,6000
Butterfly,LH,,6000
Teach,RF,,7000
Izzie,LH,,7000
Kandykorn,RH,,7000
Butterfly,LH,,7000
Easter,LF,,7000
Easter,RH,,7000
Peonie,LH,,7000
Butter,LH,,7000
Peonie,LH,,8000
Peonie,LF,,8000
Peonie,RH,Mix_Coryne_Strep,8000
Karla,LF,,8000
Pistol,LH,,8000
Butter ,LH,,8000
Honey,LF,,8000
Izzie,LF,,8000
Jersey,RF,,8000
Bullet,LF,,8000
Bullet,RF,,8000
Korny,RH,CNS,8000
Ruger,RH,,8000
Butterfly,RH,,8000
Karla,RF,,8000
Spice,LH,,8000
Butter ,RH,,9000
Teach,LH,,9000
Izzie,RF,,9000
Kandykorn,RH,Contaminated,9000
Peonie,RH,Contaminated,9000
Jersey,LH,,9000
Lemon,LH,Coryne,9000
Gold,LF,,9000
Spot,RH,,9000
PG,RH,,9000
Kandykorn,LH,,9000
