Cow_ID,Quarter,IMI_species,SCC
Loha32,LH,,27000
Loha32,LF,,11000
Loha32,RH,,12000
Loha32,RF,,9000
GloryBe29,LH,,25000
GloryBe29,LF,,2000
GloryBe29,RH,,5000
GloryBe29,RF,,2000
Champne25,LH,,5000
Champne25,LF,,7000
Champne25,RH,,4000
Champne25,RF,,5000
Germ1140,LH,,3000
Germ1140,LF,,1400000
Germ1140,RH,CNS,150000
Germ1140,RF,,6000
Padfoot21,LH,,9000
Padfoot21,LF,,8000
Padfoot21,RH,,6000
Padfoot21,RF,,16000
Fajita12,LH,,4000
Fajita12,LF,,0
Fajita12,RH,,0
Fajita12,RF,,0
Gronk22,LH,,17000
Gronk22,LF,,15000
Gronk22,RH,,17000
Gronk22,RF,,14000
Kyra35,LH,,16000
Kyra35,LF,,19000
Kyra35,RH,CNS,210000
Kyra35,RF,,18000
Kwikmix36,LH,,73000
Kwikmix36,LF,,13000
Kwikmix36,RH,Contaminated,16000
Kwikmix36,RF,,14000
Annabelle27,LH,,4000
Annabelle27,LF,,520000
Annabelle27,RH,,19000
Annabelle27,RF,SA,230000
Stamina391,LH,,12000
Stamina391,LF,,2000
Stamina391,RH,,7000
Stamina391,RF,,4000
Fitzi31,LH,,5000
Fitzi31,LF,,3000
Fitzi31,RH,,12000
Fitzi31,RF,CNS,56000
Ferrari28,LH,,350000
Ferrari28,LF,,17000
Ferrari28,RH,Strep,2900000
Ferrari28,RF,Contaminated,54000
Minerva34,LH,,6000
Minerva34,LF,,5000
Minerva34,RH,,10000
Minerva34,RF,CNS,130000
Octavia42,LH,,8000
Octavia42,LF,,4000
Octavia42,RH,,6000
Octavia42,RF,,6000
Gif9,LH,,40000
Gif9,LF,,64000
Gif9,RH,,62000
Gif9,RF,,75000
Likely30,LH,Mix_CNS_Strep,130000
Likely30,LF,Mix_CNS_Strep,500000
Likely30,RH,,18000
Likely30,RF,Strep,200000
Chapstick1,LH,,6000
Chapstick1,LF,,3000
Chapstick1,RH,,2000
Chapstick1,RF,,710000
Farrent31,LH,CNS,70000
Farrent31,LF,,12000
Farrent31,RH,CNS,36000
Farrent31,RF,,11000
Laura558,LH,,4000
Laura558,LF,,2000
Laura558,RH,,3000
Laura558,RF,,7000
Sam19,LH,,5000
Sam19,LF,,9000
Sam19,RH,,8000
Sam19,RF,,15000
Lalune33,LH,,9000
Lalune33,LF,,9000
Lalune33,RH,,10000
Lalune33,RF,,10000
Shania291,LH,,48000
Shania291,LF,SA,4200000
Shania291,RH,,99000
Shania291,RF,,46000
Shiela375,LH,,6000
Shiela375,LF,,6000
Shiela375,RH,CNS,440000
Shiela375,RF,,13000
Guana362,LH,CNS,80000
Guana362,LF,,5000
Guana362,RH,,7000
Guana362,RF,,0
Swallow377,LH,,5000
Swallow377,LF,,5000
Swallow377,RH,,9000
Swallow377,RF,,8000
Saige313,LH,,3000
Saige313,LF,CNS,570000
Saige313,RH,CNS,3000000
Saige313,RF,Blind,.
Sapphire338,LH,,54000
Sapphire338,LF,,5000
Sapphire338,RH,CNS,260000
Sapphire338,RF,,9000
Scrapie278,LH,,5000
Scrapie278,LF,,2000
Scrapie278,RH,,220000
Scrapie278,RF,SA,330000
Gift379,LH,Contaminated,9000
Gift379,LF,CNS,210000
Gift379,RH,,7000
Gift379,RF,CNS,190000
Marney382,LH,,9000
Marney382,LF,SA,1800000
Marney382,RH,,33000
Marney382,RF,,16000
Farrah363,LH,,27000
Farrah363,LF,CNS,73000
Farrah363,RH,,120000
Farrah363,RF,CNS,220000
Annabeth2,LH,CNS,24000
Annabeth2,LF,,190000
Annabeth2,RH,,3000
Annabeth2,RF,,15000
Simply314,LH,,9000
Simply314,LF,,19000
Simply314,RH,,9000
Simply314,RF,,15000
Vida6,LH,,110000
Vida6,LF,,120000
Vida6,RH,,290000
Vida6,RF,,160000
Germ1140,LH,,2000
Germ1140,LF,Blind,.
Germ1140,RH,,67000
Germ1140,RF,,8000
GloryBe29,LH,,8000
GloryBe29,LF,,5000
GloryBe29,RH,,4000
GloryBe29,RF,,6000
Fajita12,LH,,4000
Fajita12,LF,,0
Fajita12,RH,,3000
Fajita12,RF,,0
Gronk22,LH,,13000
Gronk22,LF,,12000
Gronk22,RH,,12000
Gronk22,RF,,11000
Annabelle27,LH,,5000
Annabelle27,LF,,8000
Annabelle27,RH,,4000
Annabelle27,RF,SA,720000
Kwikmix36,LH,,22000
Kwikmix36,LF,,3000
Kwikmix36,RH,,7000
Kwikmix36,RF,,3000
Loha32,LH,,4000
Loha32,LF,,8000
Loha32,RH,,3000
Loha32,RF,,3000
Champne25,LH,,0
Champne25,LF,,2000
Champne25,RH,,0
Champne25,RF,,4000
Farrent31,LH,CNS,46000
Farrent31,LF,,10000
Farrent31,RH,CNS,50000
Farrent31,RF,,7000
Kyra35,LH,,16000
Kyra35,LF,,16000
Kyra35,RH,CNS,79000
Kyra35,RF,,22000
Stamina391,LH,,4000
Stamina391,LF,,4000
Stamina391,RH,,2000
Stamina391,RF,,3000
Fitzi31,LH,,13000
Fitzi31,LF,,7000
Fitzi31,RH,,16000
Fitzi31,RF,CNS,46000
Minerva34,LH,,6000
Minerva34,LF,,4000
Minerva34,RH,,6000
Minerva34,RF,CNS,95000
Gif9,LH,,5000
Gif9,LF,,5000
Gif9,RH,,3000
Gif9,RF,,4000
Ferrari28,LH,,140000
Ferrari28,LF,Contaminated,9000
Ferrari28,RH,Strep,2800000
Ferrari28,RF,,79000
Octavia42,LH,,13000
Octavia42,LF,,5000
Octavia42,RH,,3000
Octavia42,RF,,5000
Laura558,LH,,2000
Laura558,LF,,3000
Laura558,RH,,2000
Laura558,RF,,3000
Likely30,LH,Mix_CNS_Strep,72000
Likely30,LF,Mix_CNS_Strep,570000
Likely30,RH,,17000
Likely30,RF,Strep,78000
Sam19,LH,,4000
Sam19,LF,,3000
Sam19,RH,,0
Sam19,RF,,2000
Vida6,LH,,36000
Vida6,LF,,24000
Vida6,RH,,23000
Vida6,RF,,88000
Lalune33,LH,,10000
Lalune33,LF,,6000
Lalune33,RH,,11000
Lalune33,RF,,6000
Marney382,LH,CNS,26000
Marney382,LF,SA,4100000
Marney382,RH,,73000
Marney382,RF,Contaminated,87000
Shiela375,LH,CNS,7000
Shiela375,LF,,3000
Shiela375,RH,CNS,3100000
Shiela375,RF,,65000
Sapphire338,LH,Contaminated,21000
Sapphire338,LF,Coryne,3000
Sapphire338,RH,CNS,81000
Sapphire338,RF,,9000
Shania291,LH,Mix_Coryne_Unknown,17000
Shania291,LF,SA,6400000
Shania291,RH,,150000
Shania291,RF,,13000
Guana362,LH,CNS,130000
Guana362,LF,,4000
Guana362,RH,,4000
Guana362,RF,,0
Scrapie278,LH,,12000
Scrapie278,LF,,18000
Scrapie278,RH,CNS,210000
Scrapie278,RF,SA,360000
Gift379,LH,,9000
Gift379,LF,CNS,150000
Gift379,RH,,7000
Gift379,RF,CNS,180000
Swallow377,LH,,12000
Swallow377,LF,,5000
Swallow377,RH,,12000
Swallow377,RF,,11000
Chapstick1,LH,,0
Chapstick1,LF,,2000
Chapstick1,RH,,2000
Chapstick1,RF,,55000
Simply314,LH,,8000
Simply314,LF,,20000
Simply314,RH,,4000
Simply314,RF,,11000
Padfoot21,LH,,53000
Padfoot21,LF,,26000
Padfoot21,RH,,56000
Padfoot21,RF,,38000
Saige313,LH,,6000
Saige313,LF,CNS,480000
Saige313,RH,CNS,530000
Saige313,RF,Blind,.
Annabeth2,LH,,43000
Annabeth2,LF,SA,670000
Annabeth2,RH,,14000
Annabeth2,RF,,0
Farrah363,LH,,48000
Farrah363,LF,CNS,47000
Farrah363,RH,,42000
Farrah363,RF,CNS,120000
Germ1140,LH,,56000
Germ1140,LF,Blind,.
Germ1140,RH,CNS,46000
Germ1140,RF,,4000
Padfoot21,LH,,7000
Padfoot21,LF,,11000
Padfoot21,RH,,5000
Padfoot21,RF,,8000
Champne25,LH,,2000
Champne25,LF,,2000
Champne25,RH,Coryne,0
Champne25,RF,,0
Loha32,LH,,6000
Loha32,LF,,5000
Loha32,RH,CNS,3000
Loha32,RF,,5000
GloryBe29,LH,Contaminated,13000
GloryBe29,LF,,6000
GloryBe29,RH,,7000
GloryBe29,RF,,2000
Fajita12,LH,,3000
Fajita12,LF,,0
Fajita12,RH,,2000
Fajita12,RF,,0
Gronk22,LH,,10000
Gronk22,LF,Yeast,9000
Gronk22,RH,,8000
Gronk22,RF,,7000
Annabelle27,LH,,6000
Annabelle27,LF,,3000
Annabelle27,RH,,15000
Annabelle27,RF,SA,1000000
Kwikmix36,LH,,23000
Kwikmix36,LF,,8000
Kwikmix36,RH,,9000
Kwikmix36,RF,,5000
Minerva34,LH,,3000
Minerva34,LF,,3000
Minerva34,RH,,0
Minerva34,RF,CNS,1600000
Octavia42,LH,,24000
Octavia42,LF,,7000
Octavia42,RH,,2000
Octavia42,RF,,2000
Laura558,LH,,4000
Laura558,LF,,3000
Laura558,RH,,2000
Laura558,RF,,3000
Stamina391,LH,,2000
Stamina391,LF,,4000
Stamina391,RH,,5000
Stamina391,RF,,2000
Kyra35,LH,,8000
Kyra35,LF,,12000
Kyra35,RH,CNS,72000
Kyra35,RF,,8000
Farrent31,LH,CNS,85000
Farrent31,LF,,10000
Farrent31,RH,CNS,28000
Farrent31,RF,,7000
Fitzi31,LH,CNS,190000
Fitzi31,LF,,9000
Fitzi31,RH,,9000
Fitzi31,RF,CNS,58000
Ferrari28,LH,,670000
Ferrari28,LF,,22000
Ferrari28,RH,Strep,3100000
Ferrari28,RF,,62000
Gif9,LH,,6000
Gif9,LF,,4000
Gif9,RH,,4000
Gif9,RF,,5000
Sam19,LH,,2000
Sam19,LF,,0
Sam19,RH,,7000
Sam19,RF,,3000
Lalune33,LH,,8000
Lalune33,LF,,4000
Lalune33,RH,,9000
Lalune33,RF,,9000
Sapphire338,LH,,560000
Sapphire338,LF,,58000
Sapphire338,RH,CNS,140000
Sapphire338,RF,,6000
Likely30,LH,Mix_CNS_Strep,59000
Likely30,LF,Mix_CNS_Strep,180000
Likely30,RH,,12000
Likely30,RF,Strep,61000
Vida6,LH,,37000
Vida6,LF,Unknown,26000
Vida6,RH,,28000
Vida6,RF,,42000
Shiela375,LH,,5000
Shiela375,LF,,8000
Shiela375,RH,CNS,78000
Shiela375,RF,,20000
Marney382,LH,Mix_CNS_Strep,37000
Marney382,LF,SA,2100000
Marney382,RH,Mix_Strep_Unknown,72000
Marney382,RF,,75000
Shania291,LH,,20000
Shania291,LF,SA,3200000
Shania291,RH,,110000
Shania291,RF,,14000
Guana362,LH,CNS,12000
Guana362,LF,,0
Guana362,RH,,3000
Guana362,RF,,2000
Gift379,LH,,0
Gift379,LF,CNS,130000
Gift379,RH,,7000
Gift379,RF,CNS,180000
Swallow377,LH,,15000
Swallow377,LF,,10000
Swallow377,RH,,23000
Swallow377,RF,,34000
Chapstick1,LH,,0
Chapstick1,LF,CNS,0
Chapstick1,RH,CNS,2000
Chapstick1,RF,,6000
Simply314,LH,,24000
Simply314,LF,,58000
Simply314,RH,,16000
Simply314,RF,,19000
Scrapie278,LH,,9000
Scrapie278,LF,,10000
Scrapie278,RH,CNS,86000
Scrapie278,RF,,1100000
Saige313,LH,Coryne,28000
Saige313,LF,Unknown,320000
Saige313,RH,CNS,250000
Saige313,RF,Blind,.
Farrah363,LH,,160000
Farrah363,LF,CNS,540000
Farrah363,RH,,10000
Farrah363,RF,CNS,7000
Annabeth2,LH,,35000
Annabeth2,LF,SA,100000
Annabeth2,RH,,23000
Annabeth2,RF,Gram-negative_non-coliform,70000
