Cow_ID,Quarter,IMI_species,SCC
Big Red,RF,,3000
Zag,RH,,3000
Big Red,LF,,4000
TeaTree,RF,,4000
Abbazaba,RH,,4000
Alaska,LF,,5000
Aubrey,RF,,5000
TeaTree,RH,,6000
TeaTree,RF,,6000
Zag,RF,,7000
Abbazaba,LH,,7000
Alaska,LH,,7000
Italia,LF,,7000
TeaTree,RH,,7000
Lucinda,LF,,8000
TeaTree,LH,,8000
Sally,RH,,8000
Abbazaba,LF,,9000
Italia,RH,,9000
Big Red,LH,,10000
Big Red,RH,,10000
Zag,LH,Coryne,10000
Abbazaba,RF,,10000
Chelsea,RF,,10000
Indigo,RH,,11000
Octavia,LF,,11000
Chelsea,LH,,11000
Delilah,RF,,11000
Charlotte,LH,,12000
Alaska,RH,,12000
Brandy,LH,,12000
Sally,LH,,12000
Sally,RF,,12000
Delilah,LF,,12000
Delilah,RH,,12000
Big Red,RF,,12000
Genie,LF,,12000
Ashley,RF,,13000
Octavia,RF,,13000
Sally,LF,,13000
TeaTree,LH,,14000
Delilah,RH,,14000
Delilah,RF,,14000
Zag,LF,CNS,15000
Pippa,RH,,15000
Big Red,LF,,15000
Ashley,RH,,16000
Charlotte,RF,,16000
Genie,LF,,16000
Genie,RH,,16000
TeaTree,LF,,17000
Indigo,LF,,17000
Delilah,LF,,17000
Aubrey,LF,,18000
Margo,RH,,19000
Peggie,LF,,20000
Genie,LH,,20000
Peaches,LF,,21000
Peaches,RF,,21000
Lucinda,RF,,21000
Robin,RH,,21000
Alaska,RF,,21000
Indigo,LH,,21000
Alaska,RH,,21000
Margo,RF,,22000
Robin,LH,,22000
Daryl,LF,,22000
Sally,LH,,22000
Octavia,RF,,22000
Lish,RH,CNS,23000
Peggie,RH,,24000
Sally,LF,,25000
Lish,LH,CNS,26000
Doris,LH,,29000
Doris,RH,,29000
Rhonda,RH,,29000
Peggie,LH,,29000
Alaska,LH,,29000
Sally,RF,,29000
Brandy,LH,,29000
Brandy,RH,,30000
Alaska,LF,,30000
Sally,RH,,30000
Peggie,RF,,31000
Delilah,LH,,31000
Italia,LH,,32000
Aubrey,LH,,32000
Chelsea,RH,,32000
Lucinda,LF,,33000
Ashley,RH,,33000
Octavia,LF,,33000
Margo,LF,,34000
Genie,LH,,34000
Riley,LF,,35000
Wynona,RH,,35000
Charlie,RF,Contaminated,37000
Robin,LF,,37000
Daisy,RH,,39000
Genie,RH,,39000
Lish,LF,,40000
Lish,RF,,40000
Rhonda,RF,,40000
Daisy,LH,,40000
Daisy,RF,,40000
Robin,LH,,40000
Chelsea,RF,,40000
Big Red,LH,,41000
TeaTree,LF,,41000
Ashley,RF,,41000
Robin,LF,,43000
Margo,RF,,44000
Big Red,RH,,45000
Aubrey,RH,,46000
Peggie,LF,,46000
Peggie,RH,,47000
Robin,RH,CNS,50000
Peggie,LH,,52000
Daryl,RF,,52000
Daisy,LF,,53000
Wynona,RH,,53000
Charlie,LH,,53000
Daryl,LH,,57000
Ashley,LH,CNS,58000
Lish,RH,CNS,60000
Alaska,RF,,61000
Brandy,LF,,62000
Rhonda,LH,,62000
Genie,RF,,62000
Peaches,LF,,65000
Pippa,LH,,68000
Margo,RH,,68000
Chelsea,LH,CNS,68000
Margo,LF,,73000
Peggie,RF,,74000
Chelsea,RH,,76000
Peaches,RF,,77000
Riley,LH,,78000
Abbi,RF,Coryne,78000
Faith,LH,,78000
Lish,RF,,78000
Lucinda,RF,,78000
Octavia,RH,CNS,79000
Rhonda,RH,,79000
Riley,LF,,81000
Faith,RH,,82000
Whopper,RH,,82000
Aubrey,RF,,82000
Genie,RF,,84000
Riley,RH,,87000
Rhonda,LF,,88000
Aubrey,LF,,88000
Lucinda,LH,,91000
Daisy,LH,,93000
Charlotte,LF,SA,94000
Lucinda,RH,,95000
Doris,RH,,95000
Faith,RF,,96000
Lish,LH,CNS,97000
Pippa,LF,CNS,100000
Echo,RH,CNS,102000
Abbi,RH,,105000
Echo,LF,,106000
Brandy,RH,,110000
Robin,RF,,117000
Echo,LH,CNS,118000
Robin,RF,CNS,120000
Abbi,RF,Contaminated,120000
Abbi,LF,,127000
Abbi,RH,,130000
Daisy,RF,,130000
Daryl,LF,,130000
Chelsea,LF,Unknown,135000
Wynona,LH,CNS,137000
Indigo,RF,Contaminated,140000
Riley,LH,,140000
Doris,LH,,140000
Aubrey,RH,,140000
Daisy,RH,,140000
Pippa,RH,,150000
Whopper,RF,,156000
Pippa,LH,,160000
Aubrey,LH,,160000
Riley,RF,CNS,163000
Wynona,LF,CNS,168000
Wynona,LH,CNS,170000
Lish,LF,,170000
Abbi,LF,,170000
Daisy,LF,Contaminated,170000
Delilah,LH,,180000
Peaches,LH,CNS,192000
Chelsea,LF,Contaminated,200000
Lucinda,LH,,220000
Riley,RH,,220000
Octavia,RH,CNS,220000
Rhonda,LF,,220000
Wynona,LF,CNS,230000
Rhonda,LH,,230000
Octavia,LH,CNS,233000
Peaches,LH,CNS,240000
Rhonda,RF,,240000
Italia,RF,SA,247000
Riley,RF,CNS,250000
Daryl,LH,,250000
Doris,LF,CNS,259000
Echo,LH,CNS,260000
Daryl,RF,,260000
Lucinda,RH,,280000
Ashley,LH,CNS,280000
Charlotte,RH,,302000
Rashida,LH,CNS,310000
Alexis,RH,,318000
Alexis,LH,,330000
Charlie,LF,SA,330000
Abbi,LH,,336000
Octavia,LH,CNS,340000
Rashida,RH,CNS,349000
Echo,RH,CNS,370000
Rashida,RH,CNS,370000
Brandy,RF,,409000
Abbazaba,RF,,420000
Echo,LF,,420000
Faith,LF,,440000
Wynona,RF,,468000
Abbazaba,LF,,470000
Pippa,LF,CNS,500000
Abbazaba,RH,,560000
Ashley,LF,CNS,560000
Echo,RF,CNS,573000
Brandy,LF,,610000
Margo,LH,CNS,616000
Ashley,LF,CNS,628000
Doris,LF,CNS,640000
Rashida,LH,CNS,690000
Abbazaba,LH,,710000
Alexis,RF,,715000
Abbi,LH,,740000
Whopper,RH,,760000
Alexis,RH,CNS,760000
Margo,LH,CNS,770000
Alexis,LH,Contaminated,800000
Daryl,RH,,878000
Rashida,RF,CNS,1120000
Whopper,LF,,1159000
Rashida,RF,CNS,1300000
Alexis,LF,,1300000
Faith,RF,CNS,1400000
