Cow_ID,Quarter,IMI_species,SCC
Pledge,LH,Strep,4000
Pledge,LF,CNS,87000
Pledge,RH,CNS,59000
Pledge,RF,CNS,172000
Shelly,LH,,57000
Shelly,LF,,40000
Shelly,RH,,58000
Shelly,RF,,134000
Picknick,LH,,4000
Picknick,LF,,3000
Picknick,RH,,3000
Picknick,RF,,2000
DeeDee,LH,,31000
DeeDee,LF,,5000
DeeDee,RH,Strep,50000
DeeDee,RF,,26000
Sparky,LH,,8000
Sparky,LF,,8000
Sparky,RH,,8000
Sparky,RF,,6000
Denise,LH,Contaminated,131000
Denise,LF,,23000
Denise,RH,,22000
Denise,RF,CNS,139000
Skyler,LH,,3000
Skyler,LF,,2000
Skyler,RH,,4000
Skyler,RF,CNS,0
Cambric,LH,CNS,36000
Cambric,LF,,2000
Cambric,RH,Contaminated,64000
Cambric,RF,,3000
Diane,LH,,2000
Diane,LF,,13000
Diane,RH,,2000
Diane,RF,CNS,3000
Gretchen,LH,,8000
Gretchen,LF,,60000
Gretchen,RH,,16000
Gretchen,RF,,14000
Paige,LH,Contaminated,56000
Paige,LF,,9000
Paige,RH,CNS,55000
Paige,RF,,17000
Denver,LH,,6000
Denver,LF,Mix_CNS_Strep,153000
Denver,RH,CNS,103000
Denver,RF,,7000
Dorian,LH,Contaminated,26000
Dorian,LF,Contaminated,43000
Dorian,RH,,28000
Dorian,RF,Strep,9000
Quantum,LH,,6000
Quantum,LF,CNS,15000
Quantum,RH,,10000
Quantum,RF,,9000
Goldie,LH,Mix_CNS_Strep,66000
Goldie,LF,CNS,157000
Goldie,RH,Mix_CNS_Strep,73000
Goldie,RF,,46000
Jazz,LH,,6000
Jazz,LF,,5000
Jazz,RH,,6000
Jazz,RF,,5000
Sondra,LH,Contaminated,82000
Sondra,LF,Contaminated,177000
Sondra,RH,Contaminated,26000
Sondra,RF,,47000
Halo,LH,,5000
Halo,LF,,6000
Halo,RH,,8000
Halo,RF,,9000
Sonic,LH,,6000
Sonic,LF,,14000
Sonic,RH,,9000
Sonic,RF,,9000
Sadie,LH,,5000
Sadie,LF,Strep,12000
Sadie,RH,,4000
Sadie,RF,,3000
Pasta,LH,,21000
Pasta,LF,CNS,78000
Pasta,RH,,16000
Pasta,RF,,16000
Pamela,LH,,2000
Pamela,LF,,8000
Pamela,RH,,3000
Pamela,RF,,5000
Rock7,LH,,6000
Rock7,LF,,8000
Rock7,RH,,9000
