Cow_ID,Quarter,IMI_species,SCC
Gloria,LH,,0
Leopard,RH,,0
Alma,LF,,0
Matilda,LF,,0
Isabelle,RF,,0
Hosana,RH,,0
Alma,RH,,0
Hosana,LH,,0
Hosana,LF,,0
Hosana,RH,,0
Hosana,RF,,0
Seraphina,LH,,0
Seraphina,LF,,0
Seraphina,RH,,0
Seraphina,RF,,0
Immogene,LH,,0
Immogene,RH,,0
Immogene,RF,,0
Hosana,LH,,0
Hosana,RH,,0
Hosana,RF,,0
Luna,LF,Contaminated,2000
Alma,RH,,2000
Alice,RH,,2000
Imogene,LH,CNS,2000
Imogene,LF,,2000
Imogene,RH,Contaminated,2000
Gloria,LH,,2000
Alma,LH,,2000
Alma,LF,,2000
Alma,RF,,2000
Isabelle,LF,,2000
Patchouli,LF,,2000
Iris,LH,,2000
Leopard,RH,,2000
Vangie,LF,,2000
Isabelle,RH,,2000
Lena,LH,,2000
Alma,RH,,2000
Alice,LH,,2000
Iris,LH,CNS,2000
Iris,LF,,2000
Tessa,LH,,2000
Immogene,LF,,2000
Hosana,LF,CNS,2000
Alma,RF,,2400
Isabelle,LF,,2889
Matilda,LH,,3000
Flavia,LH,,3000
Alice,LF,,3000
Imogene,RF,,3000
Seraphina,LH,,3000
Hosana,LH,,3000
Hosana,LF,,3000
Tallula,RH,,3000
Alma,LF,,3000
Alma,RF,,3000
Tallula,RH,,3000
Ursala,LF,,3000
Ursala,RH,,3000
Iris,RF,,3000
Tessa,LF,,3000
Tessa,RH,,3000
Lucha,LH,,3000
Vangie,LF,,4000
Vangie,RF,,4000
Lena,RF,,4000
Isabelle,RH,,4000
Leadbelly,RF,,4000
Vicki,RH,,4000
Ursala,LF,,4000
Freida,RF,,4000
Ardetta,LF,,4000
Patchouli,RF,,4000
Iris,LF,,4000
Iris,RF,,4000
Seraphina,LF,,4000
Lucha,LH,,4000
Gloria,RH,,4000
Isabelle,RH,,4000
Alice,LH,,4000
Lilac,LH,,4000
Patchouli,RH,,4000
Imogene,LH,,4000
Vera,LF,,4000
Isabelle,LH,,4000
Isabelle,LF,,4000
Isabelle,RF,,4000
Lena,RH,,4000
Lena,RF,,4000
Alma,LH,,4000
Hyacinth,LH,,4000
Hyacinth,LF,,4000
Tessa,RF,,4000
Vangie,LH,,5000
Vangie,RH,,5000
Gloria,RH,,5000
Tallula,LH,,5000
Vicki,RF,Contaminated,5000
Lilac,LH,Contaminated,5000
Ardetta,LH,,5000
Luna,LH,,5000
Freida,RF,,5000
Ardetta,LH,,5000
Panda,LF,,5000
Imogene,LF,CNS,5000
Iris,RF,,5000
Gomora,LF,,5000
Vangie,RF,,5000
Matilda,LF,,5000
Alice,RF,,5000
Ursala,RF,,5000
Patchouli,LF,,5000
Patchouli,RH,,5000
Jasmine,LF,,5000
Tallula,LF,,6000
Tallula,RH,,6000
Freida,LH,,6000
Irene,RH,,6000
Iris,LH,,6000
Bonnie,RH,,6000
Jasmine,LF,,6000
Lena,RH,Unknown,6000
Matilda,LH,,6000
Luna,LF,,6000
Isabelle,LH,,6000
Isabelle,RF,,6000
Ardetta,LF,,6000
Patchouli,LH,,6000
Imogene,RF,,6000
Iris,LF,,6000
Gomora,LH,,6000
Gomora,RH,,6000
Vangie,RH,,6000
Gloria,LH,Contaminated,6000
Luna,LH,Strep,6000
Freida,RF,,6000
Lilac,LH,,6000
Leadbelly,RH,,7000
Ursala,RF,,7000
Irene,RF,,7000
Patchouli,LH,,7000
Leopard,RH,,7000
Matilda,LF,,7000
Hyacinth,LF,,7000
Jasmine,RH,,7000
Jasmine,RF,,7000
Vangie,LH,,7000
Luna,LF,,7000
Iris,RH,,7000
Patchouli,LH,,7000
Ardetta,LH,CNS,7000
Hyacinth,RF,,7000
Panda,RF,,7000
Jasmine,RF,,7000
Seraphina,RH,,7000
Seraphina,RF,,7000
Luna,LH,,8000
Freida,LF,,8000
Hyacinth,RF,,8000
Jasmine,LH,,8000
Seraphina,RH,,8000
Seraphina,RF,,8000
Lena,RF,CNS,8000
Flavia,LH,,8000
Ursala,RH,,8000
Ursala,RF,,8000
Hyacinth,RF,,8000
Imogene,RH,,8000
Jasmine,LH,,8000
Gomora,RF,,8000
Matilda,RH,CNS,8000
Hyacinth,RH,,8000
Panda,LH,,8000
Panda,LF,,8000
Jasmine,LH,,8000
Ursala,RH,,9000
Hyacinth,LF,,9000
Indie,LF,,9000
Bonnie,LF,,9000
Jasmine,RF,,9000
Lena,LH,,9000
Vangie,LF,,9000
Ursala,LF,,9000
Alice,RF,,9000
Hyacinth,LH,,9000
Jasmine,LF,,9000
Matilda,LH,,9000
Tallula,LF,,9000
Flavia,LH,,9000
Ardetta,LF,,9000
Isabelle,LH,,9778
Abigail,RH,,10000
Panda,LF,,10000
Bonnie,LH,,10000
Irene,RF,,10000
Lucha,LH,,10000
Vera,RF,Coryne,10000
Freida,LH,,10000
Matilda,RH,,10800
Luna,RF,,11000
Hyacinth,LH,,11000
Indie,RF,,11000
Bonnie,RF,,11000
Jasmine,RH,,11000
Vangie,LH,,11000
Vangie,RH,,11000
Luna,RF,,11000
Vicki,LH,,11000
Freida,LH,,11000
Freida,LF,,11000
Ardetta,RH,,11000
Panda,RF,,11000
Bonnie,LH,,11000
Gloria,RH,Contaminated,11000
Vicki,RF,Mix_Bacillus_CNS,11000
Freida,LF,,11000
Seraphina,LF,,11000
Leadbelly,LH,,12000
Indie,RH,,12000
Patchouli,RH,,12000
Alice,LF,,12000
Indie,RH,,12000
Iris,RH,Coryne,12000
Vicki,RH,,12000
Vicki,LF,,13000
Lassandra,LF,,13000
Abigail,RF,,13000
Hyacinth,RH,CNS,13000
Vangie,RF,,13000
Vicki,RH,,13000
Vicki,RF,,13000
Bonnie,RF,,13000
Jasmine,RH,,13000
Iris,RH,,14000
Bonnie,LF,,14000
Ardetta,RH,,14000
Vicki,LH,,15000
Tilly,RF,,15000
Lassandra,RH,,15000
Lassandra,RF,,15000
Panda,RF,,15000
Hyacinth,RH,,15000
Panda,LH,,15000
Bonnie,RH,,15000
Vicki,LF,,15000
Clara,LF,,16000
Irene,LH,,16000
Indie,LH,,16000
Irene,LH,,16000
Tilly,RH,,17000
Ardetta,RH,,17000
Tallula,LF,,17000
Vicki,LH,,17000
Tilly,LH,,19000
Matilda,RH,,19000
Vicki,LF,,19000
Lassandra,RH,,19000
Irene,RF,,20000
Tilly,LF,,21000
Indie,LF,,21000
Lena,LH,,23000
Clara,LH,,23000
Indie,LH,,23000
Esme,RF,,23000
Clara,LF,,24000
Abigail,RH,,24000
Lassandra,LF,,24000
Indie,RF,,24000
Leopard,LF,CNS,24000
Patchouli,RF,CNS,24000
Lassandra,RF,,25000
Matilda,RF,CNS,25000
Tilly,LH,CNS,25000
Lassandra,LH,,26000
Tilly,RH,,26000
Lucha,LF,CNS,26000
Clara,LH,,27000
Tilly,RH,,27000
Tilly,RF,,28000
Zelda,LH,,29000
Ursala,LH,CNS,29000
Irene,LF,CNS,29000
Lassandra,LH,,29000
Leopard,RF,CNS,29000
Seraphina,LH,,29000
Esme,RF,,30000
Panda,LH,,30000
Leopard,RF,,30000
Vera,RH,,31000
Leopard,LF,CNS,34000
Irene,RH,,34000
Leopard,RF,CNS,35000
Lilac,RH,CNS,35000
Abigail,RH,,36000
Gomora,LH,,38000
Abigail,RF,,38000
Tilly,LF,,38000
Luna,RF,,38000
Esme,RH,,38000
Tilly,LH,,39000
Clara,LF,,39000
Gomora,LF,,40000
Gomora,RF,,41000
Tilly,LF,,41000
Tilly,RF,,41000
Matilda,RF,CNS,42000
Zelda,RH,,42000
Clara,RF,CNS,42000
Leadbelly,RH,,43000
Matilda,RF,Mix_CNS_Coryne,43000
Zelda,LH,,43000
Irene,LH,,44000
Esme,RF,,45000
Clara,LH,,47000
Ursala,LH,CNS,48000
Esme,RH,,49000
Patchouli,LF,,49000
Gomora,RH,,49000
Indie,RH,,49000
Esme,LF,CNS,50000
Irene,LF,CNS,50000
Leadbelly,RF,,51000
Tallula,RF,CNS,53000
Clara,RF,,53000
Esme,RH,,54000
Lucha,LF,CNS,58000
Flavia,LF,CNS,59000
Ardetta,RF,CNS,60000
Leadbelly,LH,,61000
Lilac,RH,CNS,61000
Abigail,LF,,62000
Indie,LH,,63000
Zelda,RH,,64000
Leopard,LF,CNS,66000
Alice,LH,,67000
Flavia,RH,CNS,67000
Gloria,LF,CNS,67000
Gloria,RF,CNS,67000
Gloria,RF,CNS,69000
Irene,LF,CNS,69000
Clara,RF,,71000
Irene,RH,,72000
Ardetta,RF,CNS,72000
Patchouli,RF,Unknown,72000
Zelda,RF,,74000
Tallula,RF,CNS,78000
Lucha,RF,CNS,78000
Gloria,LF,CNS,80000
Lilac,RH,CNS,80000
Esme,LF,CNS,82000
Indie,LF,,82000
Esme,LF,CNS,83000
Esme,LH,CNS,84000
Gloria,LF,CNS,85000
Flavia,LF,CNS,86000
Lilac,LF,CNS,86000
Zelda,LF,CNS,90000
Ursala,LH,CNS,90000
Zelda,LH,,91000
Abigail,RF,,94000
Esme,LH,CNS,99000
Zelda,LF,CNS,100000
Flavia,RH,CNS,110000
Alice,RF,CNS,110000
Abigail,LF,CNS,110000
Indie,RF,,110000
Esme,LH,CNS,120000
Tallula,RF,CNS,120000
Zelda,RH,,120000
Flavia,RH,CNS,120000
Alice,RH,,120000
Lilac,LF,CNS,140000
Flavia,LF,CNS,140000
Zelda,RF,,150000
Panda,RH,CNS,150000
Lucha,RF,CNS,160000
Clara,RH,CNS,160000
Panda,RH,CNS,160000
Zelda,LF,CNS,170000
Lucha,LF,CNS,170000
Leopard,LH,SA,170000
Tallula,LH,,170000
Gloria,RF,CNS,200000
Abigail,LF,Mix_CNS_Coryne,200000
Ardetta,RF,CNS,200000
Alice,LF,CNS,240000
Alice,RH,,260000
Zelda,RF,,260000
Clara,RH,CNS,290000
Lilac,LF,CNS,290000
Vera,LH,,300000
Clara,RH,CNS,420000
Lucha,RF,CNS,440000
Tallula,LH,,470000
Leopard,LH,SA,650000
Leopard,LH,SA,680000
Panda,RH,CNS,860000
Abigail,LH,Strep,1000000
Abigail,LH,Strep,1700000
Abigail,LH,Strep,2400000
Flavia,RF,,2700000
Luna,RH,Blind,.
Lena,LF,Blind,.
Leadbelly,LF,Blind,.
Freida,RH,Blind,.
Flavia,RF,Blind,.
Lilac,RF,Blind,.
Lucha,RH,Blind,.
Leadbelly,LF,Blind,.
Lena,LF,Blind,.
Luna,RH,Blind,.
Freida,RH,Blind,.
Lilac,RF,Blind,.
Lucha,RH,Blind,.
Luna,RH,Blind,.
Lena,LF,Blind,.
Freida,RH,Blind,.
Flavia,RF,Blind,.
Lilac,RF,Blind,.
Lucha,RH,Blind,.
