"","cow_id","quarter","first_date","first_visit","first_farm","first_order","first_path_1","first_path1_imi","first_path_2","first_path2_imi","first_path_3","first_path3_imi","first_path_4","first_path4_imi","first_quarter_code","first_isolate_1","first_path_1_maldi_final_id","first_fix_1","first_isolate_2","first_path_2_maldi_final_id","first_fix_2","first_isolate_3","first_path_3_maldi_final_id","first_fix_3","first_isolate_4","first_path_4_maldi_final_id","first_fix_4","first_clinical","first_blind","first_teatinj","first_pstmilking","first_mixed.inf_series","first_dup_not_collected","first_imi_series","first_hygiene_scorer_1","first_hygiene_1","first_hygiene_scorer_2","first_hygiene_2","first_cc_1","first_cc_2","first_cc_3","first_scc","first_contam","first_contam_comment","first_uniqueID","second_date","second_visit","second_farm","second_order","second_path_1","second_path1_imi","second_path_2","second_path2_imi","second_path_3","second_path3_imi","second_path_4","second_path4_imi","second_quarter_code","second_isolate_1","second_path_1_maldi_final_id","second_fix_1","second_isolate_2","second_path_2_maldi_final_id","second_fix_2","second_isolate_3","second_path_3_maldi_final_id","second_fix_3","second_isolate_4","second_path_4_maldi_final_id","second_fix_4","second_clinical","second_blind","second_teatinj","second_pstmilking","second_mixed.inf_series","second_dup_not_collected","second_imi_series","second_hygiene_scorer_1","second_hygiene_1","second_hygiene_scorer_2","second_hygiene_2","second_cc_1","second_cc_2","second_cc_3","second_scc","second_contam","second_contam_comment","second_uniqueID","third_date","third_visit","third_farm","third_order","third_path_1","third_path1_imi","third_path_2","third_path2_imi","third_path_3","third_path3_imi","third_path_4","third_path4_imi","third_quarter_code","third_isolate_1","third_path_1_maldi_final_id","third_fix_1","third_isolate_2","third_path_2_maldi_final_id","third_fix_2","third_isolate_3","third_path_3_maldi_final_id","third_fix_3","third_isolate_4","third_path_4_maldi_final_id","third_fix_4","third_clinical","third_blind","third_teatinj","third_pstmilking","third_mixed.inf_series","third_dup_not_collected","third_imi_series","third_hygiene_scorer_1","third_hygiene_1","third_hygiene_scorer_2","third_hygiene_2","third_cc_1","third_cc_2","third_cc_3","third_scc","third_contam","third_contam_comment","third_uniqueID","fourth_date","fourth_visit","fourth_farm","fourth_order","fourth_path_1","fourth_path1_imi","fourth_path_2","fourth_path2_imi","fourth_path_3","fourth_path3_imi","fourth_path_4","fourth_path4_imi","fourth_quarter_code","fourth_isolate_1","fourth_path_1_maldi_final_id","fourth_fix_1","fourth_isolate_2","fourth_path_2_maldi_final_id","fourth_fix_2","fourth_isolate_3","fourth_path_3_maldi_final_id","fourth_fix_3","fourth_isolate_4","fourth_path_4_maldi_final_id","fourth_fix_4","fourth_clinical","fourth_blind","fourth_teatinj","fourth_pstmilking","fourth_mixed.inf_series","fourth_dup_not_collected","fourth_imi_series","fourth_hygiene_scorer_1","fourth_hygiene_1","fourth_hygiene_scorer_2","fourth_hygiene_2","fourth_cc_1","fourth_cc_2","fourth_cc_3","fourth_scc","fourth_contam","fourth_contam_comment","fourth_uniqueID"
"1","1016.96_Choiniere","LF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.21.2020","second","Choiniere",11,"","","","","","","","",3,"","","","","","","","",NA,"","",NA,"","","","","","","","j",2,"c",2,NA,NA,NA,"7000","","","1016.96_Choiniere_LF","2.17.2020","third","Choiniere",10,"","","","","","","","",4,"","","","","","","","",NA,"","",NA,"","","","","","","","j",NA,NA,NA,NA,NA,NA,"6000","","","1016.96_Choiniere_LF","3.16.2020","fourth","Choiniere",22,"cns","other22","","","","","","",22,"cf228","","","","","","","",NA,"","",NA,"","","","","","","no","j",2,"c",2,NA,NA,NA,"4000","","","1016.96_Choiniere_LF_fourth"
"2","12_Choiniere","LF","12.11.2019","first","Choiniere",13,"cns","yes2","","","","","","",2,"cf026","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",2,"c",3,NA,NA,NA,"320000","","","12_Choiniere_LF","1.21.2020","second","Choiniere",14,"","","","","","","","",19,"","","","","","","","",NA,"","",NA,"","","","","","","","j",2,"c",2,NA,NA,NA,"9700000","","","12_Choiniere_LF","2.17.2020","third","Choiniere",14,"","","","","","","","",8,"","","","","","","","",NA,"","",NA,"","","","","","","","j",2,NA,NA,NA,NA,NA,"160000","yes","","12_Choiniere_LF","3.16.2020","fourth","Choiniere",9,"corynebac","yes2","","","","","","",2,"cf200","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,"c",2,NA,NA,NA,"7000","","","12_Choiniere_LF_fourth"
"3","12_Choiniere","RF","12.11.2019","first","Choiniere",13,"corynebac","yes2","","","","","","",2,"cf027","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",2,"c",3,NA,NA,NA,"16000","","","12_Choiniere_RF","1.21.2020","second","Choiniere",14,"","","","","","","","",5,"","","","","","","","",NA,"","",NA,"","","","","","","","j",2,"c",2,NA,NA,NA,"32000","","","12_Choiniere_RF","2.17.2020","third","Choiniere",14,"cns","yes2","","","","","","",2,"cf153","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",2,NA,NA,NA,NA,NA,"42000","","","12_Choiniere_RF","3.16.2020","fourth","Choiniere",9,"","","","","","","","",5,"","","","","","","","",NA,"","",NA,"","","","","","","","j",1,"c",2,NA,NA,NA,"66000","","","12_Choiniere_RF_fourth"
"4","128_Glennview","LF","1.14.2020","first","Glennview",15,"","","","","","","","",10,"","","","","","","","",NA,"","",NA,"","","","","","","","j",3,"c",3,NA,NA,NA,"22000","","","128_Glennview_LF","2.19.2020","second","Glennview",28,"","","","","","","","",3,"","","","","","","","",NA,"","",NA,"","","","","","","","m",2,"c",2,NA,NA,NA,"21000","","","128_Glennview_LF","3.19.2020","third","Glennview",15,"cns","other12","corynebac","other12","","","","",12,"gv129","psychrobacter species","yes","gv130","","","","",NA,"","",NA,"","","","","","","no","j",2,"c",3,NA,NA,NA,"20000","","","128_Glennview_LF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"128_Glennview_LF_fourth"
"5","128_Glennview","RH","1.14.2020","first","Glennview",15,"","","","","","","","",10,"","","","","","","","",NA,"","",NA,"","","","","","","","j",3,"c",3,NA,NA,NA,"16000","","","128_Glennview_RH","2.19.2020","second","Glennview",28,"","","","","","","","",3,"","","","","","","","",NA,"","",NA,"","","","","","","","m",2,"c",2,NA,NA,NA,"14000","","","128_Glennview_RH","3.19.2020","third","Glennview",15,"cns","yes1","corynebac","no5","","","","",1,"gv131","","","gv132","corynebacterium species","","","",NA,"","",NA,"","","","","no","","yes","j",2,"c",3,NA,NA,NA,"12000","","","128_Glennview_RH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"128_Glennview_RH_fourth"
"6","133_Glennview","LH","1.14.2020","first","Glennview",3,"cns","yes2","","","","","","",2,"gv003","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",4,"c",3,NA,NA,NA,"65000","","","133_Glennview_LH","2.19.2020","second","Glennview",8,"cns","yes2","","","","","","",2,"gv059","","","","","","","",NA,"","",NA,"","","","","no","","yes","m",4,"c",3,NA,NA,NA,"46000","","","133_Glennview_LH","3.19.2020","third","Glennview",14,"cns","other12","","","","","","",12,"gv127","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","","","no","j",4,"c",4,NA,NA,NA,"26000","","","133_Glennview_LH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"133_Glennview_LH_fourth"
"7","16_Choiniere","LF","12.11.2019","first","Choiniere",28,"cns","yes2","","","","","","",2,"cf053","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",2,"c",2,NA,NA,NA,"741000","","","16_Choiniere_LF","1.21.2020","second","Choiniere",33,"cns","yes2","","","","","","",2,"cf129","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",2,"c",2,NA,NA,NA,"190000","","","16_Choiniere_LF","2.17.2020","third","Choiniere",29,"cns","other12","","","","","","",12,"cf175","","","","","","","",NA,"","",NA,"","","","","","","no","j",3,NA,NA,NA,NA,NA,"220000","yes","cns (same) dominates","16_Choiniere_LF","3.16.2020","fourth","Choiniere",4,"cns","yes2","cns","other18","","","","",2,"cf191","","","cf192","","","","",NA,"","",NA,"","","","","tbd","","yes","j",3,"c",3,NA,NA,NA,"190000","","","16_Choiniere_LF_fourth"
"8","16_Choiniere","LH","12.11.2019","first","Choiniere",28,"cns","yes2","","","","","","",2,"cf052","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",2,"c",2,NA,NA,NA,"2658000","","","16_Choiniere_LH","1.21.2020","second","Choiniere",33,"","","","","","","","",23,"","","","","","","","",NA,"","",NA,"","","","","","","","j",2,"c",2,NA,NA,NA,"4000","","","16_Choiniere_LH","2.17.2020","third","Choiniere",29,"","","","","","","","",8,"","","","","","","","",NA,"","",NA,"","","","","","","","j",3,NA,NA,NA,NA,NA,"15000","yes","","16_Choiniere_LH","3.16.2020","fourth","Choiniere",4,"","","","","","","","",4,"","","","","","","","",NA,"","",NA,"","","","","","","","j",3,"c",3,NA,NA,NA,"13000","","","16_Choiniere_LH_fourth"
"9","160_Glennview","RH","1.14.2020","first","Glennview",8,"cns","yes2","","","","","","",2,"gv016","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,"c",1,NA,NA,NA,"270000","","","160_Glennview_RH","2.19.2020","second","Glennview",20,"cns","yes2","","","","","","",2,"gv076","","","","","","","",NA,"","",NA,"","","","","no","","yes","m",1,"c",2,NA,NA,NA,"120000","","","160_Glennview_RH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"160_Glennview_RH_fourth"
"10","165_Glennview","RF","1.14.2020","first","Glennview",6,"cns","yes1","","","","","","",1,"gv011","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,"c",1,NA,NA,NA,"97000","","","165_Glennview_RF","2.19.2020","second","Glennview",23,"cns","yes2","","","","","","",2,"gv081","","","","","","","",NA,"","",NA,"","","","","no","","yes","m",3,"c",2,NA,NA,NA,"220000","","","165_Glennview_RF","3.19.2020","third","Glennview",8,"cns","yes2","cns","other18","","","","",2,"gv115","staphylococcus chromogenes","","gv160","staphylococcus chromogenes","","","",NA,"","",NA,"","","","","tbd","","yes","j",3,"c",3,NA,NA,NA,"240000","","","165_Glennview_RF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"165_Glennview_RF_fourth"
