"","date","visit","farm","order","cow_id","quarter","path_1","path1_IMI","path_2","path2_IMI","path_3","path3_IMI","path_4","path4_IMI","quarter_code","isolate_1","isolate_2","isolate_3","isolate_4","clinical","blind","teatinj","pstmilking","mixed_inf_series","dup_not_collected","IMI_series","hygiene_1","hygiene_2","cc_1","cc_2","cc_3","scc","contam","contam_comment","uniqueID","scc_eq_above_200k","scc_eq_above_100k"
"1","1.2.2020","first","Butterworks",1,"joy","LF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",12000,"","","joy_LF_first","no","no"
"2","1.2.2020","first","Butterworks",1,"joy","RH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",130000,"","","joy_RH_first","no","yes"
"3","1.2.2020","first","Butterworks",1,"joy","RF","","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",12000,"","","joy_RF_first","no","no"
"4","1.2.2020","first","Butterworks",4,"muffin","LF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",11000,"","","muffin_LF_first","no","no"
"5","1.2.2020","first","Butterworks",4,"muffin","RF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",15000,"","","muffin_RF_first","no","no"
"6","1.2.2020","first","Butterworks",5,"mango","LF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",3000,"","","mango_LF_first","no","no"
"7","1.2.2020","first","Butterworks",7,"happiness","LF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",10000,"","","happiness_LF_first","no","no"
"8","1.2.2020","first","Butterworks",7,"happiness","RH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",12000,"","","happiness_RH_first","no","no"
"9","1.2.2020","first","Butterworks",7,"happiness","RF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",8000,"","","happiness_RF_first","no","no"
"10","1.2.2020","first","Butterworks",9,"blackberry","LF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",20000,"","","blackberry_LF_first","no","no"
"11","1.2.2020","first","Butterworks",9,"blackberry","RF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",22000,"","","blackberry_RF_first","no","no"
"12","1.2.2020","first","Butterworks",10,"pearl","LH","","","","","","","","",6,"","","","","","","","","","","","NA","NA","NA","NA","NA",13000,"","","pearl_LH_first","no","no"
"13","1.2.2020","first","Butterworks",13,"rhubarb","LH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",6000,"","","rhubarb_LH_first","no","no"
"14","1.2.2020","first","Butterworks",13,"rhubarb","LF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",5000,"","","rhubarb_LF_first","no","no"
