date,visit,farm,order,cow_id,quarter,path_1,path1_imi,path_2,path2_imi,path_3,path3_imi,path_4,path4_imi,quarter_code,isolate_1,path_1_maldi_final_id,fix_1,isolate_2,path_2_maldi_final_id,fix_2,isolate_3,path_3_maldi_final_id,fix_3,isolate_4,path_4_maldi_final_id,fix_4,clinical,blind,teatinj,pstmilking,mixed_inf_series,dup_not_collected,imi_series,hygiene_scorer_1,hygiene_1,hygiene_scorer_2,hygiene_2,cc_1,cc_2,cc_3,path_group,scc,contam,contam_comment
12.13.2019,first,swallowdale,2,shelly,LH,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,57000,,
12.13.2019,first,swallowdale,2,shelly,LF,,,,,,,,,6,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,40000,,
12.13.2019,first,swallowdale,2,shelly,RH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,58000,,
12.13.2019,first,swallowdale,2,shelly,RF,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,134000,,
12.13.2019,first,swallowdale,3,picknick,LH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,4000,,
12.13.2019,first,swallowdale,3,picknick,LF,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,3000,,
12.13.2019,first,swallowdale,4,deedee,LH,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,31000,,
12.13.2019,first,swallowdale,4,deedee,LF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,5000,,
12.13.2019,first,swallowdale,4,deedee,RF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,26000,,
12.13.2019,first,swallowdale,5,sparky,LH,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,8000,,
12.13.2019,first,swallowdale,5,sparky,LF,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,8000,,
12.13.2019,first,swallowdale,5,sparky,RH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,8000,,
12.13.2019,first,swallowdale,5,sparky,RF,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,6000,,
12.13.2019,first,swallowdale,6,denise,LF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,23000,,
12.13.2019,first,swallowdale,6,denise,RH,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,22000,,
12.13.2019,first,swallowdale,7,skyler,LH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,3000,,
12.13.2019,first,swallowdale,7,skyler,LF,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,2000,,
12.13.2019,first,swallowdale,7,skyler,RH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,4000,,
12.13.2019,first,swallowdale,8,cambric,LF,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,2000,,
12.13.2019,first,swallowdale,8,cambric,RF,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,3000,,
12.13.2019,first,swallowdale,9,diane,LH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,2000,,
12.13.2019,first,swallowdale,9,diane,LF,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,13000,,
12.13.2019,first,swallowdale,9,diane,RH,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,2000,,
12.13.2019,first,swallowdale,10,gretchen,LH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,8000,,
12.13.2019,first,swallowdale,10,gretchen,LF,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,60000,,
12.13.2019,first,swallowdale,10,gretchen,RH,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,16000,,
12.13.2019,first,swallowdale,11,paige,LF,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,9000,,
12.13.2019,first,swallowdale,12,denver,LH,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,6000,,
12.13.2019,first,swallowdale,13,dorian,RH,,,,,,,,,6,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,28000,,
12.13.2019,first,swallowdale,14,quantum,LH,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,6000,,
12.13.2019,first,swallowdale,14,quantum,RH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,10000,,
12.13.2019,first,swallowdale,14,quantum,RF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,9000,,
12.13.2019,first,swallowdale,16,jazz,LH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,6000,,
12.13.2019,first,swallowdale,16,jazz,RH,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,6000,,
12.13.2019,first,swallowdale,18,halo,LH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,5000,,
12.13.2019,first,swallowdale,18,halo,LF,,,,,,,,,6,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,6000,,
12.13.2019,first,swallowdale,18,halo,RF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,9000,,
12.13.2019,first,swallowdale,19,sonic,LF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,14000,,
12.13.2019,first,swallowdale,19,sonic,RF,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,9000,,
12.13.2019,first,swallowdale,20,sadie,LH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,5000,,
12.13.2019,first,swallowdale,20,sadie,RH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,4000,,
12.13.2019,first,swallowdale,20,sadie,RF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,3000,,
12.13.2019,first,swallowdale,21,pasta,LH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,21000,,
12.13.2019,first,swallowdale,21,pasta,RH,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,16000,,
12.13.2019,first,swallowdale,21,pasta,RF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,16000,,
12.13.2019,first,swallowdale,22,pamela,LF,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,8000,,
12.13.2019,first,swallowdale,22,pamela,RH,,,,,,,,,6,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,3000,,
12.13.2019,first,swallowdale,23,rock7,LH,,,,,,,,,3,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,6000,,
12.13.2019,first,swallowdale,23,rock7,LF,,,,,,,,,5,,,,,,,,,,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,none,8000,,
