"","cow_id","quarter","first_date","first_visit","first_farm","first_order","first_path_1","first_path1_IMI","first_path_2","first_path2_IMI","first_path_3","first_path3_IMI","first_path_4","first_path4_IMI","first_quarter_code","first_isolate_1","first_isolate_2","first_isolate_3","first_isolate_4","first_clinical","first_blind","first_teatinj","first_pstmilking","first_mixed_inf_series","first_dup_not_collected","first_IMI_series","first_hygiene_1","first_hygiene_2","first_cc_1","first_cc_2","first_cc_3","first_scc","first_scc_200k","first_contam","first_contam_comment","first_uniqueID","second_date","second_visit","second_farm","second_order","second_path_1","second_path1_IMI","second_path_2","second_path2_IMI","second_path_3","second_path3_IMI","second_path_4","second_path4_IMI","second_quarter_code","second_isolate_1","second_isolate_2","second_isolate_3","second_isolate_4","second_clinical","second_blind","second_teatinj","second_pstmilking","second_mixed_inf_series","second_dup_not_collected","second_IMI_series","second_hygiene_1","second_hygiene_2","second_cc_1","second_cc_2","second_cc_3","second_scc","second_scc_200k","second_contam","second_contam_comment","second_uniqueID","third_date","third_visit","third_farm","third_order","third_path_1","third_path1_IMI","third_path_2","third_path2_IMI","third_path_3","third_path3_IMI","third_path_4","third_path4_IMI","third_quarter_code","third_isolate_1","third_isolate_2","third_isolate_3","third_isolate_4","third_clinical","third_blind","third_teatinj","third_pstmilking","third_mixed_inf_series","third_dup_not_collected","third_IMI_series","third_hygiene_1","third_hygiene_2","third_cc_1","third_cc_2","third_cc_3","third_scc","third_scc_200k","third_contam","third_contam_comment","third_uniqueID","fourth_date","fourth_visit","fourth_farm","fourth_order","fourth_path_1","fourth_path1_IMI","fourth_path_2","fourth_path2_IMI","fourth_path_3","fourth_path3_IMI","fourth_path_4","fourth_path4_IMI","fourth_quarter_code","fourth_isolate_1","fourth_isolate_2","fourth_isolate_3","fourth_isolate_4","fourth_clinical","fourth_blind","fourth_teatinj","fourth_pstmilking","fourth_mixed_inf_series","fourth_dup_not_collected","fourth_IMI_series","fourth_hygiene_1","fourth_hygiene_2","fourth_cc_1","fourth_cc_2","fourth_cc_3","fourth_scc","fourth_scc_200k","fourth_contam","fourth_contam_comment","fourth_uniqueID"
"1","muffin_Butterworks","RH","1.2.2020","first","Butterworks","4","cns","yes2","","","","","","","2","BW005","","","","","","","","no","","yes","NA","NA","NA","NA","NA",350000,"yes","","","muffin_Butterworks_RH","2.4.2020","second","Butterworks","3","cns","yes2","","","","","","","2","BW073","","","","","","","","no","","yes","NA","NA","NA","NA","NA",280000,"yes","","","muffin_Butterworks_RH","3.3.2020","third","Butterworks","2","cns","yes2","","","","","","","2","BW118","","","","","","","","no","","yes","NA","NA","NA","NA","NA",0,"no","","","muffin_Butterworks_RH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","muffin_Butterworks_RH_fourth"
"2","muffin_Butterworks","LH","1.2.2020","first","Butterworks","4","cns","yes27","corynebac","yes27","","","","","27","BW003","BW004","","","","","","","yes","","yes","NA","NA","NA","NA","NA",250000,"yes","","","muffin_Butterworks_LH","2.4.2020","second","Butterworks","3","cns","yes2","","","","","","","2","BW072","","","","","","","","no","","yes","NA","NA","NA","NA","NA",4e+05,"yes","","","muffin_Butterworks_LH","3.3.2020","third","Butterworks","2","cns","yes2","","","","","","","2","BW116","","","","","","","","no","","yes","NA","NA","NA","NA","NA",0,"no","","","muffin_Butterworks_LH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","muffin_Butterworks_LH_fourth"
"3","193_Glennview","RF","1.14.2020","first","Glennview","10","corynebac","yes1","","","","","","","1","GV022","","","","","","","","no","","yes","NA","NA","NA","NA","NA",3000,"no","","","193_Glennview_RF","2.19.2020","second","Glennview","7","corynebac","yes1","","","","","","","1","GV058","","","","","","","","no","","yes","NA","NA","NA","NA","NA",2000,"no","","","193_Glennview_RF","3.19.2020","third","Glennview","4","corynebac","yes1","","","","","","","1","GV105","","","","","","","","no","","yes","NA","NA","NA","NA","NA",2000,"no","","","193_Glennview_RF","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","193_Glennview_RF_fourth"
"4","farrah363_Paddlebridge","RF","1.17.2020","first","Paddlebridge","32","cns","yes2","","","","","","","2","PB027","","","","","","","","no","","yes","NA","NA","NA","NA","NA",220000,"yes","","","farrah363_Paddlebridge_RF","2.21.2020","second","Paddlebridge","35","cns","yes2","","","","","","","2","PB061","","","","","","","","no","","yes","NA","NA","NA","NA","NA",120000,"no","","","farrah363_Paddlebridge_RF","3.20.2020","third","Paddlebridge","34","cns","yes2","","","","","","","2","PB101","","","","","","","","no","","yes","NA","NA","NA","NA","NA",7000,"no","","","farrah363_Paddlebridge_RF","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","farrah363_Paddlebridge_RF_fourth"
"5","wildcucumber_Butterworks","LH","1.2.2020","first","Butterworks","8","cns","yes2","","","","","","","2","BW010","","","","","","","","no","","yes","NA","NA","NA","NA","NA",19000,"no","","","wildcucumber_Butterworks_LH","2.4.2020","second","Butterworks","9","cns","yes21","","","","","","","21","BW079","","","","","","","","no","","yes","NA","NA","NA","NA","NA",13000,"no","","","wildcucumber_Butterworks_LH","3.3.2020","third","Butterworks","10","cns","yes2","","","","","","","2","BW126","","","","","","","","no","","yes","NA","NA","NA","NA","NA",11000,"no","","","wildcucumber_Butterworks_LH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","wildcucumber_Butterworks_LH_fourth"
"6","tiktoe_OughtaBe","RF","1.3.2020","first","OughtaBe","32","cns","yes2","","","","","","","2","OB044","","","","","","","","no","","yes","NA","NA","NA","NA","NA",160000,"no","","","tiktoe_OughtaBe_RF","2.14.2020","second","OughtaBe","33","cns","yes2","","","","","","","2","OB100","","","","","","","","no","","yes","NA","NA","NA","NA","NA",110000,"no","","","tiktoe_OughtaBe_RF","3.12.2020","third","OughtaBe","33","cns","yes2","","","","","","","2","OB163","","","","","","","","no","","yes","NA","NA","NA","NA","NA",12000,"no","","","tiktoe_OughtaBe_RF","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","tiktoe_OughtaBe_RF_fourth"
"7","guana362_Paddlebridge","LH","1.17.2020","first","Paddlebridge","25","cns","yes2","","","","","","","2","PB017","","","","","","","","no","","yes","NA","NA","NA","NA","NA",80000,"no","","","guana362_Paddlebridge_LH","2.21.2020","second","Paddlebridge","26","cns","yes2","","","","","","","2","PB051","","","","","","","","no","","yes","NA","NA","NA","NA","NA",130000,"no","","","guana362_Paddlebridge_LH","3.20.2020","third","Paddlebridge","27","cns","yes2","","","","","","","2","PB090","","","","","","","","no","","yes","NA","NA","NA","NA","NA",12000,"no","","","guana362_Paddlebridge_LH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","guana362_Paddlebridge_LH_fourth"
"8","rhubarb_Butterworks","RF","1.2.2020","first","Butterworks","13","cns","yes2","","","","","","","2","BW014","","","","","","","","no","","yes","NA","NA","NA","NA","NA",73000,"no","","","rhubarb_Butterworks_RF","2.4.2020","second","Butterworks","11","cns","yes2","","","","","","","2","BW080","","","","","","","","no","","yes","NA","NA","NA","NA","NA",72000,"no","","","rhubarb_Butterworks_RF","3.3.2020","third","Butterworks","11","cns","yes2","","","","","","","2","BW127","","","","","","","","no","","yes","NA","NA","NA","NA","NA",15000,"no","","","rhubarb_Butterworks_RF","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","rhubarb_Butterworks_RF_fourth"
"9","tiktoe_OughtaBe","LH","1.3.2020","first","OughtaBe","32","cns","yes2","","","","","","","2","OB041","","","","","","","","no","","yes","NA","NA","NA","NA","NA",110000,"no","","","tiktoe_OughtaBe_LH","2.14.2020","second","OughtaBe","33","cns","yes2","","","","","","","2","OB097","","","","","","","","no","","yes","NA","NA","NA","NA","NA",77000,"no","","","tiktoe_OughtaBe_LH","3.12.2020","third","OughtaBe","33","cns","yes2","","","","","","","2","OB160","","","","","","","","no","","yes","NA","NA","NA","NA","NA",19000,"no","","","tiktoe_OughtaBe_LH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","tiktoe_OughtaBe_LH_fourth"
"10","tiktoe_OughtaBe","LF","1.3.2020","first","OughtaBe","32","cns","yes2","","","","","","","2","OB042","","","","","","","","no","","yes","NA","NA","NA","NA","NA",61000,"no","","","tiktoe_OughtaBe_LF","2.14.2020","second","OughtaBe","33","cns","yes2","","","","","","","2","OB098","","","","","","","","no","","yes","NA","NA","NA","NA","NA",33000,"no","","","tiktoe_OughtaBe_LF","3.12.2020","third","OughtaBe","33","cns","yes2","","","","","","","2","OB161","","","","","","","","no","","yes","NA","NA","NA","NA","NA",20000,"no","","","tiktoe_OughtaBe_LF","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","tiktoe_OughtaBe_LF_fourth"
"11","korny_OughtaBe","LH","1.3.2020","first","OughtaBe","10","cns","yes27","strep","yes27","","","","","27","OB009","OB010","","","","","","","yes","","yes","NA","NA","NA","NA","NA",120000,"no","","","korny_OughtaBe_LH","2.14.2020","second","OughtaBe","11","strep","yes27","cns","yes27","","","","","27","OB064","OB065","","","","","","","yes","","yes","NA","NA","NA","NA","NA",180000,"no","","","korny_OughtaBe_LH","3.12.2020","third","OughtaBe","6","cns","yes27","strep","yes27","","","","","27","OB113","OB114","","","","","","","yes","","yes","NA","NA","NA","NA","NA",20000,"no","","","korny_OughtaBe_LH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","korny_OughtaBe_LH_fourth"
