"","cow_id","quarter","first_date","first_visit","first_farm","first_order","first_path_1","first_path1_IMI","first_path_2","first_path2_IMI","first_path_3","first_path3_IMI","first_path_4","first_path4_IMI","first_quarter_code","first_isolate_1","first_isolate_2","first_isolate_3","first_isolate_4","first_clinical","first_blind","first_teatinj","first_pstmilking","first_mixed_inf_series","first_dup_not_collected","first_IMI_series","first_hygiene_1","first_hygiene_2","first_cc_1","first_cc_2","first_cc_3","first_scc","first_contam","first_contam_comment","first_uniqueID","second_date","second_visit","second_farm","second_order","second_path_1","second_path1_IMI","second_path_2","second_path2_IMI","second_path_3","second_path3_IMI","second_path_4","second_path4_IMI","second_quarter_code","second_isolate_1","second_isolate_2","second_isolate_3","second_isolate_4","second_clinical","second_blind","second_teatinj","second_pstmilking","second_mixed_inf_series","second_dup_not_collected","second_IMI_series","second_hygiene_1","second_hygiene_2","second_cc_1","second_cc_2","second_cc_3","second_scc","second_contam","second_contam_comment","second_uniqueID","third_date","third_visit","third_farm","third_order","third_path_1","third_path1_IMI","third_path_2","third_path2_IMI","third_path_3","third_path3_IMI","third_path_4","third_path4_IMI","third_quarter_code","third_isolate_1","third_isolate_2","third_isolate_3","third_isolate_4","third_clinical","third_blind","third_teatinj","third_pstmilking","third_mixed_inf_series","third_dup_not_collected","third_IMI_series","third_hygiene_1","third_hygiene_2","third_cc_1","third_cc_2","third_cc_3","third_scc","third_contam","third_contam_comment","third_uniqueID","fourth_date","fourth_visit","fourth_farm","fourth_order","fourth_path_1","fourth_path1_IMI","fourth_path_2","fourth_path2_IMI","fourth_path_3","fourth_path3_IMI","fourth_path_4","fourth_path4_IMI","fourth_quarter_code","fourth_isolate_1","fourth_isolate_2","fourth_isolate_3","fourth_isolate_4","fourth_clinical","fourth_blind","fourth_teatinj","fourth_pstmilking","fourth_mixed_inf_series","fourth_dup_not_collected","fourth_IMI_series","fourth_hygiene_1","fourth_hygiene_2","fourth_cc_1","fourth_cc_2","fourth_cc_3","fourth_scc","fourth_contam","fourth_contam_comment","fourth_uniqueID","first_scc_200k","second_scc_200k","third_scc_200k","fourth_scc_200k"
"1","133_Glennview","RF","1.14.2020","first","Glennview",3,"strep","yes2","","","","","","",2,"GV005","","","","","","","","no","","yes","NA","NA","NA","NA","NA",3700000,"","","133_Glennview_RF","2.19.2020","second","Glennview",8,"?","yes2","","","","","","",2,"GV061","","","","yes","","","","no","","yes","NA","NA","NA","NA","NA",2600000,"","","133_Glennview_RF","3.19.2020","third","Glennview",14,"strep","yes29","","","","","","",29,"GV128","","","","","","","","","","yes","NA","NA","NA","NA","NA",4300000,"","","133_Glennview_RF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"133_Glennview_RF_fourth","yes","yes","yes",NA
"2","165_Glennview","LH","1.14.2020","first","Glennview",6,"sa","yes2","","","","","","",2,"GV008","","","","","","","","no","","yes","NA","NA","NA","NA","NA",1900000,"","","165_Glennview_LH","2.19.2020","second","Glennview",23,"sa","yes2","","","","","","",2,"GV079","","","","","","","","no","","yes","NA","NA","NA","NA","NA",1e+06,"","","165_Glennview_LH","3.19.2020","third","Glennview",8,"sa","yes2","","","","","","",2,"GV113","","","","","","","","no","","yes","NA","NA","NA","NA","NA",2400000,"","","165_Glennview_LH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"165_Glennview_LH_fourth","yes","yes","yes",NA
"3","165_Glennview","RF","1.14.2020","first","Glennview",6,"cns","yes1","","","","","","",1,"GV011","","","","","","","","no","","yes","NA","NA","NA","NA","NA",97000,"","","165_Glennview_RF","2.19.2020","second","Glennview",23,"cns","yes2","","","","","","",2,"GV081","","","","","","","","no","","yes","NA","NA","NA","NA","NA",220000,"","","165_Glennview_RF","3.19.2020","third","Glennview",8,"cns","yes2","cns","other18","","","","",2,"GV115","GV160","","","","","","","tbd","","yes","NA","NA","NA","NA","NA",240000,"","","165_Glennview_RF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"165_Glennview_RF_fourth","no","yes","yes",NA
"4","165_Glennview","RH","1.14.2020","first","Glennview",6,"cns","yes2","","","","","","",2,"GV010","","","","","","","","no","","yes","NA","NA","NA","NA","NA",80000,"","","165_Glennview_RH","2.19.2020","second","Glennview",23,"?","yes1","","","","","","",1,"GV080","","","","","","","","no","","yes","NA","NA","NA","NA","NA",110000,"","","165_Glennview_RH","3.19.2020","third","Glennview",8,"?","yes2","","","","","","",2,"GV114","","","","","","","","no","","yes","NA","NA","NA","NA","NA",120000,"","","165_Glennview_RH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"165_Glennview_RH_fourth","no","no","no",NA
"5","169_Glennview","RF","1.14.2020","first","Glennview",23,"sa","yes2","","","","","","",2,"GV033","","","","","","","","no","","yes","NA","NA","NA","NA","NA",44000,"","","169_Glennview_RF","2.19.2020","second","Glennview",27,"sa","yes2","","","","","","",2,"GV086","","","","","","","","no","","yes","NA","NA","NA","NA","NA",96000,"","","169_Glennview_RF","3.19.2020","third","Glennview",34,"sa","yes2","","","","","","",2,"GV156","","","","","","","","no","","yes","NA","NA","NA","NA","NA",42000,"","","169_Glennview_RF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"169_Glennview_RF_fourth","no","no","no",NA
"6","192_Glennview","RF","1.14.2020","first","Glennview",16,"cns","yes2","","","","","","",2,"GV027","","","","","","","","no","","yes","NA","NA","NA","NA","NA",3e+05,"","","192_Glennview_RF","2.19.2020","second","Glennview",31,"cns","yes2","","","","","","",2,"GV090","","","","","","","","no","","yes","NA","NA","NA","NA","NA",130000,"","","192_Glennview_RF","3.19.2020","third","Glennview",31,"cns","yes2","","","","","","",2,"GV154","","","","","","","","no","","yes","NA","NA","NA","NA","NA",63000,"","","192_Glennview_RF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"192_Glennview_RF_fourth","yes","no","no",NA
"7","193_Glennview","RF","1.14.2020","first","Glennview",10,"corynebac","yes1","","","","","","",1,"GV022","","","","","","","","no","","yes","NA","NA","NA","NA","NA",3000,"","","193_Glennview_RF","2.19.2020","second","Glennview",7,"corynebac","yes1","","","","","","",1,"GV058","","","","","","","","no","","yes","NA","NA","NA","NA","NA",2000,"","","193_Glennview_RF","3.19.2020","third","Glennview",4,"corynebac","yes1","","","","","","",1,"GV105","","","","","","","","no","","yes","NA","NA","NA","NA","NA",2000,"","","193_Glennview_RF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"193_Glennview_RF_fourth","no","no","no",NA
"8","199_Glennview","LH","1.14.2020","first","Glennview",11,"cns","yes2","","","","","","",2,"GV023","","","","","","","","no","","yes","NA","NA","NA","NA","NA",120000,"","","199_Glennview_LH","2.19.2020","second","Glennview",32,"cns","yes2","","","","","","",2,"GV091","","","","","","","","no","","yes","NA","NA","NA","NA","NA",40000,"","","199_Glennview_LH","3.19.2020","third","Glennview",2,"cns","yes2","","","","","","",2,"GV101","","","","","","","","no","","yes","NA","NA","NA","NA","NA",46000,"","","199_Glennview_LH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"199_Glennview_LH_fourth","no","no","no",NA
"9","199_Glennview","RF","1.14.2020","first","Glennview",11,"strep","yes2","","","","","","",2,"GV025","","","","","","","","no","","yes","NA","NA","NA","NA","NA",6300000,"","","199_Glennview_RF","2.19.2020","second","Glennview",32,"?","yes2","","","","","","",2,"GV093","","","","","","","","no","","yes","NA","NA","NA","NA","NA",6300000,"","","199_Glennview_RF","3.19.2020","third","Glennview",2,"strep","yes2","","","","","","",2,"GV103","","","","","","","","no","","yes","NA","NA","NA","NA","NA",3500000,"","","199_Glennview_RF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"199_Glennview_RF_fourth","yes","yes","yes",NA
"10","199_Glennview","RH","1.14.2020","first","Glennview",11,"cns","yes2","","","","","","",2,"GV024","","","","","","","","no","","yes","NA","NA","NA","NA","NA",190000,"","","199_Glennview_RH","2.19.2020","second","Glennview",32,"cns","yes2","","","","","","",2,"GV092","","","","","","","","no","","yes","NA","NA","NA","NA","NA",79000,"","","199_Glennview_RH","3.19.2020","third","Glennview",2,"cns","yes2","","","","","","",2,"GV102","","","","","","","","no","","yes","NA","NA","NA","NA","NA",120000,"","","199_Glennview_RH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"199_Glennview_RH_fourth","no","no","no",NA
"11","207_Glennview","LH","1.14.2020","first","Glennview",29,"cns","yes2","","","","","","",2,"GV042","","","","","","","","no","","yes","NA","NA","NA","NA","NA",84000,"","","207_Glennview_LH","2.19.2020","second","Glennview",30,"cns","yes1","","","","","","",1,"GV089","","","","","","","","no","","yes","NA","NA","NA","NA","NA",66000,"","","207_Glennview_LH","3.19.2020","third","Glennview",23,"cns","yes","","","","","","",2,"GV136","","","","","","","","no","","yes","NA","NA","NA","NA","NA",110000,"","","207_Glennview_LH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"207_Glennview_LH_fourth","no","no","no",NA
"12","27_Glennview","RH","1.14.2020","first","Glennview",18,"cns","yes2","","","","","","",2,"GV030","","","","","","","","no","","yes","NA","NA","NA","NA","NA",72000,"","","27_Glennview_RH","2.19.2020","second","Glennview",14,"cns","yes2","","","","","","",2,"GV069","","","","","","","","","","yes","NA","NA","NA","NA","NA",67000,"","","27_Glennview_RH","3.19.2020","third","Glennview",26,"cns","yes27","cns","yes27","","","","",27,"GV144","GV145","","","","","","","tbd","","yes","NA","NA","NA","NA","NA",70000,"","","27_Glennview_RH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27_Glennview_RH_fourth","no","no","no",NA
"13","42_Glennview","LF","1.14.2020","first","Glennview",27,"cns","yes2","","","","","","",2,"GV039","","","","","","","","no","","yes","NA","NA","NA","NA","NA",310000,"","","42_Glennview_LF","2.19.2020","second","Glennview",18,"cns","yes2","","","","","","",2,"GV073","","","","","","","","no","","yes","NA","NA","NA","NA","NA",160000,"","","42_Glennview_LF","3.19.2020","third","Glennview",10,"cns","yes2","","","","","","",2,"GV117","","","","","","","","no","","yes","NA","NA","NA","NA","NA",120000,"","","42_Glennview_LF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42_Glennview_LF_fourth","yes","no","no",NA
"14","43_Glennview","LH","1.14.2020","first","Glennview",28,"strep","yes1","","","","","","",1,"GV040","","","","","","","","no","","yes","NA","NA","NA","NA","NA",4400000,"","","43_Glennview_LH","2.19.2020","second","Glennview",24,"strep","yes2","","","","","","",2,"GV082","","","","","","","","no","","yes","NA","NA","NA","NA","NA",770000,"","","43_Glennview_LH","3.19.2020","third","Glennview",25,"strep","yes2","","","","","","",2,"GV139","","","","","","","","no","","yes","NA","NA","NA","NA","NA",1600000,"","","43_Glennview_LH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43_Glennview_LH_fourth","yes","yes","yes",NA
"15","43_Glennview","RH","1.14.2020","first","Glennview",28,"cns","yes2","","","","","","",2,"GV041","","","","","","","","no","","yes","NA","NA","NA","NA","NA",6100000,"","","43_Glennview_RH","2.19.2020","second","Glennview",24,"strep","yes2","","","","","","",2,"GV083","","","","","","","","no","","yes","NA","NA","NA","NA","NA",5600000,"","","43_Glennview_RH","3.19.2020","third","Glennview",25,"strep","yes2","","","","","","",2,"GV141","","","","","","","","no","","yes","NA","NA","NA","NA","NA",1.6e+07,"","","43_Glennview_RH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43_Glennview_RH_fourth","yes","yes","yes",NA
"16","54_Glennview","LH","1.14.2020","first","Glennview",7,"strep","yes27","cns","yes27","?","other31","","",27,"GV012","GV013","GV0049","","","","","","yes","","yes","NA","NA","NA","NA","NA",270000,"","","54_Glennview_LH","2.19.2020","second","Glennview",13,"strep","yes27","cns","yes27","","","","",27,"GV064","GV065","","","","","","","yes","","yes","NA","NA","NA","NA","NA",190000,"","","54_Glennview_LH","3.19.2020","third","Glennview",24,"strep","yes27","cns","yes27","","","","",27,"GV137","GV138","","","","","","","yes","","yes","NA","NA","NA","NA","NA",87000,"","","54_Glennview_LH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"54_Glennview_LH_fourth","yes","no","no",NA
"17","585_BJ","RF","12.17.2019","first","BJ",2,"cns","yes1","","","","","","",1,"BJ002","","","","","","","","no","","yes","NA","NA","NA","NA","NA",697000,"","","585_BJ_RF","1.29.2020","second","BJ",3,"cns","yes2","","","","","","",2,"BJ029","","","","","","","","no","","yes","NA","NA","NA","NA","NA",940000,"","","585_BJ_RF","2.26.2020","third","BJ",6,"cns","yes2","","","","","","",2,"BJ056","","","","","","","","no","","yes","NA","NA","NA","NA","NA",1500000,"","","585_BJ_RF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"585_BJ_RF_fourth","yes","yes","yes",NA
"18","656_BJ","LH","12.17.2019","first","BJ",6,"strep","yes2","","","","","","",2,"BJ007","","","","","","","","no","","yes","NA","NA","NA","NA","NA",799000,"","","656_BJ_LH","1.29.2020","second","BJ",2,"strep","yes27","sa","yes27","","","","",27,"BJ027","BJ028","","","","","","","yes","","yes","NA","NA","NA","NA","NA",810000,"","","656_BJ_LH","2.26.2020","third","BJ",3,"sa","yes27","strep","yes27","","","","",27,"BJ051","BJ052","","","","","","","yes","","yes","NA","NA","NA","NA","NA",1600000,"","","656_BJ_LH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"656_BJ_LH_fourth","yes","yes","yes",NA
"19","70_Glennview","LH","1.14.2020","first","Glennview",25,"strep","yes21","","","","","","",21,"GV036","","","","","","","","tbd","","yes","NA","NA","NA","NA","NA",6e+05,"","","70_Glennview_LH","2.19.2020","second","Glennview",33,"strep","yes2","","","","","","",2,"GV094","","","","","","","","no","","yes","NA","NA","NA","NA","NA",760000,"","","70_Glennview_LH","3.19.2020","third","Glennview",28,"?","yes27","strep","yes27","","","","",27,"GV148","GV149","","","","","","","yes","","yes","NA","NA","NA","NA","NA",140000,"","","70_Glennview_LH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70_Glennview_LH_fourth","yes","yes","no",NA
"20","716_BJ","LH","12.17.2019","first","BJ",4,"cns","yes2","","","","","","",2,"BJ003","","","","","","","","no","","yes","NA","NA","NA","NA","NA",152000,"","","716_BJ_LH","1.29.2020","second","BJ",9,"cns","yes2","","","","","","",2,"BJ037","","","","","","","","no","","yes","NA","NA","NA","NA","NA",67000,"","","716_BJ_LH","2.26.2020","third","BJ",11,"cns","yes1","","","","","","",1,"BJ059","","","","","","","","no","","yes","NA","NA","NA","NA","NA",85000,"","","716_BJ_LH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"716_BJ_LH_fourth","no","no","no",NA
