Sort_number,Herd,Visit,Date,visit_word,Bedding_material,Unique_ID,Bacillus,Coliforms,perc_Coliforms_Kleb.,Strep_species,Non_coliform_Gram_Negative,Staph_species
5,BW,2,2.4.2020,second,pack,BW_second_pack,400,25,0,2700,1000,0
11,CF,2,1.21.2020,second,pack,CF_second_pack,6250,100000,15,6250,65000,0
34,SW,3,2.28.2020,third,pack,SW_third_pack,6250,130000,23,6250,45000,0
6,BW,3,3.3.2020,third,pack,BW_third_pack,62500,6250000,1.2,650000,275,0
31,SP,2,1.10.2020,second,pack,SP_second_pack,62500,2500,19,5000,75,0
22,LF,2,1.30.2020,second,pack,LF_second_pack,625000,475,0,6250000,6250000,0
23,LF,3,3.5.2020,third,pack,LF_third_pack,625000,625,0,55000,62500,0
33,SW,2,1.22.2020,second,pack,SW_second_pack,725000,4500,0,675000,10250,0
30,SP,1,12.12.2019,first,pack,SP_first_pack,925000,5750,73.9,82500,4500,0
12,CF,3,2.17.2020,third,pack,CF_third_pack,1900000,1675,1.4,3600000,1625,0
4,BW,1,1.2.2020,first,pack,BW_first_pack,6250000,62500,44,6250000,90000,0
10,CF,1,12.11.2019,first,pack,CF_first_pack,6250000,2500,0,6250000,34000,0
13,CF,4,3.16.2020,fourth,pack,CF_fourth_pack,6250000,7500,33.3,6250000,45000,0
21,LF,1,12.19.2019,first,pack,LF_first_pack,6250000,7250,0,575000,11500,0
32,SW,1,12.13.2019,first,pack,SW_first_pack,6250000,35000,28.5,1600000,170000,0
20,GV,3,3.19.2020,third,shavings,GV_third_shavings,2500,75,0,1650000,1750,0
1,BJ,1,12.17.2019,first,shavings,BJ_first_shavings,6250,1075000,30.2,6250000,1100000,0
2,BJ,2,1.29.2020,second,shavings,BJ_second_shavings,6250,575000,17.3,6250,35000,0
8,BW,2,2.4.2020,second,shavings,BW_second_shavings,6250,0,0,105000,0,0
16,CF,3,2.17.2020,third,shavings,CF_third_shavings,6250,102500,0,6250,675,0
24,OB,1,1.3.2020,first,shavings,OB_first_shavings,6250,325,0,6250,6250,0
27,PB,1,1.17.2020,first,shavings,PB_first_shavings,6250,4000,62.5,290000,14000,0
37,VT,3,3.10.2020,third,shavings,VT_third_shavings,6250,6250,0,6250000,6250,0
17,CF,4,3.16.2020,fourth,shavings,CF_fourth_shavings,60000,1025,0,130000,0,0
9,BW,3,3.3.2020,third,shavings,BW_third_shavings,62500,1300,0,525000,600,0
19,GV,2,2.19.2020,second,shavings,GV_second_shavings,62500,25,0,400000,175,0
28,PB,2,2.21.2020,second,shavings,PB_second_shavings,62500,7250,48.2,80000,1500,0
29,PB,3,3.20.2020,third,shavings,PB_third_shavings,62500,2100,0,11000,0,0
25,OB,2,2.14.2020,second,shavings,OB_second_shavings,220000,425,5.8,800000,140000,0
26,OB,3,3.12.2020,third,shavings,OB_third_shavings,625000,24000,62.5,2075000,0,0
35,VT,1,1.6.2020,first,shavings,VT_first_shavings,625000,250,0,3400000,6250,0
7,BW,1,1.2.2020,first,shavings,BW_first_shavings,1050000,10000,0,1025000,33000,0
3,BJ,3,2.26.2020,third,shavings,BJ_third_shavings,1800000,525000,4.7,2300000,2600000,0
36,VT,2,2.12.2020,second,shavings,VT_second_shavings,1800000,28000,0,5200000,220000,0
18,GV,1,1.14.2020,first,shavings,GV_first_shavings,2350000,2750,0,2700000,6250,0
14,CF,1,12.11.2019,first,shavings,CF_first_shavings,6250000,1000,0,6250000,270000,0
15,CF,2,1.21.2020,second,shavings,CF_second_shavings,6250000,125000,0,6250000,130000,0
