cow_id,quarter,first_date,first_visit,first_farm,first_order,first_path_1,first_path1_IMI,first_path_2,first_path2_IMI,first_path_3,first_path3_IMI,first_path_4,first_path4_IMI,first_quarter_code,first_isolate_1,first_isolate_2,first_isolate_3,first_isolate_4,first_clinical,first_blind,first_teatinj,first_pstmilking,first_mixed_inf_series,first_dup_not_collected,first_IMI_series,first_hygiene_1,first_hygiene_2,first_cc_1,first_cc_2,first_cc_3,first_scc,first_contam,first_contam_comment,first_uniqueID,second_date,second_visit,second_farm,second_order,second_path_1,second_path1_IMI,second_path_2,second_path2_IMI,second_path_3,second_path3_IMI,second_path_4,second_path4_IMI,second_quarter_code,second_isolate_1,second_isolate_2,second_isolate_3,second_isolate_4,second_clinical,second_blind,second_teatinj,second_pstmilking,second_mixed_inf_series,second_dup_not_collected,second_IMI_series,second_hygiene_1,second_hygiene_2,second_cc_1,second_cc_2,second_cc_3,second_scc,second_contam,second_contam_comment,second_uniqueID,third_date,third_visit,third_farm,third_order,third_path_1,third_path1_IMI,third_path_2,third_path2_IMI,third_path_3,third_path3_IMI,third_path_4,third_path4_IMI,third_quarter_code,third_isolate_1,third_isolate_2,third_isolate_3,third_isolate_4,third_clinical,third_blind,third_teatinj,third_pstmilking,third_mixed_inf_series,third_dup_not_collected,third_IMI_series,third_hygiene_1,third_hygiene_2,third_cc_1,third_cc_2,third_cc_3,third_scc,third_contam,third_contam_comment,third_uniqueID,fourth_date,fourth_visit,fourth_farm,fourth_order,fourth_path_1,fourth_path1_IMI,fourth_path_2,fourth_path2_IMI,fourth_path_3,fourth_path3_IMI,fourth_path_4,fourth_path4_IMI,fourth_quarter_code,fourth_isolate_1,fourth_isolate_2,fourth_isolate_3,fourth_isolate_4,fourth_clinical,fourth_blind,fourth_teatinj,fourth_pstmilking,fourth_mixed_inf_series,fourth_dup_not_collected,fourth_IMI_series,fourth_hygiene_1,fourth_hygiene_2,fourth_cc_1,fourth_cc_2,fourth_cc_3,fourth_scc,fourth_contam,fourth_contam_comment,fourth_uniqueID,
65_Choiniere,LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.16.2020,fourth,Choiniere,26,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,65_Choiniere_LH_fourth,
kooper_OughtaBe,RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.12.2020,third,OughtaBe,17,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,kooper_OughtaBe_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kooper_OughtaBe_RF_fourth,
paprika_Butterworks,LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3.2020,third,Butterworks,34,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,paprika_Butterworks_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,paprika_Butterworks_LF_fourth,
23_Choiniere,RH,12.11.2019,first,Choiniere,19,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,23_Choiniere_RH,1.21.2020,second,Choiniere,31,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,23_Choiniere_RH,2.17.2020,third,Choiniere,24,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,23_Choiniere_RH,3.16.2020,fourth,Choiniere,12,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,23_Choiniere_RH_fourth,
54_Glennview,RF,1.14.2020,first,Glennview,7,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,54_Glennview_RF,2.19.2020,second,Glennview,13,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,54_Glennview_RF,3.19.2020,third,Glennview,24,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,54_Glennview_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54_Glennview_RF_fourth,
670_BJ,LH,12.17.2019,first,BJ,9,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,670_BJ_LH,1.29.2020,second,BJ,10,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,670_BJ_LH,2.26.2020,third,BJ,10,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,670_BJ_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,670_BJ_LH_fourth,
alf_OughtaBe,LH,1.3.2020,first,OughtaBe,24,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,alf_OughtaBe_LH,2.14.2020,second,OughtaBe,24,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,alf_OughtaBe_LH,3.12.2020,third,OughtaBe,22,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,alf_OughtaBe_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,alf_OughtaBe_LH_fourth,
applepie_OughtaBe,LH,1.3.2020,first,OughtaBe,34,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,applepie_OughtaBe_LH,2.14.2020,second,OughtaBe,36,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,applepie_OughtaBe_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,applepie_OughtaBe_LH_fourth,
cheese_Lynd,RF,12.19.2019,first,Lynd,2,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,cheese_Lynd_RF,1.30.2020,second,Lynd,31,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,cheese_Lynd_RF,3.5.2020,third,Lynd,21,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,cheese_Lynd_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cheese_Lynd_RF_fourth,
freida_vonTrapp,RH,1.6.2020,first,vonTrapp,17,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,freida_vonTrapp_RH,2.12.2020,second,vonTrapp,18,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,freida_vonTrapp_RH,3.10.2020,third,vonTrapp,18,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,freida_vonTrapp_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,freida_vonTrapp_RH_fourth,
goody_OughtaBe,RF,1.3.2020,first,OughtaBe,9,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,goody_OughtaBe_RF,2.14.2020,second,OughtaBe,9,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,goody_OughtaBe_RF,3.12.2020,third,OughtaBe,10,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,goody_OughtaBe_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,goody_OughtaBe_RF_fourth,
happiness_Butterworks,LH,1.2.2020,first,Butterworks,7,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,happiness_Butterworks_LH,2.4.2020,second,Butterworks,8,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,happiness_Butterworks_LH,3.3.2020,third,Butterworks,6,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,happiness_Butterworks_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,happiness_Butterworks_LH_fourth,
kandykorn_OughtaBe,RF,1.3.2020,first,OughtaBe,16,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,kandykorn_OughtaBe_RF,2.14.2020,second,OughtaBe,14,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,kandykorn_OughtaBe_RF,3.12.2020,third,OughtaBe,16,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,kandykorn_OughtaBe_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kandykorn_OughtaBe_RF_fourth,
leadbelly_vonTrapp,LF,1.6.2020,first,vonTrapp,10,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,leadbelly_vonTrapp_LF,2.12.2020,second,vonTrapp,1,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,leadbelly_vonTrapp_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,leadbelly_vonTrapp_LF_fourth,
leap_Lynd,LF,12.19.2019,first,Lynd,28,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,leap_Lynd_LF,1.30.2020,second,Lynd,11,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,leap_Lynd_LF,3.5.2020,third,Lynd,20,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,leap_Lynd_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,leap_Lynd_LF_fourth,
lena_vonTrapp,LF,1.6.2020,first,vonTrapp,5,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,lena_vonTrapp_LF,2.12.2020,second,vonTrapp,3,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,lena_vonTrapp_LF,3.10.2020,third,vonTrapp,10,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,lena_vonTrapp_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lena_vonTrapp_LF_fourth,
licorice_Lynd,LF,12.19.2019,first,Lynd,10,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,licorice_Lynd_LF,1.30.2020,second,Lynd,30,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,licorice_Lynd_LF,3.5.2020,third,Lynd,14,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,licorice_Lynd_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,licorice_Lynd_LF_fourth,
lilac_vonTrapp,RF,1.6.2020,first,vonTrapp,23,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,lilac_vonTrapp_RF,2.12.2020,second,vonTrapp,25,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,lilac_vonTrapp_RF,3.10.2020,third,vonTrapp,26,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,lilac_vonTrapp_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lilac_vonTrapp_RF_fourth,
lop_Lynd,RH,12.19.2019,first,Lynd,29,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,lop_Lynd_RH,1.30.2020,second,Lynd,34,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,lop_Lynd_RH,3.5.2020,third,Lynd,28,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,lop_Lynd_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lop_Lynd_RH_fourth,
lucha_vonTrapp,RH,1.6.2020,first,vonTrapp,35,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,lucha_vonTrapp_RH,2.12.2020,second,vonTrapp,28,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,lucha_vonTrapp_RH,3.10.2020,third,vonTrapp,35,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,lucha_vonTrapp_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lucha_vonTrapp_RH_fourth,
luna_vonTrapp,RH,1.6.2020,first,vonTrapp,3,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,luna_vonTrapp_RH,2.12.2020,second,vonTrapp,10,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,luna_vonTrapp_RH,3.10.2020,third,vonTrapp,6,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,luna_vonTrapp_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,luna_vonTrapp_RH_fourth,
martina_Lynd,RF,12.19.2019,first,Lynd,35,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,martina_Lynd_RF,1.30.2020,second,Lynd,33,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,martina_Lynd_RF,3.5.2020,third,Lynd,16,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,martina_Lynd_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,martina_Lynd_RF_fourth,
peaches_StonyPond,RH,12.12.2019,first,StonyPond,6,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,peaches_StonyPond_RH,1.10.2020,second,StonyPond,1,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,peaches_StonyPond_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,peaches_StonyPond_RH_fourth,
pistol_OughtaBe,LF,1.3.2020,first,OughtaBe,21,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,pistol_OughtaBe_LF,2.14.2020,second,OughtaBe,27,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,pistol_OughtaBe_LF,3.12.2020,third,OughtaBe,31,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,pistol_OughtaBe_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pistol_OughtaBe_LF_fourth,
saige313_Paddlebridge,RF,1.17.2020,first,Paddlebridge,27,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,saige313_Paddlebridge_RF,2.21.2020,second,Paddlebridge,33,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,saige313_Paddlebridge_RF,3.20.2020,third,Paddlebridge,33,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,saige313_Paddlebridge_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,saige313_Paddlebridge_RF_fourth,
tiktac_OughtaBe,LF,1.3.2020,first,OughtaBe,28,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,tiktac_OughtaBe_LF,2.14.2020,second,OughtaBe,25,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,tiktac_OughtaBe_LF,3.12.2020,third,OughtaBe,25,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,tiktac_OughtaBe_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tiktac_OughtaBe_LF_fourth,
114_Glennview_LH,LH,1.14.2020,first,Glennview,24,?,yes27,strep,yes27,,,,,27,GV034,GV035,,,,,,,yes,,yes,NA,NA,NA,NA,NA,NA,,,114_Glennview_LH,2.19.2020,second,Glennview,5,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,114_Glennview_LH,3.19.2020,third,Glennview,33,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,114_Glennview_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114_Glennview_LH_fourth,
9_Choiniere_LF,LF,12.11.2019,first,Choiniere,16,sa,yes2,,,,,,,2,CF032,,,,yes,,,,no,,yes,NA,NA,NA,NA,NA,NA,,,9_Choiniere_LF,1.21.2020,second,Choiniere,3,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,9_Choiniere_LF,2.17.2020,third,Choiniere,9,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,9_Choiniere_LF,3.16.2020,fourth,Choiniere,29,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,9_Choiniere_LF_fourth,
germ1140_Paddlebridge_LF,LF,1.17.2020,first,Paddlebridge,4,,,,,,,,,3,,,,,yes,,,,,,,NA,NA,NA,NA,NA,NA,,,germ1140_Paddlebridge_LF,2.21.2020,second,Paddlebridge,1,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,germ1140_Paddlebridge_LF,3.20.2020,third,Paddlebridge,1,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,germ1140_Paddlebridge_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,germ1140_Paddlebridge_LF_fourth,
ginger_OughtaBe_LH,LH,1.3.2020,first,OughtaBe,36,sa,yes29,strep,other29,,,,,29,OB052,OB054,,,,,,,no,,yes,NA,NA,NA,NA,NA,NA,,,ginger_OughtaBe_LH,2.14.2020,second,OughtaBe,34,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,ginger_OughtaBe_LH,3.12.2020,third,OughtaBe,34,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,ginger_OughtaBe_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ginger_OughtaBe_LH_fourth,
katie_OughtaBe_RF,RF,1.3.2020,first,OughtaBe,35,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,katie_OughtaBe_RF,2.14.2020,second,OughtaBe,35,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,katie_OughtaBe_RF,3.12.2020,third,OughtaBe,35,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,katie_OughtaBe_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,katie_OughtaBe_RF_fourth,
flavia_vonTrapp,RF,1.6.2020,first,vonTrapp,20,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,flavia_vonTrapp_RF,2.12.2020,second,vonTrapp,21,,,,,,,,,10,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,flavia_vonTrapp_RF,3.10.2020,third,vonTrapp,19,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,flavia_vonTrapp_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flavia_vonTrapp_RF_fourth,
katie_OughtaBe,LF,1.3.2020,first,OughtaBe,35,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,katie_OughtaBe_LF,2.14.2020,second,OughtaBe,35,strep,yes2,,,,,,,2,OB103,,,,,,,,no,,yes,NA,NA,NA,NA,NA,NA,,,katie_OughtaBe_LF,3.12.2020,third,OughtaBe,35,,,,,,,,,16,,,,,,yes,,,,,,NA,NA,NA,NA,NA,NA,,,katie_OughtaBe_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,katie_OughtaBe_LF_fourth,
