"","date","visit","farm","order","cow_id","quarter","path_1","path1_imi","path_2","path2_imi","path_3","path3_imi","path_4","path4_imi","quarter_code","isolate_1","path_1_maldi_final_id","fix_1","isolate_2","path_2_maldi_final_id","fix_2","isolate_3","path_3_maldi_final_id","fix_3","isolate_4","path_4_maldi_final_id","fix_4","clinical","blind","teatinj","pstmilking","mixed.inf_series","dup_not_collected","imi_series","hygiene_scorer_1","hygiene_1","hygiene_scorer_2","hygiene_2","cc_1","cc_2","cc_3","scc","contam","contam_comment"
"1","1.22.2020","second","Swallowdale",31,"cassia","LH","cns","yes2","","","","","","",2,"sw085","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","j",NA,NA,NA,NA,NA,NA,220000,"",""
"2","1.22.2020","second","Swallowdale",32,"pledge","LF","cns","yes2","","","","","","",2,"sw087","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,NA,NA,NA,NA,NA,230000,"",""
"3","1.22.2020","second","Swallowdale",32,"pledge","RH","cns","yes2","","","","","","",2,"sw088","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,NA,NA,NA,NA,NA,84000,"",""
"4","1.22.2020","second","Swallowdale",32,"pledge","RF","cns","yes2","","","","","","",2,"sw089","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,NA,NA,NA,NA,NA,140000,"",""
"5","1.22.2020","second","Swallowdale",34,"jewel","RH","cns","yes27","cns","other35","","","","",35,"sw090","staphylococcus chromogenes","","sw092","staphylococcus chromogenes","","","",NA,"","",NA,"","","","","tbd","","yes","j",NA,NA,NA,NA,NA,NA,24000,"",""
"6","2.28.2020","third","Swallowdale",3,"quantum","LF","cns","yes2","","","","","","",2,"sw093","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","yes","no","","yes",NA,NA,NA,NA,NA,NA,NA,480000,"",""
"7","2.28.2020","third","Swallowdale",4,"pasta","LF","cns","yes2","","","","","","",2,"sw094","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,5e+05,"",""
"8","2.28.2020","third","Swallowdale",5,"paige","LH","cns","yes2","","","","","","",2,"sw095","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,120000,"",""
"9","2.28.2020","third","Swallowdale",5,"paige","RH","cns","yes2","","","","","","",2,"sw096","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,120000,"",""
"10","2.28.2020","third","Swallowdale",6,"dorian","LH","cns","yes2","","","","","","",2,"sw097","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,1e+05,"",""
"11","2.28.2020","third","Swallowdale",11,"pledge","LF","cns","yes2","","","","","","",2,"sw101","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,410000,"",""
"12","2.28.2020","third","Swallowdale",11,"pledge","RH","cns","yes2","","","","","","",2,"sw102","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,180000,"",""
"13","2.28.2020","third","Swallowdale",11,"pledge","RF","cns","yes2","","","","","","",2,"sw103","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,440000,"",""
