date,visit,farm,order,cow_id,quarter,unique_ID,scc,,inf_type,inf_type_conjecture,over_200k,path_1,path1_imi,path_2,path2_imi,path_3,path3_imi,path_4,path4_imi,quarter_code,isolate_1,path_1_maldi_final_id,fix_1,isolate_2,path_2_maldi_final_id,fix_2,isolate_3,path_3_maldi_final_id,fix_3,isolate_4,path_4_maldi_final_id,fix_4,clinical,blind,teatinj,pstmilking,mixed.inf_series,dup_not_collected,imi_series,hygiene_scorer_1,hygiene_1,hygiene_scorer_2,hygiene_2,cc_1,cc_2,cc_3,contam,contam_comment
12.17.2019,first,BJ,5,cb5,LF,cb5_BJ_LF,15000,,chron,chron,no,cns,yes2,,,,,,,2,bj005,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,j,4,c,4,NA,NA,NA,,
2.26.2020,third,BJ,5,cb5,LF,cb5_BJ_LF,29000,,chron,chron,no,cns,yes2,,,,,,,2,bj055,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,m,2,c,2,NA,NA,NA,,
12.19.2019,first,Lynd,30,khakibeige,LF,khakibeige_Lynd_LF,33000,,chron,chron,no,cns,yes2,,,,,,,2,lf036,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
1.29.2020,second,BJ,6,cb5,LF,cb5_BJ_LF,35000,,chron,chron,no,cns,yes2,,,,,,,2,bj031,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,j,3,c,3,NA,NA,NA,,
1.29.2020,second,BJ,19,733,LF,733_BJ_LF,42000,,chron,chron,no,cns,yes2,,,,,,,2,bj044,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,j,2,c,2,NA,NA,NA,,
1.30.2020,second,Lynd,35,khakibeige,LF,khakibeige_Lynd_LF,48000,,chron,chron,no,cns,yes1,,,,,,,1,lf087,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
2.4.2020,second,Butterworks,20,manzana,RH,manzana_Butterworks_RH,51000,,chron,chron,no,cns,yes2,,,,,,,2,bw091,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,t,3,c,3,NA,NA,NA,,
12.19.2019,first,Lynd,27,krone,RF,krone_Lynd_RF,51000,,chron,chron,no,cns,yes2,,,,,,,2,lf034,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
12.19.2019,first,Lynd,27,krone,LF,krone_Lynd_LF,52000,,chron,chron,no,cns,yes2,,,,,,,2,lf032,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
3.5.2020,third,Lynd,31,khakibeige,LF,khakibeige_Lynd_LF,54000,,chron,chron,no,cns,yes2,,,,,,,2,lf123,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
