date,visit,farm,order,cow_id,quarter,path_1,path1_IMI,path_2,path2_IMI,path_3,path3_IMI,path_4,path4_IMI,quarter_code,isolate_1,isolate_2,isolate_3,isolate_4,clinical,blind,teatinj,pstmilking,mixed_inf_series,dup_not_collected,IMI_series,hygiene_1,hygiene_2,cc_1,cc_2,cc_3,scc,previous visit SCC,following visit SCC,previous test cow-level SCC,following test cow-level SCC,contam,contam_comment,uniqueID
1.2.2020,first,Butterworks,2,strawberry,LH,corynebac,yes27,cns,yes27,,,,,27,BW001,BW002,,,,,,,yes,,yes,NA,NA,NA,NA,NA,7000,,,,,,,strawberry_LH_first
1.2.2020,first,Butterworks,4,muffin,LH,cns,yes27,corynebac,yes27,,,,,27,BW003,BW004,,,,,,,yes,,yes,NA,NA,NA,NA,NA,250000,,,,,,,muffin_LH_first
1.2.2020,first,Butterworks,4,muffin,RH,cns,yes2,,,,,,,2,BW005,,,,,,,,no,,yes,NA,NA,NA,NA,NA,350000,,,,,,,muffin_RH_first
1.2.2020,first,Butterworks,6,pomme,RH,strep,yes27,cns,yes27,,,,,27,BW007,BW008,,,,,,,yes,,yes,NA,NA,NA,NA,NA,54000,,,,,,,pomme_RH_first
1.2.2020,first,Butterworks,8,wildcucumber,LH,cns,yes2,,,,,,,2,BW010,,,,,,,,no,,yes,NA,NA,NA,NA,NA,19000,,,,,,,wildcucumber_LH_first
1.2.2020,first,Butterworks,11,nebula,RH,cns,yes2,,,,,,,2,BW011,,,,,,,,no,,yes,NA,NA,NA,NA,NA,290000,,,,,,,nebula_RH_first
1.2.2020,first,Butterworks,12,snowball,RH,cns,yes2,,,,,,,2,BW012,,,,,,,,no,,yes,NA,NA,NA,NA,NA,5.00E+05,,,,,,,snowball_RH_first
1.2.2020,first,Butterworks,12,snowball,RF,cns,yes2,,,,,,,2,BW013,,,,,,,,no,,yes,NA,NA,NA,NA,NA,160000,,,,,,,snowball_RF_first
1.2.2020,first,Butterworks,13,rhubarb,RF,cns,yes2,,,,,,,2,BW014,,,,,,,,no,,yes,NA,NA,NA,NA,NA,73000,,,,,,,rhubarb_RF_first
1.2.2020,first,Butterworks,14,hawthorn,RH,cns,yes2,,,,,,,2,BW015,,,,,,,,no,,yes,NA,NA,NA,NA,NA,99000,,,,,,,hawthorn_RH_first
1.2.2020,first,Butterworks,17,nazareth,LF,cns,yes2,,,,,,,2,BW022,,,,,,,,no,,yes,NA,NA,NA,NA,NA,55000,,,,,,,nazareth_LF_first
1.2.2020,first,Butterworks,17,nazareth,RF,cns,yes2,,,,,,,2,BW024,,,,,,,,no,,yes,NA,NA,NA,NA,NA,260000,,,,,,,nazareth_RF_first
1.2.2020,first,Butterworks,18,marjoram,RH,cns,yes2,,,,,,,2,BW027,,,,,,,,no,,yes,NA,NA,NA,NA,NA,130000,,,,,,,marjoram_RH_first
1.2.2020,first,Butterworks,19,manzana,LH,cns,yes2,,,,,,,2,BW029,,,,,,,,no,,yes,NA,NA,NA,NA,NA,210000,,,,,,,manzana_LH_first
1.2.2020,first,Butterworks,19,manzana,RH,cns,yes2,,,,,,,2,BW031,,,,,,,,no,,yes,NA,NA,NA,NA,NA,61000,,,,,,,manzana_RH_first
1.2.2020,first,Butterworks,19,manzana,RF,cns,yes2,,,,,,,2,BW032,,,,,,,,no,,yes,NA,NA,NA,NA,NA,43000,,,,,,,manzana_RF_first
1.2.2020,first,Butterworks,20,love,RF,cns,yes2,,,,,,,2,BW035,,,,,,,,,,yes,NA,NA,NA,NA,NA,3000,,,,,,,love_RF_first
1.2.2020,first,Butterworks,21,mandolin,LH,cns,yes2,,,,,,,2,BW036,,,,,,,,,,yes,NA,NA,NA,NA,NA,240000,,,,,,,mandolin_LH_first
1.2.2020,first,Butterworks,22,avocado,LF,cns,yes2,,,,,,,2,BW038,,,,,,,,no,,yes,NA,NA,NA,NA,NA,61000,,,,,,,avocado_LF_first
1.2.2020,first,Butterworks,22,avocado,RH,cns,yes2,,,,,,,2,BW039,,,,,,,,no,,yes,NA,NA,NA,NA,NA,78000,,,,,,,avocado_RH_first
1.2.2020,first,Butterworks,23,jolene,LF,strep,yes1,cns,no5,,,,,1,BW041,BW042,,,,,,,no,,yes,NA,NA,NA,NA,NA,44000,,,,,,,jolene_LF_first
1.2.2020,first,Butterworks,23,jolene,RF,cns,yes2,,,,,,,2,BW043,,,,,,,,no,,yes,NA,NA,NA,NA,NA,180000,,,,,,,jolene_RF_first
1.2.2020,first,Butterworks,24,nellie,RH,cns,yes2,,,,,,,2,BW044,,,,,,,,no,,yes,NA,NA,NA,NA,NA,160000,,,,,,,nellie_RH_first
1.2.2020,first,Butterworks,25,melissa,LH,cns,yes2,,,,,,,2,BW067,,,,,,,,no,,yes,NA,NA,NA,NA,NA,310000,,,,,,,melissa_LH_first
1.2.2020,first,Butterworks,26,petunia,LH,cns,yes2,,,,,,,2,BW046,,,,,,,,no,,yes,NA,NA,NA,NA,NA,83000,,,,,,,petunia_LH_first
1.2.2020,first,Butterworks,27,crescent,LH,cns,yes2,,,,,,,2,BW048,,,,,,,,no,,yes,NA,NA,NA,NA,NA,470000,,,,,,,crescent_LH_first
1.2.2020,first,Butterworks,27,crescent,LF,cns,yes2,,,,,,,2,BW049,,,,,,,,no,,yes,NA,NA,NA,NA,NA,74000,,,,,,,crescent_LF_first
1.2.2020,first,Butterworks,27,crescent,RH,cns,yes2,,,,,,,2,BW050,,,,,,,,no,,yes,NA,NA,NA,NA,NA,170000,,,,,,,crescent_RH_first
1.2.2020,first,Butterworks,29,bon,LH,strep,yes27,cns,yes27,,,,,27,BW054,BW055,,,,,,,yes,,yes,NA,NA,NA,NA,NA,5000,,,,,,,bon_LH_first
1.2.2020,first,Butterworks,29,bon,RF,cns,yes2,,,,,,,2,BW053,,,,,,,,no,,yes,NA,NA,NA,NA,NA,310000,,,,,,,bon_RF_first
1.2.2020,first,Butterworks,31,chipotle,LH,cns,yes2,,,,,,,2,BW059,,,,,,,,no,,yes,NA,NA,NA,NA,NA,280000,,,,,,,chipotle_LH_first
1.2.2020,first,Butterworks,31,chipotle,LF,cns,yes2,,,,,,,2,BW060,,,,,,,,no,,yes,NA,NA,NA,NA,NA,160000,,,,,,,chipotle_LF_first
1.2.2020,first,Butterworks,31,chipotle,RF,cns,yes2,,,,,,,2,BW061,,,,,,,,no,,yes,NA,NA,NA,NA,NA,120000,,,,,,,chipotle_RF_first
1.2.2020,first,Butterworks,33,plantain,LH,cns,yes2,,,,,,,2,BW063,,,,,,,,no,,yes,NA,NA,NA,NA,NA,89000,,,,,,,plantain_LH_first
2.4.2020,second,Butterworks,1,masala,RF,cns,yes1,,,,,,,1,BW071,,,,,,,,no,,yes,NA,NA,NA,NA,NA,67000,,,,,,,masala_RF_second
2.4.2020,second,Butterworks,3,muffin,LH,cns,yes2,,,,,,,2,BW072,,,,,,,,no,,yes,NA,NA,NA,NA,NA,4.00E+05,,,,,,,muffin_LH_second
2.4.2020,second,Butterworks,3,muffin,RH,cns,yes2,,,,,,,2,BW073,,,,,,,,no,,yes,NA,NA,NA,NA,NA,280000,,,,,,,muffin_RH_second
2.4.2020,second,Butterworks,5,pomme,LF,cns,yes1,,,,,,,1,BW074,,,,,,,,no,,yes,NA,NA,NA,NA,NA,40000,,,,,,,pomme_LF_second
2.4.2020,second,Butterworks,5,pomme,RH,strep,yes27,cns,yes27,,,,,27,BW075,BW076,,,,,,,yes,,yes,NA,NA,NA,NA,NA,230000,,,,,,,pomme_RH_second
2.4.2020,second,Butterworks,6,noel,LF,cns,yes2,,,,,,,2,BW077,,,,,,,,no,,yes,NA,NA,NA,NA,NA,61000,,,,,,,noel_LF_second
2.4.2020,second,Butterworks,7,pearl,RF,cns,yes2,,,,,,,2,BW078,,,,,,,,no,,yes,NA,NA,NA,NA,NA,86000,,,,,,,pearl_RF_second
2.4.2020,second,Butterworks,9,wildcucumber,LH,cns,yes21,,,,,,,21,BW079,,,,,,,,no,,yes,NA,NA,NA,NA,NA,13000,,,,,,,wildcucumber_LH_second
2.4.2020,second,Butterworks,11,rhubarb,RF,cns,yes2,,,,,,,2,BW080,,,,,,,,no,,yes,NA,NA,NA,NA,NA,72000,,,,,,,rhubarb_RF_second
2.4.2020,second,Butterworks,12,snowball,RH,cns,yes2,cns,other18,,,,,2,BW082,BW083,,,,,,,tbd,,yes,NA,NA,NA,NA,NA,480000,,,,,,,snowball_RH_second
2.4.2020,second,Butterworks,12,snowball,RF,cns,yes2,,,,,,,2,BW070,,,,,,,,no,,yes,NA,NA,NA,NA,NA,130000,,,,,,,snowball_RF_second
2.4.2020,second,Butterworks,13,nebula,RH,cns,yes2,,,,,,,2,BW084,,,,,,,,no,,yes,NA,NA,NA,NA,NA,460000,,,,,,,nebula_RH_second
2.4.2020,second,Butterworks,16,hawthorn,RH,cns,yes2,,,,,,,2,BW085,,,,,,,,no,,yes,NA,NA,NA,NA,NA,120000,,,,,,,hawthorn_RH_second
2.4.2020,second,Butterworks,18,marjoram,RH,cns,yes2,,,,,,,2,BW086,,,,,,,,no,,yes,NA,NA,NA,NA,NA,240000,,,,,,,marjoram_RH_second
2.4.2020,second,Butterworks,19,nazareth,LF,cns,yes2,,,,,,,2,BW087,,,,,,,,no,,yes,NA,NA,NA,NA,NA,240000,,,,,,,nazareth_LF_second
2.4.2020,second,Butterworks,19,nazareth,RF,cns,yes2,,,,,,,2,BW088,,,,,,,,no,,yes,NA,NA,NA,NA,NA,440000,,,,,,,nazareth_RF_second
2.4.2020,second,Butterworks,20,manzana,LH,cns,yes2,,,,,,,2,BW089,,,,,,,,no,,yes,NA,NA,NA,NA,NA,470000,,,,,,,manzana_LH_second
2.4.2020,second,Butterworks,20,manzana,RH,cns,yes2,,,,,,,2,BW091,,,,,,,,no,,yes,NA,NA,NA,NA,NA,51000,,,,,,,manzana_RH_second
2.4.2020,second,Butterworks,20,manzana,RF,cns,yes2,,,,,,,2,BW092,,,,,,,,no,,yes,NA,NA,NA,NA,NA,65000,,,,,,,manzana_RF_second
2.4.2020,second,Butterworks,21,avocado,RH,cns,yes2,,,,,,,2,BW093,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1300000,,,,,,,avocado_RH_second
2.4.2020,second,Butterworks,24,nellie,LH,cns,yes2,,,,,,,2,BW094,,,,,,,,no,,yes,NA,NA,NA,NA,NA,240000,,,,,,,nellie_LH_second
2.4.2020,second,Butterworks,24,nellie,RH,cns,yes29,,,,,,,29,BW097,,,,,,,,no,,yes,NA,NA,NA,NA,NA,740000,,,,,,,nellie_RH_second
2.4.2020,second,Butterworks,24,nellie,RF,strep,yes27,cns,yes27,,,,,27,BW095,BW096,,,,,,,no,,yes,NA,NA,NA,NA,NA,310000,,,,,,,nellie_RF_second
2.4.2020,second,Butterworks,25,jolene,RF,cns,yes2,,,,,,,2,BW098,,,,,,,,no,,yes,NA,NA,NA,NA,NA,240000,,,,,,,jolene_RF_second
2.4.2020,second,Butterworks,27,petunia,LH,cns,yes2,,,,,,,2,BW099,,,,,,,,no,,yes,NA,NA,NA,NA,NA,99000,,,,,,,petunia_LH_second
2.4.2020,second,Butterworks,28,mandolin,LH,cns,yes2,,,,,,,2,BW101,,,,,,,,no,,yes,NA,NA,NA,NA,NA,440000,,,,,,,mandolin_LH_second
2.4.2020,second,Butterworks,31,bon,RF,cns,yes2,,,,,,,2,BW106,,,,,,,,no,,yes,NA,NA,NA,NA,NA,290000,,,,,,,bon_RF_second
2.4.2020,second,Butterworks,34,chipotle,LH,cns,yes2,,,,,,,2,BW110,,,,,,,,no,,yes,NA,NA,NA,NA,NA,490000,,,,,,,chipotle_LH_second
2.4.2020,second,Butterworks,34,chipotle,LF,cns,yes2,,,,,,,2,BW111,,,,,,,,no,,yes,NA,NA,NA,NA,NA,390000,,,,,,,chipotle_LF_second
2.4.2020,second,Butterworks,34,chipotle,RH,cns,yes2,,,,,,,2,BW112,,,,,,,,no,,yes,NA,NA,NA,NA,NA,470000,,,,,,,chipotle_RH_second
2.4.2020,second,Butterworks,34,chipotle,RF,cns,yes2,,,,,,,2,BW113,,,,,,,,no,,yes,NA,NA,NA,NA,NA,140000,,,,,,,chipotle_RF_second
3.3.2020,third,Butterworks,1,masala,RF,cns,yes2,,,,,,,2,BW115,,,,,,,,no,,yes,NA,NA,NA,NA,NA,0,,,,,,,masala_RF_third
3.3.2020,third,Butterworks,2,muffin,LH,cns,yes2,,,,,,,2,BW116,,,,,,,,no,,yes,NA,NA,NA,NA,NA,0,,,,,,,muffin_LH_third
3.3.2020,third,Butterworks,2,muffin,RH,cns,yes2,,,,,,,2,BW118,,,,,,,,no,,yes,NA,NA,NA,NA,NA,0,,,,,,,muffin_RH_third
3.3.2020,third,Butterworks,3,strawberry,RH,cns,yes2,,,,,,,2,BW119,,,,,,,,no,,yes,NA,NA,NA,NA,NA,4000,,,,,,,strawberry_RH_third
3.3.2020,third,Butterworks,4,pomme,LF,cns,yes2,,,,,,,2,BW120,,,,,,,,no,,yes,NA,NA,NA,NA,NA,9000,,,,,,,pomme_LF_third
3.3.2020,third,Butterworks,4,pomme,RH,cns,yes2,,,,,,,2,BW121,,,,,,,,no,,yes,NA,NA,NA,NA,NA,60000,,,,,,,pomme_RH_third
3.3.2020,third,Butterworks,7,noel,LF,cns,yes2,,,,,,,2,BW122,,,,,,,,no,,yes,NA,NA,NA,NA,NA,480000,,,,,,,noel_LF_third
3.3.2020,third,Butterworks,8,pearl,LF,cns,yes2,cns,other18,,,,,2,BW123,BW124,,,,,,,tbd,,yes,NA,NA,NA,NA,NA,210000,,,,,,,pearl_LF_third
3.3.2020,third,Butterworks,9,blackberry,LH,cns,yes1,,,,,,,1,BW125,,,,,,,,no,,yes,NA,NA,NA,NA,NA,16000,,,,,,,blackberry_LH_third
3.3.2020,third,Butterworks,10,wildcucumber,LH,cns,yes2,,,,,,,2,BW126,,,,,,,,no,,yes,NA,NA,NA,NA,NA,11000,,,,,,,wildcucumber_LH_third
3.3.2020,third,Butterworks,11,rhubarb,RF,cns,yes2,,,,,,,2,BW127,,,,,,,,no,,yes,NA,NA,NA,NA,NA,15000,,,,,,,rhubarb_RF_third
3.3.2020,third,Butterworks,12,snowball,RH,cns,yes2,,,,,,,2,BW129,,,,,,,,no,,yes,NA,NA,NA,NA,NA,110000,,,,,,,snowball_RH_third
3.3.2020,third,Butterworks,12,snowball,RF,cns,yes1,cns,other18,,,,,2,BW130,BW131,,,,,,,no,,yes,NA,NA,NA,NA,NA,34000,,,,,,,snowball_RF_third
3.3.2020,third,Butterworks,13,nebula,RH,cns,yes2,,,,,,,2,BW132,,,,,,,,no,,yes,NA,NA,NA,NA,NA,44000,,,,,,,nebula_RH_third
