date,visit,farm,order,cow_id,quarter,path_1,path1_imi,path_2,path2_imi,path_3,path3_imi,path_4,path4_imi,quarter_code,isolate_1,Pathogen_group,NAS_species,path_1_maldi_final_id,fix_1,isolate_2,path_2_maldi_final_id,fix_2,isolate_3,path_3_maldi_final_id,fix_3,isolate_4,path_4_maldi_final_id,fix_4,clinical,blind,teatinj,pstmilking,mixed_inf_series,dup_not_collected,imi_series,hygiene_scorer_1,hygiene_1,hygiene_scorer_2,hygiene_2,cc_1,cc_2,cc_3,scc,scc_div_100k,ls,contam,contam_comment
3.20.2020,third,paddlebridge,30,chapstick1,RH,cns,yes1,,,,,,,1,pb095,CNS,S. auricularis,staphylococcus auricularis,,,,,,,,,NA,NA,,,,,no,,yes,j,1,c,1,NA,NA,NA,2000,0.02,0,,
3.20.2020,third,paddlebridge,32,scrapie278,RH,cns,yes2,,,,,,,2,pb096,CNS,S. capitis,staphylococcus capitis,,,,,,,,,NA,NA,,,,,no,,yes,j,1,c,1,NA,NA,NA,86000,0.86,2.782408565,,
3.3.2020,third,butterworks,2,muffin,LH,cns,yes2,,,,,,,2,bw116,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,n,3,c,1,NA,NA,NA,0,0,0,,
3.3.2020,third,butterworks,2,muffin,RH,cns,yes2,,,,,,,2,bw118,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,n,3,c,1,NA,NA,NA,0,0,0,,
3.12.2020,third,oughtabe,9,ruger,RF,cns,yes2,,,,,,,2,ob124,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,j,4,c,3,NA,NA,NA,3000,0.03,0,,
3.12.2020,third,oughtabe,6,korny,RH,cns,yes2,,,,,,,2,ob116,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,j,4,c,4,NA,NA,NA,8000,0.08,0,,
3.3.2020,third,butterworks,4,pomme,LF,cns,yes2,,,,,,,2,bw120,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,n,2,c,2,NA,NA,NA,9000,0.09,0,,
3.12.2020,third,oughtabe,6,korny,RF,cns,yes2,,,,,,,2,ob117,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,j,4,c,4,NA,NA,NA,13000,0.13,0.056583528,,
12.17.2019,first,bj,5,cb5,LF,cns,yes2,,,,,,,2,bj005,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,j,4,c,4,NA,NA,NA,15000,0.15,0.263034406,,
3.3.2020,third,butterworks,11,rhubarb,RF,cns,yes2,,,,,,,2,bw127,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,n,4,c,3,NA,NA,NA,15000,0.15,0.263034406,,
1.22.2020,second,swallowdale,34,jewel,RH,cns,yes27,cns,other35,,,,,35,sw090,CNS,S. chromogenes,staphylococcus chromogenes,,sw092,staphylococcus chromogenes,,,,,,NA,NA,,,,,tbd,,yes,j,NA,NA,NA,NA,NA,NA,24000,0.24,0.941106311,,
1.30.2020,second,lynd,6,life,LF,cns,yes2,,,,,,,2,lf054,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,27000,0.27,1.111031312,,
3.12.2020,third,oughtabe,6,korny,LF,cns,yes2,,,,,,,2,ob115,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,j,4,c,4,NA,NA,NA,28000,0.28,1.163498732,,
2.26.2020,third,bj,5,cb5,LF,cns,yes2,,,,,,,2,bj055,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,m,2,c,2,NA,NA,NA,29000,0.29,1.214124805,,
3.12.2020,third,oughtabe,16,kandykorn,LF,cns,yes2,,,,,,,2,ob134,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,j,1,c,1,NA,NA,NA,29000,0.29,1.214124805,,
2.28.2020,third,swallowdale,25,jewel,LH,cns,yes1,,,,,,,1,sw122,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,33000,0.33,1.40053793,,
12.19.2019,first,lynd,30,khakibeige,LF,cns,yes2,,,,,,,2,lf036,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,33000,0.33,1.40053793,,
2.14.2020,second,oughtabe,33,tiktoe,LF,cns,yes2,,,,,,,2,ob098,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,t,2,c,3,NA,NA,NA,33000,0.33,1.40053793,,
1.29.2020,second,bj,6,cb5,LF,cns,yes2,,,,,,,2,bj031,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,j,3,c,3,NA,NA,NA,35000,0.35,1.485426827,,
3.5.2020,third,lynd,17,lilac,RH,cns,yes2,,,,,,,2,lf111,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,38000,0.38,1.604071324,,
2.19.2020,second,glennview,32,199,LH,cns,yes2,,,,,,,2,gv091,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,m,1,c,2,NA,NA,NA,40000,0.4,1.678071905,,
3.12.2020,third,oughtabe,13,racer,RF,cns,yes2,,,,,,,2,ob130,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,j,2,c,2,NA,NA,NA,40000,0.4,1.678071905,,
1.29.2020,second,bj,19,733,LF,cns,yes2,,,,,,,2,bj044,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,j,2,c,2,NA,NA,NA,42000,0.42,1.748461233,,
3.3.2020,third,butterworks,16,hawthorn,RH,cns,yes1,,,,,,,1,bw133,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,n,2,c,1,NA,NA,NA,43000,0.43,1.782408565,,
3.12.2020,third,oughtabe,17,kooper,LH,cns,yes2,,,,,,,2,ob135,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,,,yes,j,1,c,1,NA,NA,NA,43000,0.43,1.782408565,,
3.3.2020,third,butterworks,13,nebula,RH,cns,yes2,,,,,,,2,bw132,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,n,2,c,1,NA,NA,NA,44000,0.44,1.815575429,,
3.19.2020,third,glennview,2,199,LH,cns,yes2,,,,,,,2,gv101,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,j,3,c,3,NA,NA,NA,46000,0.46,1.879705766,,
1.30.2020,second,lynd,35,khakibeige,LF,cns,yes1,,,,,,,1,lf087,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,48000,0.48,1.941106311,,
3.3.2020,third,butterworks,20,manzana,RF,cns,yes2,,,,,,,2,bw140,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,n,4,c,4,NA,NA,NA,49000,0.49,1.970853654,,
12.19.2019,first,lynd,27,krone,RF,cns,yes2,,,,,,,2,lf034,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,51000,0.51,2.028569152,,
2.4.2020,second,butterworks,20,manzana,RH,cns,yes2,,,,,,,2,bw091,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,t,3,c,3,NA,NA,NA,51000,0.51,2.028569152,,
12.19.2019,first,lynd,27,krone,LF,cns,yes2,,,,,,,2,lf032,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,52000,0.52,2.056583528,,
3.5.2020,third,lynd,31,khakibeige,LF,cns,yes2,,,,,,,2,lf123,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,54000,0.54,2.111031312,,
12.19.2019,first,lynd,29,lop,LH,cns,yes2,,,,,,,2,lf035,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,56000,0.56,2.163498732,,
3.19.2020,third,glennview,27,205,RH,cns,yes2,,,,,,,2,gv147,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,j,2,c,2,NA,NA,NA,58000,0.58,2.214124805,,
2.28.2020,third,swallowdale,33,goldie,LF,cns,yes2,,,,,,,2,sw129,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,59000,0.59,2.23878686,,
3.19.2020,third,glennview,28,70,LF,cns,yes2,,,,,,,2,gv150,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,j,3,c,3,NA,NA,NA,62000,0.62,2.310340121,,
1.30.2020,second,lynd,34,lop,LH,cns,yes2,,,,,,,2,lf086,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,62000,0.62,2.310340121,,
3.3.2020,third,butterworks,32,bon,RF,cns,yes2,,,,,,,2,bw155,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,n,3,c,1,NA,NA,NA,62000,0.62,2.310340121,,
3.19.2020,third,glennview,31,192,RF,cns,yes2,,,,,,,2,gv154,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,j,2,c,2,NA,NA,NA,63000,0.63,2.333423734,,
1.29.2020,second,bj,7,720,RH,cns,yes2,,,,,,,2,bj033,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,j,1,c,1,NA,NA,NA,64000,0.64,2.35614381,,
2.4.2020,second,butterworks,20,manzana,RF,cns,yes2,,,,,,,2,bw092,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,t,3,c,3,NA,NA,NA,65000,0.65,2.378511623,,
