"","date","visit","farm","order","cow_id","quarter","path_1","path1_imi","path_2","path2_imi","path_3","path3_imi","path_4","path4_imi","quarter_code","isolate_1","path_1_maldi_final_id","fix_1","isolate_2","path_2_maldi_final_id","fix_2","isolate_3","path_3_maldi_final_id","fix_3","isolate_4","path_4_maldi_final_id","fix_4","clinical","blind","teatinj","pstmilking","mixed_inf_series","dup_not_collected","imi_series","hygiene_scorer_1","hygiene_1","hygiene_scorer_2","hygiene_2","cc_1","cc_2","cc_3","scc","contam","contam_comment"
"1","12.13.2019","first","Swallowdale",1,"pledge","LF","cns","yes2","","","","","","",2,"sw002","","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,87000,"",""
"2","12.13.2019","first","Swallowdale",1,"pledge","RH","cns","yes2","","","","","","",2,"sw003","","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,59000,"",""
"3","12.13.2019","first","Swallowdale",1,"pledge","RF","cns","yes2","","","","","","",2,"sw004","","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,172000,"",""
"4","12.13.2019","first","Swallowdale",6,"denise","RF","cns","yes2","","","","","","",2,"sw008","","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,139000,"",""
"5","12.13.2019","first","Swallowdale",7,"skyler","RF","cns","yes1","","","","","","",1,"sw009","","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,0,"",""
"6","12.13.2019","first","Swallowdale",8,"cambric","LH","cns","yes2","","","","","","",2,"sw010","","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,36000,"",""
"7","12.13.2019","first","Swallowdale",9,"diane","RF","cns","yes1","","","","","","",1,"sw013","","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,3000,"",""
"8","12.13.2019","first","Swallowdale",11,"paige","RH","cns","yes2","cns","other18","","","","",2,"sw017","","","sw018","","","","",NA,"","",NA,"","","","","tbd","","yes",NA,NA,NA,NA,NA,NA,NA,55000,"",""
"9","12.13.2019","first","Swallowdale",12,"denver","LF","cns","yes27","strep","yes27","","","","",27,"sw019","","","sw020","","","","",NA,"","",NA,"","","","","yes","","yes",NA,NA,NA,NA,NA,NA,NA,153000,"",""
"10","12.13.2019","first","Swallowdale",12,"denver","RH","cns","yes2","","","","","","",2,"sw021","","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,103000,"",""
"11","12.13.2019","first","Swallowdale",14,"quantum","LF","cns","yes2","","","","","","",2,"sw026","","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,15000,"",""
"12","12.13.2019","first","Swallowdale",15,"goldie","LH","cns","yes27","strep","yes27","","","","",27,"sw027","","","sw028","","","","",NA,"","",NA,"","","","","yes","","yes",NA,NA,NA,NA,NA,NA,NA,66000,"",""
"13","12.13.2019","first","Swallowdale",15,"goldie","LF","cns","yes2","","","","","","",2,"sw029","","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,157000,"",""
"14","12.13.2019","first","Swallowdale",15,"goldie","RH","cns","yes27","strep","yes27","","","","",27,"sw031","","","sw030","","","","",NA,"","",NA,"","","","","yes","","yes",NA,NA,NA,NA,NA,NA,NA,73000,"",""
"15","12.13.2019","first","Swallowdale",21,"pasta","LF","cns","yes2","","","","","","",2,"sw039","","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,78000,"",""
"16","12.13.2019","first","Swallowdale",24,"flossy","LH","cns","yes2","","","","","","",2,"sw040","","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,86000,"",""
"17","12.13.2019","first","Swallowdale",26,"amber","LH","cns","yes2","","","","","","",2,"sw041","","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,57000,"",""
"18","12.13.2019","first","Swallowdale",27,"marshmellow","LH","cns","yes27","strep","yes27","","","","",27,"sw042","","","sw043","","","","",NA,"","",NA,"","","","","yes","","yes",NA,NA,NA,NA,NA,NA,NA,120000,"",""
"19","12.13.2019","first","Swallowdale",27,"marshmellow","LF","cns","yes2","","","","","","",2,"sw044","","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,61000,"",""
"20","12.13.2019","first","Swallowdale",27,"marshmellow","RF","cns","yes2","","","","","","",2,"sw046","","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,98000,"",""
"21","12.13.2019","first","Swallowdale",30,"cassia","LH","cns","yes2","","","","","","",2,"sw048","","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,51000,"",""
"22","12.13.2019","first","Swallowdale",30,"cassia","RH","cns","yes2","","","","","","",2,"sw049","","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,24000,"",""
"23","12.13.2019","first","Swallowdale",31,"jewel","LH","cns","yes2","","","","","","",2,"sw050","","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,11000,"",""
"24","12.13.2019","first","Swallowdale",34,"mabel","LF","cns","yes2","","","","","","",2,"sw052","","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,60000,"",""
"25","12.13.2019","first","Swallowdale",35,"maisie","RH","cns","yes1","","","","","","",1,"sw053","","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,16000,"",""
"26","1.22.2020","second","Swallowdale",5,"29","RF","cns","yes27","strep","yes27","","","","",27,"sw055","","","sw056","","","","",NA,"","",NA,"","","","","yes","","yes","j",1,NA,NA,NA,NA,NA,760000,"",""
"27","1.22.2020","second","Swallowdale",6,"goldie","LH","cns","yes27","strep","yes27","","","","",27,"sw058","","","sw059","","","","",NA,"","",NA,"","","","","yes","","yes","j",2,NA,NA,NA,NA,NA,110000,"",""
"28","1.22.2020","second","Swallowdale",6,"goldie","LF","cns","yes2","","","","","","",2,"sw060","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",2,NA,NA,NA,NA,NA,45000,"",""
"29","1.22.2020","second","Swallowdale",6,"goldie","RH","cns","yes27","strep","yes27","","","","",27,"sw061","","","sw062","","","","",NA,"","",NA,"","","","","yes","","yes","j",2,NA,NA,NA,NA,NA,58000,"",""
"30","1.22.2020","second","Swallowdale",7,"paige","LH","cns","yes2","","","","","","",2,"sw063","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",2,NA,NA,NA,NA,NA,24000,"",""
"31","1.22.2020","second","Swallowdale",7,"paige","RH","cns","yes2","","","","","","",2,"sw064","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",2,NA,NA,NA,NA,NA,89000,"",""
"32","1.22.2020","second","Swallowdale",8,"marshmellow","LF","cns","yes2","","","","","","",2,"sw066","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,NA,NA,NA,NA,NA,220000,"",""
"33","1.22.2020","second","Swallowdale",8,"marshmellow","RH","cns","yes27","strep","yes27","","","","",27,"sw067","","","sw068","","","","",NA,"","",NA,"","","","","yes","","yes","j",1,NA,NA,NA,NA,NA,110000,"",""
"34","1.22.2020","second","Swallowdale",8,"marshmellow","RF","cns","yes2","","","","","","",2,"sw069","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,NA,NA,NA,NA,NA,150000,"",""
"35","1.22.2020","second","Swallowdale",10,"flossy","LH","cns","yes2","","","","","","",2,"sw070","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",2,NA,NA,NA,NA,NA,420000,"",""
"36","1.22.2020","second","Swallowdale",11,"amber","LH","cns","yes2","","","","","","",2,"sw071","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",2,NA,NA,NA,NA,NA,110000,"",""
"37","1.22.2020","second","Swallowdale",14,"cambric","LH","cns","yes2","","","","","","",2,"sw072","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,NA,NA,NA,NA,NA,2e+05,"",""
"38","1.22.2020","second","Swallowdale",14,"cambric","RH","cns","yes2","","","","","","",2,"sw073","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,NA,NA,NA,NA,NA,4e+05,"",""
"39","1.22.2020","second","Swallowdale",15,"quantum","LF","cns","yes2","","","","","","",2,"sw074","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,NA,NA,NA,NA,NA,52000,"",""
"40","1.22.2020","second","Swallowdale",19,"dorian","LH","cns","yes2","","","","","","",2,"sw075","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",2,NA,NA,NA,NA,NA,74000,"",""
"41","1.22.2020","second","Swallowdale",20,"pasta","LF","cns","yes2","","","","","","",2,"sw076","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,NA,NA,NA,NA,NA,83000,"",""
"42","1.22.2020","second","Swallowdale",21,"denise","LF","cns","yes2","","","","","","",2,"sw077","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,NA,NA,NA,NA,NA,250000,"",""
"43","1.22.2020","second","Swallowdale",21,"denise","RH","cns","yes2","","","","","","",2,"sw078","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,NA,NA,NA,NA,NA,130000,"",""
"44","1.22.2020","second","Swallowdale",28,"sondra","LF","strep","yes27","cns","yes27","","","","",27,"sw080","","","sw081","","","","",NA,"","",NA,"","","","","yes","","yes","j",1,NA,NA,NA,NA,NA,89000,"",""
"45","1.22.2020","second","Swallowdale",29,"denver","LF","cns","yes27","strep","yes27","","","","",27,"sw082","staphylococcus chromogenes","","sw083","streptococcus uberis","","","",NA,"","",NA,"","","","","yes","","yes","j",1,NA,NA,NA,NA,NA,160000,"",""
"46","1.22.2020","second","Swallowdale",29,"denver","RH","cns","yes2","","","","","","",2,"sw084","staphylococcus xylosus","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,NA,NA,NA,NA,NA,68000,"",""
"47","1.22.2020","second","Swallowdale",31,"cassia","LH","cns","yes2","","","","","","",2,"sw085","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","j",NA,NA,NA,NA,NA,NA,220000,"",""
"48","1.22.2020","second","Swallowdale",31,"cassia","RH","cns","yes2","","","","","","",2,"sw086","staphylococcus simulans","","","","","","",NA,"","",NA,"","","","","no","","yes","j",NA,NA,NA,NA,NA,NA,1300000,"",""
"49","1.22.2020","second","Swallowdale",32,"pledge","LF","cns","yes2","","","","","","",2,"sw087","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,NA,NA,NA,NA,NA,230000,"",""
"50","1.22.2020","second","Swallowdale",32,"pledge","RH","cns","yes2","","","","","","",2,"sw088","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,NA,NA,NA,NA,NA,84000,"",""
"51","1.22.2020","second","Swallowdale",32,"pledge","RF","cns","yes2","","","","","","",2,"sw089","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,NA,NA,NA,NA,NA,140000,"",""
"52","1.22.2020","second","Swallowdale",34,"jewel","RH","cns","yes27","cns","other35","","","","",35,"sw090","staphylococcus chromogenes","","sw092","staphylococcus chromogenes","","","",NA,"","",NA,"","","","","tbd","","yes","j",NA,NA,NA,NA,NA,NA,24000,"",""
"53","2.28.2020","third","Swallowdale",3,"quantum","LF","cns","yes2","","","","","","",2,"sw093","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","yes","no","","yes",NA,NA,NA,NA,NA,NA,NA,480000,"",""
"54","2.28.2020","third","Swallowdale",4,"pasta","LF","cns","yes2","","","","","","",2,"sw094","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,5e+05,"",""
"55","2.28.2020","third","Swallowdale",5,"paige","LH","cns","yes2","","","","","","",2,"sw095","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,120000,"",""
"56","2.28.2020","third","Swallowdale",5,"paige","RH","cns","yes2","","","","","","",2,"sw096","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,120000,"",""
"57","2.28.2020","third","Swallowdale",6,"dorian","LH","cns","yes2","","","","","","",2,"sw097","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,1e+05,"",""
"58","2.28.2020","third","Swallowdale",9,"29","RF","strep","yes27","cns","yes27","","","","",27,"sw099","streptococcus uberis","","sw100","staphylococcus chromogenes","","","",NA,"","",NA,"","","","","yes","","yes",NA,NA,NA,NA,NA,NA,NA,1800000,"",""
"59","2.28.2020","third","Swallowdale",11,"pledge","LF","cns","yes2","","","","","","",2,"sw101","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,410000,"",""
"60","2.28.2020","third","Swallowdale",11,"pledge","RH","cns","yes2","","","","","","",2,"sw102","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,180000,"",""
"61","2.28.2020","third","Swallowdale",11,"pledge","RF","cns","yes2","","","","","","",2,"sw103","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,440000,"",""
"62","2.28.2020","third","Swallowdale",13,"amber","LH","cns","yes2","","","","","","",2,"sw105","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,140000,"",""
"63","2.28.2020","third","Swallowdale",17,"cambric","LH","cns","yes2","","","","","","",2,"sw108","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,76000,"",""
"64","2.28.2020","third","Swallowdale",20,"sondra","LF","strep","yes27","cns","yes27","","","","",27,"sw109","streptococcus uberis","","sw110","staphylococcus chromogenes","","","",NA,"","",NA,"","","","","yes","","yes",NA,NA,NA,NA,NA,NA,NA,87000,"",""
"65","2.28.2020","third","Swallowdale",20,"sondra","RF","cns","yes27","corynebac","yes27","","","","",27,"sw113","staphylococcus chromogenes","","sw114","enterococcus saccharolyticus","yes","","",NA,"","",NA,"","","","","yes","","yes",NA,NA,NA,NA,NA,NA,NA,94000,"",""
"66","2.28.2020","third","Swallowdale",21,"marshmellow","LF","cns","yes2","","","","","","",2,"sw116","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,180000,"",""
"67","2.28.2020","third","Swallowdale",21,"marshmellow","RF","cns","yes2","","","","","","",2,"sw118","staphylococcus species","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,270000,"",""
"68","2.28.2020","third","Swallowdale",22,"denise","LF","cns","yes2","","","","","","",2,"sw119","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,150000,"",""
"69","2.28.2020","third","Swallowdale",22,"denise","RH","cns","yes2","","","","","","",2,"sw120","","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,87000,"",""
"70","2.28.2020","third","Swallowdale",25,"jewel","LH","cns","yes1","","","","","","",1,"sw122","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,33000,"",""
"71","2.28.2020","third","Swallowdale",29,"denver","LF","strep","yes27","cns","yes27","","","","",27,"sw123","streptococcus uberis","","sw124","staphylococcus chromogenes","","","",NA,"","",NA,"","","","","yes","","yes",NA,NA,NA,NA,NA,NA,NA,380000,"",""
"72","2.28.2020","third","Swallowdale",29,"denver","RH","cns","yes2","","","","","","",2,"sw125","staphylococcus xylosus","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,92000,"",""
"73","2.28.2020","third","Swallowdale",33,"goldie","LF","cns","yes2","","","","","","",2,"sw129","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,59000,"",""
"74","2.28.2020","third","Swallowdale",34,"cassia","LH","cns","yes1","","","","","","",1,"sw132","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,1e+06,"",""
"75","2.28.2020","third","Swallowdale",34,"cassia","RH","cns","yes1","","","","","","",1,"sw133","staphylococcus simulans","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,750000,"",""
"76","2.28.2020","third","Swallowdale",35,"skyler","LH","cns","yes1","","","","","","",1,"sw134","","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,3000,"",""
"77","12.12.2019","first","StonyPond",2,"zag","LF","cns","yes2","","","","","","",2,"sp002","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",2,NA,NA,NA,NA,NA,15000,"",""
"78","12.12.2019","first","StonyPond",3,"margo","LH","cns","yes2","","","","","","",2,"sp003","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",2,NA,NA,NA,NA,NA,616000,"",""
"79","12.12.2019","first","StonyPond",4,"lish","LH","cns","yes27","cns","yes27","","","","",27,"sp006","","","sp007","","","","",NA,"","",NA,"","","","","yes","","yes","j",2,NA,NA,NA,NA,NA,26000,"",""
"80","12.12.2019","first","StonyPond",4,"lish","RH","cns","yes27","cns","yes27","","","","",27,"sp004","","","sp005","","","","",NA,"","",NA,"","","","","yes","","yes","j",2,NA,NA,NA,NA,NA,23000,"",""
"81","12.12.2019","first","StonyPond",5,"echo","LH","cns","yes2","","","","","","",2,"sp008","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",2,NA,NA,NA,NA,NA,118000,"",""
"82","12.12.2019","first","StonyPond",5,"echo","RH","cns","yes2","","","","","","",2,"sp009","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",2,NA,NA,NA,NA,NA,102000,"",""
"83","12.12.2019","first","StonyPond",5,"echo","RF","cns","yes2","","","","","","",2,"sp010","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",2,NA,NA,NA,NA,NA,573000,"",""
"84","12.12.2019","first","StonyPond",6,"peaches","LH","cns","yes2","","","","","","",2,"sp011","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,NA,NA,NA,NA,NA,192000,"",""
"85","12.12.2019","first","StonyPond",7,"riley","RF","cns","yes2","","","","","","",2,"sp012","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",3,NA,NA,NA,NA,NA,163000,"",""
"86","12.12.2019","first","StonyPond",8,"pippa","LF","cns","yes2","","","","","","",2,"sp013","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,NA,NA,NA,NA,NA,1e+05,"",""
"87","12.12.2019","first","StonyPond",12,"ashley","LH","cns","yes2","","","","","","",2,"sp014","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",4,NA,NA,NA,NA,NA,58000,"",""
"88","12.12.2019","first","StonyPond",12,"ashley","LF","cns","yes2","","","","","","",2,"sp015","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",4,NA,NA,NA,NA,NA,628000,"",""
"89","12.12.2019","first","StonyPond",17,"wynona","LH","cns","yes2","","","","","","",2,"sp018","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,NA,NA,NA,NA,NA,137000,"",""
"90","12.12.2019","first","StonyPond",17,"wynona","LF","cns","yes2","","","","","","",2,"sp019","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,NA,NA,NA,NA,NA,168000,"",""
"91","12.12.2019","first","StonyPond",18,"octavia","LH","cns","yes2","","","","","","",2,"sp020","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",3,NA,NA,NA,NA,NA,233000,"",""
"92","12.12.2019","first","StonyPond",18,"octavia","RH","cns","yes2","","","","","","",2,"sp021","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",3,NA,NA,NA,NA,NA,79000,"",""
"93","12.12.2019","first","StonyPond",19,"doris","LF","cns","yes2","","","","","","",2,"sp022","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",4,NA,NA,NA,NA,NA,259000,"",""
"94","12.12.2019","first","StonyPond",22,"rashida","LH","cns","yes2","","","","","","",2,"sp026","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,NA,NA,NA,NA,NA,310000,"",""
"95","12.12.2019","first","StonyPond",22,"rashida","LF","cns","yes2","","","","","","",2,"sp027","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,NA,NA,NA,NA,NA,2496000,"",""
"96","12.12.2019","first","StonyPond",22,"rashida","RH","cns","yes2","","","","","","",2,"sp028","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,NA,NA,NA,NA,NA,349000,"",""
"97","12.12.2019","first","StonyPond",22,"rashida","RF","cns","yes2","","","","","","",2,"sp029","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,NA,NA,NA,NA,NA,1120000,"",""
"98","12.12.2019","first","StonyPond",34,"alexis","LF","cns","yes2","","","","","","",2,"sp032","","","","","","","",NA,"","",NA,"yes","","","","no","","yes","j",3,NA,NA,NA,NA,NA,3003000,"",""
"99","1.10.2020","second","StonyPond",1,"peaches","LH","cns","yes2","","","","","","",2,"sp033","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,NA,NA,NA,NA,NA,240000,"",""
"100","1.10.2020","second","StonyPond",2,"faith","RF","cns","yes2","","","","","","",2,"sp036","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,NA,NA,NA,NA,NA,1400000,"",""
"101","1.10.2020","second","StonyPond",3,"pippa","LF","cns","yes2","","","","","","",2,"sp037","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,NA,NA,NA,NA,NA,5e+05,"",""
"102","1.10.2020","second","StonyPond",4,"wynona","LH","cns","yes2","","","","","","",2,"sp038","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,NA,NA,NA,NA,NA,170000,"",""
"103","1.10.2020","second","StonyPond",4,"wynona","LF","cns","yes2","","","","","","",2,"sp039","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,NA,NA,NA,NA,NA,230000,"",""
"104","1.10.2020","second","StonyPond",8,"margo","LH","cns","yes2","","","","","","",2,"sp041","","","","","","","",NA,"","",NA,"","","","","","","yes","j",2,NA,NA,NA,NA,NA,770000,"",""
"105","1.10.2020","second","StonyPond",9,"lish","LH","cns","yes2","","","","","","",2,"sp042","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",2,NA,NA,NA,NA,NA,97000,"",""
"106","1.10.2020","second","StonyPond",9,"lish","RH","cns","yes2","","","","","","",2,"sp043","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",2,NA,NA,NA,NA,NA,60000,"",""
"107","1.10.2020","second","StonyPond",12,"riley","RF","cns","yes2","","","","","","",2,"sp044","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",2,NA,NA,NA,NA,NA,250000,"",""
"108","1.10.2020","second","StonyPond",14,"echo","LH","cns","yes2","","","","","","",2,"sp045","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,NA,NA,NA,NA,NA,260000,"",""
"109","1.10.2020","second","StonyPond",14,"echo","RH","cns","yes2","","","","","","",2,"sp046","","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,NA,NA,NA,NA,NA,370000,"",""
