"","X","cow_id","quarter","first_date","first_visit","first_farm","first_order","first_path_1","first_path1_IMI","first_path_2","first_path2_IMI","first_path_3","first_path3_IMI","first_path_4","first_path4_IMI","first_quarter_code","first_isolate_1","first_isolate_2","first_isolate_3","first_isolate_4","first_clinical","first_blind","first_teatinj","first_pstmilking","first_mixed_inf_series","first_dup_not_collected","first_IMI_series","first_hygiene_1","first_hygiene_2","first_cc_1","first_cc_2","first_cc_3","first_scc","first_contam","first_contam_comment","first_uniqueID","second_date","second_visit","second_farm","second_order","second_path_1","second_path1_IMI","second_path_2","second_path2_IMI","second_path_3","second_path3_IMI","second_path_4","second_path4_IMI","second_quarter_code","second_isolate_1","second_isolate_2","second_isolate_3","second_isolate_4","second_clinical","second_blind","second_teatinj","second_pstmilking","second_mixed_inf_series","second_dup_not_collected","second_IMI_series","second_hygiene_1","second_hygiene_2","second_cc_1","second_cc_2","second_cc_3","second_scc","second_contam","second_contam_comment","second_uniqueID","third_date","third_visit","third_farm","third_order","third_path_1","third_path1_IMI","third_path_2","third_path2_IMI","third_path_3","third_path3_IMI","third_path_4","third_path4_IMI","third_quarter_code","third_isolate_1","third_isolate_2","third_isolate_3","third_isolate_4","third_clinical","third_blind","third_teatinj","third_pstmilking","third_mixed_inf_series","third_dup_not_collected","third_IMI_series","third_hygiene_1","third_hygiene_2","third_cc_1","third_cc_2","third_cc_3","third_scc","third_contam","third_contam_comment","third_uniqueID","fourth_date","fourth_visit","fourth_farm","fourth_order","fourth_path_1","fourth_path1_IMI","fourth_path_2","fourth_path2_IMI","fourth_path_3","fourth_path3_IMI","fourth_path_4","fourth_path4_IMI","fourth_quarter_code","fourth_isolate_1","fourth_isolate_2","fourth_isolate_3","fourth_isolate_4","fourth_clinical","fourth_blind","fourth_teatinj","fourth_pstmilking","fourth_mixed_inf_series","fourth_dup_not_collected","fourth_IMI_series","fourth_hygiene_1","fourth_hygiene_2","fourth_cc_1","fourth_cc_2","fourth_cc_3","fourth_scc","fourth_contam","fourth_contam_comment","fourth_uniqueID"
"1",22,"133_Glennview","LH","1.14.2020","first","Glennview","3","cns","yes2","","","","","","","2","GV003","","","","","","","","no","","yes","NA","NA","NA","NA","NA","65000","","","133_Glennview_LH","2.19.2020","second","Glennview","8","cns","yes2","","","","","","","2","GV059","","","","","","","","no","","yes","NA","NA","NA","NA","NA","46000","","","133_Glennview_LH","3.19.2020","third","Glennview","14","cns","other12","","","","","","","12","GV127","","","","","","","","","","no","NA","NA","NA","NA","NA","26000","","","133_Glennview_LH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","133_Glennview_LH_fourth"
"2",40,"160_Glennview","RH","1.14.2020","first","Glennview","8","cns","yes2","","","","","","","2","GV016","","","","","","","","no","","yes","NA","NA","NA","NA","NA","270000","","","160_Glennview_RH","2.19.2020","second","Glennview","20","cns","yes2","","","","","","","2","GV076","","","","","","","","no","","yes","NA","NA","NA","NA","NA","120000","","","160_Glennview_RH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","160_Glennview_RH_fourth"
"3",43,"165_Glennview","RF","1.14.2020","first","Glennview","6","cns","yes1","","","","","","","1","GV011","","","","","","","","no","","yes","NA","NA","NA","NA","NA","97000","","","165_Glennview_RF","2.19.2020","second","Glennview","23","cns","yes2","","","","","","","2","GV081","","","","","","","","no","","yes","NA","NA","NA","NA","NA","220000","","","165_Glennview_RF","3.19.2020","third","Glennview","8","cns","yes2","cns","other18","","","","","2","GV115","GV160","","","","","","","tbd","","yes","NA","NA","NA","NA","NA","240000","","","165_Glennview_RF","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","165_Glennview_RF_fourth"
"4",44,"165_Glennview","RH","1.14.2020","first","Glennview","6","cns","yes2","","","","","","","2","GV010","","","","","","","","no","","yes","NA","NA","NA","NA","NA","80000","","","165_Glennview_RH","2.19.2020","second","Glennview","23","?","yes1","","","","","","","1","GV080","","","","","","","","no","","yes","NA","NA","NA","NA","NA","110000","","","165_Glennview_RH","3.19.2020","third","Glennview","8","?","yes2","","","","","","","2","GV114","","","","","","","","no","","yes","NA","NA","NA","NA","NA","120000","","","165_Glennview_RH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","165_Glennview_RH_fourth"
"5",58,"173_Glennview","LH","1.14.2020","first","Glennview","1","cns","other8","","","","","","","8","GV001","","","","","","","","","","no","NA","NA","NA","NA","NA","1200000","","","173_Glennview_LH","2.19.2020","second","Glennview","3","cns","yes2","","","","","","","2","GV050","","","","","","","","no","","yes","NA","NA","NA","NA","NA","390000","","","173_Glennview_LH","3.19.2020","third","Glennview","6","cns","yes2","","","","","","","2","GV109","","","","","","","","no","","yes","NA","NA","NA","NA","NA","200000","","","173_Glennview_LH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","173_Glennview_LH_fourth"
"6",60,"173_Glennview","RH","1.14.2020","first","Glennview","1","cns","other12","","","","","","","12","GV002","","","","","","","","","","no","NA","NA","NA","NA","NA","78000","","","173_Glennview_RH","2.19.2020","second","Glennview","3","cns","yes1","","","","","","","1","GV051","","","","","","","","no","","yes","NA","NA","NA","NA","NA","67000","","","173_Glennview_RH","3.19.2020","third","Glennview","6","cns","yes1","","","","","","","1","GV110","","","","","","","","no","","yes","NA","NA","NA","NA","NA","130000","","","173_Glennview_RH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","173_Glennview_RH_fourth"
"7",87,"192_Glennview","RF","1.14.2020","first","Glennview","16","cns","yes2","","","","","","","2","GV027","","","","","","","","no","","yes","NA","NA","NA","NA","NA","3e+05","","","192_Glennview_RF","2.19.2020","second","Glennview","31","cns","yes2","","","","","","","2","GV090","","","","","","","","no","","yes","NA","NA","NA","NA","NA","130000","","","192_Glennview_RF","3.19.2020","third","Glennview","31","cns","yes2","","","","","","","2","GV154","","","","","","","","no","","yes","NA","NA","NA","NA","NA","63000","","","192_Glennview_RF","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","192_Glennview_RF_fourth"
"8",98,"198_Glennview","LH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2.19.2020","second","Glennview","35","cns","yes2","","","","","","","2","GV097","","","","","","","","no","","yes","NA","NA","NA","NA","NA","66000","","","198_Glennview_LH","3.19.2020","third","Glennview","7","cns","yes2","","","","","","","2","GV111","","","","","","","","no","","yes","NA","NA","NA","NA","NA","370000","","","198_Glennview_LH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","198_Glennview_LH_fourth"
"9",102,"199_Glennview","LH","1.14.2020","first","Glennview","11","cns","yes2","","","","","","","2","GV023","","","","","","","","no","","yes","NA","NA","NA","NA","NA","120000","","","199_Glennview_LH","2.19.2020","second","Glennview","32","cns","yes2","","","","","","","2","GV091","","","","","","","","no","","yes","NA","NA","NA","NA","NA","40000","","","199_Glennview_LH","3.19.2020","third","Glennview","2","cns","yes2","","","","","","","2","GV101","","","","","","","","no","","yes","NA","NA","NA","NA","NA","46000","","","199_Glennview_LH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","199_Glennview_LH_fourth"
"10",104,"199_Glennview","RH","1.14.2020","first","Glennview","11","cns","yes2","","","","","","","2","GV024","","","","","","","","no","","yes","NA","NA","NA","NA","NA","190000","","","199_Glennview_RH","2.19.2020","second","Glennview","32","cns","yes2","","","","","","","2","GV092","","","","","","","","no","","yes","NA","NA","NA","NA","NA","79000","","","199_Glennview_RH","3.19.2020","third","Glennview","2","cns","yes2","","","","","","","2","GV102","","","","","","","","no","","yes","NA","NA","NA","NA","NA","120000","","","199_Glennview_RH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","199_Glennview_RH_fourth"
"11",130,"207_Glennview","LH","1.14.2020","first","Glennview","29","cns","yes2","","","","","","","2","GV042","","","","","","","","no","","yes","NA","NA","NA","NA","NA","84000","","","207_Glennview_LH","2.19.2020","second","Glennview","30","cns","yes1","","","","","","","1","GV089","","","","","","","","no","","yes","NA","NA","NA","NA","NA","66000","","","207_Glennview_LH","3.19.2020","third","Glennview","23","cns","","","","","","","","2","GV136","","","","","","","","no","","yes","NA","NA","NA","NA","NA","110000","","","207_Glennview_LH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","207_Glennview_LH_fourth"
"12",148,"27_Glennview","RH","1.14.2020","first","Glennview","18","cns","yes2","","","","","","","2","GV030","","","","","","","","no","","yes","NA","NA","NA","NA","NA","72000","","","27_Glennview_RH","2.19.2020","second","Glennview","14","cns","yes2","","","","","","","2","GV069","","","","","","","","","","yes","NA","NA","NA","NA","NA","67000","","","27_Glennview_RH","3.19.2020","third","Glennview","26","cns","yes27","cns","yes27","","","","","27","GV144","GV145","","","","","","","tbd","","yes","NA","NA","NA","NA","NA","70000","","","27_Glennview_RH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","27_Glennview_RH_fourth"
"13",193,"42_Glennview","LF","1.14.2020","first","Glennview","27","cns","yes2","","","","","","","2","GV039","","","","","","","","no","","yes","NA","NA","NA","NA","NA","310000","","","42_Glennview_LF","2.19.2020","second","Glennview","18","cns","yes2","","","","","","","2","GV073","","","","","","","","no","","yes","NA","NA","NA","NA","NA","160000","","","42_Glennview_LF","3.19.2020","third","Glennview","10","cns","yes2","","","","","","","2","GV117","","","","","","","","no","","yes","NA","NA","NA","NA","NA","120000","","","42_Glennview_LF","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","42_Glennview_LF_fourth"
"14",200,"43_Glennview","RH","1.14.2020","first","Glennview","28","cns","yes2","","","","","","","2","GV041","","","","","","","","no","","yes","NA","NA","NA","NA","NA","6100000","","","43_Glennview_RH","2.19.2020","second","Glennview","24","strep","yes2","","","","","","","2","GV083","","","","","","","","no","","yes","NA","NA","NA","NA","NA","5600000","","","43_Glennview_RH","3.19.2020","third","Glennview","25","strep","yes2","","","","","","","2","GV141","","","","","","","","no","","yes","NA","NA","NA","NA","NA","16000000","","","43_Glennview_RH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","43_Glennview_RH_fourth"
