,X1_2_3_4,X1_2,X2_3,X3_4,X1_2_3,X2_3_4,cow_id,quarter,,first_date,first_visit,first_farm,first_order,first_path_1,first_path1_IMI,first_path_2,first_path2_IMI,first_path_3,first_path3_IMI,first_path_4,first_path4_IMI,first_quarter_code,first_isolate_1,first_isolate_2,first_isolate_3,first_isolate_4,first_clinical,first_blind,first_teatinj,first_pstmilking,first_mixed_inf_series,first_dup_not_collected,first_IMI_series,first_hygiene_1,first_hygiene_2,first_cc_1,first_cc_2,first_cc_3,first_scc,first_scc_eq_above_200k,first_scc_eq_above_100k,first_contam,first_contam_comment,first_uniqueID,second_date,second_visit,second_farm,second_order,second_path_1,second_path1_IMI,second_path_2,second_path2_IMI,second_path_3,second_path3_IMI,second_path_4,second_path4_IMI,second_quarter_code,second_isolate_1,second_isolate_2,second_isolate_3,second_isolate_4,second_clinical,second_blind,second_teatinj,second_pstmilking,second_mixed_inf_series,second_dup_not_collected,second_IMI_series,second_hygiene_1,second_hygiene_2,second_cc_1,second_cc_2,second_cc_3,second_scc,second_scc_eq_above_200k,second_scc_eq_above_100k,second_contam,second_contam_comment,second_uniqueID,third_date,third_visit,third_farm,third_order,third_path_1,third_path1_IMI,third_path_2,third_path2_IMI,third_path_3,third_path3_IMI,third_path_4,third_path4_IMI,third_quarter_code,third_isolate_1,third_isolate_2,third_isolate_3,third_isolate_4,third_clinical,third_blind,third_teatinj,third_pstmilking,third_mixed_inf_series,third_dup_not_collected,third_IMI_series,third_hygiene_1,third_hygiene_2,third_cc_1,third_cc_2,third_cc_3,third_scc,third_contam,third_contam_comment,third_uniqueID,fourth_date,fourth_visit,fourth_farm,fourth_order,fourth_path_1,fourth_path1_IMI,fourth_path_2,fourth_path2_IMI,fourth_path_3,fourth_path3_IMI,fourth_path_4,fourth_path4_IMI,fourth_quarter_code,fourth_isolate_1,fourth_isolate_2,fourth_isolate_3,fourth_isolate_4,fourth_clinical,fourth_blind,fourth_teatinj,fourth_pstmilking,fourth_mixed_inf_series,fourth_dup_not_collected,fourth_IMI_series,fourth_hygiene_1,fourth_hygiene_2,fourth_cc_1,fourth_cc_2,fourth_cc_3,fourth_scc,fourth_contam,fourth_contam_comment,fourth_uniqueID
30,,y,,,,,133_Glennview,LH,133_Glennview_LH,1.14.2020,first,Glennview,3,cns,yes2,,,,,,,2,GV003,,,,,,,,no,,yes,NA,NA,NA,NA,NA,65000,n,n,,,133_Glennview_LH,2.19.2020,second,Glennview,8,cns,yes2,,,NA,NA,NA,NA,2,GV059,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,46000,n,n,,,133_Glennview_LH,3.19.2020,third,Glennview,14,cns,other12,,,,,,,12,GV127,,,,,,,,,,no,NA,NA,NA,NA,NA,26000,,,133_Glennview_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133_Glennview_LH_fourth
35,,y,,,,,27_Glennview,RH,27_Glennview_RH,1.14.2020,first,Glennview,18,cns,yes2,,,,,,,2,GV030,,,,,,,,no,,yes,NA,NA,NA,NA,NA,72000,n,n,,,27_Glennview_RH,2.19.2020,second,Glennview,14,cns,yes2,,,NA,NA,NA,NA,2,GV069,,NA,NA,NA,NA,,NA,,NA,yes,NA,NA,NA,NA,NA,67000,n,n,,,27_Glennview_RH,3.19.2020,third,Glennview,26,cns,yes27,cns,yes27,,,,,27,GV144,GV145,,,,,,,tbd,,yes,NA,NA,NA,NA,NA,70000,,,27_Glennview_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27_Glennview_RH_fourth
32,,y,,,,,49_Choiniere,RH,49_Choiniere_RH,12.11.2019,first,Choiniere,29,cns,yes2,,,,,,,2,CF055,,,,,,,,no,,yes,NA,NA,NA,NA,NA,90000,n,n,,,49_Choiniere_RH,1.21.2020,second,Choiniere,9,cns,yes2,,,NA,NA,NA,NA,2,CF095,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,90000,n,n,,,49_Choiniere_RH,2.17.2020,third,Choiniere,35,cns,other12,,,,,,,12,CF181,,,,,,,,,,no,NA,NA,NA,NA,NA,160000,,,49_Choiniere_RH,3.16.2020,fourth,Choiniere,3,cns,yes2,,,,,,,2,CF190,,,,,,,,no,,yes,NA,NA,NA,NA,NA,80000,,,49_Choiniere_RH_fourth
8,,y,,,,,laugh_Lynd,RF,laugh_Lynd_RF,12.19.2019,first,Lynd,37,cns,yes2,,,,,,,2,LF043,,,,,,,,no,,yes,NA,NA,NA,NA,NA,48000,n,n,,,laugh_Lynd_RF,1.30.2020,second,Lynd,32,cns,yes2,,,NA,NA,NA,NA,2,LF084,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,100000,n,y,,,laugh_Lynd_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,laugh_Lynd_RF_fourth
1,,y,,,,,719_BJ,LH,719_BJ_LH,12.17.2019,first,BJ,7,cns,yes2,,,,,,,2,BJ008,,,,,,,,no,,yes,NA,NA,NA,NA,NA,244000,y,y,,,719_BJ_LH,1.29.2020,second,BJ,8,cns,yes1,,,NA,NA,NA,NA,1,BJ035,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,120000,n,y,,,719_BJ_LH,2.26.2020,third,BJ,13,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,130000,,,719_BJ_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,719_BJ_LH_fourth
7,,y,,,,,160_Glennview,RH,160_Glennview_RH,1.14.2020,first,Glennview,8,cns,yes2,,,,,,,2,GV016,,,,,,,,no,,yes,NA,NA,NA,NA,NA,270000,y,y,,,160_Glennview_RH,2.19.2020,second,Glennview,20,cns,yes2,,,NA,NA,NA,NA,2,GV076,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,120000,n,y,,,160_Glennview_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160_Glennview_RH_fourth
4,,y,,,,,chipotle_Butterworks,RF,chipotle_Butterworks_RF,1.2.2020,first,Butterworks,31,cns,yes2,,,,,,,2,BW061,,,,,,,,no,,yes,NA,NA,NA,NA,NA,120000,n,y,,,chipotle_Butterworks_RF,2.4.2020,second,Butterworks,34,cns,yes2,,,NA,NA,NA,NA,2,BW113,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,140000,n,y,,,chipotle_Butterworks_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chipotle_Butterworks_RF_fourth
34,,y,,,,,32_Choiniere,LF,32_Choiniere_LF,12.11.2019,first,Choiniere,9,cns,yes2,,,,,,,2,CF020,,,,,,,,no,,yes,NA,NA,NA,NA,NA,133000,n,y,,,32_Choiniere_LF,1.21.2020,second,Choiniere,17,cns,yes2,,,NA,NA,NA,NA,2,CF105,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,150000,n,y,,,32_Choiniere_LF,2.17.2020,third,Choiniere,8,corynebac,yes2,,,,,,,2,CF145,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1100000,,,32_Choiniere_LF,3.16.2020,fourth,Choiniere,21,cns,yes2,,,,,,,2,CF221,,,,,,,,no,,yes,NA,NA,NA,NA,NA,56000,,,32_Choiniere_LF_fourth
27,,y,,,,,wynona_StonyPond,LH,wynona_StonyPond_LH,12.12.2019,first,StonyPond,17,cns,yes2,,,,,,,2,SP018,,,,,,,,no,,yes,NA,NA,NA,NA,NA,137000,n,y,,,wynona_StonyPond_LH,1.10.2020,second,StonyPond,4,cns,yes2,,,NA,NA,NA,NA,2,SP038,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,170000,n,y,,,wynona_StonyPond_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wynona_StonyPond_LH_fourth
31,,y,,,,,16_Choiniere,LF,16_Choiniere_LF,12.11.2019,first,Choiniere,28,cns,yes2,,,,,,,2,CF053,,,,,,,,no,,yes,NA,NA,NA,NA,NA,741000,y,y,,,16_Choiniere_LF,1.21.2020,second,Choiniere,33,cns,yes2,,,NA,NA,NA,NA,2,CF129,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,190000,n,y,,,16_Choiniere_LF,2.17.2020,third,Choiniere,29,cns,other12,,,,,,,12,CF175,,,,,,,,,,no,NA,NA,NA,NA,NA,220000,yes,cns (same) dominates,16_Choiniere_LF,3.16.2020,fourth,Choiniere,4,cns,yes2,cns,other18,,,,,2,CF191,CF192,,,,,,,tbd,,yes,NA,NA,NA,NA,NA,190000,,,16_Choiniere_LF_fourth
