,X1_2_3_4,X1_2,X2_3,X3_4,X1_2_3,X2_3_4,cow_id,quarter,,first_date,first_visit,first_farm,first_order,first_path_1,first_path1_IMI,first_path_2,first_path2_IMI,first_path_3,first_path3_IMI,first_path_4,first_path4_IMI,first_quarter_code,first_isolate_1,first_isolate_2,first_isolate_3,first_isolate_4,first_clinical,first_blind,first_teatinj,first_pstmilking,first_mixed_inf_series,first_dup_not_collected,first_IMI_series,first_hygiene_1,first_hygiene_2,first_cc_1,first_cc_2,first_cc_3,first_scc,first_scc_eq_above_200k,first_scc_eq_above_100k,first_contam,first_contam_comment,first_uniqueID,second_date,second_visit,second_farm,second_order,second_path_1,second_path1_IMI,second_path_2,second_path2_IMI,second_path_3,second_path3_IMI,second_path_4,second_path4_IMI,second_quarter_code,second_isolate_1,second_isolate_2,second_isolate_3,second_isolate_4,second_clinical,second_blind,second_teatinj,second_pstmilking,second_mixed_inf_series,second_dup_not_collected,second_IMI_series,second_hygiene_1,second_hygiene_2,second_cc_1,second_cc_2,second_cc_3, second_scc ,second_scc_eq_above_200k,second_scc_eq_above_100k,second_contam,second_contam_comment,second_uniqueID,third_date,third_visit,third_farm,third_order,third_path_1,third_path1_IMI,third_path_2,third_path2_IMI,third_path_3,third_path3_IMI,third_path_4,third_path4_IMI,third_quarter_code,third_isolate_1,third_isolate_2,third_isolate_3,third_isolate_4,third_clinical,third_blind,third_teatinj,third_pstmilking,third_mixed_inf_series,third_dup_not_collected,third_IMI_series,third_hygiene_1,third_hygiene_2,third_cc_1,third_cc_2,third_cc_3,third_scc,third_scc_eq_above_200k,third_scc_eq_above_100k,third_contam,third_contam_comment,third_uniqueID,fourth_date,fourth_visit,fourth_farm,fourth_order,fourth_path_1,fourth_path1_IMI,fourth_path_2,fourth_path2_IMI,fourth_path_3,fourth_path3_IMI,fourth_path_4,fourth_path4_IMI,fourth_quarter_code,fourth_isolate_1,fourth_isolate_2,fourth_isolate_3,fourth_isolate_4,fourth_clinical,fourth_blind,fourth_teatinj,fourth_pstmilking,fourth_mixed_inf_series,fourth_dup_not_collected,fourth_IMI_series,fourth_hygiene_1,fourth_hygiene_2,fourth_cc_1,fourth_cc_2,fourth_cc_3,fourth_scc,fourth_contam,fourth_contam_comment,fourth_uniqueID
34,,,,,y,,muffin_Butterworks,RH,muffin_Butterworks_RH,1.2.2020,first,Butterworks,4,cns,yes2,,,,,,,2,BW005,,,,,,,,no,,yes,NA,NA,NA,NA,NA,350000,y,y,,,muffin_Butterworks_RH,2.4.2020,second,Butterworks,3,cns,yes2,,,NA,NA,NA,NA,2,BW073,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"280,000",y,y,,,muffin_Butterworks_RH,3.3.2020,third,Butterworks,2,cns,yes2,,,,,,,2,BW118,,,,,,,,no,,yes,NA,NA,NA,NA,NA,0,n,n,,,muffin_Butterworks_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,muffin_Butterworks_RH_fourth
75,,,,,y,,farrah363_Paddlebridge,RF,farrah363_Paddlebridge_RF,1.17.2020,first,Paddlebridge,32,cns,yes2,,,,,,,2,PB027,,,,,,,,no,,yes,NA,NA,NA,NA,NA,220000,y,y,,,farrah363_Paddlebridge_RF,2.21.2020,second,Paddlebridge,35,cns,yes2,,,NA,NA,NA,NA,2,PB061,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"120,000",n,y,,,farrah363_Paddlebridge_RF,3.20.2020,third,Paddlebridge,34,cns,yes2,,,,,,,2,PB101,,,,,,,,no,,yes,NA,NA,NA,NA,NA,7000,n,n,,,farrah363_Paddlebridge_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,farrah363_Paddlebridge_RF_fourth
113,,,,,y,,wildcucumber_Butterworks,LH,wildcucumber_Butterworks_LH,1.2.2020,first,Butterworks,8,cns,yes2,,,,,,,2,BW010,,,,,,,,no,,yes,NA,NA,NA,NA,NA,19000,n,n,,,wildcucumber_Butterworks_LH,2.4.2020,second,Butterworks,9,cns,yes21,,,NA,NA,NA,NA,21,BW079,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"13,000",n,n,,,wildcucumber_Butterworks_LH,3.3.2020,third,Butterworks,10,cns,yes2,,,,,,,2,BW126,,,,,,,,no,,yes,NA,NA,NA,NA,NA,11000,n,n,,,wildcucumber_Butterworks_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wildcucumber_Butterworks_LH_fourth
72,,,,,y,,tiktoe_OughtaBe,RF,tiktoe_OughtaBe_RF,1.3.2020,first,OughtaBe,32,cns,yes2,,,,,,,2,OB044,,,,,,,,no,,yes,NA,NA,NA,NA,NA,160000,n,y,,,tiktoe_OughtaBe_RF,2.14.2020,second,OughtaBe,33,cns,yes2,,,NA,NA,NA,NA,2,OB100,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"110,000",n,y,,,tiktoe_OughtaBe_RF,3.12.2020,third,OughtaBe,33,cns,yes2,,,,,,,2,OB163,,,,,,,,no,,yes,NA,NA,NA,NA,NA,12000,n,n,,,tiktoe_OughtaBe_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tiktoe_OughtaBe_RF_fourth
79,,,,,y,,guana362_Paddlebridge,LH,guana362_Paddlebridge_LH,1.17.2020,first,Paddlebridge,25,cns,yes2,,,,,,,2,PB017,,,,,,,,no,,yes,NA,NA,NA,NA,NA,80000,n,n,,,guana362_Paddlebridge_LH,2.21.2020,second,Paddlebridge,26,cns,yes2,,,NA,NA,NA,NA,2,PB051,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"130,000",n,y,,,guana362_Paddlebridge_LH,3.20.2020,third,Paddlebridge,27,cns,yes2,,,,,,,2,PB090,,,,,,,,no,,yes,NA,NA,NA,NA,NA,12000,n,n,,,guana362_Paddlebridge_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,guana362_Paddlebridge_LH_fourth
38,,,,,y,,rhubarb_Butterworks,RF,rhubarb_Butterworks_RF,1.2.2020,first,Butterworks,13,cns,yes2,,,,,,,2,BW014,,,,,,,,no,,yes,NA,NA,NA,NA,NA,73000,n,n,,,rhubarb_Butterworks_RF,2.4.2020,second,Butterworks,11,cns,yes2,,,NA,NA,NA,NA,2,BW080,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"72,000",n,n,,,rhubarb_Butterworks_RF,3.3.2020,third,Butterworks,11,cns,yes2,,,,,,,2,BW127,,,,,,,,no,,yes,NA,NA,NA,NA,NA,15000,n,n,,,rhubarb_Butterworks_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rhubarb_Butterworks_RF_fourth
71,,,,,y,,tiktoe_OughtaBe,LH,tiktoe_OughtaBe_LH,1.3.2020,first,OughtaBe,32,cns,yes2,,,,,,,2,OB041,,,,,,,,no,,yes,NA,NA,NA,NA,NA,110000,n,y,,,tiktoe_OughtaBe_LH,2.14.2020,second,OughtaBe,33,cns,yes2,,,NA,NA,NA,NA,2,OB097,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"77,000",n,n,,,tiktoe_OughtaBe_LH,3.12.2020,third,OughtaBe,33,cns,yes2,,,,,,,2,OB160,,,,,,,,no,,yes,NA,NA,NA,NA,NA,19000,n,n,,,tiktoe_OughtaBe_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tiktoe_OughtaBe_LH_fourth
70,,,,,y,,tiktoe_OughtaBe,LF,tiktoe_OughtaBe_LF,1.3.2020,first,OughtaBe,32,cns,yes2,,,,,,,2,OB042,,,,,,,,no,,yes,NA,NA,NA,NA,NA,61000,n,n,,,tiktoe_OughtaBe_LF,2.14.2020,second,OughtaBe,33,cns,yes2,,,NA,NA,NA,NA,2,OB098,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"33,000",n,n,,,tiktoe_OughtaBe_LF,3.12.2020,third,OughtaBe,33,cns,yes2,,,,,,,2,OB161,,,,,,,,no,,yes,NA,NA,NA,NA,NA,20000,n,n,,,tiktoe_OughtaBe_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tiktoe_OughtaBe_LF_fourth
108,,,,,y,,lucha_vonTrapp,LF,lucha_vonTrapp_LF,1.6.2020,first,vonTrapp,35,cns,yes2,,,,,,,2,VT030,,,,,,,,no,,yes,NA,NA,NA,NA,NA,170000,n,y,,,lucha_vonTrapp_LF,2.12.2020,second,vonTrapp,28,cns,yes2,,,NA,NA,NA,NA,2,VT058,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"58,000",n,n,,,lucha_vonTrapp_LF,3.10.2020,third,vonTrapp,35,cns,yes2,,,,,,,2,VT099,,,,,,,,no,,yes,NA,NA,NA,NA,NA,26000,n,n,,,lucha_vonTrapp_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lucha_vonTrapp_LF_fourth
77,,,,,y,,farrent31_Paddlebridge,RH,farrent31_Paddlebridge_RH,1.17.2020,first,Paddlebridge,19,cns,yes2,,,,,,,2,PB014,,,,,,,,no,,yes,NA,NA,NA,NA,NA,36000,n,n,,,farrent31_Paddlebridge_RH,2.21.2020,second,Paddlebridge,9,cns,yes2,,,NA,NA,NA,NA,2,PB031,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"50,000",n,n,,,farrent31_Paddlebridge_RH,3.20.2020,third,Paddlebridge,15,cns,yes2,,,,,,,2,PB072,,,,,,,,no,,yes,NA,NA,NA,NA,NA,28000,n,n,,,farrent31_Paddlebridge_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,farrent31_Paddlebridge_RH_fourth
12,,,,,y,,rabbit_OughtaBe,RF,rabbit_OughtaBe_RF,1.3.2020,first,OughtaBe,7,cns,yes2,,,,,,,2,OB004,,,,,,,,no,,yes,NA,NA,NA,NA,NA,300000,y,y,,,rabbit_OughtaBe_RF,2.14.2020,second,OughtaBe,5,cns,yes1,,,NA,NA,NA,NA,1,OB061,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"300,000",y,y,,,rabbit_OughtaBe_RF,3.12.2020,third,OughtaBe,1,cns,yes2,,,,,,,2,OB110,,,,,,,,no,,yes,NA,NA,NA,NA,NA,28000,n,n,,,rabbit_OughtaBe_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rabbit_OughtaBe_RF_fourth
27,,,,,y,,cb5_BJ,LF,cb5_BJ_LF,12.17.2019,first,BJ,5,cns,yes2,,,,,,,2,BJ005,,,,,,,,no,,yes,NA,NA,NA,NA,NA,15000,n,n,,,cb5_BJ_LF,1.29.2020,second,BJ,6,cns,yes2,,,NA,NA,NA,NA,2,BJ031,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"35,000",n,n,,,cb5_BJ_LF,2.26.2020,third,BJ,5,cns,yes2,,,,,,,2,BJ055,,,,,,,,no,,yes,NA,NA,NA,NA,NA,29000,n,n,,,cb5_BJ_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cb5_BJ_LF_fourth
5,,,,,y,,kandykorn_OughtaBe,LF,kandykorn_OughtaBe_LF,1.3.2020,first,OughtaBe,16,cns,yes1,,,,,,,1,OB022,,,,,,,,no,,yes,NA,NA,NA,NA,NA,43000,n,n,,,kandykorn_OughtaBe_LF,2.14.2020,second,OughtaBe,14,cns,yes2,,,NA,NA,NA,NA,2,OB071,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"110,000",n,y,,,kandykorn_OughtaBe_LF,3.12.2020,third,OughtaBe,16,cns,yes2,,,,,,,2,OB134,,,,,,,,no,,yes,NA,NA,NA,NA,NA,29000,n,n,,,kandykorn_OughtaBe_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kandykorn_OughtaBe_LF_fourth
17,,,,,y,,snowball_Butterworks,RF,snowball_Butterworks_RF,1.2.2020,first,Butterworks,12,cns,yes2,,,,,,,2,BW013,,,,,,,,no,,yes,NA,NA,NA,NA,NA,160000,n,y,,,snowball_Butterworks_RF,2.4.2020,second,Butterworks,12,cns,yes2,,,NA,NA,NA,NA,2,BW070,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,"130,000",n,y,,,snowball_Butterworks_RF,3.3.2020,third,Butterworks,12,cns,yes1,cns,other18,,,,,2,BW130,BW131,,,,,,,no,,yes,NA,NA,NA,NA,NA,34000,n,n,,,snowball_Butterworks_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,snowball_Butterworks_RF_fourth
