"","date","visit","farm","order","cow_id","quarter","path_1","path1_IMI","path_2","path2_IMI","path_3","path3_IMI","path_4","path4_IMI","quarter_code","isolate_1","isolate_2","isolate_3","isolate_4","clinical","blind","teatinj","pstmilking","mixed_inf_series","dup_not_collected","IMI_series","hygiene_1","hygiene_2","cc_1","cc_2","cc_3","scc","contam","contam_comment","uniqueID"
"1","1.2.2020","first","Butterworks",4,"muffin","RH","cns","yes2","","","","","","",2,"BW005","","","","","","","","no","","yes","NA","NA","NA","NA","NA","350000","","","muffin_RH_first"
"2","1.2.2020","first","Butterworks",8,"wildcucumber","LH","cns","yes2","","","","","","",2,"BW010","","","","","","","","no","","yes","NA","NA","NA","NA","NA","19000","","","wildcucumber_LH_first"
"3","1.2.2020","first","Butterworks",11,"nebula","RH","cns","yes2","","","","","","",2,"BW011","","","","","","","","no","","yes","NA","NA","NA","NA","NA","290000","","","nebula_RH_first"
"4","1.2.2020","first","Butterworks",12,"snowball","RH","cns","yes2","","","","","","",2,"BW012","","","","","","","","no","","yes","NA","NA","NA","NA","NA","500000","","","snowball_RH_first"
"5","1.2.2020","first","Butterworks",12,"snowball","RF","cns","yes2","","","","","","",2,"BW013","","","","","","","","no","","yes","NA","NA","NA","NA","NA","160000","","","snowball_RF_first"
"6","1.2.2020","first","Butterworks",13,"rhubarb","RF","cns","yes2","","","","","","",2,"BW014","","","","","","","","no","","yes","NA","NA","NA","NA","NA","73000","","","rhubarb_RF_first"
"7","1.2.2020","first","Butterworks",14,"hawthorn","RH","cns","yes2","","","","","","",2,"BW015","","","","","","","","no","","yes","NA","NA","NA","NA","NA","99000","","","hawthorn_RH_first"
"8","1.2.2020","first","Butterworks",17,"nazareth","LF","cns","yes2","","","","","","",2,"BW022","","","","","","","","no","","yes","NA","NA","NA","NA","NA","55000","","","nazareth_LF_first"
"9","1.2.2020","first","Butterworks",17,"nazareth","RF","cns","yes2","","","","","","",2,"BW024","","","","","","","","no","","yes","NA","NA","NA","NA","NA","260000","","","nazareth_RF_first"
"10","1.2.2020","first","Butterworks",18,"marjoram","RH","cns","yes2","","","","","","",2,"BW027","","","","","","","","no","","yes","NA","NA","NA","NA","NA","130000","","","marjoram_RH_first"
"11","1.2.2020","first","Butterworks",19,"manzana","LH","cns","yes2","","","","","","",2,"BW029","","","","","","","","no","","yes","NA","NA","NA","NA","NA","210000","","","manzana_LH_first"
"12","1.2.2020","first","Butterworks",19,"manzana","RH","cns","yes2","","","","","","",2,"BW031","","","","","","","","no","","yes","NA","NA","NA","NA","NA","61000","","","manzana_RH_first"
"13","1.2.2020","first","Butterworks",19,"manzana","RF","cns","yes2","","","","","","",2,"BW032","","","","","","","","no","","yes","NA","NA","NA","NA","NA","43000","","","manzana_RF_first"
"14","1.2.2020","first","Butterworks",20,"love","RF","cns","yes2","","","","","","",2,"BW035","","","","","","","","","","yes","NA","NA","NA","NA","NA","3000","","","love_RF_first"
"15","1.2.2020","first","Butterworks",21,"mandolin","LH","cns","yes2","","","","","","",2,"BW036","","","","","","","","","","yes","NA","NA","NA","NA","NA","240000","","","mandolin_LH_first"
"16","1.2.2020","first","Butterworks",22,"avocado","LF","cns","yes2","","","","","","",2,"BW038","","","","","","","","no","","yes","NA","NA","NA","NA","NA","61000","","","avocado_LF_first"
"17","1.2.2020","first","Butterworks",22,"avocado","RH","cns","yes2","","","","","","",2,"BW039","","","","","","","","no","","yes","NA","NA","NA","NA","NA","78000","","","avocado_RH_first"
"18","1.2.2020","first","Butterworks",23,"jolene","LF","strep","yes1","cns","no5","","","","",1,"BW041","BW042","","","","","","","no","","yes","NA","NA","NA","NA","NA","44000","","","jolene_LF_first"
"19","1.2.2020","first","Butterworks",23,"jolene","RF","cns","yes2","","","","","","",2,"BW043","","","","","","","","no","","yes","NA","NA","NA","NA","NA","180000","","","jolene_RF_first"
"20","1.2.2020","first","Butterworks",24,"nellie","RH","cns","yes2","","","","","","",2,"BW044","","","","","","","","no","","yes","NA","NA","NA","NA","NA","160000","","","nellie_RH_first"
