,X1_2_3_4,X1_2,X2_3,X3_4,X1_2_3,X2_3_4,cow_id,quarter,,first_date,first_visit,first_farm,first_order,first_path_1,first_path1_IMI,first_path_2,first_path2_IMI,first_path_3,first_path3_IMI,first_path_4,first_path4_IMI,first_quarter_code,first_isolate_1,first_isolate_2,first_isolate_3,first_isolate_4,first_clinical,first_blind,first_teatinj,first_pstmilking,first_mixed_inf_series,first_dup_not_collected,first_IMI_series,first_hygiene_1,first_hygiene_2,first_cc_1,first_cc_2,first_cc_3,first_scc,first_contam,first_contam_comment,first_uniqueID,second_date,second_visit,second_farm,second_order,second_path_1,second_path1_IMI,second_path_2,second_path2_IMI,second_path_3,second_path3_IMI,second_path_4,second_path4_IMI,second_quarter_code,second_isolate_1,second_isolate_2,second_isolate_3,second_isolate_4,second_clinical,second_blind,second_teatinj,second_pstmilking,second_mixed_inf_series,second_dup_not_collected,second_IMI_series,second_hygiene_1,second_hygiene_2,second_cc_1,second_cc_2,second_cc_3,second_scc,second_scc_eq_above_200k,second_scc_eq_above_100k,second_contam,second_contam_comment,second_uniqueID,third_date,third_visit,third_farm,third_order,third_path_1,third_path1_IMI,third_path_2,third_path2_IMI,third_path_3,third_path3_IMI,third_path_4,third_path4_IMI,third_quarter_code,third_isolate_1,third_isolate_2,third_isolate_3,third_isolate_4,third_clinical,third_blind,third_teatinj,third_pstmilking,third_mixed_inf_series,third_dup_not_collected,third_IMI_series,third_hygiene_1,third_hygiene_2,third_cc_1,third_cc_2,third_cc_3,third_scc,third_scc_eq_above_200k,third_scc_eq_above_100k,third_contam,third_contam_comment,third_uniqueID,fourth_date,fourth_visit,fourth_farm,fourth_order,fourth_path_1,fourth_path1_IMI,fourth_path_2,fourth_path2_IMI,fourth_path_3,fourth_path3_IMI,fourth_path_4,fourth_path4_IMI,fourth_quarter_code,fourth_isolate_1,fourth_isolate_2,fourth_isolate_3,fourth_isolate_4,fourth_clinical,fourth_blind,fourth_teatinj,fourth_pstmilking,fourth_mixed_inf_series,fourth_dup_not_collected,fourth_IMI_series,fourth_hygiene_1,fourth_hygiene_2,fourth_cc_1,fourth_cc_2,fourth_cc_3,fourth_scc,fourth_contam,fourth_contam_comment,fourth_uniqueID
17,,,y,,,,masala_Butterworks,RF,masala_Butterworks_RF,1.2.2020,first,Butterworks,3,,,,,,,,,8,,,,,,,,,,,,NA,NA,NA,NA,NA,1.00E+06,yes,,masala_Butterworks_RF,2.4.2020,second,Butterworks,1,cns,yes1,,,NA,NA,NA,NA,1,BW071,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,67000,n,n,,,masala_Butterworks_RF,3.3.2020,third,Butterworks,1,cns,yes2,,,,,,,2,BW115,,,,,,,,no,,yes,NA,NA,NA,NA,NA,0,n,n,,,masala_Butterworks_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,masala_Butterworks_RF_fourth
16,,,y,,,,muffin_Butterworks,LH,muffin_Butterworks_LH,1.2.2020,first,Butterworks,4,cns,yes27,corynebac,yes27,,,,,27,BW003,BW004,,,,,,,yes,,yes,NA,NA,NA,NA,NA,250000,,,muffin_Butterworks_LH,2.4.2020,second,Butterworks,3,cns,yes2,,,NA,NA,NA,NA,2,BW072,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,400000,y,y,,,muffin_Butterworks_LH,3.3.2020,third,Butterworks,2,cns,yes2,,,,,,,2,BW116,,,,,,,,no,,yes,NA,NA,NA,NA,NA,0,n,n,,,muffin_Butterworks_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,muffin_Butterworks_LH_fourth
14,,,y,,,,korny_OughtaBe,RH,korny_OughtaBe_RH,1.3.2020,first,OughtaBe,10,cns,other9,,,,,,,9,OB012,,,,,,,,,,no,NA,NA,NA,NA,NA,33000,,,korny_OughtaBe_RH,2.14.2020,second,OughtaBe,11,cns,yes2,,,NA,NA,NA,NA,2,OB067,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,43000,n,n,,,korny_OughtaBe_RH,3.12.2020,third,OughtaBe,6,cns,yes2,,,,,,,2,OB116,,,,,,,,no,,yes,NA,NA,NA,NA,NA,8000,n,n,,,korny_OughtaBe_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,korny_OughtaBe_RH_fourth
5,,,y,,,,pomme_Butterworks,LF,pomme_Butterworks_LF,1.2.2020,first,Butterworks,6,cns,other12,corynebac,other12,,,,,12,BW006,BW009,,,,,,,,,no,NA,NA,NA,NA,NA,61000,,,pomme_Butterworks_LF,2.4.2020,second,Butterworks,5,cns,yes1,,,NA,NA,NA,NA,1,BW074,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,40000,n,n,,,pomme_Butterworks_LF,3.3.2020,third,Butterworks,4,cns,yes2,,,,,,,2,BW120,,,,,,,,no,,yes,NA,NA,NA,NA,NA,9000,n,n,,,pomme_Butterworks_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pomme_Butterworks_LF_fourth
18,,,y,,,,693_BJ,LH,693_BJ_LH,12.17.2019,first,BJ,12,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,6000,,,693_BJ_LH,1.29.2020,second,BJ,13,cns,yes2,,,NA,NA,NA,NA,2,BJ042,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,8000,n,n,,,693_BJ_LH,2.26.2020,third,BJ,15,cns,yes1,,,,,,,1,BJ065,,,,,,,,no,,yes,NA,NA,NA,NA,NA,13000,n,n,,,693_BJ_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,693_BJ_LH_fourth
13,,,y,,,,korny_OughtaBe,RF,korny_OughtaBe_RF,1.3.2020,first,OughtaBe,10,cns,other9,,,,,,,9,OB013,,,,,,,,,,no,NA,NA,NA,NA,NA,130000,,,korny_OughtaBe_RF,2.14.2020,second,OughtaBe,11,cns,yes2,,,NA,NA,NA,NA,2,OB068,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,90000,n,n,,,korny_OughtaBe_RF,3.12.2020,third,OughtaBe,6,cns,yes2,,,,,,,2,OB117,,,,,,,,no,,yes,NA,NA,NA,NA,NA,13000,n,n,,,korny_OughtaBe_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,korny_OughtaBe_RF_fourth
7,,,y,,,,peonie_OughtaBe,RF,peonie_OughtaBe_RF,1.3.2020,first,OughtaBe,14,cns,other12,,,,,,,12,OB018,,,,,,,,,,no,NA,NA,NA,NA,NA,54000,,,peonie_OughtaBe_RF,2.14.2020,second,OughtaBe,15,cns,yes2,,,NA,NA,NA,NA,2,OB073,,NA,NA,NA,NA,,NA,,NA,yes,NA,NA,NA,NA,NA,240000,y,y,,,peonie_OughtaBe_RF,3.12.2020,third,OughtaBe,14,cns,yes2,,,,,,,2,OB132,,,,,,,,no,,yes,NA,NA,NA,NA,NA,20000,n,n,,,peonie_OughtaBe_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,peonie_OughtaBe_RF_fourth
15,,,y,,,,leopard_vonTrapp,LF,leopard_vonTrapp_LF,1.6.2020,first,vonTrapp,4,cns,other9,,,,,,,9,VT006,,,,,,,,,,no,NA,NA,NA,NA,NA,34000,,,leopard_vonTrapp_LF,2.12.2020,second,vonTrapp,2,cns,yes2,,,NA,NA,NA,NA,2,VT034,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,66000,n,n,,,leopard_vonTrapp_LF,3.10.2020,third,vonTrapp,3,cns,yes2,,,,,,,2,VT066,,,,,,,,no,,yes,NA,NA,NA,NA,NA,24000,n,n,,,leopard_vonTrapp_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,leopard_vonTrapp_LF_fourth
12,,,y,,,,korny_OughtaBe,LF,korny_OughtaBe_LF,1.3.2020,first,OughtaBe,10,cns,other9,,,,,,,9,OB011,,,,,,,,,,no,NA,NA,NA,NA,NA,210000,,,korny_OughtaBe_LF,2.14.2020,second,OughtaBe,11,cns,yes2,,,NA,NA,NA,NA,2,OB066,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,230000,y,y,,,korny_OughtaBe_LF,3.12.2020,third,OughtaBe,6,cns,yes2,,,,,,,2,OB115,,,,,,,,no,,yes,NA,NA,NA,NA,NA,28000,n,n,,,korny_OughtaBe_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,korny_OughtaBe_LF_fourth
20,,,y,,,,70_Glennview,LF,70_Glennview_LF,1.14.2020,first,Glennview,25,,,,,,,,,7,,,,,,,,,,,,NA,NA,NA,NA,NA,6000,,,70_Glennview_LF,2.19.2020,second,Glennview,33,cns,yes2,,,NA,NA,NA,NA,2,GV095,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,86000,n,n,,,70_Glennview_LF,3.19.2020,third,Glennview,28,cns,yes2,,,,,,,2,GV150,,,,,,,,no,,yes,NA,NA,NA,NA,NA,62000,n,n,,,70_Glennview_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70_Glennview_LF_fourth
