date,visit,farm,order,cow_id,quarter,path_1,path1_IMI,path_2,path2_IMI,path_3,path3_IMI,path_4,path4_IMI,quarter_code,isolate_1,isolate_2,isolate_3,isolate_4,clinical,blind,teatinj,pstmilking,mixed_inf_series,dup_not_collected,IMI_series,hygiene_1,hygiene_2,cc_1,cc_2,cc_3,scc,previous visit SCC,following visit SCC,previous test cow-level SCC,following test cow-level SCC,contam_comment,uniqueID
1.2.2020,first,Butterworks,2,strawberry,LH,corynebac,yes27,cns,yes27,,,,,27,BW001,BW002,,,,,,,yes,,yes,NA,NA,NA,NA,NA,7000,,,,,,strawberry_LH_first
1.2.2020,first,Butterworks,4,muffin,LH,cns,yes27,corynebac,yes27,,,,,27,BW003,BW004,,,,,,,yes,,yes,NA,NA,NA,NA,NA,250000,,,,,,muffin_LH_first
1.2.2020,first,Butterworks,16,mustard,LH,strep,yes27,corynebac,yes27,,,,,27,BW017,BW018,,,,,,,yes,,yes,NA,NA,NA,NA,NA,12000,,,,,,mustard_LH_first
1.2.2020,first,Butterworks,17,nazareth,RH,corynebac,yes2,,,,,,,2,BW023,,,,,,,,no,,yes,NA,NA,NA,NA,NA,21000,,,,,,nazareth_RH_first
1.2.2020,first,Butterworks,20,love,LH,corynebac,yes2,,,,,,,2,BW033,,,,,,,,,,yes,NA,NA,NA,NA,NA,4000,,,,,,love_LH_first
1.2.2020,first,Butterworks,21,mandolin,RH,corynebac,yes2,,,,,,,2,BW037,,,,,,,,,,yes,NA,NA,NA,NA,NA,29000,,,,,,mandolin_RH_first
1.2.2020,first,Butterworks,33,plantain,RF,strep,yes27,corynebac,yes27,,,,,27,BW065,BW066,,,,,,,yes,,yes,NA,NA,NA,NA,NA,930000,,,,,,plantain_RF_second
3.3.2020,third,Butterworks,2,muffin,LF,corynebac,yes2,,,,,,,2,BW117,,,,,,,,no,,yes,NA,NA,NA,NA,NA,0,,,,,,muffin_LF_third
1.22.2020,second,Swallowdale,27,jazz,LH,corynebac,yes2,,,,,,,2,SW079,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1200000,,,,,,jazz_LH_second
2.28.2020,third,Swallowdale,16,jazz,LH,corynebac,yes2,,,,,,,2,SW107,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2200000,,,,,,jazz_LH_third
2.28.2020,third,Swallowdale,20,sondra,RH,strep,yes29,corynebac,other29,,,,,29,SW111,SW112,,,,,,,no,,yes,NA,NA,NA,NA,NA,7000,,,,,,sondra_RH_third
2.28.2020,third,Swallowdale,20,sondra,RF,cns,yes27,corynebac,yes27,,,,,27,SW113,SW114,,,,,,,yes,,yes,NA,NA,NA,NA,NA,94000,,,,,,sondra_RF_third
12.12.2019,first,StonyPond,2,zag,LH,corynebac,yes2,,,,,,,2,SP001,,,,,,,,no,,yes,NA,NA,NA,NA,NA,10000,,,,,,zag_LH_first
12.12.2019,first,StonyPond,23,abbi,RF,corynebac,yes2,,,,,,,2,SP030,,,,,,,,no,,yes,NA,NA,NA,NA,NA,78000,,,,,,abbi_RF_first
12.11.2019,first,Choiniere,1,8,RF,corynebac,yes2,,,,,,,2,CF001,,,,,,,,no,,yes,NA,NA,NA,NA,NA,21000,,,,,,8_RF_first
12.11.2019,first,Choiniere,5,86,LH,sa,yes24,strep,yes24,corynebac,yes24,,,24,CF008,CF064,CF079,,,,,,yes,,yes,NA,NA,NA,NA,NA,460000,,,,,,86_LH_first
12.11.2019,first,Choiniere,5,86,LF,corynebac,yes1,,,,,,,1,CF009,,,,,,,,no,,yes,NA,NA,NA,NA,NA,499000,,,,,,86_LF_first
12.11.2019,first,Choiniere,5,86,RH,strep,yes27,corynebac,yes27,,,,,27,CF010,CF011,,,,,,,yes,,yes,NA,NA,NA,NA,NA,482000,,,,,,86_RH_first
12.11.2019,first,Choiniere,6,40,RH,cns,yes27,corynebac,yes27,,,,,27,CF015,CF080,,,,,,,yes,,yes,NA,NA,NA,NA,NA,253000,,,,,,40_RH_first
12.11.2019,first,Choiniere,7,19,LH,corynebac,yes2,,,,,,,2,CF017,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3000,,,,,,19_LH_first
12.11.2019,first,Choiniere,11,41,RF,strep,yes27,corynebac,,,,,,27,CF024,CF025,,,,,,,yes,,yes,NA,NA,NA,NA,NA,5000,,,,,,41_RF_first
12.11.2019,first,Choiniere,13,12,RF,corynebac,yes2,,,,,,,2,CF027,,,,,,,,no,,yes,NA,NA,NA,NA,NA,16000,,,,,,12_RF_first
12.11.2019,first,Choiniere,14,3,RF,strep,yes27,corynebac,yes27,,,,,27,CF028,CF029,,,,,,,yes,,yes,NA,NA,NA,NA,NA,2000,,,,,,3_RF_first
12.11.2019,first,Choiniere,17,62,LH,corynebac,yes2,,,,,,,2,CF033,,,,,,,,no,,yes,NA,NA,NA,NA,NA,6000,,,,,,62_LH_first
12.11.2019,first,Choiniere,17,62,RF,corynebac,yes2,,,,,,,2,CF036,,,,,,,,no,,yes,NA,NA,NA,NA,NA,5358000,,,,,,62_RF_first
12.11.2019,first,Choiniere,21,4,RF,corynebac,yes2,,,,,,,2,CF044,,,,,,,,no,,yes,NA,NA,NA,NA,NA,4000,,,,,,4_RF_first
1.21.2020,second,Choiniere,5,52,RF,corynebac,yes2,,,,,,,2,CF086,,,,,,,,no,,yes,NA,NA,NA,NA,NA,8000,,,,,,52_RF_second
1.21.2020,second,Choiniere,7,40,RF,corynebac,yes2,,,,,,,2,CF091,,,,,,,,no,,yes,NA,NA,NA,NA,NA,11000,,,,,,40_RF_second
1.21.2020,second,Choiniere,10,86,LH,sa,yes24,corynebac,yes24,strep,yes24,,,24,CF096,CF097,CF098,,,,,,yes,,yes,NA,NA,NA,NA,NA,2200000,,,,,,86_LH_second
1.21.2020,second,Choiniere,15,4,RF,corynebac,yes2,,,,,,,2,CF100,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,,,,,,4_RF_second
1.21.2020,second,Choiniere,18,3,LF,corynebac,yes2,,,,,,,2,CF109,,,,,,,,no,,yes,NA,NA,NA,NA,NA,4000,,,,,,3_LF_second
1.21.2020,second,Choiniere,29,41,RH,corynebac,yes2,,,,,,,1,CF123,,,,,,,,no,,yes,NA,NA,NA,NA,NA,4000,,,,,,41_RH_second
1.21.2020,second,Choiniere,30,74,RH,corynebac,yes2,,,,,,,2,CF126,,,,,,,,no,,yes,NA,NA,NA,NA,NA,77000,,,,,,74_RH_second
1.21.2020,second,Choiniere,34,56,LH,corynebac,yes1,,,,,,,1,CF130,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3000,,,,,,56_LH_second
1.21.2020,second,Choiniere,35,35,LF,corynebac,yes2,,,,,,,2,CF132,,,,,,,,no,,yes,NA,NA,NA,NA,NA,23000,,,,,,35_LF_second
2.17.2020,third,Choiniere,8,32,LF,corynebac,yes2,,,,,,,2,CF145,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1100000,,,,,,32_LF_third
2.17.2020,third,Choiniere,14,12,LH,corynebac,yes2,,,,,,,2,CF152,,,,,,,,no,,yes,NA,NA,NA,NA,NA,19000,,,,,,12_LH_third
2.17.2020,third,Choiniere,15,74,RH,corynebac,yes2,,,,,,,2,CF155,,,,,,,,,,yes,NA,NA,NA,NA,NA,43000,,,,,,74_RH_third
2.17.2020,third,Choiniere,16,4,RF,corynebac,yes1,,,,,,,1,CF156,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3000,,,,,,4_RF_third
2.17.2020,third,Choiniere,19,86,LH,sa,yes24,corynebac,yes24,strep,yes24,,,24,CF160,CF161,CF162,,,,,,yes,,yes,NA,NA,NA,NA,NA,930000,,,,,,86_LH_third
2.17.2020,third,Choiniere,19,86,RH,strep,yes27,corynebac,yes27,,,,,27,CF165,CF166,,,,,,,yes,,yes,NA,NA,NA,NA,NA,120000,,,,,,86_RH_third
2.17.2020,third,Choiniere,27,97,RF,strep,yes27,corynebac,yes27,,,,,27,CF170,CF171,,,,,,,yes,,yes,NA,NA,NA,NA,NA,1900000,,,,,,97_RF_third
2.17.2020,third,Choiniere,31,3,RH,corynebac,yes1,,,,,,,1,CF176,s,,,,,,,no,,yes,NA,NA,NA,NA,NA,35000,,,,,,3_RH_third
3.16.2020,fourth,Choiniere,1,86,LH,strep,yes24,corynebac,yes24,sa,yes24,,,24,CF182,CF183,CF184,,,,,,yes,,yes,NA,NA,NA,NA,NA,1.00E+06,,,,,,86_LH_fourth
3.16.2020,fourth,Choiniere,1,86,LF,corynebac,yes2,,,,,,,2,CF185,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1500000,,,,,,86_LF_fourth
3.16.2020,fourth,Choiniere,1,86,RH,strep,yes27,corynebac,yes27,,,,,27,CF186,CF187,,,,,,,,,yes,NA,NA,NA,NA,NA,560000,,,,,,86_RH_fourth
3.16.2020,fourth,Choiniere,1,86,RF,strep,yes27,corynebac,yes27,,,,,27,CF188,CF189,,,,,,,,,yes,NA,NA,NA,NA,NA,8.00E+05,,,,,,86_RF_fourth
3.16.2020,fourth,Choiniere,6,66,LH,corynebac,yes2,,,,,,,2,CF194,,,,,,,,no,,yes,NA,NA,NA,NA,NA,25000,,,,,,66_LH_fourth
3.16.2020,fourth,Choiniere,6,66,RF,?,yes27,corynebac,,,,,,27,CF196,CF197,,,,,,,yes,,yes,NA,NA,NA,NA,NA,4000,,,,,,66_RF_fourth
3.16.2020,fourth,Choiniere,7,35,LH,corynebac,yes2,,,,,,,2,CF198,,,,,,,,no,,yes,NA,NA,NA,NA,NA,9000,,,,,,35_LH_fourth
3.16.2020,fourth,Choiniere,9,12,LF,corynebac,yes2,,,,,,,2,CF200,,,,,,,,no,,yes,NA,NA,NA,NA,NA,7000,,,,,,12_LF_fourth
3.16.2020,fourth,Choiniere,9,12,RH,corynebac,yes2,,,,,,,2,CF201,,,,,,,,no,,yes,NA,NA,NA,NA,NA,29000,,,,,,12_RH_fourth
3.16.2020,fourth,Choiniere,11,19,LF,corynebac,yes2,,,,,,,2,CF205,,,,,,,,no,,yes,NA,NA,NA,NA,NA,4000,,,,,,19_LF_fourth
3.16.2020,fourth,Choiniere,13,54,RH,corynebac,yes1,,,,,,,1,CF207,,,,,,,,no,,yes,NA,NA,NA,NA,NA,6000,,,,,,54_RH_fourth
3.16.2020,fourth,Choiniere,16,17,RF,corynebac,yes1,,,,,,,1,CF215,,,,,,,,no,,yes,NA,NA,NA,NA,NA,24000,,,,,,17_RF_fourth
3.16.2020,fourth,Choiniere,18,38,LF,corynebac,yes1,,,,,,,1,CF218,,,,,,,,no,,yes,NA,NA,NA,NA,NA,5000,,,,,,38_LF_fourth
3.16.2020,fourth,Choiniere,23,3,RH,corynebac,yes27,corynebac,yes27,,,,,27,CF223,CF224,,,,,,,yes,,yes,NA,NA,NA,NA,NA,210000,,,,,,3_RH_fourth
3.16.2020,fourth,Choiniere,32,69,LH,corynebac,yes2,,,,,,,2,CF236,,,,,,,,no,,yes,NA,NA,NA,NA,NA,94000,,,,,,69_LH_fourth
3.16.2020,fourth,Choiniere,32,69,LF,corynebac,yes2,,,,,,,2,CF237,,,,,,,,no,,yes,NA,NA,NA,NA,NA,6000,,,,,,69_LF_fourth
3.16.2020,fourth,Choiniere,34,4,RF,corynebac,yes2,,,,,,,2,CF243,,,,,,,,no,,yes,NA,NA,NA,NA,NA,5000,,,,,,4_RF_fourth
1.14.2020,first,Glennview,5,206,RH,corynebac,yes2,,,,,,,2,GV006,,,,,,,,no,,yes,NA,NA,NA,NA,NA,4000,,,,,,206_RH_first
1.14.2020,first,Glennview,5,206,RF,corynebac,yes2,,,,,,,2,GV007,,,,,,,,no,,yes,NA,NA,NA,NA,NA,4000,,,,,,206_RF_first
1.14.2020,first,Glennview,6,165,LF,corynebac,yes2,,,,,,,2,GV009,,,,,,,,no,,yes,NA,NA,NA,NA,NA,43000,,,,,,165_LF_first
1.14.2020,first,Glennview,10,193,RH,corynebac,yes2,,,,,,,2,GV021,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,,,,,,193_RH_first
1.14.2020,first,Glennview,10,193,RF,corynebac,yes1,,,,,,,1,GV022,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3000,,,,,,193_RF_first
1.14.2020,first,Glennview,12,174,RF,corynebac,yes2,,,,,,,2,GV026,,,,,,,,no,,yes,NA,NA,NA,NA,NA,17000,,,,,,174_RF_first
1.14.2020,first,Glennview,20,93,RH,corynebac,yes27,strep,yes27,,,,,27,GV031,GV032,,,,,,,yes,,yes,NA,NA,NA,NA,NA,190000,,,,,,93_RH_first
1.14.2020,first,Glennview,29,207,LF,corynebac,yes1,,,,,,,1,GV043,,,,,,,,no,,yes,NA,NA,NA,NA,NA,7000,,,,,,207_LF_first
1.14.2020,first,Glennview,31,175,RF,corynebac,yes2,,,,,,,2,GV044,,,,,,,,no,,yes,NA,NA,NA,NA,NA,120000,,,,,,175_RF_first
2.19.2020,second,Glennview,5,114,LF,corynebac,yes1,,,,,,,1,GV053,,,,,,,,no,,yes,NA,NA,NA,NA,NA,40000,,,,,,114_LF_second
2.19.2020,second,Glennview,5,114,RH,corynebac,yes2,,,,,,,2,GV054,,,,,,,,no,,yes,NA,NA,NA,NA,NA,61000,,,,,,114_RH_second
2.19.2020,second,Glennview,6,194,RH,strep,yes27,corynebac,yes27,,,,,27,GV056,GV057,,,,,,,yes,,yes,NA,NA,NA,NA,NA,10000,,,,,,194_RH_second
2.19.2020,second,Glennview,7,193,RF,corynebac,yes1,,,,,,,1,GV058,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,,,,,,193_RF_second
2.19.2020,second,Glennview,8,133,LF,corynebac,yes2,,,,,,,2,GV060,,,,,,,,no,,yes,NA,NA,NA,NA,NA,33000,,,,,,133_LF_second
2.19.2020,second,Glennview,18,42,LH,corynebac,yes27,?,yes27,,,,,27,GV071,GV072,,,,,,,yes,,yes,NA,NA,NA,NA,NA,4.00E+06,,,,,,42_LH_second
2.19.2020,second,Glennview,19,188,LH,corynebac,yes2,corynebac,other18,,,,,2,GV074,GV075,,,,,,,no,,yes,NA,NA,NA,NA,NA,10000,,,,,,188_LH_second
2.19.2020,second,Glennview,26,190,RH,corynebac,yes2,,,,,,,2,GV084,,,,,,,,no,,yes,NA,NA,NA,NA,NA,17000,,,,,,190_RH_second
2.19.2020,second,Glennview,28,128,LH,corynebac,yes2,,,,,,,2,GV087,,,,,,,,no,,yes,NA,NA,NA,NA,NA,19000,,,,,,128_LH_second
3.19.2020,third,Glennview,4,193,RF,corynebac,yes1,,,,,,,1,GV105,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,,,,,,193_RF_third
